"Date","MINDTREE.NS.Open","MINDTREE.NS.High","MINDTREE.NS.Low","MINDTREE.NS.Close","MINDTREE.NS.Volume","MINDTREE.NS.Adjusted"
2016-03-09,740,740,680.05,684.3,2246700,668.6673
2016-03-10,694,695.65,666,670.45,1009500,655.1338
2016-03-11,675,677.95,660.1,663.15,963900,648.0005
2016-03-14,665,668.2,650,651.6,676700,636.7143
2016-03-15,652.6,655.1,639,642.45,522900,627.7734
2016-03-16,643.05,646.5,631.1,639.75,446100,625.1351
2016-03-17,642.5,660,642,656.85,794600,641.8444
2016-03-18,656,670,655.6,666.15,755700,650.932
2016-03-21,654,672.95,654,667.85,505600,652.5931
2016-03-22,662.5,663.8,655,658.25,383700,643.2125
2016-03-23,660.5,661.25,649,651.05,554400,636.1769
2016-03-24,651.05,651.05,651.05,651.05,0,636.1769
2016-03-25,651.05,651.05,651.05,651.05,0,636.1769
2016-03-28,649,655,624.4,626.65,584200,612.3344
2016-03-29,624.4,627.2,603.95,616.1,911800,602.0253
2016-03-30,626.2,669,623.4,663.05,1089600,647.9028
2016-03-31,666.35,666.35,641,653.25,1017300,638.3267
2016-04-01,653,686.3,650,668.15,665100,652.8863
2016-04-04,665,678,662,676.05,375300,660.6058
2016-04-05,676,676,655.2,658.35,376000,643.3101
2016-04-06,663.45,670.5,647,667.9,236800,652.642
2016-04-07,671,677.5,663.2,671.65,260000,656.3064
2016-04-08,670,671.8,660,667.5,194200,652.2511
2016-04-11,665.15,671.8,655.15,667.7,292000,654.4074
2016-04-12,668,681.05,668,677,320500,663.5222
2016-04-13,679.8,697.9,678.6,691.6,479300,677.8316
2016-04-14,691.6,691.6,691.6,691.6,0,677.8316
2016-04-15,691.6,691.6,691.6,691.6,0,677.8316
2016-04-18,686.5,749,686.5,730.8,1347900,716.2512
2016-04-19,730.8,730.8,730.8,730.8,0,716.2512
2016-04-20,755,755,720,723.95,1306000,709.5376
2016-04-21,723.95,727.4,710.15,715.8,279500,701.5498
2016-04-22,716,716.05,701,708.3,202100,694.1991
2016-04-25,710,712.25,695,698.5,266100,684.5942
2016-04-26,693.05,715.8,688.3,707.35,511400,693.268
2016-04-27,709.95,712.15,697,699.7,203400,685.7703
2016-04-28,699.9,708.35,683.25,686.2,406500,672.5391
2016-04-29,690.9,691.75,676,678.8,259200,665.2864
2016-05-02,678,686,669.05,681.85,203600,668.2757
2016-05-03,685.9,693.8,667.9,670.25,271000,656.9066
2016-05-04,668.8,678,660,661.45,363700,648.2818
2016-05-05,660,672.55,659.95,664,347800,650.781
2016-05-06,666.8,669,658,659,425800,645.8806
2016-05-09,660.5,666,650.1,657.15,446500,644.0674
2016-05-10,660,662.05,644.25,645.85,446100,632.9923
2016-05-11,640.05,657.95,636.5,652.35,284600,639.3629
2016-05-12,653.8,663,652,660.25,302100,647.1057
2016-05-13,659,664.8,648.2,652.9,280700,639.902
2016-05-16,651.25,655.7,642.4,645.3,309600,632.4533
2016-05-17,652,655,644.9,645.5,267800,632.6493
2016-05-18,645.7,650.95,643,644,374100,631.1792
2016-05-19,646.25,653.95,640.4,644,236400,631.1792
2016-05-20,641,643.75,623.5,630.45,743100,617.899
2016-05-23,633,644,632.5,640.85,697200,628.0919
2016-05-24,644,652.7,635.85,647.75,346700,634.8545
2016-05-25,652.75,654.3,646.5,648.75,282600,635.8346
2016-05-26,653.45,677,648,665.35,1056000,652.1041
2016-05-27,664.5,674.45,656.8,667.6,292400,654.3093
2016-05-30,667.6,681.8,667.6,671.7,303000,658.3278
2016-05-31,677.9,677.9,658.2,660.9,497900,647.7428
2016-06-01,665.95,665.95,653.3,654.8,386400,641.7642
2016-06-02,655,663.7,650.2,653.6,223900,640.5881
2016-06-03,655.9,659.8,642.9,647.45,296600,634.5605
2016-06-06,646.5,653.35,642,644.55,280700,631.7182
2016-06-07,648.5,654,640.6,650.3,226300,637.3538
2016-06-08,649.9,654.4,644.75,650.7,171000,637.7458
2016-06-09,650,654.05,638,639.2,197600,626.4748
2016-06-10,640,643.9,633.1,639.35,305900,626.6218
2016-06-13,638.9,638.9,627.5,635.15,172300,622.5054
2016-06-14,637.9,647,635.1,643.95,319700,631.1302
2016-06-15,646.8,646.8,637.75,640.05,178900,627.3078
2016-06-16,640,641,628.15,630.05,222600,617.5069
2016-06-17,636.4,637.55,627.15,630,333900,617.4579
2016-06-20,627,643.85,626.65,639.8,782600,627.0628
2016-06-21,644.95,668,644.65,657.7,736600,644.6065
2016-06-22,656.6,662.95,650.1,653.6,223700,640.5881
2016-06-23,650.5,666.55,650.5,659.95,390900,646.8117
2016-06-24,646,667.75,625,659.9,321900,646.7627
2016-06-27,660.3,666.2,647.9,651.85,222700,638.8729
2016-06-28,651.85,666.55,651.85,662.8,196300,649.6049
2016-06-29,664.95,676.8,659.2,663.4,274500,650.193
2016-06-30,665,674,661.8,664.85,214100,651.6141
2016-07-01,667.75,676,666,673.9,197500,660.484
2016-07-04,680,681.5,670.25,672.15,109400,658.7688
2016-07-05,672.15,682,670.4,678.3,148100,664.7963
2016-07-06,678.3,678.3,678.3,678.3,0,664.7963
2016-07-07,681.4,681.4,656.35,659.35,237500,646.2236
2016-07-08,660,660.4,648.1,654.4,153200,644.3037
2016-07-11,655,667,655,665.55,163700,655.2816
2016-07-12,666,669,653,661.05,277800,650.8511
2016-07-13,657,663.8,646.6,650.45,233000,640.4146
2016-07-14,653.7,659.15,645.1,653.3,231400,643.2206
2016-07-15,658,660,634.1,637.25,323600,627.4183
2016-07-18,632.3,634.55,611,614.2,1965100,604.7239
2016-07-19,581,587.2,559,561.55,5025100,552.8862
2016-07-20,558.85,572.65,553,570.4,1769900,561.5997
2016-07-21,570.4,574,565,565.95,630700,557.2183
2016-07-22,570.8,570.8,556,556.9,852100,548.308
2016-07-25,560.5,560.5,549,551.75,824600,543.2374
2016-07-26,552,567.3,552,565,931900,556.283
2016-07-27,566.65,569,560,565.1,386400,556.3814
2016-07-28,568.7,587.05,564,582.3,1936800,573.3161
2016-07-29,579,581,573.05,578.65,243500,569.7224
2016-08-01,580,610,580,601.6,1457900,592.3183
2016-08-02,604.95,618,603.05,612.95,705400,603.4932
2016-08-03,615,616,592.75,600.1,472800,590.8414
2016-08-04,605,612.1,597.15,604.85,302500,595.5181
2016-08-05,605,615,605,613,179700,603.5424
2016-08-08,614.9,621,611.15,617.8,336600,608.2683
2016-08-09,617.9,620,594,596.55,429700,587.3462
2016-08-10,597,598,565.1,572.3,607800,563.4703
2016-08-11,572.3,584,563,580.7,332100,571.7408
2016-08-12,580.9,584.9,574,579.8,209100,570.8546
2016-08-15,579.8,579.8,579.8,579.8,0,570.8546
2016-08-16,579.8,579.8,564.5,569.15,468600,560.369
2016-08-17,570,570,561.25,566.35,453400,557.6121
2016-08-18,570.05,574.3,562.55,564.75,535100,556.0368
2016-08-19,565,571.2,562,565.7,259200,556.9722
2016-08-22,562.5,565.65,550,551.25,499100,542.7451
2016-08-23,553.2,569.2,547.1,566.2,492300,557.4645
2016-08-24,570,573.2,565.75,568.6,307400,559.8274
2016-08-25,568.6,572.4,554.8,567.8,623200,559.0398
2016-08-26,567.9,577.9,566,569.25,247300,560.4674
2016-08-29,569.25,570.65,559,564.95,209700,556.2338
2016-08-30,564.95,573.5,564.95,570.15,277400,561.3535
2016-08-31,574.9,576.1,559.85,562.55,282000,553.8708
2016-09-01,563.75,569.95,553.05,553.75,402500,545.2065
