"Date","BEL.NS.Open","BEL.NS.High","BEL.NS.Low","BEL.NS.Close","BEL.NS.Volume","BEL.NS.Adjusted"
2015-06-01,35850,36549.5984,35612.9993,36083.4009,685600,1163.2247
2015-06-02,35750.1013,35850,34301.0999,34728.9001,702700,1119.5595
2015-06-03,34829.3994,34829.3994,31625.1013,32543.1006,744100,1049.0956
2015-06-04,32900.1013,33360,32027.0984,33096.8994,561900,1066.9485
2015-06-05,32979.8987,33950.1013,32520,33224.0991,462900,1071.049
2015-06-08,33249.8987,33740.1013,32750.1013,32907.0007,244200,1060.8267
2015-06-09,32777.9993,33240,32180.1013,32357.0984,246700,1043.0994
2015-06-10,32400,33180,32400,32711.4001,188500,1054.5211
2015-06-11,32949.8987,33131.4001,31885.4993,32069.3994,258100,1033.8248
2015-06-12,32180.1013,32600.1013,31730.4016,32492.3987,271900,1047.4611
2015-06-15,32499.8987,33090,32274.8987,32682.9016,229800,1053.6024
2015-06-16,32360.9985,32700,32225.1013,32603.1006,164000,1051.0298
2015-06-17,32790,33362.9993,32535.9009,33024.8987,411200,1064.6274
2015-06-18,33039.8987,33918.9001,33039.8987,33684.0015,382300,1085.8749
2015-06-19,33876.8994,34250.1013,33800.1013,34059.0015,358600,1097.9639
2015-06-22,34299.8987,34397.9993,33704.0991,34047.0007,217400,1097.577
2015-06-23,34040.1013,34431.8994,33751.5015,33944.0991,233100,1094.2597
2015-06-24,34050,34329.8987,33275.1013,33621.5991,229900,1083.8633
2015-06-25,33519.8987,33883.4985,33246.8994,33689.0991,199500,1086.0393
2015-06-26,33745.4993,34848.9001,33549.5984,34435.4993,459700,1110.1011
2015-06-29,33863.4009,33980.1013,32745,33330,277900,1074.463
2015-06-30,33479.3994,33944.0991,33320.1013,33662.9993,344800,1085.1979
2015-07-01,33789.8987,34479.0015,33759.0015,34129.5007,302900,1100.2366
2015-07-02,34197.9016,34749.8987,33999.8987,34164.5984,287600,1101.368
2015-07-03,34247.0984,34539.8987,34005.6006,34179.5984,204000,1101.8516
2015-07-06,33960,34100.1013,31899.8987,33837.0007,250600,1090.8072
2015-07-07,33939.8987,35150.1013,33899.3994,34528.4985,436600,1113.0991
2015-07-08,34239.8987,34784.0991,33741.5991,34091.0999,271500,1098.9986
2015-07-09,34299.8987,34647.9016,34080.6006,34274.3994,171900,1104.9077
2015-07-10,34449.0015,34700.1013,33999.8987,34392.6013,137400,1108.7182
2015-07-13,34500,34659.8987,34213.4985,34499.0991,128900,1112.1513
2015-07-14,34550.1013,35220,34449.8987,34902.6013,293300,1125.1591
2015-07-15,35150.1013,35499.8987,35000.1013,35229.5984,208000,1135.7005
2015-07-16,35477.0984,36777.9016,35199.8987,36582.9016,747200,1179.3271
2015-07-17,37050,37179.8987,36360,36485.9985,425600,1176.2032
2015-07-20,36639.8987,36793.4985,36279.8987,36531.5991,160700,1177.6733
2015-07-21,36699.0015,37249.5007,36125.1013,36254.3994,381400,1168.7372
2015-07-22,36279.8987,36789.8987,35799.8987,36622.5,155400,1180.6037
2015-07-23,36969.5984,37898.4009,36813.9001,37587.9016,552600,1211.7254
2015-07-24,37790.1013,37890,36566.4001,36713.4009,397900,1183.534
2015-07-27,39090,39278.4009,36650.1013,36815.1013,1220500,1186.8126
2015-07-28,37179.8987,37689.8987,36879.8987,37515.9009,393700,1209.4043
2015-07-29,37737.0007,39519.8987,37255.4993,39297.0007,827700,1266.8218
2015-07-30,39750,39810,39100.4993,39269.3994,438700,1265.932
2015-07-31,39392.0984,40149.8987,39135,39851.4001,582100,1284.6941
2015-08-03,39860.1013,41540.1013,39810,41241.5991,620800,1329.5101
2015-08-04,41499.8987,41600.1013,40700.4016,41265.9009,499700,1330.2935
2015-08-05,41400,41520,40230,40438.4985,317200,1303.6204
2015-08-06,40539.8987,40599.8987,39249.8987,39808.4985,329100,1283.311
2015-08-07,39900,40440,39402.6013,39651.5991,363600,1278.2531
2015-08-10,39619.5007,39998.1006,39030.6006,39178.4985,173100,1285.5671
2015-08-11,39150,39429.0015,37905,38097.9016,345400,1250.1093
2015-08-12,38220,38249.3994,37132.5,37299.8987,331900,1223.9244
2015-08-13,37599.8987,38375.1013,37353.9001,37580.4016,380100,1233.1286
2015-08-14,37749.8987,38576.0999,37487.0984,38444.3994,359600,1261.479
2015-08-17,38649.8987,38649.8987,37760.1013,37915.4993,238800,1244.1242
2015-08-18,38000.1013,38270.1013,37005.6006,37120.4993,380600,1218.0378
2015-08-19,37499.3994,37500,36369.0015,36449.3994,805400,1196.0169
2015-08-20,36485.9985,36795.6006,35949.8987,36227.0984,395100,1188.7225
2015-08-21,36000,36099.0015,35450.1013,35813.1006,464500,1175.138
2015-08-24,35090.1013,35090.1013,31209.8987,31726.5015,625600,1041.0441
2015-08-25,32100.9009,33627.9016,29520,33344.0991,895500,1094.1225
2015-08-26,33050.1013,33969.8987,32164.5007,33650.9985,399800,1104.1928
2015-08-27,33950.1013,34659.8987,33950.1013,34200.6006,368700,1122.2269
2015-08-28,34430.1013,35750.1013,34430.1013,34752.9016,491600,1140.3496
2015-08-31,34850.1013,34899.8987,33579.8987,33690.6006,387100,1105.4922
2015-09-01,33410.4016,33410.4016,32109.8987,32213.1006,371300,1057.0109
2015-09-02,32600.1013,33750,32324.0991,32749.5007,568100,1074.6119
2015-09-03,33000,33600,32700.9009,33010.4993,241600,1083.176
2015-09-04,33002.9993,33002.9993,32116.5015,32280.6006,482500,1059.2258
2015-09-07,32280,32450.1013,31300.4993,31562.9993,508200,1035.6791
2015-09-08,31700.1013,32958.9001,31560,32705.9985,420100,1073.1844
2015-09-09,11166.5002,11300,11026.2,11170.2002,713200,366.5286
