"Date","TECHM.NS.Open","TECHM.NS.High","TECHM.NS.Low","TECHM.NS.Close","TECHM.NS.Volume","TECHM.NS.Adjusted"
2015-12-22,524,526.8,518.9,519.55,666700,513.3679
2015-12-23,525,525.05,516.6,518.05,697200,511.8858
2015-12-24,520,521.75,516,516.95,453100,510.7989
2015-12-25,516.95,516.95,516.95,516.95,0,510.7989
2015-12-28,516.05,520.5,512.4,518.8,1083400,512.6269
2015-12-29,520.95,522,518,518.95,570400,512.7751
2015-12-30,519.5,528,519.25,525.15,1227400,518.9013
2015-12-31,523.3,526,520.35,521.65,421600,515.443
2016-01-01,524.9,524.9,518.5,520.05,312000,513.862
2016-01-04,520.05,521.3,505,516.4,2684300,510.2554
2016-01-05,516.95,523.3,516.6,521.9,1707100,515.69
2016-01-06,522,527,520.8,525.1,1456700,518.8519
2016-01-07,521.1,522.45,504,510.8,2014700,504.722
2016-01-08,516,526.25,512.75,522.15,1426100,515.937
2016-01-11,517,517,505.85,507.3,1791900,501.2637
2016-01-12,507.95,509.3,498,507.4,1836700,501.3625
2016-01-13,508,512.25,496.75,504.45,1431100,498.4476
2016-01-14,497,516,494.05,514,2022400,507.884
2016-01-15,519,529.95,511.85,520.55,1612700,514.356
2016-01-18,516,526.95,514.2,517.4,1035900,511.2435
2016-01-19,518,521.6,510.1,512.5,978400,506.4018
2016-01-20,507.25,512.8,503.6,507,2002800,500.9673
2016-01-21,508,516.3,506.55,507.35,1873600,501.3131
2016-01-22,513,516.75,503.7,514.25,894500,508.131
2016-01-25,517,523.75,513.5,514.55,689700,508.4274
2016-01-26,514.55,514.55,514.55,514.55,0,508.4274
2016-01-27,514,515.6,501,503.05,2171300,497.0643
2016-01-28,505,509.25,495.9,500.05,2091000,494.1
2016-01-29,500,505.65,492.95,501.4,1583900,495.4339
2016-02-01,504.95,518.4,496.15,497.6,2717800,491.6791
2016-02-02,496,499.35,472.1,474.45,5733700,468.8046
2016-02-03,471,476.8,465.5,472.2,2019900,466.5814
2016-02-04,478.9,478.9,465.1,469.45,1465100,463.8641
2016-02-05,471.9,476.3,468.1,475.1,1196700,469.4469
2016-02-08,471.5,482,468.2,470.65,598600,465.0498
2016-02-09,465,467.85,446.45,448.25,2352100,442.9163
2016-02-10,447.9,447.9,436.75,440.4,2686000,435.1597
2016-02-11,440.4,443.1,429,431.95,1731100,426.8103
2016-02-12,438,439.15,425.25,430,1443300,424.8835
2016-02-15,432.15,439.1,428.1,430.3,1888100,425.1799
2016-02-16,434.95,436.4,419.65,422.85,979400,417.8186
2016-02-17,422.35,431.5,415.15,429.55,1169600,424.4388
2016-02-18,434.95,435.9,422.9,429.4,1262000,424.2906
2016-02-19,428.6,442.55,426.55,440.5,1644600,435.2585
2016-02-22,440.55,441.9,426.55,431.7,1155600,426.5633
2016-02-23,431.7,432.4,424,428.6,1074700,423.5001
2016-02-24,425,428,418.35,422.05,822200,417.0281
2016-02-25,421.9,423.8,411,416.3,2406200,411.3465
2016-02-26,419.25,424.95,411.3,417.75,1912500,412.7792
2016-02-29,417.5,424,407.4,415.55,1555000,410.6054
2016-03-01,417,435,416,432.25,1570000,427.1067
2016-03-02,438.45,460.75,434.05,455.55,2339700,450.1295
2016-03-03,459.7,464,452.2,461.75,2371400,456.2557
2016-03-04,460,462,449.95,451.25,2756900,445.8806
2016-03-07,451.25,451.25,451.25,451.25,0,445.8806
2016-03-08,455,459.55,445,448.85,2050900,443.5092
2016-03-09,443.9,467.5,442.1,464.15,4030200,458.6271
2016-03-10,469.85,473.2,464.2,466.15,3266500,460.6033
2016-03-11,467.95,470,455.6,458.05,1025700,452.5997
2016-03-14,460,472.3,458,470.2,5115300,464.6052
2016-03-15,472.6,475.25,459,460.3,996200,454.8229
2016-03-16,457,469.15,456.5,465.8,1223300,460.2575
2016-03-17,471,490,471,486.75,2474100,480.9582
2016-03-18,488,496,483.15,492.45,3064800,486.5904
2016-03-21,492.45,498.4,486,490.1,1653300,484.2684
2016-03-22,490.1,492.75,480.2,484.2,2064900,478.4386
2016-03-23,484,484.65,474.65,479.9,1458900,474.1897
2016-03-24,479.9,479.9,479.9,479.9,0,474.1897
2016-03-25,479.9,479.9,479.9,479.9,0,474.1897
2016-03-28,482,485.25,464,474.7,3609800,469.0516
2016-03-29,475.1,479.85,464,467.6,2044000,462.0361
2016-03-30,471,478.8,465.75,472.85,3203800,467.2236
2016-03-31,475,483,473.2,474.95,4630100,469.2986
2016-04-01,476,476.05,460,463.1,2394900,457.5896
2016-04-04,468,474,466.2,470.55,1708000,464.951
2016-04-05,472.5,473,460.1,462.25,1430300,456.7497
2016-04-06,463.5,465.35,448.4,453,2671500,447.6098
