"Date","APOLLOHOSP.NS.Open","APOLLOHOSP.NS.High","APOLLOHOSP.NS.Low","APOLLOHOSP.NS.Close","APOLLOHOSP.NS.Volume","APOLLOHOSP.NS.Adjusted"
2016-07-22,1340.15,1343.95,1329.6,1334.2,76200,1334.2
2016-07-25,1335,1354.9,1321.1,1352.95,125900,1352.95
2016-07-26,1353,1361.45,1347.25,1355,80600,1355
2016-07-27,1355,1372.5,1341,1357.1,179300,1357.1
2016-07-28,1357.1,1362.8,1341,1347.95,374300,1347.95
2016-07-29,1348.7,1365,1342.15,1361.9,107000,1361.9
2016-08-01,1363.5,1379,1363,1373.6,126500,1373.6
2016-08-02,1374.9,1388.9,1356,1361.5,147700,1361.5
2016-08-03,1360,1368,1336.55,1340.2,82900,1340.2
2016-08-04,1341,1365.05,1337,1358.5,151800,1358.5
2016-08-05,1368,1368,1342.5,1362.45,133900,1362.45
2016-08-08,1362.45,1410,1360,1405.35,221600,1405.35
2016-08-09,1406.9,1443,1384,1402.35,268200,1402.35
2016-08-10,1406.5,1410.7,1373.6,1380.45,122300,1380.45
2016-08-11,1383,1392,1365.9,1382.65,131800,1382.65
2016-08-12,1384.3,1423,1379.2,1415.7,316800,1415.7
2016-08-15,1415.7,1415.7,1415.7,1415.7,0,1415.7
