"Date","MUTHOOTFIN.NS.Open","MUTHOOTFIN.NS.High","MUTHOOTFIN.NS.Low","MUTHOOTFIN.NS.Close","MUTHOOTFIN.NS.Volume","MUTHOOTFIN.NS.Adjusted"
2015-11-18,181.2,181.2,176,178.95,48200,174.14
2015-11-19,179.7,180.9,177.15,178.6,44900,173.8
2015-11-20,180.45,182.5,176.3,180.05,1363300,175.21
2015-11-23,179.95,180.1,177.55,178.2,35800,173.41
2015-11-24,177.2,180.2,175,178.95,1016300,174.14
2015-11-25,178.95,178.95,178.95,178.95,0,174.14
2015-11-26,181.2,183.5,178.2,181.9,114400,177.01
2015-11-27,182.4,182.5,178.55,178.9,1097100,174.09
2015-11-30,179.05,182.3,177.2,180.9,2734700,176.04
2015-12-01,181,190.35,180.25,186,1472000,181
2015-12-02,185.5,195,185.5,193.9,1143900,188.69
2015-12-03,194.95,198,192.05,195.75,359000,190.49
2015-12-04,192,199.45,190.05,195.6,165300,190.34
2015-12-07,196,198.35,187.05,190,181600,184.89
2015-12-08,188,189,186.05,186.15,50500,181.15
2015-12-09,186.95,189.5,182.8,183.85,48500,178.91
2015-12-10,183,185.55,180.6,184.15,80100,179.2
2015-12-11,182.15,190,172,180.75,2079500,175.89
2015-12-14,184.5,184.65,180,180.75,65500,175.89
2015-12-15,181,183.8,180.3,181.35,42800,176.47
2015-12-16,183.05,184.3,180,182.15,44600,177.25
2015-12-17,182.65,184.7,180.5,182.55,214200,177.64
2015-12-18,181,184,179.15,180.65,142300,175.79
2015-12-21,180.3,182.2,179.1,179.3,186600,174.48
2015-12-22,180.1,183.1,179,179.5,74500,174.67
2015-12-23,180.1,182.7,177.9,180,246200,175.16
2015-12-24,181.45,181.75,178,178.35,155800,173.56
2015-12-25,178.35,178.35,178.35,178.35,0,173.56
2015-12-28,178,179.8,178,178.85,118700,174.04
2015-12-29,180.45,180.45,176.2,177.1,148000,172.34
2015-12-30,179.85,180,175.25,178.8,216400,173.99
2015-12-31,178.1,182,177.45,179.65,178400,174.82
2016-01-01,180.3,180.3,177.7,178.75,26700,173.94
2016-01-04,178.1,179.7,177,178.35,69200,173.56
2016-01-05,179.5,179.6,177.1,177.45,264500,172.68
2016-01-06,178,178.3,176.2,177.2,66600,172.44
2016-01-07,176.3,179.5,174.5,178,803000,173.21
2016-01-08,179,192.25,177.7,185.8,248400,180.81
2016-01-11,184,188,182.3,185.85,121900,180.85
2016-01-12,185,190.65,184.15,189.9,200100,184.79
2016-01-13,188.1,191.95,178.1,180.35,393600,175.5
2016-01-14,178.7,188,177,185,142100,180.03
2016-01-15,189.55,189.55,181,182.95,178300,178.03
2016-01-18,179,181.4,167.85,177.05,160900,172.29
2016-01-19,172.3,177.95,172.3,176.3,206300,171.56
2016-01-20,175,177.85,169.2,177.35,58400,172.58
2016-01-21,176.65,176.75,170.5,172.4,63500,167.77
2016-01-22,175.8,176,171.5,175.05,121900,170.34
2016-01-25,174.55,181,174.5,179.9,50800,175.06
2016-01-26,179.9,179.9,179.9,179.9,0,175.06
2016-01-27,180,188.5,179,187,57000,181.97
2016-01-28,188.9,191.55,184.1,186.5,119500,181.49
2016-01-29,190,193,188.3,192.3,146000,187.13
2016-02-01,193.45,199.8,190.25,198,90400,192.68
2016-02-02,198,202,193,194.95,47800,189.71
2016-02-03,192,192.95,182,186.6,83700,181.58
2016-02-04,185,188.15,183.7,185.15,63700,180.17
2016-02-05,187.9,187.9,183.5,183.8,25800,178.86
2016-02-08,184,187.95,183.8,184.1,26500,179.15
2016-02-09,180.3,192,180.3,189.35,70100,184.26
2016-02-10,192,192,181.05,186.9,108600,181.88
2016-02-11,186.35,187.65,177.2,182.95,100900,178.03
2016-02-12,183.9,184.8,173.6,181.2,105200,176.33
2016-02-15,182.65,185.95,179.5,185,220500,180.03
2016-02-16,186,188,181.05,184.8,34300,179.83
2016-02-17,185,190.9,180.2,186.3,58500,181.29
2016-02-18,186.5,189.75,181.5,187.8,32300,182.75
2016-02-19,185.1,189.35,183.2,187.55,47300,182.51
2016-02-22,187,187.85,185.15,186.4,21500,181.39
2016-02-23,185.35,187.1,182.65,183.85,52000,178.91
2016-02-24,185.45,185.45,178.55,179.6,26400,174.77
2016-02-25,181,181.45,175.1,175.8,87300,171.07
2016-02-26,177.95,180.8,175.2,179.4,40800,174.58
2016-02-29,178,178.9,170.3,173.85,151500,169.18
2016-03-01,175.85,178.1,173.35,174.9,64300,170.2
2016-03-02,176.55,178,173.25,174.9,80400,170.2
2016-03-03,177.45,177.5,173.05,173.4,98000,168.74
2016-03-04,173.65,177,173.15,176.2,108800,171.46
2016-03-07,176.2,176.2,176.2,176.2,0,171.46
2016-03-08,177.9,177.9,174.15,176.35,80200,171.61
2016-03-09,175,177.4,174.5,176.5,53300,171.76
2016-03-10,175,178.5,174.9,177.5,95600,172.73
2016-03-11,177.15,178.05,175.2,176.95,54000,172.19
2016-03-14,177.9,178.5,175.15,177.95,64800,173.17
2016-03-15,175.65,179.8,175.65,178.6,44800,173.8
2016-03-16,178.45,179.6,175,176.8,69500,174
2016-03-17,175.2,179.3,175.2,177.2,43400,174.39
2016-03-18,175.2,178.5,175.2,178,167600,175.18
2016-03-21,179.45,179.45,177.05,177.55,25000,174.73
2016-03-22,178.25,178.5,176.2,177,9900,174.19
2016-03-23,177,178.9,176.1,177.95,145100,175.13
2016-03-24,177.95,177.95,177.95,177.95,0,175.13
2016-03-25,177.95,177.95,177.95,177.95,0,175.13
2016-03-28,178,178.35,173.55,173.95,38200,171.19
2016-03-29,174.1,174.5,172.05,173.1,26500,170.35
2016-03-30,173.85,176.5,172.8,175.2,84400,172.42
2016-03-31,175.5,179.9,175.5,178.75,64700,175.91
2016-04-01,178.7,181.5,176.9,180.25,73400,177.39
2016-04-04,179.05,181.5,179,179.9,136900,177.05
2016-04-05,181,181,177.2,178.55,86100,175.72
2016-04-06,176.4,180.15,175.5,179.05,52500,176.21
2016-04-07,178,179.1,176,176.75,402000,173.95
2016-04-08,178.35,179.3,176.2,178.75,93600,175.91
2016-04-11,179,179.8,176.2,176.85,39400,174.04
2016-04-12,177.9,178.8,176,176.5,61300,173.7
2016-04-13,177.3,184.85,177.3,183.95,374000,181.03
2016-04-14,183.95,183.95,183.95,183.95,0,181.03
2016-04-15,183.95,183.95,183.95,183.95,0,181.03
2016-04-18,186.4,189.35,184.55,186.35,509200,183.39
2016-04-19,186.35,186.35,186.35,186.35,0,183.39
2016-04-20,187.05,189.9,184.25,188.4,253600,185.41
2016-04-21,188,195.5,188,193.95,189000,190.87
2016-04-22,192,198.85,190.5,195.9,102500,192.79
2016-04-25,196.25,197.8,194.55,195.05,81000,191.96
2016-04-26,195.15,200.5,193.5,199.1,114200,195.94
2016-04-27,198.5,211.95,192.6,209,337800,205.68
2016-04-28,210.4,213.45,207.2,209.25,238000,205.93
2016-04-29,209,211.45,199,203.1,205400,199.88
2016-05-02,197.5,203.7,197.5,199.75,73000,196.58
2016-05-03,199.75,201.1,195,196.1,43600,192.99
2016-05-04,197.4,197.4,193.5,194,189100,190.92
2016-05-05,194.2,194.3,189.1,190.4,109700,187.38
2016-05-06,190.7,195.8,188.55,191.85,544700,188.81
2016-05-09,193.1,219.6,193.1,215,2293400,211.59
2016-05-10,212.2,212.2,205.35,206.85,205800,203.57
2016-05-11,203,206.05,200.4,203.8,190800,200.57
2016-05-12,204.9,207.4,202,203.45,131200,200.22
2016-05-13,204.95,217.8,204,211.2,1230900,207.85
2016-05-16,213.6,225,212.5,220.55,1389200,217.05
2016-05-17,220.75,226.85,220.75,223.1,509800,219.56
2016-05-18,224.85,224.85,216.5,217.1,339400,213.66
2016-05-19,219,224.6,215.55,218.8,353700,215.33
2016-05-20,219,222.9,213.05,213.85,133500,210.46
2016-05-23,215.3,221.75,212.95,217.15,171400,213.71
2016-05-24,217.15,223,213.1,215.6,129900,212.18
2016-05-25,218,218.7,206.5,209.8,173400,206.47
2016-05-26,209.8,220.5,209.8,217.1,246500,213.66
2016-05-27,216.9,222,210.35,214.65,384800,211.25
2016-05-30,225,238.5,225,233.95,1620800,230.24
2016-05-31,235.2,236.25,230.5,232.4,373200,228.71
2016-06-01,233.5,247,232.7,244.4,1384600,240.52
2016-06-02,246,246,240.25,242.15,441400,238.31
2016-06-03,242.15,273.6,241.9,251.15,3475200,247.17
2016-06-06,253,276.45,246.35,271.35,1922900,267.05
2016-06-07,268.8,288.9,261.3,273.1,2700500,268.77
2016-06-08,271.8,279.9,270.05,273.35,1241400,269.01
2016-06-09,275.85,275.85,253.45,255.55,1041300,251.5
2016-06-10,255.55,263.9,251.25,255.8,798400,251.74
2016-06-13,250.9,264,249.9,260.35,824100,256.22
2016-06-14,264,270,262.75,268.3,795700,264.04
2016-06-15,268.3,277.5,262.9,269,942700,264.73
2016-06-16,271.9,274.85,263,266.8,499800,262.57
2016-06-17,270,270.4,263.75,265.8,457800,261.58
2016-06-20,265,265,256.65,259.95,452100,255.83
2016-06-21,262.3,269.9,259.6,268.1,452600,263.85
2016-06-22,269.95,273.8,264,267.55,318900,263.31
2016-06-23,267,272.9,264.35,269.7,369300,265.42
2016-06-24,261.1,287.55,250,282.15,1110200,277.67
2016-06-27,277.2,287.8,277.2,280.35,651300,275.9
2016-06-28,284.35,287.2,277,279.2,373500,274.77
2016-06-29,281.15,292.8,281.15,287.8,789200,283.23
2016-06-30,290.5,296,287.2,293.05,740900,288.4
2016-07-01,295.9,298.85,285.25,287.4,1266200,282.84
2016-07-04,293,298.25,286,287.85,1880400,283.28
2016-07-05,290.5,290.75,285.2,287.1,376300,282.55
2016-07-06,287.1,287.1,287.1,287.1,0,282.55
2016-07-07,287.5,289.8,275.25,278.25,750400,273.84
2016-07-08,279.6,283.75,278.25,279.3,699400,274.87
2016-07-11,281.85,286.4,280.05,282.45,733000,277.97
2016-07-12,282.5,285.5,276.6,281.3,570800,276.84
2016-07-13,282,282.1,271.25,272.35,406800,268.03
2016-07-14,272,278,266.5,275.1,481100,270.74
2016-07-15,277.85,277.85,272.15,275.2,210700,270.83
2016-07-18,274.6,281,274.6,278.4,639100,273.98
2016-07-19,277.5,279.95,272.05,275.85,327600,271.47
2016-07-20,277.9,281.45,275.9,278.3,405600,273.89
2016-07-21,278.2,283.5,274.15,275.35,675200,270.98
