"Date","BOSCHLTD.NS.Open","BOSCHLTD.NS.High","BOSCHLTD.NS.Low","BOSCHLTD.NS.Close","BOSCHLTD.NS.Volume","BOSCHLTD.NS.Adjusted"
2015-06-15,20425,20528.3,20161,20339.4,18000,20125.32
2015-06-16,20339.4,20440,19900,20306.3,23700,20092.56
2015-06-17,20351,21180,20162.6,20848.3,35800,20628.86
2015-06-18,20850,21150,20557.2,21096,33100,20873.95
2015-06-19,21150,21251.4,20849.9,21108.2,31000,20886.02
2015-06-22,21290,21860,20500,21745.4,28300,21516.52
2015-06-23,21900,22222,21745.4,22062.9,32400,21830.67
2015-06-24,22200,22342,21800.1,21990.7,26900,21759.23
2015-06-25,21950,22166.8,21779.2,21914.1,29900,21683.44
2015-06-26,21915,22050,21703.8,21805,15500,21575.49
2015-06-29,21492,21850,21000.1,21698.3,18800,21469.91
2015-06-30,21940,22064,21701.1,21852.3,25500,21622.29
2015-07-01,21900,22237,21573,22039.3,22600,21807.32
2015-07-02,21910.1,23169.9,21910.1,23014.8,46700,22772.56
2015-07-03,23135,23500,22710.6,22988.3,37100,22746.33
2015-07-06,22501,23295,22428.8,23204.2,16900,22959.96
2015-07-07,23151,23280,22755,22927.5,21200,22686.17
2015-07-08,22820,22877.1,22500,22627.6,18200,22389.43
2015-07-09,22650.4,23050,22650.4,22847.7,16700,22607.21
2015-07-10,22901,23150,22760,23072.6,19800,22829.75
2015-07-13,23099,23600,22931.9,23497.2,22800,23249.88
2015-07-14,23499,23720,23228.2,23544.2,17600,23296.38
2015-07-15,23558,23650,23399,23449.4,13000,23202.58
2015-07-16,23375,23810,23375,23715.8,15500,23466.18
2015-07-17,23666,23835,23635.2,23758.3,10900,23508.23
2015-07-20,23879.7,23980,23715.1,23860.9,10700,23609.75
2015-07-21,23874.9,24091.9,23310,23528,11500,23280.35
2015-07-22,23479.8,23926.2,23399.9,23862.8,11500,23611.63
2015-07-23,23950,23950,23550.5,23625.3,14100,23376.63
2015-07-24,23625.3,23679,23105.4,23255.1,17300,23010.32
2015-07-27,23278.5,23568,22750,23097.9,14700,22854.78
2015-07-28,23146.2,23310,22854.9,23002.4,19200,22760.29
2015-07-29,23000,24199,22955.1,24072.2,30500,23818.82
2015-07-30,24218,24460,23831.7,24097.8,29900,23844.16
2015-07-31,24299,24908.1,24200,24669.7,19200,24410.03
2015-08-03,24669.7,25439.5,24669.7,25309.2,18700,25042.8
2015-08-04,25499,26096.9,24827.6,25965.4,34500,25692.1
2015-08-05,26000,26525,25805,26299.4,26900,26022.58
2015-08-06,26135,26699,26101.2,26397.7,17800,26119.85
2015-08-07,26500,26500,25880.2,26036.4,14800,25762.35
2015-08-10,26070,26349.8,25810.2,26027.3,10800,25753.35
2015-08-11,25947,26719.9,25384.9,26580.3,74200,26300.53
2015-08-12,26513,26540,25320,25491.3,25800,25222.99
2015-08-13,25669.8,25873.3,24749.9,24939.1,26100,24676.6
2015-08-14,25245,25500.9,24762.1,25387.3,19900,25120.08
2015-08-17,25400,25508.2,25102.1,25227.5,11500,24961.96
2015-08-18,25228,25474.5,24970,25393.3,15400,25126.02
2015-08-19,25350,25689,25100.1,25393.4,24900,25126.12
2015-08-20,25383.8,25383.8,24750,24820.8,21600,24642.03
2015-08-21,24661,24661,23790.9,24122.2,40500,23948.46
2015-08-24,23590.4,23600,21550.8,22558.1,52300,22395.63
2015-08-25,22720,23170,21601.8,22899.8,37300,22734.87
2015-08-26,22920,23123,22540.1,22703.3,26400,22539.78
2015-08-27,22990,23550,22811.3,23122.8,59500,22956.26
2015-08-28,23366,23832.8,23281.2,23670.3,38700,23499.82
2015-08-31,23699,23830.2,23105,23210.4,30100,23043.23
2015-09-01,23011.1,23247,22355.7,22763.2,29100,22599.25
2015-09-02,23188,23188,22321.2,22427.6,30000,22266.07
2015-09-03,22687,22687,22050,22157.8,24400,21998.21
2015-09-04,22150,22157.8,21580.1,21819.7,21000,21662.54
2015-09-07,21850,21850.2,20900,21155.8,19600,21003.43
2015-09-08,21102.1,21833.7,20741.1,21648.8,26800,21492.88
2015-09-09,21899,22239.9,21475,21634.6,39000,21478.78
2015-09-10,21300,22293,21010,21988.8,26200,21830.43
2015-09-11,22245,22444.8,21801.5,21931.6,17800,21773.64
2015-09-14,22100,22389.2,21845,22303.5,17300,22142.86
2015-09-15,22303.5,22350,21875,22110,19000,21950.75
2015-09-16,22149,22300,21580.1,21741.7,17100,21585.11
2015-09-17,21741.7,21741.7,21741.7,21741.7,0,21585.11
2015-09-18,21899,22363.9,21612,21879.4,38000,21721.82
2015-09-21,21639.9,21819.8,21400,21595.2,25100,21439.66
2015-09-22,21800,21899,20831,20908.6,44300,20758.01
2015-09-23,20700,20700,19925.1,20266.1,77300,20120.13
2015-09-24,20301.2,20623.8,20100,20306.8,34700,20160.54
2015-09-25,20306.8,20306.8,20306.8,20306.8,0,20160.54
2015-09-28,20430.5,20565.9,20001,20092.2,17700,19947.49
2015-09-29,19900,20377.9,19082.8,19558.5,80300,19417.63
2015-09-30,19499,19579.9,19190,19386.8,58000,19247.17
2015-10-01,19525,19649,19211.7,19306.4,34700,19167.35
2015-10-02,19306.4,19306.4,19306.4,19306.4,0,19167.35
2015-10-05,19400,20325,19400,20246.1,49900,20100.28
2015-10-06,20549.8,20948.8,20455,20708.5,42300,20559.35
2015-10-07,20894,21480,20650.1,21423.8,45600,21269.5
2015-10-08,21420,21498.9,21033,21367.2,25400,21213.3
2015-10-09,21388.7,21659.4,21201,21271.4,25600,21118.19
2015-10-12,21293,21350,21030.9,21105.1,10500,20953.09
2015-10-13,21146,21320,20834.7,21226.4,15900,21073.52
2015-10-14,21247.8,21330,21000,21185.9,12400,21033.31
2015-10-15,21195.5,21350,21075.1,21133.2,14200,20980.99
2015-10-16,21240,21279.5,20940,21050,20200,20898.39
2015-10-19,21111,21265,20926,21132.4,12200,20980.2
2015-10-20,21200,21630,20991.7,21562.6,21000,21407.3
2015-10-21,21566,21895,21566,21743.2,16900,21586.59
2015-10-22,21743.2,21743.2,21743.2,21743.2,0,21586.59
2015-10-23,21900,22049.9,21675,21743.4,18600,21586.79
2015-10-26,21804.9,21968,21450.6,21521.9,23700,21366.89
2015-10-27,21500,21780,21460.3,21624.3,16100,21468.55
2015-10-28,21575,21752.7,21012,21142.8,20800,20990.52
2015-10-29,21140.1,21307,21000,21067.4,20500,20915.66
2015-10-30,21067.4,21247.9,20398.8,20457.5,25800,20310.16
2015-11-02,20460.2,20635.8,20116,20521.8,11500,20373.99
2015-11-03,20632.1,20890,20600,20700.1,9900,20551.01
2015-11-04,20720.9,20840.1,20171.2,20264.2,12400,20118.25
2015-11-05,20254,20337.3,19840.5,19892.6,22500,19749.32
2015-11-06,19900,20185.1,19273,19365.2,45800,19225.72
2015-11-09,19001,19519.5,18966.9,19317.9,20600,19178.76
2015-11-10,19300,19317,19010,19102.7,15800,18965.11
2015-11-11,19102.7,19102.7,19102.7,19102.7,0,18965.11
2015-11-12,19102.7,19102.7,19102.7,19102.7,0,18965.11
2015-11-13,19140,19258.5,18764.1,18986.8,24100,18850.05
2015-11-16,19090,19276.4,18784.1,19157.6,18300,19019.62
2015-11-17,19340,19601,19206.9,19398.9,16800,19259.18
2015-11-18,19497,19592,19071.2,19135.5,26700,18997.68
2015-11-19,19225,19384.2,19081.2,19200,22200,19061.71
2015-11-20,19000,19419.9,18498.8,19049.7,61100,18912.49
2015-11-23,19101,19200,18900,19014.1,13600,18877.15
2015-11-24,18649,18699,18290.2,18435.8,60500,18303.02
2015-11-25,18435.8,18435.8,18435.8,18435.8,0,18303.02
2015-11-26,18400.1,18650,18112.8,18447.1,38400,18314.24
2015-11-27,18550,19000,18389.7,18863.1,36600,18727.24
2015-11-30,18898.8,19057.9,18550,18721.6,43400,18586.76
2015-12-01,18850,18900,18620,18692.1,33200,18557.47
2015-12-02,18602.2,18686.8,18440,18593.8,31000,18459.88
2015-12-03,18593,18629.9,18381,18493.7,18000,18360.5
2015-12-04,18493.5,18542.7,18319.3,18376.3,13000,18243.95
2015-12-07,18450,18670,18400,18496.1,12800,18362.88
2015-12-08,18500,18630,18405.8,18509.3,8900,18375.99
2015-12-09,18509.3,18535.9,18310.1,18342.1,13700,18209.99
2015-12-10,18400,18750,18330.3,18593.4,13000,18459.48
2015-12-11,18773.8,18773.8,18063.8,18221.9,14300,18090.66
2015-12-14,18348.8,18450,18005,18211.9,16000,18080.73
2015-12-15,18180,18900,18125.3,18840.4,27000,18704.7
2015-12-16,18900,19112,18640.3,18718.2,19300,18583.38
2015-12-17,18900,18980,18200,18341.4,27300,18209.3
2015-12-18,18301,18499,18155,18215.6,34000,18084.4
2015-12-21,18399.9,18399.9,18225,18287.4,11900,18155.69
2015-12-22,18380,18500,17873.1,18036,46200,17906.1
2015-12-23,18299,18299,18127.7,18217.4,9000,18086.19
2015-12-24,18210,18350,18140,18205.2,6100,18074.08
2015-12-25,18205.2,18205.2,18205.2,18205.2,0,18074.08
2015-12-28,18250,18450,18250,18410.7,12700,18278.1
2015-12-29,18439,18624.8,18370.4,18549.8,8600,18416.2
2015-12-30,18525,18699,18354.7,18574.1,11500,18440.32
2015-12-31,18580,18740.1,18550,18647.9,21300,18513.59
2016-01-01,18650,19300,18570,19199.1,19300,19060.82
2016-01-04,19199,19420,18740,18815.7,21200,18680.18
2016-01-05,18899.9,19030.8,18572,18632.7,18300,18498.5
2016-01-06,18602.1,18897.1,18569.9,18721.8,14900,18586.96
2016-01-07,18720,18720,18150,18306.9,21800,18175.05
2016-01-08,18401.7,18500,18150,18223.6,13200,18092.35
2016-01-11,18180,18290,17962.9,18108.4,10700,17977.98
2016-01-12,18200,18259.4,18020,18131.8,17000,18001.21
2016-01-13,18270,18303.2,17817,18001.8,26500,17872.14
2016-01-14,17930,18190.7,17632.7,18050.4,18400,17920.39
2016-01-15,18010,18197.1,17802.5,17867.5,64800,17738.81
2016-01-18,17868,18093,17700.1,17844,13900,17715.48
2016-01-19,17844,18090,17745.3,18010.9,34400,17881.18
2016-01-20,18000,18195,17666.6,17898.8,17600,17769.89
2016-01-21,18000,18107.8,17355.8,17475.6,20100,17349.73
2016-01-22,17600,17757.2,17230.9,17303.9,31800,17179.27
2016-01-25,17400.1,17572.1,17238.8,17485.8,7900,17359.86
2016-01-26,17485.8,17485.8,17485.8,17485.8,0,17359.86
2016-01-27,17540,17624.8,17240.1,17283.8,10800,17159.32
2016-01-28,17320,17447.9,16855,16956.1,16700,16833.97
2016-01-29,16991,17679.9,16991,17495.9,16900,17369.89
2016-02-01,17650,17788.9,17166,17188.4,12400,17064.6
2016-02-02,17250,17310,16957.8,17012.8,13200,16890.27
2016-02-03,16900,16962.8,16655.1,16744.4,9500,16623.8
2016-02-04,16800.1,17117,16710,16978.8,12800,16856.51
2016-02-05,17260,17650,15900,16089.1,107800,15973.22
2016-02-08,16280,16575,16150,16395.2,30900,16277.11
2016-02-09,16368,16451.2,16100.2,16354.3,11900,16236.51
2016-02-10,16305,16406,16170,16383.8,13800,16265.8
2016-02-11,16449,16449,16100.2,16250,21300,16132.96
