"Date","ICIL.NS.Open","ICIL.NS.High","ICIL.NS.Low","ICIL.NS.Close","ICIL.NS.Volume","ICIL.NS.Adjusted"
2015-10-19,895.8,920,895.65,909.5,136400,179.5
2015-10-20,915,986.5,915,932.55,472400,184.05
2015-10-21,944,966.05,913,934.65,265800,184.47
2015-10-22,934.65,934.65,934.65,934.65,0,184.47
2015-10-23,963,964.5,941.15,958.65,314300,189.21
2015-10-26,980,1005.1,930,936.65,334800,184.86
2015-10-27,940,952,911,945.05,112900,186.52
2015-10-28,945.05,959.9,936,950.35,101900,187.57
2015-10-29,947,955.1,928,938.8,125300,185.29
2015-10-30,940.15,948.35,909.9,918.3,107000,181.24
2015-11-02,934.8,945,883.35,903.7,473100,178.36
2015-11-03,902,925,885,918.5,147000,182.29
2015-11-04,934.4,934.4,902.2,920.6,122500,182.71
2015-11-05,935.8,935.8,901,912.9,81200,181.18
2015-11-06,903,915.45,903,910.5,59200,180.7
2015-11-09,900,922,884,920.85,183500,182.76
2015-11-10,927,927,905,907.25,134500,180.06
2015-11-11,907.25,907.25,907.25,907.25,0,180.06
2015-11-12,907.25,907.25,907.25,907.25,0,180.06
2015-11-13,925,925,905,917.85,66700,182.16
2015-11-16,924.95,950,914.95,946.8,202600,187.91
2015-11-17,953.65,975,941.3,948.35,179200,188.21
2015-11-18,925,955,922,925.75,88500,183.73
2015-11-19,939.7,951,933.85,942.4,640800,187.03
2015-11-20,955.9,960,935.1,939.95,144300,186.55
2015-11-23,957.65,975,945,949.95,576200,188.53
2015-11-24,959,960,940,951,442300,188.74
2015-11-25,951,951,951,951,0,188.74
2015-11-26,949.8,967.45,935.35,962.45,832800,191.01
2015-11-27,967,1004.9,958,964.8,444800,191.48
2015-11-30,975.5,1035,963.05,1019.75,877400,202.38
2015-12-01,1033.95,1050,990.5,1001.1,371800,198.68
2015-12-02,1010,1010.05,979,987.9,391800,196.06
2015-12-03,976.6,1028,970,986.5,399700,195.78
2015-12-04,984,995.9,965,980.8,236300,194.65
2015-12-07,980.05,1003,975,992.75,237100,197.03
2015-12-08,984,1004.9,983,997.85,203600,198.04
2015-12-09,983,998.8,968,988.45,230900,196.17
2015-12-10,981,1004.2,981,989.7,179400,196.42
2015-12-11,985.7,1000,982.85,997.35,144100,197.94
2015-12-14,987,1020,900,1000.8,119100,198.62
2015-12-15,998,1016,990.35,1008.25,87900,200.1
2015-12-16,1019.6,1019.6,1000,1007.1,83100,199.87
