"Date","IFCI.NS.Open","IFCI.NS.High","IFCI.NS.Low","IFCI.NS.Close","IFCI.NS.Volume","IFCI.NS.Adjusted"
2015-07-21,25.5,26,25.15,25.4,13559000,23.63
2015-07-22,25.25,25.55,25.2,25.45,3345800,23.68
2015-07-23,25.75,25.75,25.25,25.35,4616000,23.59
2015-07-24,25.25,25.7,25.2,25.35,6102400,23.59
2015-07-27,25.3,25.4,24.3,24.4,6583100,22.7
2015-07-28,24.5,24.55,24.15,24.4,4240200,22.7
2015-07-29,24.5,24.55,23.15,23.6,8144400,21.96
2015-07-30,23.7,24.55,23.5,24.15,6595300,22.47
2015-07-31,24.45,25.1,24.15,24.9,4907800,23.17
2015-08-03,24.95,25.9,24.8,25.3,6539400,23.54
2015-08-04,25.25,25.5,24.6,24.75,5254900,23.03
2015-08-05,24.9,25.4,24.75,24.8,4627400,23.08
2015-08-06,24.95,25.15,24.75,24.9,3325700,23.17
2015-08-07,24.85,25.05,24.45,24.5,3167400,22.8
2015-08-10,24.65,24.85,24.1,24.3,2708200,22.61
2015-08-11,24.35,25.2,24.05,24.7,13040700,22.98
2015-08-12,24.75,24.8,23.25,23.35,6757400,21.73
2015-08-13,23.5,23.75,22.4,22.65,6987600,21.07
2015-08-14,22.8,23.55,22.65,23.3,5625000,21.68
2015-08-17,23.4,23.75,23,23.4,4580800,21.77
2015-08-18,23.55,23.75,23.05,23.25,3799300,21.63
2015-08-19,23.25,23.25,22.65,22.8,3890600,21.21
2015-08-20,22.7,22.9,22.2,22.3,5129200,20.75
2015-08-21,22,22.2,21.5,21.7,6617900,20.19
2015-08-24,21,21.15,18.5,18.65,13389900,17.35
2015-08-25,18.9,19.8,18,19.6,12798600,18.24
2015-08-26,19.55,20.1,18.7,19.55,8765500,18.19
2015-08-27,19.85,20.15,19.5,20,13317400,18.61
2015-08-28,20.35,20.55,19.8,20,5748900,18.61
2015-08-31,20.05,20.2,19.75,19.95,4999600,18.56
2015-09-01,19.75,20.15,19.45,19.8,7302300,18.42
2015-09-02,20,20.05,19.2,19.35,4477800,18
2015-09-03,19.45,20.35,19.4,20.2,5743000,18.8
2015-09-04,20.15,20.15,18.4,19.3,10325900,17.96
2015-09-07,19.3,19.55,18.9,19.1,3394800,17.77
2015-09-08,19.3,20,19.2,19.8,4694200,18.42
2015-09-09,20.35,21.1,20.1,20.75,11513800,19.31
2015-09-10,20.05,20.95,19.6,20.6,8945600,19.17
2015-09-11,20.15,20.6,20.05,20.3,6271100,19.36
2015-09-14,20.3,20.75,20,20.5,3847900,19.55
2015-09-15,20.25,21.05,20.2,20.7,6808400,19.74
2015-09-16,21.1,21.3,20.55,20.75,10075100,19.79
2015-09-17,20.75,20.75,20.75,20.75,0,19.79
2015-09-18,20.9,21.5,20.8,21.2,9658900,20.22
2015-09-21,21.1,22.4,20.85,22.25,9623200,21.22
2015-09-22,22.6,22.75,21.15,21.45,8121300,20.45
2015-09-23,21.05,21.95,20.85,21.8,6041100,20.79
2015-09-24,21.65,22.1,21.6,21.75,7376300,20.74
2015-09-25,21.75,21.75,21.75,21.75,0,20.74
2015-09-28,21.85,22.45,21.45,21.95,7547700,20.93
2015-09-29,21.55,22.25,21.05,21.65,9459900,20.65
2015-09-30,21.7,22.05,21.5,21.6,6373800,20.6
2015-10-01,21.8,22.05,21,21.15,6719900,20.17
2015-10-02,21.15,21.15,21.15,21.15,0,20.17
2015-10-05,21.35,21.8,21.05,21.4,6179900,20.41
2015-10-06,21.55,21.65,21.15,21.35,4922000,20.36
2015-10-07,21.35,22.05,21.3,21.9,9842700,20.88
2015-10-08,21.95,22.5,21.6,21.7,7120900,20.69
2015-10-09,22.3,22.65,21.75,22,8505200,20.98
2015-10-12,22.25,22.4,21.8,21.9,5040700,20.88
2015-10-13,21.9,24.05,21.85,24,24677500,22.89
2015-10-14,24.6,24.6,23.25,23.4,12316400,22.31
2015-10-15,23.65,25.4,23.55,24.75,20519000,23.6
2015-10-16,24.85,25.65,24.3,25.05,16892200,23.89
2015-10-19,25.1,29.55,25.1,29.05,67188200,27.7
2015-10-20,29.4,29.45,27.45,28.55,29904200,27.23
2015-10-21,28.75,29.95,28.1,28.8,29376600,27.46
2015-10-22,28.8,28.8,28.8,28.8,0,27.46
2015-10-23,29.1,29.45,27.55,27.8,16832500,26.51
2015-10-26,27.8,28.6,27.2,27.4,13295300,26.13
2015-10-27,27.35,28,27.2,27.55,11373100,26.27
2015-10-28,27.5,29.45,27.4,28.4,30909100,27.08
