"Date","KSCL.NS.Open","KSCL.NS.High","KSCL.NS.Low","KSCL.NS.Close","KSCL.NS.Volume","KSCL.NS.Adjusted"
2015-11-03,480.2,483,466.25,474.05,328400,474.05
2015-11-04,477,479,460.4,464.65,238900,464.65
2015-11-05,464.7,468.7,444.1,451.1,417700,451.1
2015-11-06,455,455,434,439.5,247600,439.5
2015-11-09,430,456,427,452.95,224400,452.95
2015-11-10,451,466.9,444,462.45,248800,462.45
2015-11-11,462.45,462.45,462.45,462.45,0,462.45
2015-11-12,462.45,462.45,462.45,462.45,0,462.45
2015-11-13,448.85,452,425,434,1217400,434
2015-11-16,416.1,432.9,368.9,387.95,1806700,387.95
2015-11-17,397,426.7,390.4,418.25,2976900,418.25
2015-11-18,420,424.3,404.55,412.6,1621800,412.6
2015-11-19,420.7,423.5,409.9,412.2,779700,412.2
2015-11-20,414.8,419.8,407.05,416.95,386300,416.95
2015-11-23,419,432.95,418,430.25,696400,430.25
2015-11-24,431,440.1,424.3,427.75,651800,427.75
2015-11-25,427.75,427.75,427.75,427.75,0,427.75
2015-11-26,432,434,408.4,422.6,1600500,422.6
2015-11-27,426.6,431.6,424,428.1,284200,428.1
2015-11-30,426.2,429.9,418.05,423.7,374100,423.7
2015-12-01,425.9,426.05,415.1,417.15,221500,417.15
2015-12-02,419.35,430.45,417,421.45,360100,421.45
2015-12-03,417.7,424.25,415.1,416.15,213000,416.15
2015-12-04,416.15,417.95,402.2,406,365100,406
2015-12-07,409.95,414.4,408,409.85,196700,409.85
2015-12-08,408,412.5,394.25,397.15,253700,397.15
2015-12-09,396.55,401.35,380,382.75,287400,382.75
2015-12-10,382,387.9,366.9,371.05,460000,371.05
2015-12-11,371.5,379,368,369.85,367300,369.85
2015-12-14,376,398.7,376,387.75,972000,387.75
2015-12-15,390.65,391.75,378.3,383.35,271100,383.35
2015-12-16,386,389.5,378,379.85,2e+05,379.85
2015-12-17,382.2,386.9,379.4,381.95,278000,381.95
2015-12-18,381,393.85,381,386.35,622200,386.35
2015-12-21,389,389.5,348.1,353.15,2958400,353.15
2015-12-22,357.4,363.25,345.1,348.15,1832600,348.15
2015-12-23,354,354,340,342.7,2036700,342.7
2015-12-24,339.2,349.9,339.2,346.9,842800,346.9
2015-12-25,346.9,346.9,346.9,346.9,0,346.9
2015-12-28,338,371.7,323.5,368.95,4858600,368.95
2015-12-29,362.75,374.9,344.9,349.25,3463800,349.25
2015-12-30,351.5,355,303.65,317.95,6846100,317.95
2015-12-31,315,354.9,314,350.75,11240900,350.75
2016-01-01,355.5,363.4,351,357,3249300,357
2016-01-04,355,371.45,347.25,367.6,2993400,367.6
2016-01-05,368,390.95,360.7,387.35,3262100,387.35
2016-01-06,387,395.8,378.5,384.85,2371500,384.85
2016-01-07,379.4,381,365.5,368.95,1083800,368.95
2016-01-08,372.95,378.5,366.8,374.5,796500,374.5
2016-01-11,369,372.7,357.9,361.65,699700,361.65
2016-01-12,362.25,368,359.2,361.75,630200,361.75
2016-01-13,365.4,368.9,338.4,350.25,854000,350.25
2016-01-14,345,353.8,340.2,345.9,493500,345.9
2016-01-15,348,351.8,320,324.45,441200,324.45
2016-01-18,325,329.7,300,315.75,733300,315.75
2016-01-19,317,338.45,317,334.6,677900,334.6
2016-01-20,330,340.7,322.8,335.95,850300,335.95
2016-01-21,344.8,346.45,329.9,332.15,610100,332.15
2016-01-22,339,341.95,325.75,331.1,610000,331.1
2016-01-25,334.5,340,328.05,330.9,352100,330.9
2016-01-26,330.9,330.9,330.9,330.9,0,330.9
2016-01-27,334.2,339,323.5,326.3,434600,326.3
2016-01-28,329.2,331.1,322,324.45,780300,324.45
2016-01-29,315,327,308.85,323.25,533900,323.25
2016-02-01,326.6,367.4,324.4,362.85,1872600,362.85
2016-02-02,360,377,359.1,367.55,1328200,367.55
2016-02-03,364.6,364.6,345,350.65,792300,350.65
2016-02-04,352.4,364.5,326.75,333.55,1854100,333.55
2016-02-05,334,354.35,331,348.75,1138700,348.75
2016-02-08,353.9,365.6,342.55,360.6,796700,360.6
2016-02-09,355,373.95,352.05,362.65,899700,362.65
2016-02-10,361.75,363.9,347.5,353.6,441200,353.6
2016-02-11,351.5,357,347.1,350.2,787700,350.2
2016-02-12,351.95,352.3,331,340.75,574100,340.75
2016-02-15,346.4,358,344,352.5,412200,352.5
2016-02-16,360,360,349.2,350.95,369100,350.95
2016-02-17,351,352.1,336.75,342.85,417500,342.85
2016-02-18,347.5,355.8,344,348.5,340100,348.5
2016-02-19,348.5,359.2,348.5,354.7,476100,354.7
2016-02-22,356.45,375,356.1,372.3,847200,372.3
2016-02-23,374,375.7,358.2,363,661200,363
2016-02-24,364,370.5,358,365.9,380800,365.9
2016-02-25,365.45,371,336.2,339.55,983600,339.55
2016-02-26,345.8,352,334.1,336.5,491100,336.5
2016-02-29,338.5,354.9,338,351.7,666200,351.7
2016-03-01,354.3,363,352,360.55,680400,360.55
2016-03-02,364,369.65,359.25,363,470000,363
2016-03-03,364.4,365.75,354,356.45,490100,356.45
2016-03-04,358.4,408.4,358,389.6,3521600,389.6
2016-03-07,389.6,389.6,389.6,389.6,0,389.6
2016-03-08,391,410.7,390.9,398.55,1447300,398.55
2016-03-09,395.95,408.3,391.55,397.35,1079400,397.35
2016-03-10,402,416.5,394.5,399.55,2192700,399.55
2016-03-11,398.9,404,391.7,393.6,667200,393.6
2016-03-14,395.7,403.6,395.3,398.3,415100,398.3
2016-03-15,398.4,398.6,383.3,390.55,529300,390.55
2016-03-16,394.4,394.5,384.5,388.2,326900,388.2
2016-03-17,393.75,397,385.25,388.25,350300,388.25
2016-03-18,389.2,406.5,388,403.85,1064700,403.85
2016-03-21,407.75,414.4,403.85,405.8,869400,405.8
2016-03-22,406.9,412.35,397.6,401.65,572100,401.65
2016-03-23,399.9,411.7,370,378.75,2416300,378.75
2016-03-24,378.75,378.75,378.75,378.75,0,378.75
2016-03-25,378.75,378.75,378.75,378.75,0,378.75
2016-03-28,379.8,386.9,364.55,375.45,900800,375.45
2016-03-29,377.75,384,373.15,378.2,677900,378.2
2016-03-30,381,382.7,370,372.35,784600,372.35
2016-03-31,369.85,380,366.6,377.6,1152600,377.6
2016-04-01,377,382.5,372.3,379.9,528900,379.9
2016-04-04,380,395.85,379.9,386.45,763800,386.45
2016-04-05,383.4,389.3,372.35,376.9,568700,376.9
2016-04-06,376.6,382,369.8,377,633900,377
2016-04-07,379.1,389,370.5,376.55,690200,376.55
2016-04-08,374.25,378,373,375,325100,375
2016-04-11,376,379.45,350.4,368.45,774300,368.45
2016-04-12,372.4,386.75,371,380.55,818800,380.55
2016-04-13,395,407.9,393,401.2,1614500,401.2
2016-04-14,401.2,401.2,401.2,401.2,0,401.2
2016-04-15,401.2,401.2,401.2,401.2,0,401.2
2016-04-18,404.15,419,401,408.6,947200,408.6
2016-04-19,408.6,408.6,408.6,408.6,0,408.6
2016-04-20,412.5,418.8,408.15,409.35,699700,409.35
2016-04-21,414.8,428.5,411.95,419.95,1217800,419.95
2016-04-22,422,424,413.25,415.7,602600,415.7
2016-04-25,419.8,421.1,402.1,403.8,721400,403.8
2016-04-26,404,406.8,398.3,401.4,613400,401.4
2016-04-27,404.3,405,395.65,398.35,544800,398.35
2016-04-28,399.8,409,390,398.7,673900,398.7
2016-04-29,402.7,404.7,393.65,395.45,385800,395.45
2016-05-02,394,412.9,389.3,408.65,659200,408.65
2016-05-03,411.5,413.65,399.7,401.45,522700,401.45
2016-05-04,400.65,406.05,393,394.95,361500,394.95
2016-05-05,397.65,409,388.7,397.1,543100,397.1
2016-05-06,391.05,395,385,392.05,438100,392.05
2016-05-09,396,396.4,381.05,384.9,685000,384.9
2016-05-10,386,408.8,380,404.25,2539700,404.25
2016-05-11,398.5,413.85,397,409.6,1220600,409.6
2016-05-12,405.35,413,401.25,404.75,521600,404.75
2016-05-13,403,415,384.55,407.85,601300,407.85
