"Date","COALINDIA.NS.Open","COALINDIA.NS.High","COALINDIA.NS.Low","COALINDIA.NS.Close","COALINDIA.NS.Volume","COALINDIA.NS.Adjusted"
2015-12-30,322,324.95,320.3,322.1,2583800,276.97
2015-12-31,323,332,323,329.8,4739200,283.59
2016-01-01,330,335,325.3,334.05,1001000,287.25
2016-01-04,332.95,337.1,327.5,330.2,1402200,283.94
2016-01-05,332.9,332.9,324.3,325.8,3789700,280.15
2016-01-06,325.2,331,324.5,327.9,3950900,281.96
2016-01-07,326.8,329.75,324.25,326.4,2845000,280.67
2016-01-08,328,329.5,317,321.1,3587500,276.11
2016-01-11,319,319,311,315.95,3136000,271.68
2016-01-12,315.95,317.7,312.2,316,2704400,271.73
2016-01-13,318,320.5,313.4,317.3,1860700,272.84
2016-01-14,314.15,321.85,310.6,318.65,1469400,274.01
2016-01-15,319.9,321,317.2,318.55,1925200,273.92
2016-01-18,315.5,323.1,309.4,310.85,1736400,267.3
2016-01-19,311.1,312,302,308.85,3268300,265.58
2016-01-20,305.8,316.55,292,298.15,3609900,256.38
2016-01-21,302.1,302.15,286.5,288.2,4600400,247.82
2016-01-22,291,302.6,289.2,299.45,8008900,257.5
2016-01-25,302,306.3,299.45,304.9,3162400,262.18
2016-01-26,304.9,304.9,304.9,304.9,0,262.18
2016-01-27,304.7,305.5,298.1,304.05,3860500,261.45
2016-01-28,302.5,313.75,301.1,306.6,8121500,263.64
2016-01-29,305.95,324.5,305.1,319.95,4782000,275.12
2016-02-01,321.7,330,311.65,328.55,3208300,282.52
2016-02-02,327.5,332.6,316.5,318.95,3045600,274.26
2016-02-03,317,324.3,314.8,317.25,4106100,272.8
2016-02-04,317.95,323.4,317.85,322.5,3572500,277.32
2016-02-05,323.4,337.2,318,326.25,6271700,280.54
2016-02-08,327,329.75,321.8,323.35,2378700,278.05
2016-02-09,320.4,323,308.05,309.25,3673300,265.92
2016-02-10,305.1,316.25,302.1,313.75,3126000,269.79
2016-02-11,311.9,313.75,295.75,305.1,4387900,262.35
2016-02-12,309.1,311.1,300.5,302.85,4767100,260.42
2016-02-15,307.55,330.75,306.4,324.25,5228800,278.82
2016-02-16,326,326.7,313.5,317.9,2434900,273.36
2016-02-17,318.05,319,306.5,312.8,2497100,268.97
2016-02-18,314.8,319.1,314,317.6,1809800,273.1
2016-02-19,316,316.95,310.1,312.25,3183900,268.5
2016-02-22,312.6,316,310.2,313.9,2820100,269.92
2016-02-23,313.9,314,299.7,301.1,3468600,258.91
2016-02-24,300.95,300.95,292.7,295.25,2928400,253.88
2016-02-25,296,307.9,295.2,299.4,14688900,257.45
2016-02-26,302.05,312.85,301.5,311.45,6359600,267.81
2016-02-29,317,317.7,306.25,311,6433600,267.43
