"Date","ULTRACEMCO.NS.Open","ULTRACEMCO.NS.High","ULTRACEMCO.NS.Low","ULTRACEMCO.NS.Close","ULTRACEMCO.NS.Volume","ULTRACEMCO.NS.Adjusted"
2016-05-10,3161.9,3187.45,3136.95,3165.75,179000,3156.97
2016-05-11,3151,3223.65,3116.35,3199.1,242600,3190.22
2016-05-12,3199,3232.9,3196.45,3227.6,173400,3218.65
2016-05-13,3201,3223.1,3135,3151.65,157300,3142.91
2016-05-16,3160.15,3180,3145.1,3171.7,137400,3162.9
2016-05-17,3180.25,3269.5,3180.25,3252.75,329100,3243.73
2016-05-18,3268,3268,3210.25,3223.6,219100,3214.66
2016-05-19,3218,3223.45,3176,3189.5,132000,3180.65
2016-05-20,3189.25,3203.05,3121.05,3134,126000,3125.3
2016-05-23,3136.4,3156.6,3110.1,3122.4,127900,3113.74
2016-05-24,3120.1,3181.45,3110.3,3174.45,121400,3165.64
2016-05-25,3195.1,3212.05,3181.25,3209.45,289000,3200.55
2016-05-26,3209.45,3229,3195.1,3213.65,319100,3204.73
2016-05-27,3216,3255,3216,3248.3,234500,3239.29
2016-05-30,3257.1,3257.1,3192.05,3212.2,177100,3203.29
2016-05-31,3222,3249.6,3206.75,3226.7,237500,3217.75
2016-06-01,3226.7,3259.75,3207.85,3228.25,124000,3219.29
2016-06-02,3230,3244.8,3206.5,3232.95,100200,3223.98
2016-06-03,3235,3254.65,3183.3,3189.25,169100,3180.4
2016-06-06,3189.5,3244,3189.5,3227.3,153300,3218.35
2016-06-07,3230,3341.7,3230,3334.95,410200,3325.7
2016-06-08,3348.7,3392,3345,3371.35,296000,3362
2016-06-09,3380,3400,3365,3379.7,342000,3370.32
2016-06-10,3365,3395.75,3327.75,3384.65,247200,3375.26
2016-06-13,3365,3405.9,3328.2,3397.9,192800,3388.47
2016-06-14,3401.45,3408,3311.1,3321.9,115300,3312.68
2016-06-15,3327,3374,3306.2,3363.75,187800,3354.42
2016-06-16,3343.3,3353,3261,3281.85,320200,3272.74
2016-06-17,3314,3323.9,3276.75,3303.05,143900,3293.89
2016-06-20,3283.45,3375,3270.5,3369.55,160800,3360.2
2016-06-21,3373,3373,3325.9,3357.6,96500,3348.28
2016-06-22,3369.95,3369.95,3300.05,3311.2,186700,3302.01
2016-06-23,3318.9,3349.4,3300,3337.95,306600,3328.69
2016-06-24,3270,3333.4,3200,3289.95,160000,3280.82
2016-06-27,3289.95,3404.65,3289.95,3396,230700,3386.58
2016-06-28,3410,3438,3390,3400.8,219500,3391.36
2016-06-29,3411,3419.95,3370.1,3395.25,276700,3385.83
2016-06-30,3410,3419.9,3390,3411,438100,3401.54
2016-07-01,3410,3485,3395,3424.1,248900,3414.6
2016-07-04,3430,3475,3402.2,3409.15,186100,3409.15
2016-07-05,3450,3465,3361,3375.15,360000,3375.15
2016-07-06,3375.15,3375.15,3375.15,3375.15,0,3375.15
2016-07-07,3366.1,3419,3346.35,3382.4,203100,3382.4
