"Date","GLENMARK.NS.Open","GLENMARK.NS.High","GLENMARK.NS.Low","GLENMARK.NS.Close","GLENMARK.NS.Volume","GLENMARK.NS.Adjusted"
2015-06-15,890,895,880.5,889.4,760200,885.5472
2015-06-16,893,931,890.5,922.7,1391000,918.703
2015-06-17,939,989.7,929,968.6,3064600,964.4041
2015-06-18,970.95,1001.3,949.75,989.15,2055600,984.8651
2015-06-19,990.1,1004,971.75,988.3,2022900,984.0188
2015-06-22,980.35,989,976.1,982.55,596300,978.2937
2015-06-23,989,1016.2,983,998.5,1025500,994.1746
2015-06-24,999,1003.5,973.05,978.8,746600,974.5599
2015-06-25,971,990,971,984.7,971500,980.4344
2015-06-26,982.8,997.45,965.4,982.55,698200,978.2937
2015-06-29,941.1,977,941.1,974.4,478300,970.179
2015-06-30,991,1000,985.25,994.15,1349300,989.8435
2015-07-01,1003.15,1021.4,995,1018.1,1137600,1013.6897
2015-07-02,1025.9,1033.7,1011.25,1019.45,939400,1015.0339
2015-07-03,1019.4,1032,1011.4,1019.25,366400,1014.8347
2015-07-06,1000,1023.05,997.2,1019,661900,1014.5858
2015-07-07,1023,1025,1011.75,1017.35,521300,1012.9429
2015-07-08,1010.95,1024.25,987.5,1018.7,1058300,1014.2871
2015-07-09,1021,1051.7,1017.25,1037.15,1547200,1032.6572
2015-07-10,1041.4,1043.1,1022,1028.8,1007300,1024.3434
2015-07-13,1041.1,1044.7,1031.4,1039.25,758700,1034.7481
2015-07-14,1039.5,1061,1033.2,1053.85,1323000,1049.2848
2015-07-15,1055.25,1078,1050,1074.9,901700,1070.2437
2015-07-16,1080.3,1099.9,1069.25,1090.4,738100,1085.6765
2015-07-17,1100,1101.7,1085,1091.45,507000,1086.7219
2015-07-20,1093,1095.05,1076.7,1082.05,433400,1077.3627
2015-07-21,1080,1085,1038.25,1052.35,896000,1047.7913
2015-07-22,1050,1065,1036.3,1057.95,607000,1053.367
2015-07-23,1062,1067.95,1046.25,1052.5,425200,1047.9407
2015-07-24,1056.6,1065,1032.2,1050.5,1073800,1045.9494
2015-07-27,1050,1050,1031,1036.4,407600,1031.9105
2015-07-28,1024.85,1025,982.75,991.15,1060000,986.8565
2015-07-29,988.7,988.7,928.5,950.7,2255800,946.5817
2015-07-30,955,979,938,956.55,1548700,952.4063
2015-07-31,970.1,1023,970.1,1011.9,1499400,1007.5166
2015-08-03,1009.45,1020,981.4,989.75,1215300,985.4625
2015-08-04,998,1000.1,975,992.85,893000,988.5491
2015-08-05,996.7,1038,995.1,1032,777400,1027.5295
2015-08-06,1035.5,1047,1022.45,1044.55,606900,1040.0252
2015-08-07,1045.2,1049.7,994.6,1008.45,1004500,1004.0815
2015-08-10,1013.5,1063.9,1013.05,1052.45,893600,1047.8909
2015-08-11,1058.3,1065,1046.4,1059.85,555700,1055.2588
2015-08-12,1043.25,1064.85,1027,1034.3,483100,1029.8196
2015-08-13,1042,1065.95,1027.5,1059.35,858000,1054.761
2015-08-14,1090,1184.4,1090,1134.35,3793300,1129.4361
2015-08-17,1137.9,1140,1118.45,1129.25,1752400,1124.3582
2015-08-18,1129.75,1167.4,1119,1159.4,1409600,1154.3776
2015-08-19,1171,1227.7,1162.85,1200.1,2088400,1194.9013
2015-08-20,1204,1242.55,1200.1,1221.35,2459500,1216.0592
2015-08-21,1213.5,1262.9,1172.95,1226.8,2010400,1221.4857
2015-08-24,1158.9,1209,1109,1124.35,2553100,1119.4794
2015-08-25,1167,1234.9,1074.45,1187.45,2426100,1182.3061
2015-08-26,1187,1205.2,1156.4,1197.15,1854800,1191.9641
2015-08-27,1224,1224.5,1178.5,1194.5,2161900,1189.3256
2015-08-28,1205,1210,1158.25,1174.75,2748700,1169.6611
2015-08-31,1182.25,1204.45,1125.25,1154.8,14688700,1149.7976
2015-09-01,1118,1157.8,1105.65,1124.5,1614500,1119.6288
2015-09-02,1125.65,1133.6,1072.1,1079.55,1542700,1074.8736
2015-09-03,1090,1095.55,1041,1062.1,1278200,1057.4991
2015-09-04,1085,1088.45,998.65,1026.3,2101200,1021.8542
2015-09-07,1035,1050,995,1000.4,761400,996.0664
2015-09-08,1001,1014.45,970.1,1006,1045700,1001.6421
2015-09-09,1027.4,1045.85,1006.05,1017.35,659700,1012.9429
2015-09-10,995,1014,975,1000.3,706800,997.9286
2015-09-11,1008,1018.55,993.1,1002.65,567300,1000.2731
2015-09-14,1006.5,1034,1001.7,1030.8,524400,1028.3564
2015-09-15,1034,1040.05,1005.3,1013.3,400300,1010.8978
2015-09-16,1025.75,1031.4,1012.1,1018.6,431200,1016.1852
2015-09-17,1018.6,1018.6,1018.6,1018.6,0,1016.1852
2015-09-18,1030.95,1030.95,1001.1,1016.45,940900,1014.0404
2015-09-21,1009.9,1028,1001,1022.85,280000,1020.4252
2015-09-22,1032,1045.3,1007.7,1015.75,1426300,1013.342
2015-09-23,1012,1017.4,989.9,1009.65,559200,1007.2565
2015-09-24,1021.7,1021.7,1001.7,1005.8,894600,1003.4156
2015-09-25,1005.8,1005.8,1005.8,1005.8,0,1003.4156
2015-09-28,1012,1015.5,995,998.55,371500,996.1828
2015-09-29,991.25,1019.95,972,1007.35,1020900,1004.9619
2015-09-30,1015.2,1053.85,1007.35,1049.2,1287300,1046.7127
2015-10-01,1067.5,1073,1034.15,1037.05,978700,1034.5916
2015-10-02,1037.05,1037.05,1037.05,1037.05,0,1034.5916
2015-10-05,1045,1059.95,1045,1053.1,558500,1050.6034
2015-10-06,1056.5,1074.9,1046.6,1056.95,699300,1054.4443
2015-10-07,1063.9,1065.95,1028,1033.6,726100,1031.1497
2015-10-08,1025,1029,985.35,990.4,1289500,988.0521
2015-10-09,1001,1020,1000,1016.2,564900,1013.791
2015-10-12,1027.5,1042,1015.2,1036.4,815300,1033.9431
2015-10-13,1037,1044.75,1010.15,1024.1,931100,1021.6722
2015-10-14,1022.85,1022.85,1005,1014.3,369600,1011.8954
2015-10-15,1020.9,1029,1010.55,1012.6,734100,1010.1994
2015-10-16,1018.9,1024.9,1008.1,1020,450200,1017.5819
2015-10-19,1020,1044,1014,1039.8,918800,1037.335
2015-10-20,1042.1,1047.95,1028.25,1031.75,432000,1029.3041
2015-10-21,1029,1036.7,1015.2,1018.05,463200,1015.6365
2015-10-22,1018.05,1018.05,1018.05,1018.05,0,1015.6365
2015-10-23,1026.3,1045.5,1024,1028.55,905200,1026.1117
2015-10-26,1033.35,1035.1,1001,1007.1,543600,1004.7125
2015-10-27,1007.5,1016.6,995,1005,438600,1002.6175
2015-10-28,1004.8,1012.5,982.4,986,978000,983.6625
2015-10-29,993,995.65,927.5,942.75,2232800,940.5151
2015-10-30,974.4,1001.95,967.35,991.5,2276000,989.1495
2015-11-02,996.5,1000,970.45,984,528100,981.6673
2015-11-03,995,995,978,979.9,580500,977.577
2015-11-04,983,994.65,980.2,986.95,824600,984.6103
2015-11-05,986.5,986.5,962,966.3,534100,964.0092
2015-11-06,974.85,980,950.3,962.05,723500,959.7693
2015-11-09,940,967,933.55,962.95,878800,960.6672
2015-11-10,964.1,972,943.25,948.5,331500,946.2514
2015-11-11,948.5,948.5,948.5,948.5,0,946.2514
2015-11-12,948.5,948.5,948.5,948.5,0,946.2514
2015-11-13,940.3,949.5,922.5,939.55,676900,937.3226
2015-11-16,939.8,969,938.95,964.4,551800,962.1138
2015-11-17,970.3,978.25,961.2,972.65,570100,970.3442
2015-11-18,966.05,984.2,966.05,980,760700,977.6768
2015-11-19,985.3,992.3,971.5,976.35,483000,974.0354
2015-11-20,977,980.95,960,967.45,505800,965.1565
2015-11-23,968,973,960,965.7,218300,963.4107
2015-11-24,968,978.3,961,965.4,269800,963.1114
2015-11-25,965.4,965.4,965.4,965.4,0,963.1114
2015-11-26,966,971.3,945,952.75,1757300,950.4914
2015-11-27,950.55,962,946.9,950.75,596300,948.4961
2015-11-30,952.5,985,950.65,981.5,1085800,979.1732
2015-12-01,988.95,995.95,981.4,983.45,965500,981.1186
2015-12-02,989.95,989.95,973.5,979.25,392100,976.9285
2015-12-03,975,978.9,954.65,958,483600,955.7289
2015-12-04,948,971.1,948,954.8,440800,952.5365
2015-12-07,955.4,969.2,954,956.1,387800,953.8334
2015-12-08,955.1,961.45,928,929.7,635900,927.496
2015-12-09,924.95,924.95,876.1,882.4,2287400,880.3082
2015-12-10,883,892.45,858,863.8,976300,861.7522
2015-12-11,873,883.55,855.5,867.65,618300,865.5931
2015-12-14,860,875.2,848.2,853.65,837500,851.6263
2015-12-15,854.1,867.8,853.1,861.6,586700,859.5574
2015-12-16,869.45,880.5,865.3,868.45,403400,866.3912
2015-12-17,877.9,897,871.5,894.15,500400,892.0303
2015-12-18,893,922.25,886,912.8,1002200,910.6361
2015-12-21,907,933.75,907,929.25,752500,927.0471
2015-12-22,927,950.95,923.4,938.1,712900,935.8761
2015-12-23,949.9,951.2,940,946.65,438300,944.4058
2015-12-24,950.1,957.15,923,927.25,399700,925.0518
2015-12-25,927.25,927.25,927.25,927.25,0,925.0518
2015-12-28,927.5,933.35,916.2,923.95,646500,921.7596
2015-12-29,930,937.65,925.05,933.7,458500,931.4865
2015-12-30,936,937,924,928.05,247800,925.8499
2015-12-31,926.1,931.95,919.1,921.9,409600,919.7145
2016-01-01,921.9,927.95,921.05,923.75,112000,921.5601
2016-01-04,926.8,948.95,920.55,930.55,574300,928.344
2016-01-05,939.9,943.25,929.95,935.05,488000,932.8333
2016-01-06,930.05,954,901.5,906.95,1068800,904.7999
2016-01-07,895,898.9,861,866.25,1052600,864.1964
2016-01-08,867.05,882,855,858.7,1375800,856.6643
2016-01-11,847.25,861.65,837.35,842.45,724900,840.4529
2016-01-12,845.7,858,844.5,849.35,734400,847.3365
2016-01-13,855,876.5,850.1,871.6,884900,869.5337
2016-01-14,851.5,874,851.5,865.85,637300,863.7973
2016-01-15,872,874.05,825,830.9,645000,828.9302
2016-01-18,828.9,828.9,760.75,764.35,791600,762.538
2016-01-19,777,797.9,750.45,783.6,801200,781.7423
2016-01-20,774,792,765.2,786.45,690100,784.5856
2016-01-21,800,800,735.2,740.15,1563900,738.3954
2016-01-22,755,760.65,740.8,752.5,1173900,750.7161
2016-01-25,764.6,779.1,750.1,754.3,1016500,752.5118
2016-01-26,754.3,754.3,754.3,754.3,0,752.5118
2016-01-27,760,765.75,733.8,737.8,1009400,736.0509
2016-01-28,740.85,759,736,750.65,1342100,748.8705
2016-01-29,745,779.15,727.7,771.35,1700900,769.5214
2016-02-01,782,806.8,774.5,796,1169000,794.113
2016-02-02,798.1,799.65,747.8,754.35,1094000,752.5617
2016-02-03,753.7,761.6,741,744.75,608100,742.9845
