"Date","HDIL.NS.Open","HDIL.NS.High","HDIL.NS.Low","HDIL.NS.Close","HDIL.NS.Volume","HDIL.NS.Adjusted"
2015-12-14,61.9,64,61.25,62.2,8762000,62.2
2015-12-15,62.75,63.5,62.1,62.8,6551300,62.8
2015-12-16,63.55,65.65,63.05,63.7,11694000,63.7
2015-12-17,64.35,67.05,64,66.25,9859400,66.25
2015-12-18,66.05,67.6,65.75,66.35,9219800,66.35
2015-12-21,66.5,72,66.3,70.4,13210800,70.4
2015-12-22,73,74.4,72.2,72.9,21904100,72.9
2015-12-23,73.4,73.95,72.3,73.2,9827000,73.2
2015-12-24,73.4,73.65,71.7,72.9,8880500,72.9
2015-12-25,72.9,72.9,72.9,72.9,0,72.9
2015-12-28,73.3,74.25,72.7,73.9,6870600,73.9
2015-12-29,74,74.35,72.2,72.85,6964000,72.85
2015-12-30,73.2,73.8,72.5,72.95,5422200,72.95
2015-12-31,73.35,78.35,72.65,77.9,16227900,77.9
2016-01-01,78.25,79.35,77.25,78.35,9732300,78.35
2016-01-04,78.45,80.95,75.15,76.3,16283400,76.3
2016-01-05,76.95,81.75,76.35,80.55,15932600,80.55
2016-01-06,80.45,81.25,77.7,78.35,13437600,78.35
2016-01-07,76,76.4,72.3,72.95,13327000,72.95
2016-01-08,73.4,78.75,73.4,77.2,16245500,77.2
2016-01-11,75,82.4,73.65,81.35,20572200,81.35
2016-01-12,81.55,81.95,77.05,78.95,13930000,78.95
2016-01-13,80.4,81.15,74.6,79,20752500,79
2016-01-14,76.2,79.8,75.4,76.65,13435600,76.65
2016-01-15,77.6,78.1,68.4,70.3,13400900,70.3
2016-01-18,69.5,71,65.15,65.95,13737500,65.95
2016-01-19,67,69.9,64.85,68.3,12563300,68.3
2016-01-20,65.7,66.8,62.55,65.45,13208800,65.45
2016-01-21,67.7,67.8,64.25,67.05,13572200,67.05
2016-01-22,68.6,73.15,68.25,72.2,13544000,72.2
2016-01-25,72.6,73.35,70.1,71.15,8631600,71.15
2016-01-26,71.15,71.15,71.15,71.15,0,71.15
2016-01-27,71.8,73.55,70.7,71.95,8773500,71.95
2016-01-28,72.45,72.45,70.1,70.95,7297300,70.95
2016-01-29,71.55,74.4,69.8,73.15,13870500,73.15
2016-02-01,73.8,74.45,71.2,72.15,9433100,72.15
2016-02-02,72.4,74.5,71.35,71.85,14465100,71.85
2016-02-03,70.5,71.75,68.25,68.7,11701000,68.7
2016-02-04,69.95,71,66.5,67.75,12857500,67.75
2016-02-05,67.8,70.95,67.35,70.1,9524500,70.1
2016-02-08,70.35,77.95,69.7,72.75,26926900,72.75
2016-02-09,71,73.5,70.4,71.3,17014000,71.3
2016-02-10,71,71.3,65.1,66.35,20271200,66.35
2016-02-11,65.75,66.95,60.2,61.2,19018500,61.2
2016-02-12,62.3,62.5,55.65,57.65,21669700,57.65
2016-02-15,59,65.1,58.8,63.4,19334200,63.4
2016-02-16,64.4,64.9,57.6,58.45,14775800,58.45
2016-02-17,59,61.35,57,61,19079700,61
2016-02-18,61.9,62.8,58.25,60.7,14444000,60.7
2016-02-19,60.7,63.45,59.85,61.75,13447000,61.75
2016-02-22,62.3,63,61.05,62.1,8089400,62.1
2016-02-23,62.55,62.8,59.45,60,10315500,60
2016-02-24,59.4,61.6,58.85,60.35,9560300,60.35
2016-02-25,60.7,60.9,58.7,58.95,10146900,58.95
2016-02-26,60.4,61.15,57.9,60.05,12925100,60.05
2016-02-29,60.25,63.15,58.95,61.4,18635300,61.4
2016-03-01,61.95,65.4,61.8,64.9,17663100,64.9
2016-03-02,66.15,70.2,66,67.5,20432400,67.5
2016-03-03,68,68.6,66.8,68.25,10419900,68.25
2016-03-04,68.3,72.75,67.2,70.55,17959500,70.55
2016-03-07,70.55,70.55,70.55,70.55,0,70.55
2016-03-08,70.6,74.4,70.4,71.8,21069600,71.8
2016-03-09,71.7,73.85,71.1,72.85,14501300,72.85
2016-03-10,73.7,73.95,70.3,70.8,16062600,70.8
2016-03-11,70.6,73.7,68.6,69.35,25736800,69.35
2016-03-14,70.9,70.9,68.55,69.95,11177200,69.95
2016-03-15,70.45,71.5,70,70.75,12470300,70.75
2016-03-16,71.2,71.85,67.05,69.25,17378100,69.25
2016-03-17,70.7,70.95,68.55,68.75,11823700,68.75
2016-03-18,69.4,69.8,67.8,69.45,11167400,69.45
2016-03-21,70,71.25,68.9,70.9,11643500,70.9
2016-03-22,71.45,73.55,71,73.35,19575800,73.35
2016-03-23,73.5,73.9,72.1,72.65,9488300,72.65
2016-03-24,72.65,72.65,72.65,72.65,0,72.65
2016-03-25,72.65,72.65,72.65,72.65,0,72.65
2016-03-28,72.75,72.75,66.6,67.5,13612000,67.5
2016-03-29,67.5,68.45,66.55,67.1,10981700,67.1
