"Date","TATAMTRDVR.NS.Open","TATAMTRDVR.NS.High","TATAMTRDVR.NS.Low","TATAMTRDVR.NS.Close","TATAMTRDVR.NS.Volume","TATAMTRDVR.NS.Adjusted"
2016-06-14,302.5,306.8,301.15,304.95,2585300,304.66
2016-06-15,307.9,310.25,305.05,308,1621800,307.7
2016-06-16,307.25,307.25,301.1,305.85,2278500,305.56
2016-06-17,309.15,313.9,309.15,312.15,3534800,311.85
2016-06-20,311.5,321.9,311.25,320.15,3260200,319.84
2016-06-21,323,325.4,318.95,324.7,3476900,324.39
2016-06-22,321.65,322.55,312,314.8,1630300,314.5
2016-06-23,313.5,320.45,313.5,319.45,3344700,319.14
2016-06-24,288,299.65,280.2,298.25,7806700,297.96
2016-06-27,296.5,300.7,294.05,295.9,2723600,295.62
2016-06-28,295.8,295.9,286.4,287.55,3563300,287.27
2016-06-29,291,292.75,286.6,287.8,4997800,287.52
2016-06-30,290.25,294.8,289.3,291.75,6763800,291.47
2016-07-01,294,297.4,290.3,291.45,2412000,291.17
2016-07-04,296,304.4,295.1,303.5,3205200,303.21
2016-07-05,303,303.4,295.1,296.55,1407100,296.26
2016-07-06,296.55,296.55,296.55,296.55,0,296.26
2016-07-07,295.35,298.25,290.15,290.95,2189900,290.67
2016-07-08,294.8,297.8,292.75,296.2,2483300,295.91
2016-07-11,300,308.85,299,307.55,2025500,307.25
2016-07-12,310.5,313.4,308.1,309.5,1936800,309.2
2016-07-13,311.25,312,303.2,306.25,1797600,305.96
2016-07-14,304.6,312.3,304.6,311.15,1095900,310.85
2016-07-15,311.25,318.7,303.5,311.55,2679400,311.25
2016-07-18,314.9,322.25,312.55,314.9,2215200,314.9
2016-07-19,314.3,322,314.3,320.9,1585500,320.9
2016-07-20,319.8,322.8,318.95,319.95,1166300,319.95
2016-07-21,321.7,326.35,317.25,319,1778600,319
2016-07-22,321,330.95,319.25,329.4,1627600,329.4
2016-07-25,330.5,333,328.2,330.15,1849100,330.15
2016-07-26,333,334,324.45,325.7,1341200,325.7
2016-07-27,327.8,331.7,322.65,330.65,1875500,330.65
2016-07-28,331,331.65,323.3,327.75,4335300,327.75
2016-07-29,327.7,331.7,322.6,323.45,1159500,323.45
2016-08-01,328,333.95,325.6,330.55,1150600,330.55
2016-08-02,331,334.8,321.25,322.8,2885900,322.8
2016-08-03,324.9,327.8,312.2,313.4,1322900,313.4
2016-08-04,314.2,324.35,314.2,322,2900100,322
2016-08-05,325,332.7,322.05,331.25,1742100,331.25
2016-08-08,335.9,338.1,333.85,334.75,1561000,334.75
2016-08-09,337,339.35,330.85,336.35,1492300,336.35
2016-08-10,336.35,337.95,329.6,333.5,1759500,333.5
2016-08-11,333,334.3,325.7,329.2,962900,329.2
2016-08-12,330,337.5,330,336.5,992400,336.5
2016-08-15,336.5,336.5,336.5,336.5,0,336.5
2016-08-16,337,337,326.5,331.5,1460100,331.5
2016-08-17,332.9,334.7,330.7,333.55,795300,333.55
2016-08-18,334.5,340,332.55,337.7,764900,337.7
2016-08-19,336.55,342.55,336.1,337.85,993600,337.85
2016-08-22,338.4,339.25,330.9,331.75,631500,331.75
2016-08-23,331.75,332.25,325.6,327.9,2477600,327.9
2016-08-24,327,330,320,322.9,1153700,322.9
2016-08-25,323.4,325,318.1,319,2202400,319
2016-08-26,322,337.7,314,329.55,3477600,329.55
2016-08-29,339.8,339.8,333.15,337.95,2725400,337.95
2016-08-30,338.9,340.85,335.7,339.65,1539700,339.65
2016-08-31,338.5,351.35,338.5,343.55,4389200,343.55
2016-09-01,345,347.2,342,344.3,1287300,344.3
2016-09-02,348.05,352.9,347.2,351.9,1726200,351.9
2016-09-05,351.9,351.9,351.9,351.9,0,351.9
2016-09-06,355,376.2,354.1,373.5,3354500,373.5
2016-09-07,374.9,378.15,369.55,372.2,2260400,372.2
2016-09-08,374.1,376.3,365.05,370.15,2275000,370.15
2016-09-09,368.3,369.55,362,363.25,1244000,363.25
2016-09-12,353,360,345,350.5,2168800,350.5
2016-09-13,350.5,350.5,350.5,350.5,0,350.5
2016-09-14,354,362,346.15,358.35,2362500,358.35
2016-09-15,359,364,351.8,354.3,1786700,354.3
2016-09-16,357.4,360.85,350.65,352.55,1833400,352.55
2016-09-19,353.15,356.1,349.25,350.65,2015100,350.65
2016-09-20,351.15,351.15,345.35,346.95,1563300,346.95
2016-09-21,347.9,353.7,345,347.85,1081200,347.85
2016-09-22,353.45,357.4,351.7,355.35,1413300,355.35
2016-09-23,355.85,358.4,348.5,350.85,833600,350.85
2016-09-26,350.25,350.55,340.65,342.25,2167800,342.25
2016-09-27,344.95,345.75,336.5,337.65,1742800,337.65
2016-09-28,336.1,345.4,336.1,341.1,1586800,341.1
2016-09-29,344.5,345.3,328.2,335.1,3894400,335.1
2016-09-30,335,342.5,331.9,340.5,645000,340.5
2016-10-03,344,349.35,343.1,346.1,1381700,346.1
2016-10-04,349.9,351.25,344.7,349.05,1477500,349.05
2016-10-05,352.65,361.1,350.5,359.4,2255300,359.4
2016-10-06,361,364.1,351,353.05,1790500,353.05
2016-10-07,353.75,367.35,353.7,366.15,1811600,366.15
