"Date","WIPRO.NS.Open","WIPRO.NS.High","WIPRO.NS.Low","WIPRO.NS.Close","WIPRO.NS.Volume","WIPRO.NS.Adjusted"
2015-08-25,549.34998,551.5,528.29999,541.29999,2868200,533.07661
2015-08-26,544.90002,556.59998,543.09998,550.95001,2070700,542.58003
2015-08-27,557.45001,557.45001,546.59998,551.34998,2410700,542.97391
2015-08-28,554.29999,565.45001,552.34998,563.59998,1071500,555.03781
2015-08-31,563.59998,575,560.70001,571.79999,1678900,563.11325
2015-09-01,571.29999,572,560,564.15002,1331800,555.57951
2015-09-02,566.15002,569.20001,549.20001,554.25,1232200,545.82988
2015-09-03,559,568,558.54999,567.15002,616000,558.53393
2015-09-04,568,571.59998,547.20001,554,1486500,545.58368
2015-09-07,553.90002,556.79999,544.15002,552.09998,1070400,543.71252
2015-09-08,550.29999,566,550,563.59998,767600,555.03781
2015-09-09,566.79999,573.54999,558.20001,561.09998,768500,552.57579
2015-09-10,555,559.75,550.34998,552.09998,1645400,543.71252
2015-09-11,555,562.84998,554.79999,559.09998,765800,550.60618
2015-09-14,561,573.70001,559.20001,571.65002,2003400,562.96557
2015-09-15,569,574,566.04999,571.09998,925800,562.42387
2015-09-16,573.90002,582,571.45001,580.54999,1864000,571.73032
2015-09-17,580.54999,580.54999,580.54999,580.54999,0,571.73032
2015-09-18,580.70001,595,580,592,1856000,583.00639
2015-09-21,589.79999,597,584.5,592.20001,2220100,583.20336
2015-09-22,592,604.25,590,595.90002,3380200,586.84716
2015-09-23,589.09998,596.40002,582.15002,590.75,1411700,581.77538
2015-09-24,594,604.90002,587,603.04999,2080200,593.88851
2015-09-25,603.04999,603.04999,603.04999,603.04999,0,593.88851
2015-09-28,602,602,590.04999,592.95001,997900,583.94197
2015-09-29,585.59998,597.90002,585,588.29999,1522100,579.36259
2015-09-30,594.09998,598.95001,592,597.84998,1798200,588.76749
2015-10-01,598.04999,613.29999,597.34998,599.75,3500100,590.63865
2015-10-02,599.75,599.75,599.75,599.75,0,590.63865
2015-10-05,600.40002,609.90002,597.09998,600.29999,1706300,591.18028
2015-10-06,602.40002,610,598.20001,599.34998,1519800,590.2447
2015-10-07,599.79999,599.79999,585,588.84998,934800,579.90422
2015-10-08,591.59998,596.95001,585.65002,589.79999,1102200,580.8398
2015-10-09,595.70001,596.65002,585.20001,592.34998,1349400,583.35105
2015-10-12,600,600,582,583.95001,1060600,575.07869
