"Date","CASTROLIND.NS.Open","CASTROLIND.NS.High","CASTROLIND.NS.Low","CASTROLIND.NS.Close","CASTROLIND.NS.Volume","CASTROLIND.NS.Adjusted"
2016-01-04,446.5,450.7,435.5,440.35,314600,425.6465
2016-01-05,442.95,449.3,437.65,446.8,318000,431.8811
2016-01-06,447.75,449.45,439.2,441.35,109700,426.6131
2016-01-07,438.1,439.55,430.5,434.8,214400,420.2818
2016-01-08,435.3,440,434.9,437.4,151400,422.795
2016-01-11,434.7,440.55,432.4,437.55,130200,422.94
2016-01-12,439.95,443.85,437.5,441.6,224000,426.8548
2016-01-13,444.8,448,427.2,435.1,476600,420.5718
2016-01-14,434,434.6,428.5,433.4,260000,418.9286
2016-01-15,433.55,437,426.8,430,293900,415.6421
2016-01-18,429,429,416.35,418.3,207500,404.3328
2016-01-19,419,420.85,407.85,419.1,323700,405.1061
2016-01-20,418,418,402,408.7,437200,395.0533
2016-01-21,412.2,415.5,408,409.1,104200,395.44
2016-01-22,412,423.8,410.05,417.9,162400,403.9461
2016-01-25,419.95,425.65,418.05,421.95,96000,407.8609
2016-01-26,421.95,421.95,421.95,421.95,0,407.8609
2016-01-27,421.4,429.25,418.2,426.25,226800,412.0173
2016-01-28,425.8,427.6,414.2,417,282700,403.0762
2016-01-29,416,421.6,414.75,420.15,126900,406.121
2016-02-01,423,423.45,413.05,415.5,192300,401.6263
2016-02-02,416.4,419.8,409.05,410.2,138200,396.5032
2016-02-03,410.2,410.2,404.65,408.25,102100,394.6183
2016-02-04,409,413.4,405.7,409.85,68100,396.1649
2016-02-05,411,413.65,407,412.25,95100,398.4848
2016-02-08,411.8,414.25,407.75,409.65,79200,395.9716
2016-02-09,409,412.4,403.15,408.85,148600,395.1983
2016-02-10,408.25,411.9,403.3,407.75,138000,394.135
2016-02-11,409.9,409.9,380.15,386.55,233500,373.6429
2016-02-12,389,397.55,370,389.1,258500,376.1078
2016-02-15,395,406.25,393.1,399.2,114600,385.8705
2016-02-16,400,403.6,390.15,391.95,65700,378.8626
2016-02-17,392.5,397.7,383.45,396.5,87000,383.2607
2016-02-18,397.7,402.8,392,394.65,101700,381.4724
2016-02-19,396,396,386.35,389.55,136600,376.5427
2016-02-22,392,409,389.1,406.9,230600,393.3134
2016-02-23,409.95,411.6,402.6,405.85,169200,392.2985
2016-02-24,408.75,410.85,404.1,408.2,213700,394.57
2016-02-25,407.2,407.2,374.15,376.3,832200,363.7352
2016-02-26,378.15,382.4,367.5,371.2,343800,358.8055
2016-02-29,370,373.05,362.7,367.4,269800,355.1323
2016-03-01,369.5,373,360.85,364.55,437400,352.3775
2016-03-02,365.2,377,365.15,367.85,508200,355.5673
2016-03-03,369.4,373.05,366,367.8,280700,355.519
2016-03-04,368.9,373,363.6,365.2,515100,353.0058
2016-03-07,365.2,365.2,365.2,365.2,0,353.0058
2016-03-08,365.9,369.85,363.1,366.05,186000,353.8274
2016-03-09,365.9,369.65,361.45,368.1,143800,355.809
2016-03-10,366.5,378.35,365.6,376.8,499500,364.2185
2016-03-11,378.25,381.95,374.4,375.3,298000,362.7685
2016-03-14,377,378,371,372.25,146800,359.8204
2016-03-15,373.9,373.9,370,371.65,99900,359.2404
2016-03-16,372,376.3,369.45,374.25,188300,361.7536
2016-03-17,377.9,378.95,370.45,371.05,544500,358.6605
2016-03-18,371.5,373,368.6,372.15,204500,359.7237
2016-03-21,372.9,383,369.2,379.3,274300,366.635
2016-03-22,379.7,385.4,375.6,377.1,320200,364.5085
2016-03-23,376.8,380.7,373,374.85,160200,362.3336
2016-03-24,374.85,374.85,374.85,374.85,0,362.3336
2016-03-25,374.85,374.85,374.85,374.85,0,362.3336
2016-03-28,375,375.1,363.3,364.9,557300,352.7158
2016-03-29,366,377.5,362.6,371.8,336300,359.3854
2016-03-30,372.95,383.4,372.95,381.6,310900,368.8582
2016-03-31,381.9,387.4,372,374.15,507200,361.657
2016-04-01,374.9,381.4,373.6,376.7,254400,364.1218
2016-04-04,377,381.85,376.2,377,164900,364.4118
2016-04-05,376.7,379.8,373.5,374.9,110600,362.3819
2016-04-06,375.9,377.2,373.35,375.95,96800,363.3969
2016-04-07,375.95,376.95,374,375.25,76800,362.7202
2016-04-08,375.8,380,373,377.1,79600,364.5085
2016-04-11,377,380,376.15,379.1,62900,366.4417
2016-04-12,380.55,385,380,382.25,141300,369.4865
2016-04-13,385,387.9,379.35,380.35,306400,367.6499
2016-04-14,380.35,380.35,380.35,380.35,0,367.6499
2016-04-15,380.35,380.35,380.35,380.35,0,367.6499
2016-04-18,380,383,377.5,377.9,263400,365.2817
2016-04-19,377.9,377.9,377.9,377.9,0,365.2817
2016-04-20,377.9,379.95,376.2,376.95,509200,364.3635
2016-04-21,377,385.1,377,383.15,657100,370.3564
2016-04-22,384,396.65,381.8,392.75,1297100,379.6359
2016-04-25,396.5,400.9,392.95,395.9,675200,382.6807
2016-04-26,395.9,398.25,391.9,394.9,379600,381.7141
2016-04-27,390.4,397.8,388.1,389.6,336200,381.4204
2016-04-28,388.6,392.9,386.1,389.35,322800,381.1757
2016-04-29,389,398.3,387.75,396.3,400900,387.9797
2016-05-02,395,398.95,391.55,394.9,181500,386.6091
2016-05-03,398.4,401.5,394.6,397.25,387900,388.9098
2016-05-04,400,400.35,386,387.95,206600,379.8051
2016-05-05,389.4,414.3,386.1,411.75,3015600,403.1054
2016-05-06,414,419.3,405,413.35,1603200,404.6718
2016-05-09,416.6,421.8,410.95,420.35,636000,411.5248
2016-05-10,420.35,429.85,418.6,424.75,614800,415.8324
2016-05-11,423.9,429.5,418.55,424.1,403000,415.1961
2016-05-12,425.95,429.9,424.25,428.5,276500,419.5037
2016-05-13,425.45,432.7,421.1,422.9,145800,414.0213
2016-05-16,422.95,424.4,412.1,415.45,276700,406.7277
