"Date","TATAELXSI.NS.Open","TATAELXSI.NS.High","TATAELXSI.NS.Low","TATAELXSI.NS.Close","TATAELXSI.NS.Volume","TATAELXSI.NS.Adjusted"
2016-03-29,1887,1894.5,1828.1,1837.45,421300,1822.12
2016-03-30,1855,1904.7,1842,1885.45,517900,1869.72
2016-03-31,1877,1912.7,1862,1883.85,522700,1868.14
2016-04-01,1883.7,1935,1875.35,1904.55,462100,1888.66
2016-04-04,1918.5,1929.9,1905.1,1910.9,259000,1894.96
2016-04-05,1902,1933.2,1885.1,1891.7,398600,1875.92
2016-04-06,1893,1901.2,1861.5,1870.85,268800,1855.24
2016-04-07,1875.8,1892.7,1858,1863.7,300700,1848.15
2016-04-08,1867,1888.35,1855.2,1861.95,275100,1846.42
2016-04-11,1871.3,1932.5,1858,1925.2,518700,1909.14
2016-04-12,1940,1970,1928.1,1943.5,567000,1927.29
2016-04-13,1962,1976,1934.9,1941.05,347500,1924.86
2016-04-14,1941.05,1941.05,1941.05,1941.05,0,1924.86
2016-04-15,1941.05,1941.05,1941.05,1941.05,0,1924.86
2016-04-18,1938,1957.75,1928.3,1948.05,285800,1931.8
2016-04-19,1948.05,1948.05,1948.05,1948.05,0,1931.8
2016-04-20,1966.8,1996.4,1956.05,1977.1,531600,1960.61
2016-04-21,1991,1997.75,1940,1946.9,298900,1930.66
2016-04-22,1950,1972,1930,1953.8,295500,1937.5
2016-04-25,1959,1961.7,1928,1940.9,227700,1924.71
2016-04-26,1944,2016,1928.7,2000.8,677300,1984.11
2016-04-27,2026,2065,2026,2041.25,728900,2024.22
2016-04-28,2046,2064,1893.3,1911.1,1847100,1895.16
2016-04-29,1913,1947,1862.9,1909.4,1013400,1893.47
2016-05-02,1895,1920.95,1878.5,1905,356200,1889.11
2016-05-03,1910.8,1933,1878.35,1884.85,382300,1869.13
2016-05-04,1878,1883.45,1840.55,1846.85,395100,1831.44
2016-05-05,1856.95,1865.9,1821.3,1837.3,338500,1821.97
2016-05-06,1836.8,1868.7,1825,1835.7,328400,1820.39
2016-05-09,1852,1873.8,1848,1860.65,256800,1845.13
2016-05-10,1862,1878.8,1855,1870.05,277600,1854.45
2016-05-11,1847.95,1868,1835,1859.85,213600,1844.34
2016-05-12,1868,1917.85,1863,1905.5,565900,1889.61
2016-05-13,1906.25,1928,1881,1904.15,394000,1888.27
2016-05-16,1911.9,1921.25,1892.25,1899.8,205100,1883.95
2016-05-17,1908,1934,1904,1923.85,418600,1907.8
2016-05-18,1920,1941.75,1914.65,1919.7,317000,1903.69
2016-05-19,1920,1923.7,1865.95,1875.05,218400,1859.41
2016-05-20,1882,1882,1837.55,1844.95,236000,1829.56
2016-05-23,1851,1861.6,1832.05,1834.9,177500,1819.59
2016-05-24,1834,1834.5,1776.15,1779.65,322900,1764.81
2016-05-25,1800.2,1818,1783.05,1809.2,262900,1794.11
2016-05-26,1813.95,1837.6,1800,1815.05,264100,1799.91
2016-05-27,1818,1856,1815.2,1847.1,280600,1831.69
2016-05-30,1856.8,1863.75,1827,1845.85,161400,1830.45
2016-05-31,1849,1861.4,1788,1800.6,281500,1785.58
2016-06-01,1798,1813.4,1772.45,1783.4,360900,1768.52
2016-06-02,1784,1825,1775,1819.05,251900,1803.88
2016-06-03,1831.15,1835.45,1786,1791.85,166500,1776.9
2016-06-06,1791,1798,1755,1776.25,142900,1761.43
2016-06-07,1785.15,1824.8,1773,1804.2,304100,1789.15
2016-06-08,1813.2,1821.45,1797.3,1809.2,240900,1794.11
2016-06-09,1810,1826.75,1793.55,1802.85,192200,1787.81
2016-06-10,1794,1816,1790.05,1795.75,142600,1780.77
2016-06-13,1786.8,1803.35,1761.05,1792.75,195600,1777.8
2016-06-14,1794.95,1815.5,1788.15,1794.9,202900,1779.93
2016-06-15,1806,1822,1796.15,1801.2,263500,1786.18
2016-06-16,1798,1807.85,1776.15,1782.35,145500,1767.48
2016-06-17,1793,1793.75,1760.75,1773.25,124000,1758.46
2016-06-20,1755,1797,1755,1791.7,165100,1776.75
2016-06-21,1792,1807,1781.1,1785.3,104600,1770.41
2016-06-22,1787.85,1793.75,1778,1780.5,137700,1765.65
2016-06-23,1780,1786.9,1767.95,1775.55,98500,1760.74
2016-06-24,1740,1740,1611.45,1711.25,363000,1696.98
2016-06-27,1715.05,1723,1687,1694.85,188800,1680.71
2016-06-28,1695,1706.5,1685,1689.25,197600,1675.16
2016-06-29,1697.7,1707,1690,1694.05,192300,1679.92
2016-06-30,1702,1709,1690.4,1697,248900,1682.84
2016-07-01,1705.55,1771,1705.05,1749.95,449400,1735.35
2016-07-04,1767,1781.9,1752.4,1763.35,227600,1748.64
2016-07-05,1766.5,1768.95,1730.1,1735.3,183800,1720.83
2016-07-06,1735.3,1735.3,1735.3,1735.3,0,1720.83
2016-07-07,1734,1736.2,1709.1,1713,186300,1698.71
2016-07-08,1711.8,1751.15,1695.05,1732.35,301200,1717.9
2016-07-11,1750,1752.95,1726,1729.6,212800,1715.17
2016-07-12,1729.6,1734.7,1700,1704.7,262200,1690.48
2016-07-13,1711.8,1713.25,1672.3,1680.1,259200,1666.09
2016-07-14,1677,1695.8,1661.7,1678.4,244700,1664.4
2016-07-15,1677,1684.7,1623.1,1628.85,319000,1628.85
2016-07-18,1630.1,1666,1595,1651.25,507200,1651.25
2016-07-19,1640.05,1683.1,1640.05,1663.85,326800,1663.85
2016-07-20,1665,1679.7,1645.15,1665.35,286200,1665.35
2016-07-21,1665.5,1689.8,1655.1,1659.4,217300,1659.4
2016-07-22,1659.4,1678,1651.5,1663.8,155000,1663.8
2016-07-25,1672.2,1679.9,1601,1612.4,423400,1612.4
2016-07-26,1622.8,1707.4,1616,1657,1354100,1657
2016-07-27,1666.35,1683.95,1656,1668,287600,1668
2016-07-28,1672,1674.8,1631.25,1639.65,256400,1639.65
2016-07-29,1645,1672.5,1635,1650.95,171100,1650.95
2016-08-01,1650.95,1664,1636,1645.55,182300,1645.55
2016-08-02,1645,1659,1626.2,1631.05,155900,1631.05
2016-08-03,1633.7,1655,1620.1,1623.9,191600,1623.9
2016-08-04,1632,1640,1621,1629.1,156500,1629.1
2016-08-05,1638.8,1648.8,1631,1642.25,119700,1642.25
2016-08-08,1650,1747,1643.1,1738.35,975000,1738.35
2016-08-09,1754.9,1757.8,1696.2,1703,416900,1703
2016-08-10,1710,1724.4,1662.45,1668,283900,1668
2016-08-11,1671,1683.75,1643.85,1661.1,219100,1661.1
2016-08-12,1668.65,1681,1648,1653.5,194900,1653.5
2016-08-15,1653.5,1653.5,1653.5,1653.5,0,1653.5
2016-08-16,1653.5,1657.6,1611.55,1627.95,253000,1627.95
2016-08-17,1629.95,1651,1621.05,1640.75,171900,1640.75
2016-08-18,1642,1656.75,1627,1632.9,168000,1632.9
2016-08-19,1635.8,1644.4,1614,1617.95,223300,1617.95
2016-08-22,1623.4,1633.95,1615,1618.65,139700,1618.65
