"Date","HINDZINC.NS.Open","HINDZINC.NS.High","HINDZINC.NS.Low","HINDZINC.NS.Close","HINDZINC.NS.Volume","HINDZINC.NS.Adjusted"
2016-05-04,171.1,172.3,164.15,165.85,1129400,164.671
2016-05-05,166.05,170.15,165,167.75,1282100,166.557
2016-05-06,166,170.7,166,169.95,995900,168.742
2016-05-09,171.8,171.8,168.4,169.75,548300,168.543
2016-05-10,168.5,169.7,165.15,166.3,1207700,165.117
2016-05-11,164,168.9,163.2,167.85,626600,166.656
2016-05-12,168,169.35,166.7,168,938000,166.805
2016-05-13,167.3,168.2,166,166.45,492000,165.266
2016-05-16,167.5,168.15,165.1,167.15,868600,165.961
2016-05-17,167.45,170.1,167.1,168.35,1212300,167.153
2016-05-18,167.7,168.65,167.1,167.95,1167200,166.756
2016-05-19,167.95,168.6,166.15,166.8,1352600,165.614
2016-05-20,167.3,167.95,161.1,161.45,729700,160.302
2016-05-23,163,167.35,160.85,166.6,1238400,165.415
2016-05-24,166.95,167.9,164.25,166.55,958900,165.366
2016-05-25,167.5,167.9,165.8,166.95,709800,165.763
2016-05-26,167,167.25,164.4,166.95,1291100,165.763
2016-05-27,167.1,170.4,165.85,168.5,1116500,167.302
2016-05-30,169.95,172.9,167.15,172.25,975600,171.025
2016-05-31,170.1,173.95,170,170.75,6219400,169.536
2016-06-01,170.75,172.75,168.05,168.85,471000,167.649
2016-06-02,168.9,171.65,167.5,168.25,1112100,167.054
2016-06-03,168.8,170.5,166.65,167.8,1610700,166.607
2016-06-06,168.7,171.5,167.3,169.9,845600,168.692
2016-06-07,170.4,172.6,170.1,171.5,716000,170.281
2016-06-08,172.5,172.65,169.25,170.25,1047900,169.039
2016-06-09,170.7,177.95,170.15,176.75,1430500,175.493
2016-06-10,177.5,179.8,173,173.4,1061500,172.167
2016-06-13,173.5,176.4,171.5,176,1185700,174.749
2016-06-14,176.3,177.3,173.5,176.6,639300,175.344
2016-06-15,176,176.25,173.05,174.95,636600,173.706
2016-06-16,172.2,175.15,171,171.85,1828900,170.628
2016-06-17,172.85,173.45,171,171.95,596100,170.727
2016-06-20,172,177.25,170.6,176.65,1183300,175.394
2016-06-21,176.65,179,175.4,177.05,876400,175.791
2016-06-22,177.05,177.05,172.7,175,426500,173.756
2016-06-23,173,175.9,173,174.95,288300,173.706
2016-06-24,170,173,165.5,169.65,708000,168.444
2016-06-27,172.9,172.9,167.5,168.2,1449500,167.004
2016-06-28,167.2,172,167.2,171.65,835500,170.429
2016-06-29,172,178,172,177.05,1153900,175.791
2016-06-30,178.5,181.5,178.4,180.55,1111400,179.266
2016-07-01,180.55,181.1,176.1,177.25,931200,175.99
2016-07-04,178.55,185.7,178.1,184.95,1411900,183.635
2016-07-05,185.2,187.5,184.2,185.25,2134800,183.933
2016-07-06,185.25,185.25,185.25,185.25,0,183.933
2016-07-07,185.3,188.25,185,186.9,1096600,185.571
2016-07-08,186.9,190.4,184,187.05,1338700,185.72
2016-07-11,187.9,190.8,187.6,190.05,1747600,188.699
2016-07-12,189.9,198.4,189,195.4,3177900,194.011
2016-07-13,196.35,203.6,192.1,193.55,2634200,192.174
2016-07-14,193.5,196.45,193.3,195.05,979800,193.663
2016-07-15,195.7,197.85,192.7,196.15,1374800,194.755
2016-07-18,195,197.95,185.7,189.05,1774100,187.706
2016-07-19,190.9,193.75,189.95,192.4,1996200,191.032
