"Date","ZEEL.NS.Open","ZEEL.NS.High","ZEEL.NS.Low","ZEEL.NS.Close","ZEEL.NS.Volume","ZEEL.NS.Adjusted"
2015-08-10,410,415.35,405.8,409.6,882900,405.641
2015-08-11,409,418.2,409,414.8,982600,410.791
2015-08-12,413,418.75,399.65,401.6,1356800,397.718
2015-08-13,401.6,411,399,400.8,1447200,396.926
2015-08-14,398,421.7,398,419.8,1674900,415.742
2015-08-17,415,418.15,406.2,409.1,1124100,405.146
2015-08-18,409.3,412.3,404.1,406.35,1693400,402.422
2015-08-19,407.15,408.8,399,405.8,1172900,401.878
2015-08-20,405,406.45,391,394.5,1721700,390.687
2015-08-21,391,391.15,377.6,383.2,3088200,379.496
2015-08-24,369.2,373.85,346.7,358.7,3059300,355.233
2015-08-25,365,372.05,355.4,365.45,4419300,361.918
2015-08-26,358.55,377.65,358.55,368.85,3074500,365.285
2015-08-27,372.6,375,362.7,371,4254800,367.414
2015-08-28,377.6,392.9,375.2,387.8,3144500,384.052
2015-08-31,388,389,379,384.8,2007700,381.081
2015-09-01,380,381.55,366,371.65,2247100,368.058
2015-09-02,373.7,376.85,360,361,3146900,357.511
2015-09-03,363.8,371.95,360.35,367.95,1944300,364.394
2015-09-04,369.45,374,359.65,360.4,3507900,356.917
2015-09-07,360.4,365.65,358.6,360.4,1509000,356.917
2015-09-08,361.15,372.4,357.85,369.9,1818300,366.325
2015-09-09,374.5,386.6,374.4,385.05,1855300,381.328
2015-09-10,382.8,395.4,376.3,392.1,2049600,388.31
2015-09-11,394,399.05,388.1,392,2001600,388.211
2015-09-14,393.1,396.9,391.75,395.2,1197500,391.38
2015-09-15,396,398,392.5,394,1425300,390.192
2015-09-16,394.45,398.1,394.4,395.9,1201700,392.073
2015-09-17,395.9,395.9,395.9,395.9,0,392.073
2015-09-18,399.3,406.8,395.35,398.65,2423400,394.797
2015-09-21,396.7,403.2,395.85,401.7,9e+05,397.817
2015-09-22,403,403.5,385.55,389.85,1152800,386.082
2015-09-23,383,390.2,378,387.35,1410000,383.606
2015-09-24,387.35,399.9,384.05,394.55,1966900,390.736
2015-09-25,394.55,394.55,394.55,394.55,0,390.736
2015-09-28,397.8,397.8,382.75,383.65,763600,379.942
2015-09-29,380,393.5,377,391.1,1836400,387.32
2015-09-30,394.95,396.1,388.3,392.45,2221000,388.657
2015-10-01,392.45,403,384.45,400.6,2231200,396.728
2015-10-02,400.6,400.6,400.6,400.6,0,396.728
2015-10-05,404.8,406.1,400.2,402.65,1747700,398.758
2015-10-06,405,405,397.5,399,1360500,395.143
2015-10-07,399.1,401,392.5,399.4,1217600,395.54
2015-10-08,400.2,403.95,395.3,397.55,946100,393.707
2015-10-09,403.9,403.9,398.25,401.45,1368300,397.57
2015-10-12,403.2,405.9,398.35,401.3,569200,397.421
2015-10-13,403,404,397.5,401.3,805500,397.421
2015-10-14,398.1,401,380.6,386.6,10382100,382.863
2015-10-15,390.9,422.75,390.9,418.75,10395900,414.703
2015-10-16,417.75,426.35,414.05,423.45,3867800,419.357
2015-10-19,420.3,432.4,416.35,430.35,2417900,426.19
2015-10-20,429.9,437.05,427.35,435.65,2265100,431.439
2015-10-21,434.05,440.65,432.15,434.1,2856500,429.904
2015-10-22,434.1,434.1,434.1,434.1,0,429.904
2015-10-23,437,438.35,429.8,432.15,2324200,427.973
2015-10-26,437.25,437.25,424.25,424.95,2370700,420.843
2015-10-27,424,428.3,421.15,424.8,2673600,420.694
2015-10-28,423.7,427,417.75,420.8,2603100,416.733
