"Date","EICHERMOT.NS.Open","EICHERMOT.NS.High","EICHERMOT.NS.Low","EICHERMOT.NS.Close","EICHERMOT.NS.Volume","EICHERMOT.NS.Adjusted"
2015-10-15,18235,18478,18226.2,18311.2,36900,18211.44
2015-10-16,18349,18443.9,18190,18286.6,36700,18186.98
2015-10-19,18329.6,18343.9,18104.1,18241.3,41100,18141.93
2015-10-20,18264.9,18350,18050,18161.2,47300,18062.26
2015-10-21,18190,18430,18017,18210.6,60900,18111.39
2015-10-22,18210.6,18210.6,18210.6,18210.6,0,18111.39
2015-10-23,18305,18359.9,18120,18158.7,57200,18059.78
2015-10-26,18188.3,18240,17837.8,17934.9,36500,17837.2
2015-10-27,17903.2,17905,17535,17659.8,69200,17563.59
2015-10-28,17549.8,17734.9,17288.3,17392.3,96100,17297.55
2015-10-29,17444.2,17530.1,17273.8,17418.7,61200,17323.81
2015-10-30,17518.7,17862,17431.2,17742.4,45600,17645.74
2015-11-02,18011.9,18094.4,17825,17975.4,52400,17877.47
2015-11-03,18004,18095,17975,18010.8,33000,17912.68
2015-11-04,18060,18186.7,17727.2,17768.2,35000,17671.4
2015-11-05,17840,17967,17600,17678,18500,17581.69
2015-11-06,17700,17995,16428,16693.3,156900,16602.36
2015-11-09,16400,16445.9,15818.8,15952.5,137500,15865.59
2015-11-10,16049,16111.8,15611,15841.6,75100,15755.3
2015-11-11,15841.6,15841.6,15841.6,15841.6,0,15755.3
2015-11-12,15841.6,15841.6,15841.6,15841.6,0,15755.3
2015-11-13,15900,15925.5,15520.3,15624.2,49600,15539.08
2015-11-16,15599,15689.8,15020,15262.2,87500,15179.06
2015-11-17,15452,15540,15291,15493.9,37900,15409.49
2015-11-18,15570,15983.6,15475,15883.8,69800,15797.27
2015-11-19,15995,16190,15918,16166.7,65700,16078.63
2015-11-20,16200,16460,16099.2,16416.9,44500,16327.47
2015-11-23,16500,16795.5,16174,16756.3,47400,16665.02
2015-11-24,16798.9,16799,16602,16650.2,36900,16559.49
2015-11-25,16650.2,16650.2,16650.2,16650.2,0,16559.49
2015-11-26,16651.1,16729.7,16250.2,16485.6,69700,16395.79
2015-11-27,16525.1,17050,16510,16596.4,67700,16505.99
2015-11-30,16690,16861.1,16598.1,16728.9,59400,16637.77
2015-12-01,16877,16879.8,16204.9,16237.5,61400,16149.04
2015-12-02,16380,16500,16083.9,16360.7,43200,16271.57
2015-12-03,16330,16765,16243.5,16692.3,82800,16601.37
2015-12-04,16590,16679.8,16360,16428.9,36600,16339.4
2015-12-07,16460,16575,16201,16230.8,21300,16142.38
2015-12-08,16229,16530,16177.1,16307.1,25500,16218.26
2015-12-09,16300,16370.3,15658.5,15728.1,46400,15642.42
2015-12-10,15884.8,16100,15680.2,16039.8,43800,15952.42
2015-12-11,16050,16100,15450,15560.8,61400,15476.03
2015-12-14,15350,15575,15100,15366.5,65900,15282.79
2015-12-15,15399,15925,15270,15862,41800,15775.59
2015-12-16,15900,16280,15900,16063.8,38200,15976.29
2015-12-17,16140,16380,15990,16277.1,30900,16188.43
2015-12-18,16216,16270.2,15945.2,16160.3,111800,16072.26
2015-12-21,16100.1,16332.4,15969.9,16031,37800,15943.67
2015-12-22,16100,16190,16010,16075.8,16500,15988.22
2015-12-23,16175.8,16240,16010.2,16189.8,17200,16101.6
2015-12-24,16201,16300,16114.5,16172.2,12300,16084.1
2015-12-25,16172.2,16172.2,16172.2,16172.2,0,16084.1
2015-12-28,16198.9,16650,16198,16598.6,38100,16508.17
2015-12-29,16601,16735.2,16508,16703.1,27700,16612.11
2015-12-30,16699,16703,16439.8,16529.8,28800,16439.75
2015-12-31,16590,16920,16541.9,16855.6,34000,16763.77
2016-01-01,16879,17689.6,16772.7,17370.8,59900,17276.17
2016-01-04,17519.9,17974.9,17440.1,17495.3,91700,17399.99
2016-01-05,17575,17771.2,17110.9,17159.9,56300,17066.42
2016-01-06,17287,17614.9,17220,17525.1,48700,17429.63
2016-01-07,17390,17448.3,16919.5,17035.7,49600,16942.89
