"Date","SAIL.NS.Open","SAIL.NS.High","SAIL.NS.Low","SAIL.NS.Close","SAIL.NS.Volume","SAIL.NS.Adjusted"
2015-09-28,53,53,51.3,51.65,1859100,51.65
2015-09-29,51,51.3,49.55,50.35,2695200,50.35
2015-09-30,51.2,51.8,50.9,51.35,2033900,51.35
2015-10-01,52,52,50.5,50.65,2168900,50.65
2015-10-02,50.65,50.65,50.65,50.65,0,50.65
2015-10-05,51.15,52.3,50.75,51.95,2258100,51.95
2015-10-06,52.4,53.3,51.85,52.9,2673400,52.9
2015-10-07,53,55.4,52.3,55.05,5179400,55.05
2015-10-08,55.35,56,54.3,54.75,3622300,54.75
2015-10-09,55.05,56.3,55.05,55.9,2675500,55.9
2015-10-12,56.45,58.15,55.35,56.25,4002200,56.25
2015-10-13,56.6,56.7,55.5,56.15,2195200,56.15
2015-10-14,56,58.1,55.75,57.15,2621600,57.15
2015-10-15,57.5,57.95,56.75,57.15,1655800,57.15
2015-10-16,57.4,57.8,54.35,55.85,3230200,55.85
2015-10-19,55.9,56.3,55,55.55,1783500,55.55
2015-10-20,55.6,56.5,55.1,55.35,1743600,55.35
2015-10-21,55.2,56.5,55,55.55,2553400,55.55
2015-10-22,55.55,55.55,55.55,55.55,0,55.55
2015-10-23,56,56.7,55.3,55.55,2700500,55.55
2015-10-26,55.85,56.9,55.5,56.4,4838900,56.4
2015-10-27,56,56.55,54.6,54.85,3203800,54.85
2015-10-28,54.9,55.2,53.9,54.25,3397000,54.25
2015-10-29,54.2,54.3,52.65,52.85,5326100,52.85
2015-10-30,53.5,54.2,52.6,53.35,3489600,53.35
2015-11-02,53.2,53.5,51.15,51.55,2524000,51.55
2015-11-03,52,52.5,50.6,51.05,3536800,51.05
2015-11-04,51.25,51.6,50.2,50.4,2566300,50.4
2015-11-05,50.6,50.65,48.85,49.05,3066400,49.05
2015-11-06,48.9,49.3,46.6,47.05,10018300,47.05
2015-11-09,46.3,46.9,45.1,46.3,5764800,46.3
2015-11-10,46,46.4,45.1,45.3,5057200,45.3
2015-11-11,46,46.15,45.5,45.7,457000,45.7
2015-11-12,45.7,45.7,45.7,45.7,0,45.7
2015-11-13,45.4,45.65,44.55,44.8,4224000,44.8
2015-11-16,44.6,45.5,44.5,45.1,4857000,45.1
2015-11-17,45.5,46.2,45.2,45.45,3182400,45.45
2015-11-18,45.5,45.65,44,44.25,3152300,44.25
2015-11-19,44.75,44.95,44.3,44.7,1825200,44.7
2015-11-20,44.8,45.05,43.85,44.4,2509600,44.4
2015-11-23,44.65,44.75,43.75,43.95,2120500,43.95
2015-11-24,43.9,44.5,43.7,43.95,2091700,43.95
2015-11-25,43.95,43.95,43.95,43.95,0,43.95
2015-11-26,44.25,44.7,43.65,43.95,8303500,43.95
2015-11-27,44.2,46.2,44,45.55,5763100,45.55
2015-11-30,45.75,46.45,45.35,45.8,2320300,45.8
2015-12-01,46,47.1,45.7,46.7,3417900,46.7
2015-12-02,47,48.25,46.4,47.55,6633300,47.55
2015-12-03,47.5,47.5,46.25,46.7,3540900,46.7
2015-12-04,46.4,47.7,46,46.7,2698900,46.7
