"Date","VOLTAS.NS.Open","VOLTAS.NS.High","VOLTAS.NS.Low","VOLTAS.NS.Close","VOLTAS.NS.Volume","VOLTAS.NS.Adjusted"
2015-08-26,273.85,274.6,262.25,270.25,2743600,268.23
2015-08-27,274.25,282.65,270.6,280,2584700,277.907
2015-08-28,282.2,292.75,280,287.05,2196400,284.904
2015-08-31,288,288,271.7,272.95,2396100,270.91
2015-09-01,271,275,248.5,255.45,3485700,253.541
2015-09-02,257.05,264.6,255.2,258.05,2315700,256.121
2015-09-03,260.5,267,256.5,264.5,2361300,262.523
2015-09-04,265.7,265.7,248.05,253.7,2925000,251.804
2015-09-07,255.3,259.75,248.55,253.6,1771500,251.704
2015-09-08,255.5,264.75,249.2,262.7,1423100,260.736
2015-09-09,266.9,269.25,260.3,262.95,1155100,260.985
2015-09-10,258,259,253.15,255,1052000,253.094
2015-09-11,258.4,259.5,254.1,255.6,1236800,253.69
2015-09-14,257.6,259,253.05,257.45,688300,255.526
2015-09-15,260,267.8,259.05,263.5,2060300,261.53
2015-09-16,267.75,267.75,256.15,257.25,1602700,255.327
2015-09-17,257.25,257.25,257.25,257.25,0,255.327
2015-09-18,261.45,261.45,249.55,251.05,1845800,249.174
2015-09-21,247.7,261,243,259.4,2837700,257.461
2015-09-22,261.5,263.6,254.05,256.6,1870700,254.682
2015-09-23,254,260.75,250.3,258.7,1112000,256.766
2015-09-24,259.7,259.7,249.45,250.25,1330800,248.38
2015-09-25,250.25,250.25,250.25,250.25,0,248.38
2015-09-28,251.4,254.3,247.3,250.85,1149500,248.975
2015-09-29,248.4,263.2,247.35,256.05,2446400,254.136
2015-09-30,259,269.9,259,268.3,2579400,266.295
2015-10-01,272,272.65,266.5,270.15,1884700,268.131
2015-10-02,270.15,270.15,270.15,270.15,0,268.131
2015-10-05,272.6,275.75,267.2,270.1,1225800,268.081
2015-10-06,271.1,284.4,269.25,282,1916500,279.892
2015-10-07,282,283.5,272,273.15,1498000,271.108
2015-10-08,273.15,274.95,268.7,272.15,1140600,270.116
2015-10-09,272.55,280.95,272.55,278.25,1520400,276.17
2015-10-12,279.05,283,270.6,272.6,1124400,270.562
2015-10-13,273.8,277.6,267.15,268.25,1636900,266.245
2015-10-14,268,273.3,266.55,271.55,781500,269.52
2015-10-15,271.75,277.25,270,276.35,1072500,274.284
2015-10-16,277.7,285,274.2,284.75,1297200,282.622
2015-10-19,283.7,286.75,281.5,284.35,953700,282.225
2015-10-20,282,288.9,281.25,282.3,848700,280.19
2015-10-21,282.9,289.4,280.95,288.15,1448800,285.996
2015-10-22,288.15,288.15,288.15,288.15,0,285.996
2015-10-23,292.6,292.6,288.25,289.1,1108200,286.939
2015-10-26,291.2,296.95,287.55,295.4,1442300,293.192
2015-10-27,293,296.7,283.7,290.8,3295600,288.626
2015-10-28,288,294.85,286.45,292.65,1963300,290.463
2015-10-29,292.3,299,289.75,297.15,1836300,294.929
2015-10-30,296.4,296.4,280,283.45,2441800,281.331
2015-11-02,281,284.9,274.25,278.25,1016100,276.17
2015-11-03,279.65,286.5,278.75,285.7,859400,283.565
2015-11-04,287.2,288.3,276.1,277.45,780400,275.376
2015-11-05,276.75,279.9,271.8,274,971800,271.952
2015-11-06,275,281.5,267.1,278.65,2720300,276.567
2015-11-09,271,278,267.8,276.25,1145100,274.185
2015-11-10,274.8,278.1,263.05,264.8,1125500,262.821
2015-11-11,264.8,264.8,264.8,264.8,0,262.821
2015-11-12,264.8,264.8,264.8,264.8,0,262.821
2015-11-13,267.8,267.8,256.3,260,1944700,258.057
2015-11-16,259.8,263.75,257.65,259.45,892100,257.511
2015-11-17,260.6,266.8,258.05,260.15,1440500,258.206
2015-11-18,260.9,262.45,252,253.65,1175200,251.754
2015-11-19,256,261.95,256,260,1535900,258.057
2015-11-20,261.5,275,261.5,271.5,2930900,269.471
2015-11-23,271.55,273.7,266.9,271.7,1189800,269.669
2015-11-24,272.1,274,268.35,270,897600,267.982
2015-11-25,270,270,270,270,0,267.982
2015-11-26,271,289.25,270,285.1,3304200,282.969
2015-11-27,285.1,285.75,280,282.7,1434700,280.587
2015-11-30,283.5,290.75,281.15,289.1,1862600,286.939
2015-12-01,289.6,294.7,288.6,292.55,1434800,290.363
2015-12-02,293.4,295.5,289.85,293.15,2057900,290.959
2015-12-03,291.25,291.5,277.5,281.7,2003900,279.594
2015-12-04,278.1,287.3,278.1,285.8,1116500,283.664
2015-12-07,287.2,295.9,286.05,294.75,1236900,292.547
2015-12-08,294.75,298.7,289.5,291.95,1733200,289.768
2015-12-09,291.95,291.95,285,286.95,1159600,284.805
2015-12-10,286,295.8,280.5,293.5,1216100,291.306
2015-12-11,295,298.9,290,298.25,2024000,296.021
2015-12-14,299.7,299.7,290.7,293,1704700,290.81
2015-12-15,289.25,302.5,289.25,300.85,1817000,298.601
2015-12-16,302.75,307.4,301.1,306.5,2305800,304.209
2015-12-17,303.1,305.4,296.6,303.3,1769700,301.033
2015-12-18,300.1,306.1,298.8,303.25,844100,300.983
2015-12-21,304.05,309.55,303.2,305.65,1001700,303.365
2015-12-22,305.65,309.95,302.4,303.6,882400,301.331
2015-12-23,304.1,309.45,304.1,307.8,551600,305.499
2015-12-24,308,312.7,305.9,311.55,976000,309.221
2015-12-25,311.55,311.55,311.55,311.55,0,309.221
2015-12-28,309.55,314.75,309.55,312.6,631000,310.263
2015-12-29,312,313,307.8,311.75,913100,309.42
2015-12-30,311,318.5,310,316.7,880500,314.333
2015-12-31,316,327,315,324.3,1905800,321.876
2016-01-01,324,324.5,316.25,319.25,674400,316.864
2016-01-04,318.5,320,303.5,307.3,1083500,305.003
2016-01-05,309,309.75,303.15,304.65,1104200,302.373
2016-01-06,303.9,309.85,301.2,305.7,1090100,303.415
2016-01-07,302.15,302.45,286.25,288.15,1851200,285.996
2016-01-08,289.9,299.8,289.9,296.65,1362200,294.433
2016-01-11,291.85,303.1,287.35,298.4,997000,296.17
2016-01-12,298.65,302.9,285.3,287.4,1420600,285.252
2016-01-13,289.95,293,276.45,288.7,1878300,286.542
2016-01-14,282,293.5,280.15,288.7,1154200,286.542
2016-01-15,290,294,278,280.4,719500,278.304
2016-01-18,280,281,260.45,271.75,1576800,269.719
2016-01-19,272.7,277.8,266.8,276.85,1336500,274.781
2016-01-20,274.65,274.65,258.4,269.95,1499500,267.932
2016-01-21,274,279.6,268.1,275.25,1050300,273.193
2016-01-22,278.75,289,276.4,284.2,1495300,282.076
2016-01-25,288.1,288.8,279.4,283.5,674200,281.381
2016-01-26,283.5,283.5,283.5,283.5,0,281.381
2016-01-27,285,288,281.5,282.95,761300,280.835
2016-01-28,283,287.9,279.55,283.55,2349900,281.431
2016-01-29,283.35,288.2,279.3,286.55,868800,284.408
2016-02-01,289,292.5,284.65,286.8,773800,284.656
2016-02-02,288,291.2,281.2,283.1,863000,280.984
2016-02-03,279.95,281.2,257.6,277.15,1165300,275.078
2016-02-04,275.35,282.4,269.1,274.15,1253400,272.101
2016-02-05,277,281.75,274.05,278.95,823200,276.865
2016-02-08,281,289.7,279.1,283.4,932200,281.282
2016-02-09,280.5,283.8,275.45,280.65,767300,278.552
2016-02-10,278.25,282.95,266.5,269.25,1412300,267.237
2016-02-11,266.5,272.2,217.8,240.35,6020700,238.554
2016-02-12,236,239,211,228.6,6579700,226.891
2016-02-15,236.9,243.4,232.75,238.05,2109600,236.271
2016-02-16,240,240,226.3,232.35,3280400,230.613
2016-02-17,234,238.95,226.6,236,1502700,234.236
2016-02-18,237,244.8,228.6,234.85,1751600,233.095
2016-02-19,234.85,240.35,232.55,237.15,953200,235.377
2016-02-22,239.3,241,234.15,238.45,758900,236.668
2016-02-23,240,241.45,228.65,230,981900,228.281
2016-02-24,227.55,235.8,224,232.9,1629900,231.159
2016-02-25,233.5,236.45,217.7,223.55,2374900,221.879
2016-02-26,226.2,228,222.25,225.6,1469500,223.914
2016-02-29,226,229,220.8,223.4,1672500,221.73
2016-03-01,224.5,234.4,223.5,231.9,1475100,230.167
2016-03-02,236,245.4,236,243.7,1470600,241.878
2016-03-03,245.1,247.65,241,244.4,1247000,242.573
2016-03-04,246,248.8,242.55,245.7,906900,243.864
2016-03-07,245.7,245.7,245.7,245.7,0,243.864
2016-03-08,245,249.2,238,240.6,1152400,238.802
2016-03-09,240.6,245.6,238.25,242.5,2332800,240.687
2016-03-10,244.95,246,235.9,237.95,1346200,236.171
2016-03-11,237.95,248,236.25,247.25,2810600,245.402
2016-03-14,250,252.9,246.25,248.6,2087100,246.742
2016-03-15,249.35,253.2,247.5,248.4,1579600,246.543
2016-03-16,249.8,251.25,241.65,246.9,2017700,245.055
2016-03-17,251,255.65,250,252.4,1721500,250.513
2016-03-18,253,271.65,250.35,269.1,2694300,267.089
2016-03-21,270.9,278.25,267,275.8,2120400,273.739
2016-03-22,276,278,269.6,272.05,1677900,270.017
2016-03-23,272,276.3,267.2,269.55,1490000,267.535
2016-03-24,269.55,269.55,269.55,269.55,0,267.535
2016-03-25,269.55,269.55,269.55,269.55,0,267.535
2016-03-28,270.5,270.65,262.1,264.8,1016700,262.821
2016-03-29,265.95,272,263.65,266.55,1049800,264.558
2016-03-30,268,274.95,267.5,273.5,927500,271.456
2016-03-31,273.05,279.9,269.6,278.1,1894800,276.021
2016-04-01,279,286.9,275.9,284.85,1364800,282.721
2016-04-04,285.65,289,280.5,281.45,1039400,279.346
2016-04-05,280.8,284.9,272.75,274.1,1265800,272.051
2016-04-06,275.6,279.9,272.25,277,1052600,274.93
2016-04-07,277,280.5,268.95,270.6,1152400,268.577
2016-04-08,270,273.45,266.7,271.9,1534900,269.868
2016-04-11,272.45,276.6,270.45,275.4,1787000,273.342
2016-04-12,276.6,281.4,275.3,277.85,1936900,275.773
2016-04-13,280.5,284.9,280.5,283.95,1155300,281.828
2016-04-14,283.95,283.95,283.95,283.95,0,281.828
2016-04-15,283.95,283.95,283.95,283.95,0,281.828
2016-04-18,288.25,295.9,286.35,293.55,3167900,291.356
2016-04-19,293.55,293.55,293.55,293.55,0,291.356
2016-04-20,296.3,304.95,296,302.35,4335500,300.09
2016-04-21,305.45,305.7,297.1,298.8,2305800,296.567
2016-04-22,300.6,303.5,296.15,297.55,1311300,295.326
2016-04-25,297.7,301.4,289.5,293.1,1640100,290.909
2016-04-26,292,297.95,291.25,296.75,1621300,294.532
2016-04-27,298.45,303,297.25,301.9,1548800,299.643
2016-04-28,302.95,303.55,293.45,294.7,1865600,292.497
2016-04-29,295.6,298,289.65,293.5,1183500,291.306
2016-05-02,293.5,298.5,289.8,296.35,948200,294.135
2016-05-03,297,307.9,294.2,297.5,3002900,295.276
2016-05-04,297.5,298,288.65,291.15,1109300,288.974
2016-05-05,290,295.85,287.5,289.95,1669800,287.783
2016-05-06,288.3,306.5,288.3,305.4,3573400,303.117
2016-05-09,307.05,312,304.95,311,2551700,308.675
2016-05-10,311,311,304.6,307.4,1174900,305.102
2016-05-11,301.6,320.3,300.4,319.3,4045500,316.913
2016-05-12,320.2,328.3,320.2,325.85,3567000,323.414
2016-05-13,325,327.75,320.85,324.1,2064600,321.678
