"Date","SRTRANSFIN.NS.Open","SRTRANSFIN.NS.High","SRTRANSFIN.NS.Low","SRTRANSFIN.NS.Close","SRTRANSFIN.NS.Volume","SRTRANSFIN.NS.Adjusted"
2015-10-09,953,968,942.5,958.4,252700,946.31
2015-10-12,959.5,981.85,951,977.45,249000,965.12
2015-10-13,973.2,1013,965.7,1007.45,489200,994.75
2015-10-14,1013.1,1018.9,971,990.35,400700,977.86
2015-10-15,1002,1005,986,998.15,294000,985.56
2015-10-16,998.15,998.15,998.15,998.15,0,985.56
2015-10-19,964.5,975.1,946.35,967.5,380800,955.3
2015-10-20,973.9,977.9,962,973.3,301300,961.03
2015-10-21,970,970,908,933.3,1444600,921.53
2015-10-22,933.3,933.3,933.3,933.3,0,921.53
2015-10-23,970,970,938,947.25,818400,935.31
2015-10-26,948.6,956.4,932.4,945.15,494600,933.23
2015-10-27,942.95,954,928.3,944.65,414100,932.74
2015-10-28,942.3,950.5,925,933,624800,921.23
2015-10-29,934.4,945,902,941.5,1281100,929.63
2015-10-30,932,954,930.55,943.35,474500,931.45
2015-11-02,949.5,965,931.45,940.1,512100,928.25
2015-11-03,944.85,956.9,935.15,952,283600,940
2015-11-04,956.05,962.9,949.55,956.65,168400,944.59
2015-11-05,954,954,898.2,913.85,389300,906.11
2015-11-06,912.85,938.85,909.9,932.25,312400,924.36
2015-11-09,922,925,884.15,889.8,921100,882.27
2015-11-10,880,887.95,860,865.7,429800,858.37
2015-11-11,865.7,865.7,865.7,865.7,0,858.37
2015-11-12,865.7,865.7,865.7,865.7,0,858.37
2015-11-13,876,891.9,854.1,888.1,1427500,880.58
2015-11-16,885.1,885.1,858.85,875.1,452600,867.69
2015-11-17,884.9,884.9,866.35,870.1,420900,862.74
2015-11-18,874,877.5,850,851.4,293300,844.19
2015-11-19,855.35,864.95,842.2,852.15,1473200,844.94
2015-11-20,855.15,863.9,847.55,849.9,444600,842.71
2015-11-23,853,854.6,830,833.25,405600,826.2
2015-11-24,832.5,852.45,832,846.15,618800,838.99
2015-11-25,846.15,846.15,846.15,846.15,0,838.99
2015-11-26,850,853.5,842,847.65,1179200,840.48
2015-11-27,849.6,884,847.85,879.25,616900,871.81
2015-11-30,879.25,879.25,879.25,879.25,0,871.81
2015-12-01,880.25,885.8,873.5,880.45,270000,873
2015-12-02,886,892.8,871,887.1,898000,879.59
2015-12-03,879.1,884.4,855.5,859.9,479100,852.62
2015-12-04,864.7,864.7,835,845.3,796500,838.15
2015-12-07,851,863.5,846.7,856.7,308700,849.45
2015-12-08,852,864.95,850.5,856.3,515100,849.05
2015-12-09,854.9,862.95,847.3,853.4,422300,846.18
2015-12-10,857,857,822.65,824.55,2212500,817.57
2015-12-11,825,828.35,803.05,807.75,946100,800.91
2015-12-14,807,807,784.25,796.65,788500,789.91
2015-12-15,802,804.5,780.35,790.8,938200,784.11
2015-12-16,798.75,803.8,783,794.85,814700,788.12
2015-12-17,801.7,810,797,803.1,538800,796.3
2015-12-18,807.2,827.9,797.45,821.3,1213700,814.35
2015-12-21,821,844.9,818,843.25,516600,836.11
2015-12-22,848,854.75,842,849.8,493800,842.61
2015-12-23,851.55,859,841.3,851.15,221100,843.95
2015-12-24,846,863,844.5,853.45,226300,846.23
2015-12-25,853.45,853.45,853.45,853.45,0,846.23
2015-12-28,852,856.25,847.3,851.7,167000,844.49
2015-12-29,856,861.65,844.65,848,306900,840.82
2015-12-30,852,862.9,845.55,850.6,322300,843.4
2015-12-31,850,874,846,858.7,536700,851.43
2016-01-01,859,869.9,855,865.7,116300,858.37
2016-01-04,856.65,877.8,834.15,840.9,272700,833.78
2016-01-05,848.95,871.3,837.35,864.9,335400,857.58
2016-01-06,864.9,891.5,863.4,872.6,732700,865.21
2016-01-07,865,866.05,815.4,821.55,251000,814.6
2016-01-08,827,856,827,841.95,514700,834.82
2016-01-11,837,841.7,812,818,350000,811.08
2016-01-12,824,824.75,806,808,207700,801.16
2016-01-13,811,819.55,786.4,806.65,641400,799.82
2016-01-14,797.8,808.55,786,799.8,1206000,793.03
2016-01-15,799.95,814.5,762,764.9,236500,758.43
2016-01-18,769,777,743,767.25,488300,760.76
2016-01-19,777,784,755.35,775.25,433000,768.69
2016-01-20,771.05,771.05,744.6,750.15,408400,743.8
2016-01-21,755,763,736.95,741.05,704100,734.78
2016-01-22,751,767.25,746.1,752.6,525100,746.23
2016-01-25,756.85,767.05,747,749.3,208600,742.96
2016-01-26,749.3,749.3,749.3,749.3,0,742.96
2016-01-27,750,758,739.4,747.25,424800,740.93
2016-01-28,746,755.9,737.1,750.75,790300,744.4
2016-01-29,750.1,859.3,750.1,844.25,1409400,837.1
2016-02-01,847.95,849.2,801.1,809.6,545500,802.75
2016-02-02,809.6,842.45,792,801.15,536700,794.37
2016-02-03,795,829.8,784,804.15,496700,797.34
2016-02-04,814.4,840.1,811.45,832.65,622200,825.6
2016-02-05,840,847.9,830.2,841.4,545400,834.28
2016-02-08,849.7,870,844.05,856.45,399600,849.2
2016-02-09,850,850,811.8,817.95,383100,811.03
2016-02-10,810,818.7,799,810.45,267100,803.59
2016-02-11,810,811.9,769.35,779.5,516500,772.9
2016-02-12,781.5,793.65,748,786.65,1015500,779.99
2016-02-15,814,822.05,779.1,813.2,333800,806.32
2016-02-16,820,841.95,805.55,809.15,388000,802.3
2016-02-17,811.05,837,800.1,833.9,392700,826.84
2016-02-18,840,847.8,825.5,834.9,229700,827.83
2016-02-19,834.9,842.8,811.25,826.2,322500,819.21
2016-02-22,837.2,849,817.25,841.5,268100,834.38
2016-02-23,850.2,853.3,802,809.35,536700,802.5
2016-02-24,801,822.45,796.5,815.05,326300,808.15
2016-02-25,821.95,821.95,782.6,795.95,790100,789.21
