"Date","AMARAJABAT.NS.Open","AMARAJABAT.NS.High","AMARAJABAT.NS.Low","AMARAJABAT.NS.Close","AMARAJABAT.NS.Volume","AMARAJABAT.NS.Adjusted"
2015-05-27,867,870.04999,855.04999,867,61800,859.76043
2015-05-28,870.15002,880,855,864,96600,856.78548
2015-05-29,893.95001,904.79999,855.79999,885.59998,683200,878.2051
2015-06-01,877.09998,890,866.79999,875.75,163100,868.43737
2015-06-02,868.29999,896.79999,868.29999,878.45001,360200,871.11484
2015-06-03,878.45001,878.45001,833,872.5,162300,865.21451
2015-06-04,865.40002,887,865.40002,876.34998,147400,869.03234
2015-06-05,865.25,888,865.25,880.45001,197000,873.09814
2015-06-08,882,884,864.09998,877.65002,119300,870.32153
2015-06-09,872.95001,887.09998,867.40002,883.54999,378800,876.17223
2015-06-10,890.09998,908.65002,887.09998,902.20001,447900,894.66652
2015-06-11,914.04999,915.04999,870,875.5,283700,868.18946
2015-06-12,874,874.65002,825,846.59998,185800,839.53075
2015-06-15,846.5,866.25,840,843.34998,114800,836.30789
2015-06-16,843.95001,858.95001,820,853.34998,457500,846.22439
2015-06-17,858,881.25,855,872.5,173100,865.21451
2015-06-18,872.5,890.5,862.04999,886.45001,127200,879.04804
2015-06-19,887.25,888.70001,874.29999,878,71800,870.66858
2015-06-22,884.79999,886,877.54999,880.34998,104800,872.99894
2015-06-23,884.40002,887,872.04999,875.15002,127700,867.8424
2015-06-24,875,875,865.09998,870.95001,84900,863.67746
2015-06-25,864.5,870,853.09998,859.84998,71200,852.67011
2015-06-26,860,889.95001,855.34998,873.20001,234100,865.90868
2015-06-29,865,869,844.20001,866.70001,122400,859.46295
2015-06-30,866.5,885,861.20001,883.34998,297900,875.97389
2015-07-01,883.90002,894.59998,878.59998,882.40002,174800,875.03187
2015-07-02,882.40002,902,878.15002,881.95001,212400,874.58561
2015-07-03,882,887,871.95001,880.90002,98400,873.54439
2015-07-06,860.5,888,860.5,883.84998,121300,876.46971
2015-07-07,880,901,877.04999,880.40002,246400,873.04857
2015-07-08,870.20001,886,861,864.75,202800,857.52922
2015-07-09,868,871.70001,861.15002,864,122600,856.78548
2015-07-10,873.5,873.5,846,852.95001,127900,845.82777
2015-07-13,848.20001,863,840.09998,861,187000,853.81053
2015-07-14,860,891.5,851,879.25,205800,871.90814
2015-07-15,881,893.09998,865,868.34998,143100,861.09914
2015-07-16,871,880,871,877.90002,90100,870.56944
2015-07-17,882,882,856.04999,869.70001,116000,862.4379
2015-07-20,870.04999,876.90002,859.09998,867,143900,859.76043
2015-07-21,863.20001,884.34998,856.75,861.25,153200,854.05845
2015-07-22,862,874,856,869.59998,74300,862.3387
2015-07-23,871,883.95001,862,869.70001,146900,862.4379
2015-07-24,870,874.95001,850,861,90600,853.81053
2015-07-27,860,864.95001,841.40002,844.45001,72700,837.39874
2015-07-28,845.09998,873.25,845,864.40002,216100,857.18217
2015-07-29,865,889.90002,862.09998,886.90002,273500,879.49429
2015-07-30,897.90002,897.90002,872.84998,879.79999,198600,872.45354
2015-07-31,882.79999,889.95001,878.04999,882.40002,100100,875.03187
2015-08-03,882.90002,961.79999,872.95001,949.29999,1410800,941.37321
2015-08-04,957.70001,991.84998,957,975.40002,836100,967.2553
2015-08-05,985,994.70001,963.5,982.20001,271700,973.99851
2015-08-06,983.90002,987.95001,934,948.34998,246600,943.90036
2015-08-07,951,992,949.95001,972.34998,337500,967.78775
2015-08-10,977,985.79999,955,964.65002,142200,960.12393
2015-08-11,965,977,951.70001,954.65002,113100,950.17085
2015-08-12,952.70001,969.25,900.04999,911.95001,197000,907.67118
2015-08-13,925,949.95001,922.15002,937.79999,222500,933.39987
2015-08-14,947,982,930,973.90002,1004500,969.33053
2015-08-17,985.90002,1066.65002,984.34998,1056.05005,1687800,1051.09511
2015-08-18,1062,1065.65002,1025.55005,1037.75,566500,1032.88092
2015-08-19,1029.30005,1066.65002,1020.25,1057.84998,423800,1052.88659
2015-08-20,1054,1064.65002,1032.40002,1048.84998,397900,1043.92882
2015-08-21,1030,1086.80005,1021,1073.25,874300,1068.21436
2015-08-24,1041,1048,970,991.75,311700,987.09675
2015-08-25,1025,1128,963.20001,1081.44995,988500,1076.37583
2015-08-26,1081.5,1109,1044.40002,1056.90002,404800,1051.94109
2015-08-27,1090,1098.75,1028,1062.30005,317600,1057.31578
2015-08-28,1067,1072.19995,1011,1022.15002,290200,1017.35414
2015-08-31,1023.45001,1034.55005,991.65002,1008.04999,325900,1003.32026
2015-09-01,983.65002,1048,970.09998,988.5,660100,983.862
2015-09-02,1005,1010.04999,965.20001,973.04999,371300,968.48448
2015-09-03,987,999,962.5,974.20001,380200,969.62911
2015-09-04,967,967,931.54999,948,243500,943.55202
2015-09-07,950,958.54999,921,926.40002,268000,922.05339
2015-09-08,920,926,879.20001,901.70001,510800,897.46927
2015-09-09,915.5,956.79999,915.5,947.95001,570800,943.50227
2015-09-10,935,954.09998,909.25,933.34998,436900,928.97074
2015-09-11,947.90002,952,920,929.84998,211300,925.48716
2015-09-14,932.04999,965.84998,932.04999,954.84998,397000,950.36986
2015-09-15,952.40002,964.54999,943.04999,960.29999,263400,955.7943
2015-09-16,966.09998,984.90002,955,958.65002,416800,954.15208
2015-09-17,958.65002,958.65002,958.65002,958.65002,0,954.15208
2015-09-18,979,1029,965.20001,1016.20001,562000,1011.43204
2015-09-21,1010,1035.55005,1000.79999,1009,352600,1004.26581
2015-09-22,1024.05005,1027.65002,985,989.54999,320500,984.90706
2015-09-23,965.79999,999.5,965,977.90002,616000,973.31176
2015-09-24,986,993.25,972,984.59998,315900,979.98027
2015-09-25,984.59998,984.59998,984.59998,984.59998,0,979.98027
2015-09-28,987.75,1001,975.40002,981.34998,175500,976.74552
2015-09-29,977.90002,1020.65002,966.79999,1015.15002,329400,1010.38698
2015-09-30,1030,1064.25,1025,1029.65002,847800,1024.81895
2015-10-01,1040.94995,1048.75,1019.04999,1030.94995,172300,1026.11278
2015-10-02,1030.94995,1030.94995,1030.94995,1030.94995,0,1026.11278
2015-10-05,1041.90002,1044.84998,1026,1036.15002,90800,1031.28845
2015-10-06,1037,1057,1028.5,1046.59998,227800,1041.68937
2015-10-07,1048.94995,1048.94995,1015,1028.65002,213300,1023.82364
2015-10-08,1028.65002,1035.19995,998.25,1008.90002,138900,1004.16631
2015-10-09,1012,1024.94995,976.95001,988.25,209200,983.61317
2015-10-12,991,1009.79999,985.09998,1004.75,134300,1000.03575
2015-10-13,1008,1012,987,998.65002,178900,993.9644
2015-10-14,998.79999,1005.95001,989.84998,995,121400,990.3315
2015-10-15,999,1004.29999,988,992.75,181300,988.09206
2015-10-16,995,1002.5,986.40002,994.25,118500,989.58502
2015-10-19,990.04999,1025,990.04999,1020.25,419900,1015.46303
2015-10-20,1030.75,1041.5,1018.5,1023.45001,397300,1018.64803
2015-10-21,1023,1030,1002.45001,1010.34998,115200,1005.60946
2015-10-22,1010.34998,1010.34998,1010.34998,1010.34998,0,1005.60946
2015-10-23,1019.90002,1020.59998,998.5,1001.84998,132800,997.14934
2015-10-26,1010,1011.40002,975.09998,981.25,174200,976.64602
2015-10-27,971.5,984,961.79999,974.59998,409600,970.02719
2015-10-28,976.79999,992.25,907,915.09998,1880500,910.80636
2015-10-29,924,929,885.34998,899.65002,1292800,895.4289
2015-10-30,900.04999,909.95001,887.59998,903.5,451600,899.26082
2015-11-02,909.79999,914.70001,881,891.95001,412900,887.76502
2015-11-03,898.84998,899,868.09998,875.84998,420800,871.74052
2015-11-04,880,895,870,890.09998,489400,885.92366
2015-11-05,895,895,875.04999,882.54999,236600,878.4091
2015-11-06,885,895,863.5,887.90002,266000,883.73403
2015-11-09,860.59998,912,860.59998,908.34998,269500,904.08804
2015-11-10,913.5,913.5,885,888.79999,161600,884.62978
2015-11-11,888.79999,888.79999,888.79999,888.79999,0,884.62978
2015-11-12,888.79999,888.79999,888.79999,888.79999,0,884.62978
2015-11-13,896.75,896.75,869.20001,880.45001,123600,876.31898
2015-11-16,882.95001,894,870,888.09998,161700,883.93305
2015-11-17,895,908,888.29999,902.09998,270000,897.86736
2015-11-18,902.90002,905,886.40002,894.95001,112600,890.75094
2015-11-19,897.90002,907.5,893.70001,899.5,145000,895.27958
2015-11-20,902,907.90002,891.59998,894,173800,889.80539
2015-11-23,892,896.5,869,871.09998,380600,867.01281
2015-11-24,865,887.5,857,883.25,543700,879.10583
2015-11-25,883.25,883.25,883.25,883.25,0,879.10583
2015-11-26,885,887.79999,864.04999,868,351500,863.92738
2015-11-27,868.70001,880.45001,865,874.75,243800,870.64571
2015-11-30,878.40002,888.20001,872,874,282300,869.89923
2015-12-01,874.5,881.84998,869.29999,871.40002,161000,867.31145
2015-12-02,872,883,865.15002,878.09998,301200,873.97997
2015-12-03,885,895.90002,855,858.79999,334400,854.77053
2015-12-04,850,853.90002,835,844.04999,583100,840.08974
2015-12-07,849,859,842.90002,845.90002,267400,841.9311
2015-12-08,847.09998,858,844.20001,848.04999,218900,844.07097
2015-12-09,848,855,831.65002,838.09998,465900,834.16765
2015-12-10,840.09998,846.95001,832.90002,840.70001,328800,836.75548
2015-12-11,851,851,832.65002,837.5,510300,833.57048
2015-12-14,831.04999,852,831.04999,845.09998,327500,841.1348
2015-12-15,845.09998,856,840.5,853.09998,128600,849.09727
2015-12-16,857,858,849,851.84998,314900,847.85313
2015-12-17,854.79999,857.75,846.75,854.95001,340800,850.93862
2015-12-18,852,864.29999,847.09998,853.84998,481600,849.84375
2015-12-21,854,856.40002,849.04999,854.45001,176600,850.44097
2015-12-22,856.5,856.79999,850,851.40002,196000,847.40529
2015-12-23,853,856.29999,851.09998,853.45001,212000,849.44566
2015-12-24,855,869.79999,855,861.90002,350600,857.85603
2015-12-25,861.90002,861.90002,861.90002,861.90002,0,857.85603
2015-12-28,862,866.70001,857.54999,860.70001,131100,856.66164
2015-12-29,863,869.90002,861.25,863.59998,189800,859.548
2015-12-30,867,875,860.20001,864.59998,356900,860.54331
2015-12-31,865.5,872,857,861.79999,351600,857.75646
2016-01-01,864.54999,871,860.20001,867.45001,175000,863.37997
2016-01-04,868.04999,879,865,870.59998,274200,866.51516
2016-01-05,871,878,868.20001,871,442600,866.9133
2016-01-06,871.70001,884.70001,855.09998,861.79999,251900,857.75646
2016-01-07,857.29999,859.5,835.20001,838.25,180000,834.31697
2016-01-08,846,852.75,825.29999,845.34998,210500,841.38363
2016-01-11,840,845.90002,828.90002,841.25,126300,837.30289
2016-01-12,841.84998,851.79999,831.84998,834.79999,124800,830.88314
2016-01-13,837,842.70001,806,835.04999,216500,831.13197
2016-01-14,831,831,808,816.70001,304200,812.86809
2016-01-15,819,823.75,810.20001,813.65002,147200,809.83241
2016-01-18,805.5,810.65002,774.15002,787.95001,250600,784.25298
2016-01-19,791.15002,812.09998,776.15002,808.95001,190800,805.15445
2016-01-20,804.84998,804.84998,776,794.90002,198300,791.17039
2016-01-21,797,807.90002,794,804.95001,158600,801.17322
2016-01-22,810,825,808.20001,820.84998,103600,816.99858
2016-01-25,821.20001,843.75,805,838.45001,177200,834.51604
2016-01-26,838.45001,838.45001,838.45001,838.45001,0,834.51604
2016-01-27,839,840,814.75,821.95001,174600,818.09346
2016-01-28,819.70001,836.90002,805.5,816.54999,286600,812.71877
2016-01-29,824.59998,840.79999,820.04999,838.25,259900,834.31697
2016-02-01,845,885.5,842,876.29999,439300,872.18842
2016-02-02,880,891.20001,848,862.29999,1139700,858.25411
2016-02-03,857,879.54999,850,864.20001,477300,860.14522
2016-02-04,874,882,844,852.90002,189400,848.89825
2016-02-05,853,885,847.70001,883.29999,333000,879.15558
2016-02-08,883.29999,889.90002,865.34998,870.45001,204500,866.3659
2016-02-09,863.70001,871.70001,850,867.04999,169000,862.98183
2016-02-10,860,880,854.95001,872.25,264100,868.15744
2016-02-11,881,881,854.54999,861,258100,856.96022
2016-02-12,861,865.5,803.5,824.04999,382300,820.18358
2016-02-15,830,880,830,875.70001,208700,871.59126
2016-02-16,867.5,883.79999,836.25,842.5,220500,838.54703
2016-02-17,849.84998,849.84998,823.25,838.95001,228800,835.01369
2016-02-18,855,875,845.65002,870.45001,198100,866.3659
2016-02-19,875.70001,904.90002,866.25,885.09998,587100,880.94712
2016-02-22,892.95001,903.59998,871.5,890.45001,303700,886.27206
2016-02-23,895,895,875,879.45001,215300,875.32367
2016-02-24,879,887.75,860.90002,881.84998,190400,877.71237
2016-02-25,882,890.84998,853.25,863,360200,858.95084
2016-02-26,873,878.25,854,858.70001,290300,854.67103
2016-02-29,868,873.25,840.75,850.54999,517700,846.55924
2016-03-01,850,868,850,864.65002,159500,860.59312
2016-03-02,873.34998,885.90002,868.70001,875.65002,361500,871.54151
2016-03-03,876.65002,880,859,869.15002,179400,865.07201
2016-03-04,866.75,880,861.5,864.90002,211400,860.84195
2016-03-07,864.90002,864.90002,864.90002,864.90002,0,860.84195
2016-03-08,869.40002,896.5,860.25,891.84998,366400,887.66545
2016-03-09,895.79999,913.95001,891.84998,903.40002,769800,899.16131
2016-03-10,909.95001,917.75,901.84998,907.20001,276200,902.94347
2016-03-11,908,914.79999,887.09998,894.15002,98900,889.95471
2016-03-14,902.25,918,898.29999,913.59998,202000,909.3134
2016-03-15,917.84998,926.5,903.25,907.65002,279000,903.39137
2016-03-16,909.70001,911.59998,889.09998,901.5,168700,897.2702
2016-03-17,907.75,915,899,903.59998,197200,899.36032
2016-03-18,908.79999,909,885,896.29999,128500,892.09459
2016-03-21,900.09998,909.95001,892,905.79999,92100,901.55001
2016-03-22,895,915,895,903.40002,117700,903.40002
2016-03-23,903.25,908.90002,900.25,904.70001,49400,904.70001
2016-03-24,904.70001,904.70001,904.70001,904.70001,0,904.70001
2016-03-25,904.70001,904.70001,904.70001,904.70001,0,904.70001
2016-03-28,911,914.95001,880.65002,885.45001,183800,885.45001
2016-03-29,892,893.15002,872,886,138900,886
2016-03-30,885.20001,900,884.34998,888.79999,116600,888.79999
2016-03-31,882.15002,890.34998,872.5,877.59998,331700,877.59998
2016-04-01,880,894,880,887.04999,95300,887.04999
2016-04-04,887.5,909.79999,886.25,903.70001,212100,903.70001
2016-04-05,909.5,914.34998,885.09998,891.15002,250800,891.15002
2016-04-06,892.90002,896.5,875.70001,877.70001,164400,877.70001
2016-04-07,888.79999,888.79999,864,867.45001,144800,867.45001
2016-04-08,862.84998,872.29999,850,861.65002,234700,861.65002
2016-04-11,862.09998,895,862.09998,890.75,502400,890.75
2016-04-12,896.90002,906.95001,890.90002,894.65002,252600,894.65002
2016-04-13,893.04999,912.09998,893.04999,900.20001,284500,900.20001
2016-04-14,900.20001,900.20001,900.20001,900.20001,0,900.20001
2016-04-15,900.20001,900.20001,900.20001,900.20001,0,900.20001
2016-04-18,901.65002,941.09998,896.29999,939,587500,939
2016-04-19,939,939,939,939,0,939
2016-04-20,947.95001,952,921,923.75,412100,923.75
2016-04-21,932.75,936.40002,924,928.20001,179200,928.20001
2016-04-22,924,935,919.09998,928.79999,259200,928.79999
2016-04-25,929,940,926.20001,930,116300,930
2016-04-26,930,954.09998,920.59998,949.20001,422800,949.20001
2016-04-27,950.5,958,937.59998,941.09998,266200,941.09998
2016-04-28,947.40002,957.59998,933.59998,938.15002,369000,938.15002
2016-04-29,935,960,931.09998,955.84998,177600,955.84998
2016-05-02,959.90002,963,945,958.70001,233600,958.70001
2016-05-03,957,964.95001,953,956.95001,274700,956.95001
2016-05-04,948.5,954.79999,935,942.29999,205200,942.29999
2016-05-05,942.29999,945,926.15002,930.95001,236200,930.95001
2016-05-06,925,945,916.09998,941.15002,173000,941.15002
2016-05-09,945.29999,952,937.79999,948,121700,948
2016-05-10,945,958,943.25,954.25,101000,954.25
2016-05-11,950,958,935.04999,952.84998,126000,952.84998
2016-05-12,962.15002,963.04999,946,950.09998,102700,950.09998
2016-05-13,942,951.79999,938.75,944.65002,120800,944.65002
2016-05-16,945.70001,949.95001,935.20001,943,111600,943
2016-05-17,950,959,938.54999,951.15002,114500,951.15002
2016-05-18,950.70001,954.15002,936.45001,949.59998,302300,949.59998
2016-05-19,955,961.5,938.04999,941.95001,169600,941.95001
2016-05-20,941.95001,953,938,947.75,160200,947.75
2016-05-23,950.34998,966.40002,915,921.79999,373200,921.79999
2016-05-24,920,920,879,894.34998,597800,894.34998
2016-05-25,849.79999,870.25,842,850.59998,948900,850.59998
2016-05-26,850.09998,867.90002,850.09998,856.84998,778100,856.84998
2016-05-27,863.79999,872,859,861.20001,334000,861.20001
