"Date","CAIRN.NS.Open","CAIRN.NS.High","CAIRN.NS.Low","CAIRN.NS.Close","CAIRN.NS.Volume","CAIRN.NS.Adjusted"
2015-12-02,137.3,138.2,136.55,137.55,1051000,123.89
2015-12-03,135.05,138.2,134.45,136.5,1502600,122.95
2015-12-04,136.35,141.65,135.7,139.35,2712700,125.51
2015-12-07,138,138,134.9,135.85,1880200,122.36
2015-12-08,132.95,133.8,127,128,2950900,115.29
2015-12-09,129,129.35,125.1,125.9,2234000,113.4
2015-12-10,126.9,127.45,125.7,126.5,1413700,113.94
2015-12-11,127.8,128.4,125.05,125.6,1510200,113.13
2015-12-14,122.5,125.55,122,124.95,2002500,112.54
2015-12-15,125.75,128.2,124.1,126.6,1885000,114.03
2015-12-16,128.4,133.45,128,131.3,4487700,118.26
2015-12-17,130,132,128.1,130,2022700,117.09
2015-12-18,128.2,131,128.1,130.2,2226900,117.27
2015-12-21,128.95,134.7,128,134.05,2129500,120.74
2015-12-22,133.5,135.7,132.35,133.15,1405900,119.93
2015-12-23,134.1,136.15,134,135.35,956400,121.91
2015-12-24,136.55,139.7,136.5,138.65,2149600,124.88
2015-12-25,138.65,138.65,138.65,138.65,0,124.88
2015-12-28,139.6,140.5,138.35,139.05,1215500,125.24
2015-12-29,137.55,139.5,136.5,137.9,1604700,124.21
2015-12-30,139,139.8,136.75,137.15,1248200,123.53
2015-12-31,137.5,138.95,136.35,138.1,1529900,124.39
2016-01-01,138.75,139.95,137.05,138.6,705600,124.84
2016-01-04,139.9,143.75,137.3,138,2887800,124.3
2016-01-05,139,141.5,138.75,140.45,1557000,126.5
2016-01-06,140.05,142.45,138.25,140.6,2019500,126.64
2016-01-07,136.5,137.35,128.25,128.95,3428400,116.15
2016-01-08,130.05,133,127.85,129.45,2620500,116.6
2016-01-11,126.5,132.65,124.3,130.2,2087800,117.27
2016-01-12,127.8,129.1,126,126.95,1395500,114.34
2016-01-13,128.55,128.75,123,125.6,1774400,113.13
2016-01-14,123.2,127.5,120,126.7,2961900,114.12
2016-01-15,128.9,128.9,117.6,119.6,3698700,107.72
2016-01-18,118.4,118.4,110.1,110.75,3235000,99.75
2016-01-19,111,115.65,106.5,114.7,4934600,103.31
2016-01-20,112,113.2,107.65,111.35,3921000,100.29
2016-01-21,111.1,114.9,109.25,109.95,4311600,99.03
2016-01-22,112.4,114.9,110.7,112.85,5197800,101.64
2016-01-25,113.2,121.9,113.2,118.95,9123500,107.14
2016-01-26,118.95,118.95,118.95,118.95,0,107.14
2016-01-27,119.55,119.55,116.65,118.7,3899400,106.91
2016-01-28,119.7,124.8,119.4,123.8,6539500,111.51
2016-01-29,128.9,129.8,120.6,122.15,9407600,110.02
2016-02-01,122.25,125,121.8,124.45,2135100,112.09
2016-02-02,122.5,123.25,117.3,118.15,3254400,106.42
2016-02-03,114.1,117.75,112.75,116,3319900,104.48
2016-02-04,121,125.4,120,123,6851200,110.79
2016-02-05,123.9,127.95,120.75,127.4,4722500,114.75
2016-02-08,126.9,128.45,123.75,124.95,1742100,112.54
2016-02-09,121.3,127,120.8,125,2402600,112.59
2016-02-10,122.9,122.9,116,117.3,3886800,105.65
2016-02-11,116,117.9,113.5,114.3,2972400,102.95
2016-02-12,116,119.95,111.15,118.95,3834500,107.14
2016-02-15,124.15,127.35,120.5,125,6173300,112.59
2016-02-16,129,129.8,124.45,125.35,5432900,112.9
2016-02-17,122.15,126.8,120.5,125.9,3184300,113.4
2016-02-18,130,134.4,129.2,130.65,7149800,117.68
2016-02-19,128,132.45,126.6,131.65,2125900,118.58
