"Date","IDEA.NS.Open","IDEA.NS.High","IDEA.NS.Low","IDEA.NS.Close","IDEA.NS.Volume","IDEA.NS.Adjusted"
2016-06-03,113.3,114.3,104.2,105.45,209414900,104.7
2016-06-06,105.9,106.5,104,106,12669500,105.25
2016-06-07,106.5,106.9,104.8,105.35,8311500,104.6
2016-06-08,106.5,106.85,104.65,105.1,7603000,104.35
2016-06-09,105.4,105.6,104.15,104.9,5042600,104.15
2016-06-10,104.3,105.35,103.15,103.5,5493400,102.76
2016-06-13,102.25,102.9,99.45,99.85,10962300,99.14
2016-06-14,99.5,100.7,98.55,99.75,8515600,99.04
2016-06-15,100.1,102.15,100.1,100.5,6559000,99.79
2016-06-16,100.6,101.1,99.5,100,5238100,99.29
2016-06-17,100.65,101.6,99.85,101.2,4974500,100.48
2016-06-20,100.5,103.55,100.25,103,7223100,102.27
2016-06-21,103,103.45,102,102.2,3347800,101.47
2016-06-22,101.95,102.8,101.15,101.5,4021900,100.78
2016-06-23,102,102.3,101.3,101.6,3787100,100.88
2016-06-24,99.4,100,96.55,99.55,6302700,98.84
2016-06-27,100.7,101.1,99.7,100.35,5395600,99.64
2016-06-28,101.35,105.15,100.7,104.35,15006500,103.61
2016-06-29,105.75,105.75,104.4,105,7655400,104.25
2016-06-30,106,108.15,105.25,106.6,42462100,105.84
2016-07-01,107,107.45,105.7,106.05,5353000,105.3
2016-07-04,105.5,107.8,105.5,106.3,7458700,105.54
2016-07-05,106.5,106.5,104.8,105.3,4205000,104.55
2016-07-06,105.3,105.3,105.3,105.3,0,104.55
2016-07-07,105.5,106.45,104.4,104.75,3370900,104.01
2016-07-08,104,104.2,100.5,102,5968200,101.28
2016-07-11,103.9,103.9,102.8,103.3,2178000,102.57
2016-07-12,103.55,104.5,102.6,104.3,3416300,103.56
2016-07-13,104.5,107.2,104.05,106.6,6386400,105.84
2016-07-14,106.75,108.25,106,107.6,4891500,106.84
2016-07-15,108,111.65,107.95,111.1,10279100,110.31
2016-07-18,112.25,112.65,102.6,103.85,14281400,103.11
2016-07-19,104.7,106.75,102.8,106.3,7649100,105.54
2016-07-20,106.4,107.35,105,105.35,4013600,104.6
2016-07-21,105.6,106.45,105,105.45,3435300,104.7
2016-07-22,105.3,107.5,105.2,106.7,2870900,105.94
2016-07-25,106.9,107.75,106.05,107.4,3762400,106.64
2016-07-26,107.25,109.2,106.85,107.95,4193300,107.18
2016-07-27,108,109,105.2,106.3,4545400,105.54
2016-07-28,107.65,108.2,104.5,105.05,5858200,104.3
2016-07-29,104.8,105.9,104,104.7,3868500,103.96
2016-08-01,105.05,105.7,103.2,103.9,2678300,103.16
2016-08-02,104.1,105.35,102.3,103.95,6967000,103.21
2016-08-03,105,105.9,103.55,104.6,3480600,103.86
2016-08-04,105.25,105.8,103.45,105.5,3439400,104.75
2016-08-05,105.5,107,105,106.2,2739400,105.45
2016-08-08,106.2,106.25,102.5,103.1,10388800,102.37
2016-08-09,98,99.5,96.75,97.15,28022900,96.46
2016-08-10,96.95,98,92.5,92.95,14646700,92.29
2016-08-11,93.5,96.2,93.2,95.45,15064100,94.77
2016-08-12,96,96,93.15,93.95,10140200,93.28
2016-08-15,93.95,93.95,93.95,93.95,0,93.28
2016-08-16,94.8,95,92.95,94.75,7629100,94.08
2016-08-17,95,95.3,92.9,93.25,9323600,92.59
2016-08-18,94.05,94.55,93.45,93.65,4512300,92.98
2016-08-19,93.9,94.2,93.1,93.6,4599400,92.93
2016-08-22,95,95,93.5,94.5,5088000,93.83
2016-08-23,95,102,94.55,101,26221400,100.28
2016-08-24,98.6,98.9,97,98.35,14394800,97.65
2016-08-25,98.05,98.55,95.2,95.65,9490900,94.97
2016-08-26,95.15,95.7,93.2,93.95,6069700,93.28
2016-08-29,93.5,95.25,93.1,94.45,4411500,93.78
2016-08-30,94.95,95.2,93.3,93.8,5065900,93.13
2016-08-31,93.7,94.45,93.2,93.45,7054500,92.79
2016-09-01,93.1,93.7,83.1,83.65,62238700,83.06
2016-09-02,82.1,85.15,80.6,84.45,50448800,83.85
2016-09-05,84.45,84.45,84.45,84.45,0,83.85
2016-09-06,83.75,85.3,82.25,84.85,24026500,84.25
2016-09-07,83.65,84.85,83.25,83.7,13850600,83.11
2016-09-08,83.7,85.35,83.6,84.5,12383200,83.9
2016-09-09,84.5,85.15,83.45,83.6,6334800,83.01
2016-09-12,82.5,83.8,82.05,82.8,8544800,82.21
2016-09-13,82.8,82.8,82.8,82.8,0,82.21
