"Date","SUZLON.NS.Open","SUZLON.NS.High","SUZLON.NS.Low","SUZLON.NS.Close","SUZLON.NS.Volume","SUZLON.NS.Adjusted"
2015-07-09,21.9,23.95,21.8,23.1,60107800,23.1
2015-07-10,23.35,23.55,22.85,23.2,35194100,23.2
2015-07-13,23.2,23.45,22.9,23.2,16590400,23.2
2015-07-14,23.4,23.4,22.6,22.7,16400900,22.7
2015-07-15,22.9,23.15,22.4,22.55,14445300,22.55
2015-07-16,22.75,23.45,22.6,23.05,19352500,23.05
2015-07-17,23.1,23.4,22.85,23.2,17810200,23.2
2015-07-20,23.3,24,23,23.35,25786100,23.35
2015-07-21,23.35,23.35,21.7,21.9,29126300,21.9
2015-07-22,21.9,22.25,21.7,22.05,19220300,22.05
2015-07-23,22.2,22.3,21.7,21.8,12695400,21.8
2015-07-24,21.85,22.35,21.8,21.9,13976000,21.9
2015-07-27,21.75,22.2,21,21.4,15058900,21.4
2015-07-28,21.15,21.45,20.6,20.7,18501500,20.7
2015-07-29,20.95,21.5,20.9,21.3,13746200,21.3
2015-07-30,21.65,22.1,21.45,21.9,20674300,21.9
2015-07-31,22.15,22.9,21.45,21.9,45941600,21.9
2015-08-03,23.4,25.9,23.25,24.4,159202800,24.4
2015-08-04,24.65,25,23.95,24.4,42564900,24.4
2015-08-05,24.55,27.3,24.45,27,137485500,27
2015-08-06,27.15,28,25.7,25.95,80418000,25.95
2015-08-07,26,26.35,24.95,25.15,44181100,25.15
2015-08-10,25.35,25.7,24.55,24.65,44266500,24.65
2015-08-11,24.9,24.9,23.45,23.6,32468400,23.6
2015-08-12,23.4,24.75,23.05,23.95,51333800,23.95
2015-08-13,24.25,24.85,24.1,24.35,30318500,24.35
2015-08-14,24.5,24.95,24.45,24.6,26702900,24.6
2015-08-17,24.5,24.6,23.55,23.7,17918300,23.7
2015-08-18,23.85,24.45,23.7,23.75,19761600,23.75
2015-08-19,23.8,25.4,23.65,24.75,43312800,24.75
2015-08-20,24.7,26,24.55,24.95,82227000,24.95
2015-08-21,24,24.7,23.75,24.45,28578400,24.45
2015-08-24,23.1,23.75,20.95,21.3,52784300,21.3
2015-08-25,21.6,22.9,19.8,21.85,59452400,21.85
