"Date","COLPAL.NS.Open","COLPAL.NS.High","COLPAL.NS.Low","COLPAL.NS.Close","COLPAL.NS.Volume","COLPAL.NS.Adjusted"
2015-07-06,2044.3,2059.9,2025,2043.16,363600,996.959
2015-07-07,2043.16,2079.3,2035,2060.6,908500,1005.469
2015-07-08,2046.34,2070.5,2031,2043.8,139900,997.271
2015-07-09,2031.66,2058,2012.24,2021.76,355600,986.517
2015-07-10,2021.76,2026.76,1978,1988.9,228100,970.483
2015-07-13,1997,2021.9,1995,2007.8,187900,979.705
2015-07-14,2005,2025,1995,2006.16,220000,978.905
2015-07-15,2011,2020,2004,2013.06,428600,982.272
2015-07-16,2020,2050,2020,2043.94,240600,997.34
2015-07-17,2054.9,2055,2024.9,2030.56,265400,990.811
2015-07-20,2032,2049.94,2030,2039.56,292500,995.202
2015-07-21,2038,2077,2031.24,2050.1,302200,1000.345
2015-07-22,2050,2082,2050,2072.5,320300,1011.276
2015-07-23,2085,2090,2065,2071.06,230100,1010.573
2015-07-24,2080,2081,2052,2059.5,220700,1004.932
2015-07-27,2058.9,2069.76,2035,2056.94,424600,1003.683
2015-07-28,2062,2075,2025,2055.76,943000,1003.107
2015-07-29,2064.76,2085,2054.4,2078.06,254400,1013.989
2015-07-30,2081,2100,2027.2,2064.1,2041600,1007.177
2015-07-31,2065,2077,1948,1989.85,2095200,970.946
2015-08-03,1997.85,2000,1975,1982.7,384400,967.458
2015-08-04,1989.5,2014.2,1967.6,1984.4,355000,968.287
2015-08-05,1990,1998.35,1975.2,1980.45,380300,966.36
2015-08-06,1989.2,2045,1981,2032.3,597600,991.66
2015-08-07,2040.8,2057.4,2033,2043.06,352900,996.91
2015-08-10,2056,2058.2,2027.24,2036.4,179900,993.661
2015-08-11,2049,2049,2003.2,2015.94,191300,983.677
2015-08-12,2025,2025,1984,1989.35,213700,970.702
2015-08-13,1997,2014.94,1990,1996.95,186900,974.411
2015-08-14,1997.05,2005.94,1975,1979.5,428700,965.896
2015-08-17,1980,1995,1968,1980.8,331600,966.531
2015-08-18,1985.6,1994.9,1980.35,1986.45,442100,969.287
2015-08-19,1998.45,2004,1980.5,1991.55,722000,971.776
2015-08-20,1999,2035,1986,1995.5,429100,973.703
2015-08-21,1992,2009.94,1967.7,1994.5,371700,973.215
2015-08-24,1975,1987.2,1921,1935.35,537600,944.353
2015-08-25,1936,1968,1852,1900.6,821500,927.397
2015-08-26,1928,1928,1886.1,1916.6,523100,935.204
2015-08-27,1939,1971.95,1921.1,1938.25,255700,945.768
2015-08-28,1955,1964.95,1940,1947,238800,950.038
2015-08-31,1954.9,1962,1940,1954.8,208000,953.844
2015-09-01,1930,1940,1901,1923.9,423100,938.766
2015-09-02,1930,1941.65,1906.2,1925.95,404700,939.766
2015-09-03,1935,1936,1908,1911.85,477200,932.886
2015-09-04,1900,1900.05,1871.05,1885,356700,919.785
2015-09-07,1885.1,1898.45,1843,1848.85,347000,902.146
2015-09-08,1840.05,1849.7,1796.2,1805.9,618500,881.188
2015-09-09,1834.7,1847.5,1816.2,1835.7,243400,895.729
2015-09-10,1825,1830,1795.5,1818.95,320800,887.556
2015-09-11,1852,1873.95,1833.35,1848.1,392200,901.78
2015-09-14,1876,1934.9,1860.6,1924.8,632500,939.205
2015-09-15,1930,1965,1912,1949,407800,951.014
2015-09-16,985.45,995.95,977,992.125,667400,484.107
2015-09-17,992.125,992.125,992.125,992.125,0,484.107
2015-09-18,1000,1002.12,964.375,972.825,619100,474.69
2015-09-21,973.3,985.9,965,982.7,740100,479.508
2015-09-22,987,1000,957.525,963.075,765700,469.932
2015-09-23,943,948,927,940.3,342300,917.638
2015-09-24,945,968.4,927.6,953.85,514200,930.861
2015-09-25,953.85,953.85,953.85,953.85,0,930.861
2015-09-28,964,966.6,941,947.5,270100,924.664
2015-09-29,948,959,935.6,941.75,226100,919.053
2015-09-30,943.5,964,943.5,961.5,221200,938.327
2015-10-01,962,974.5,960,961.6,238600,938.425
2015-10-02,961.6,961.6,961.6,961.6,0,938.425
2015-10-05,974.9,976,963,964.55,184700,941.304
2015-10-06,970,972,954.05,961.3,311500,938.132
2015-10-07,948.1,951.45,930.15,943.6,249400,920.858
2015-10-08,950,954,921.5,927.3,202100,904.951
2015-10-09,927.5,938.75,927.5,930.85,169700,908.416
2015-10-12,938,939.55,909.25,919.35,312300,897.193
2015-10-13,924,924,910,916.9,249700,894.802
2015-10-14,917.9,917.9,904,910,162200,888.068
2015-10-15,916.9,920,905,907,155700,885.141
2015-10-16,910,914,895.1,907,393200,885.141
2015-10-19,914.9,944,910,940.9,360800,918.224
2015-10-20,943.7,945,931,937.2,171900,914.613
2015-10-21,940,948.6,938.4,945.25,184700,922.469
2015-10-22,945.25,945.25,945.25,945.25,0,922.469
2015-10-23,946.3,959.95,937.95,940.85,241200,918.175
2015-10-26,942,942.8,925,933.55,314200,911.051
2015-10-27,938,955.1,938,947.55,222800,924.713
