"Date","MRF.NS.Open","MRF.NS.High","MRF.NS.Low","MRF.NS.Close","MRF.NS.Volume","MRF.NS.Adjusted"
2015-10-08,42650,42830,41580.1,41895.9,9000,41771.66
2015-10-09,41930.1,42590,41220,41373.8,9300,41251.11
2015-10-12,41410,41575,40797.9,41104.6,9800,40982.71
2015-10-13,41397.6,41464,40949.9,41180.5,5700,41058.38
2015-10-14,41279.9,41480,41050,41254.8,4700,41132.46
2015-10-15,41300,42147,41300,41848.9,5400,41724.8
2015-10-16,41951,42330,41720.2,41899,5700,41774.75
2015-10-19,42060,42060,41666.1,41914.8,4300,41790.5
2015-10-20,42070,42587.9,41900,42172.9,5900,42047.83
2015-10-21,42026.6,42379,42026.6,42225.9,4600,42100.68
2015-10-22,42225.9,42225.9,42225.9,42225.9,0,42100.68
2015-10-23,42302,42898,42302,42631.1,5700,42504.68
2015-10-26,42700,42887.7,42063,42237.2,6700,42111.94
2015-10-27,42070,42240.1,41500,41578.4,8800,41455.1
2015-10-28,41300,41990,41105.1,41248.1,5200,41125.78
2015-10-29,41370,42244.9,40501,40659.9,54200,40539.32
2015-10-30,40675,41047.5,39510,39751.4,13000,39633.52
2015-11-02,39888,39888,39111,39358.8,7400,39242.08
2015-11-03,39744,40200,39510,39731.6,5700,39613.78
2015-11-04,40050,40050,38900.5,39019.9,8200,38904.18
2015-11-05,39174,39174,38340,38556.4,6600,38442.06
2015-11-06,38355,38888,38200,38512.4,13900,38398.19
2015-11-09,38000,39339.9,37734.7,38966.7,5200,38851.14
2015-11-10,39000,39197.9,38020,38102.9,4700,37992.83
2015-11-11,38102.9,38102.9,38102.9,38102.9,0,37992.83
2015-11-12,38102.9,38102.9,38102.9,38102.9,0,37992.83
2015-11-13,38000,38500,37777.1,38377.9,5800,38267.03
2015-11-16,38416.5,38599.9,37800,38017.8,6200,37907.98
2015-11-17,38240,39949,38134.4,39530.1,11200,39415.91
2015-11-18,39539,39881.4,38800.1,38932.1,7300,38819.64
2015-11-19,39147,39599,39100,39333.1,4300,39219.48
2015-11-20,39349.9,39549,39000,39381.9,3600,39268.13
2015-11-23,39101,39690,39073.4,39174.4,2400,39061.23
2015-11-24,39100,39459.8,38852,38953.6,3000,38841.07
2015-11-25,38953.6,38953.6,38953.6,38953.6,0,38841.07
2015-11-26,39200,39299.9,38491.2,38664.7,26400,38553.01
2015-11-27,38860.5,39740,38860.5,39430.8,7500,39316.9
2015-11-30,39333,39642.8,38810,38850,5800,38737.77
2015-12-01,39090,39479.4,38600,39237.4,4400,39124.05
2015-12-02,39338,39800.1,39113.1,39281.8,3400,39168.33
2015-12-03,39100,39319.6,39000,39151.3,2900,39038.2
2015-12-04,39149,39775,38919.1,39630.8,6400,39516.32
2015-12-07,39602.5,39725,39105,39171.1,3000,39057.95
2015-12-08,39052.1,39687,39052.1,39215.1,2500,39101.82
2015-12-09,39205,39342.4,38832,39045.6,4400,38932.81
