"Date","HEXAWARE.NS.Open","HEXAWARE.NS.High","HEXAWARE.NS.Low","HEXAWARE.NS.Close","HEXAWARE.NS.Volume","HEXAWARE.NS.Adjusted"
2016-02-16,234,235.8,225.7,227.6,457600,221.8244
2016-02-17,228.5,229.8,222.15,227.9,481400,222.1168
2016-02-18,231.1,234.5,224.15,229.25,523800,223.4326
2016-02-19,227.95,233,225.5,230.05,439400,224.2123
2016-02-22,233,240.5,230.75,238.4,852500,232.3504
2016-02-23,239,243.8,236.8,240.9,1297100,234.7869
2016-02-24,239.6,240.5,233.1,234.85,650700,228.8905
2016-02-25,235,240.6,232,233.3,3041200,227.3798
2016-02-26,235.4,238,234,236.9,754000,230.8884
2016-02-29,236,238.7,230.75,234.95,1116400,228.9879
2016-03-01,234,246,233.35,244.05,906600,237.857
2016-03-02,247,248.55,243.55,245.65,760100,239.4164
2016-03-03,246.95,254.5,245.6,253.65,1026400,247.2134
2016-03-04,255.4,259.95,253.25,258.8,893000,252.2327
2016-03-07,258.8,258.8,258.8,258.8,0,252.2327
2016-03-08,258.8,263.2,256.15,259.55,982700,252.9637
2016-03-09,258.3,263.65,256.15,262.95,558000,256.2774
2016-03-10,263.05,264.7,257.9,258.8,554800,252.2327
2016-03-11,259.15,260.95,254,255.35,546000,248.8703
2016-03-14,257,261.9,254.6,260.6,533900,253.987
2016-03-15,261.9,264.45,258.3,260.95,856800,254.3282
2016-03-16,260.85,270,259.5,268.15,958300,261.3454
2016-03-17,272.25,273.6,264.4,266.15,1016900,259.3962
2016-03-18,266,271.5,265.9,270.35,633200,263.4896
2016-03-21,271.7,273.1,268.95,269.6,348200,262.7586
2016-03-22,269,272.2,267.65,270.35,391500,263.4896
2016-03-23,270.8,271.4,264.45,267.95,519400,261.1505
2016-03-24,267.95,267.95,267.95,267.95,0,261.1505
2016-03-25,267.95,267.95,267.95,267.95,0,261.1505
2016-03-28,270,270.85,262.15,263.45,577000,256.7647
2016-03-29,262.45,266.8,257.5,259.2,1000500,252.6226
2016-03-30,259.8,262.6,256.75,260,1441400,253.4022
2016-03-31,261.25,270.5,259.65,269.15,1090500,262.3201
2016-04-01,269.7,272.4,267.7,271.15,657200,264.2693
2016-04-04,273,273.4,251.05,252.75,2728100,246.3362
2016-04-05,252,258.25,249.4,250.7,1073800,244.3382
2016-04-06,250.8,257.7,250.7,256.1,682700,249.6012
2016-04-07,257,257,250.2,251.2,302100,244.8256
2016-04-08,248,250.5,245.15,247.65,713800,241.3656
2016-04-11,245.1,251.5,245.1,250.75,524300,244.387
2016-04-12,251.35,257,250.05,255.1,701200,248.6266
2016-04-13,255.6,259.4,254.1,255.85,679600,249.3576
2016-04-14,255.85,255.85,255.85,255.85,0,249.3576
2016-04-15,255.85,255.85,255.85,255.85,0,249.3576
2016-04-18,256.1,261.25,256.1,258.1,969600,251.5505
2016-04-19,258.1,258.1,258.1,258.1,0,251.5505
2016-04-20,258.8,261.2,255.1,256.85,950800,250.3322
2016-04-21,257.05,257.8,253,253.85,628400,247.4083
2016-04-22,252.9,254.35,249,251.45,367000,245.0692
2016-04-25,250.2,254.8,243.6,245.75,679900,239.5139
2016-04-26,244.5,248.15,242.85,245.1,940800,238.8804
2016-04-27,247,247.75,241,244.1,675300,237.9057
2016-04-28,244,248.5,242.2,244.35,1290600,238.1494
2016-04-29,244.8,246.7,238.55,241.2,624900,235.0793
2016-05-02,239.7,241.5,236.8,238.4,710800,232.3504
2016-05-03,238.4,241,230.1,231.5,963500,225.6255
2016-05-04,230,236.9,226.5,227.5,1755100,221.727
2016-05-05,208,232.05,205.75,226.85,14991900,221.0935
2016-05-06,225.2,226.75,214.1,216.9,5831700,211.3959
2016-05-09,217.8,220,216.15,217.05,1021900,211.5422
2016-05-10,217.4,217.85,212.55,214.8,1057400,209.3492
2016-05-11,210.8,218.75,209.25,214.2,1787000,208.7645
2016-05-12,215.85,217.25,213.75,215.45,631800,209.9827
2016-05-13,214.2,215,206.2,207.65,2286200,204.7566
2016-05-16,206.1,212,205,211.45,1874300,208.5036
2016-05-17,212.5,214.4,209.25,210.55,1402200,207.6162
2016-05-18,210,219.5,208.3,218.55,1647800,215.5047
2016-05-19,220,221.45,209.5,210.7,1897300,207.7641
2016-05-20,212.9,212.9,206.55,208.4,2093500,205.4961
2016-05-23,209.8,212.1,208.6,209.55,1212900,206.6301
2016-05-24,210.9,211.3,208.05,209.6,1106200,206.6794
2016-05-25,212,213.9,210.5,211.9,834600,208.9474
2016-05-26,212.05,214.8,208.9,212.55,1507200,209.5883
2016-05-27,213.25,217.55,213.05,215.7,965700,212.6944
2016-05-30,216.9,219.5,215.2,218.6,986000,215.554
2016-05-31,219,219.2,214.55,217.1,675000,214.0749
2016-06-01,217,220.2,211.45,212.35,1116300,209.3911
2016-06-02,210.75,214.8,210.55,213.2,756600,210.2293
2016-06-03,214.05,216.85,212.15,213.9,899100,210.9195
2016-06-06,213.95,218.35,213.15,215,681500,212.0042
2016-06-07,215.95,216.85,213.2,214.35,631700,211.3632
2016-06-08,214.9,216.9,214.2,215.35,366200,212.3493
2016-06-09,215,215.7,213.5,214.5,397500,211.5112
2016-06-10,214.1,216.4,211.55,212.15,644000,209.1939
2016-06-13,210.05,215.4,210,215,722100,212.0042
2016-06-14,214.9,216.15,214,215.7,466400,212.6944
2016-06-15,215.75,216.5,213,213.4,521700,210.4265
2016-06-16,213.55,214.55,210.8,212,382500,209.046
2016-06-17,212.4,214.15,211.1,212.55,338700,209.5883
2016-06-20,211.95,215.6,210.9,212.05,664400,209.0953
2016-06-21,212.05,213.9,211.5,212.25,361000,209.2925
2016-06-22,213.75,222.5,212.2,221.5,2523800,218.4136
2016-06-23,225.9,236.35,224.35,233.2,8474800,229.9506
2016-06-24,224,231.95,220,230.7,2106500,227.4854
2016-06-27,230,234.45,229,231.35,823400,228.1264
2016-06-28,231.35,232.5,226.05,226.85,825000,223.6891
2016-06-29,226.05,226.85,222.3,223.7,939200,220.583
2016-06-30,221.65,229.7,221.65,229,1318500,225.8091
2016-07-01,230,232,228.6,229.65,535200,226.45
2016-07-04,229.75,230.7,226,226.45,413400,223.2946
2016-07-05,227.8,233.9,225.8,229.35,1351400,226.1542
2016-07-06,229.35,229.35,229.35,229.35,0,226.1542
2016-07-07,229.5,229.65,223.8,224.45,594800,221.3225
2016-07-08,223.95,227.3,222.05,223.1,576600,219.9913
2016-07-11,224.6,226.05,223,223.85,523500,220.7309
2016-07-12,226,226.25,223.1,224.05,348600,220.9281
2016-07-13,226.3,226.45,222.6,223.35,793400,220.2378
2016-07-14,226,233.5,225.8,227.15,2055200,223.9849
2016-07-15,228.7,228.7,217.1,218.45,1414700,215.4061
2016-07-18,218,222.65,216,218.4,801500,215.3568
2016-07-19,218.4,219.7,215.3,217,547100,213.9763
2016-07-20,216.1,221.5,214.8,219,833700,215.9485
2016-07-21,219,223.05,219,220.85,1083800,217.7727
2016-07-22,221,224.65,218.05,223.8,1223000,220.6816
2016-07-25,224.7,228.35,223.8,227.3,1634200,224.1328
2016-07-26,228,229.3,223.7,225.5,729900,222.3579
2016-07-27,226.2,229,223.85,227.15,816700,223.9849
2016-07-28,228,233.5,227.5,229.9,2365100,226.6966
2016-07-29,230.45,231.8,219.55,220.9,2068500,217.822
2016-08-01,221.45,226.6,218.7,224.95,1358400,221.8155
2016-08-02,225.6,226.7,220.45,221.3,778500,218.2164
2016-08-03,221,222.95,216.7,217.85,771100,214.8145
2016-08-04,219.05,220.85,216.3,219.7,547600,216.6387
2016-08-05,220.5,222,219.4,220.9,664300,217.822
2016-08-08,221.5,222.6,218.5,219.5,958300,217.4257
