"Date","GRASIM.NS.Open","GRASIM.NS.High","GRASIM.NS.Low","GRASIM.NS.Close","GRASIM.NS.Volume","GRASIM.NS.Adjusted"
2015-11-04,3714.95,3725.35,3668,3697.5,153600,721.81
2015-11-05,3690,3706,3662.7,3696.85,149900,721.68
2015-11-06,3696,3718.9,3658.2,3689.05,159400,720.16
2015-11-09,3659,3662,3625,3648.95,338700,712.33
2015-11-10,3629.95,3640.25,3592,3621.2,225800,706.91
2015-11-11,3621.2,3621.2,3621.2,3621.2,0,706.91
2015-11-12,3621.2,3621.2,3621.2,3621.2,0,706.91
2015-11-13,3585.95,3630,3555.75,3623.05,355700,707.27
2015-11-16,3625,3694,3603.8,3681.6,157000,718.7
2015-11-17,3689,3693.25,3582,3614.45,222700,705.59
2015-11-18,3617,3625.85,3582.1,3612,171400,705.12
2015-11-19,3615.5,3680,3612,3665.35,125600,715.53
2015-11-20,3665,3698,3649.6,3683.8,212700,719.13
2015-11-23,3683,3712,3647.5,3672.85,201500,716.99
2015-11-24,3660,3719,3650.1,3695.35,340000,721.39
2015-11-25,3695.35,3695.35,3695.35,3695.35,0,721.39
2015-11-26,3695.35,3739.9,3680.1,3729.9,335200,728.13
2015-11-27,3733.35,3750,3716.1,3734.6,269800,729.05
2015-11-30,3735,3752,3722,3741.7,144700,730.43
2015-12-01,3752,3774.9,3722.65,3734.4,137800,729.01
2015-12-02,3735.1,3765.8,3733.05,3756.45,298900,733.31
2015-12-03,3743.3,3785,3725.3,3744.05,452200,730.89
2015-12-04,3730.95,3755,3705,3719.55,209300,726.11
2015-12-07,3725.1,3790,3725.1,3770.05,261900,735.97
2015-12-08,3760.3,3769.75,3730.85,3738.95,65000,729.9
2015-12-09,3731.1,3745.35,3691,3701,314100,722.49
2015-12-10,3700,3719,3660,3711.5,150000,724.54
2015-12-11,3709,3730,3607,3621.35,155900,706.94
2015-12-14,3608.7,3719.25,3586.2,3651.5,190200,712.83
2015-12-15,3653.25,3699,3619,3683.85,131500,719.14
2015-12-16,3692.25,3730,3688.2,3724.75,189000,727.13
2015-12-17,3728.6,3750,3705,3736.65,206400,729.45
2015-12-18,3722,3764.9,3686.85,3721.6,369500,726.51
2015-12-21,3722,3730,3687.9,3707.8,86100,723.82
2015-12-22,3708,3743,3681,3725.45,254900,727.26
2015-12-23,3732.2,3751.5,3720.85,3738.7,132500,729.85
2015-12-24,3742.4,3750,3708.5,3718.6,81700,725.93
2015-12-25,3718.6,3718.6,3718.6,3718.6,0,725.93
2015-12-28,3720,3729.95,3682,3695.2,107000,721.36
2015-12-29,3700,3765,3672.8,3742.4,308800,730.57
2015-12-30,3747.9,3747.9,3701.15,3725.65,133700,727.3
2015-12-31,3725,3761.9,3711.05,3754.85,291700,733
2016-01-01,3743.2,3790.1,3735,3767.75,115200,735.52
2016-01-04,3760.05,3783,3633.1,3657.25,331000,713.95
2016-01-05,3662.5,3691.7,3626.5,3659.1,165200,714.31
2016-01-06,3659,3687,3602.65,3652.4,258400,713
2016-01-07,3631,3649.95,3540,3557.2,419300,694.42
2016-01-08,3570.1,3596.8,3514.85,3575.7,133800,698.03
2016-01-11,3557,3642.55,3530.85,3622.1,258100,707.09
2016-01-12,3624,3650.7,3502.35,3549.65,454600,692.94
2016-01-13,3570,3594.95,3496,3527,291900,688.52
2016-01-14,3518,3523.85,3475,3499.2,417300,683.1
2016-01-15,3502,3522,3439,3503.7,288600,683.97
2016-01-18,3510,3544.45,3480.7,3501,316100,683.45
2016-01-19,3490.2,3533.15,3485.65,3522.7,278400,687.68
