"Date","BHARATFIN.NS.Open","BHARATFIN.NS.High","BHARATFIN.NS.Low","BHARATFIN.NS.Close","BHARATFIN.NS.Volume","BHARATFIN.NS.Adjusted"
2015-07-01,466,482.5,464.7,478.75,1490100,478.75
2015-07-02,482,500.5,480.05,494.9,1933400,494.9
2015-07-03,496.7,499,485.1,492.25,1036800,492.25
2015-07-06,480,514.4,478.05,511.85,1908200,511.85
2015-07-07,514,518,504,510.95,1175000,510.95
2015-07-08,505,517.5,491.75,498.45,1675800,498.45
2015-07-09,498.35,504,487,489.15,839000,489.15
2015-07-10,490.5,501.45,490,497.95,596300,497.95
2015-07-13,500,509.9,497.85,506.85,908100,506.85
2015-07-14,505,516,505,509.25,1062900,509.25
2015-07-15,509.5,523.5,508.05,514.2,1135000,514.2
2015-07-16,515,517.95,509.05,514.35,873500,514.35
2015-07-17,517,531.9,516.6,526.75,1479400,526.75
2015-07-20,529.5,533.65,526.75,528.35,794600,528.35
2015-07-21,527.05,538,515.2,529.15,1388000,529.15
2015-07-22,534,543.3,525.5,536.85,1800100,536.85
2015-07-23,550.1,573.7,541,565.15,6114700,565.15
2015-07-24,565,573,560,562.7,1837500,562.7
2015-07-27,561.3,568.15,540.8,544,1554800,544
2015-07-28,546.9,557,542.85,549,1039900,549
2015-07-29,550,569,545.25,565.95,1000900,565.95
2015-07-30,569.9,588,569.1,582.1,1778300,582.1
2015-07-31,584.9,589.6,576.1,581.85,925200,581.85
2015-08-03,577.85,588.15,570.35,571.85,758100,571.85
2015-08-04,574,584,567.2,579.2,784900,579.2
2015-08-05,583.85,586.4,578,580.4,738500,580.4
2015-08-06,583,585.75,558.25,561.15,1132600,561.15
2015-08-07,556.45,562,547.2,550.4,863000,550.4
2015-08-10,550.95,554.95,532.5,536,712400,536
2015-08-11,535,537.65,523.25,526.55,856100,526.55
2015-08-12,524.8,528.65,505.4,508.6,1056000,508.6
2015-08-13,513,533,513,526.6,1047500,526.6
2015-08-14,531.2,543.95,528.7,539.55,954100,539.55
2015-08-17,545.2,549.95,535,537.05,1295300,537.05
2015-08-18,541,549.8,533.15,539.55,2038900,539.55
2015-08-19,539,548,535.2,543.1,800200,543.1
2015-08-20,541.8,543.1,515,516.4,999800,516.4
2015-08-21,510,511.85,492.2,508.35,1447800,508.35
2015-08-24,479.95,480,430,442.75,4912600,442.75
2015-08-25,453,470,425.1,467.9,3136400,467.9
2015-08-26,465,479.8,450,472.05,1189700,472.05
2015-08-27,481,490.5,465.6,476.5,1462200,476.5
2015-08-28,484.4,487,460.2,464.4,1064500,464.4
2015-08-31,463,476.3,458.15,462.3,976600,462.3
2015-09-01,463,467.65,439.55,445.15,1181900,445.15
2015-09-02,448.1,454.5,437.5,440.85,1208700,440.85
2015-09-03,444,460.1,442.2,457.55,1033300,457.55
2015-09-04,458,459.7,437.8,445.35,1400300,445.35
2015-09-07,446,464.8,441.3,444.45,1255000,444.45
2015-09-08,452.9,452.9,432.55,439.1,2383700,439.1
2015-09-09,448.45,453,436.5,442.5,1764300,442.5
2015-09-10,437.7,450.8,425,442.95,1735900,442.95
2015-09-11,452.7,467,450,455.4,2332700,455.4
2015-09-14,456.05,468.9,446.2,466,1586300,466
2015-09-15,468,477,453.45,456.5,3321400,456.5
2015-09-16,462.25,465,448.8,450.75,1281600,450.75
2015-09-17,450.75,450.75,450.75,450.75,0,450.75
2015-09-18,405.7,405.7,360.6,380.65,16101700,380.65
2015-09-21,385,407.2,382.4,396.95,8756400,396.95
2015-09-22,400.1,404.1,387.35,391.7,3306500,391.7
2015-09-23,385,399.9,384.15,397,1746800,397
2015-09-24,395.2,400.2,390.95,392.65,1302600,392.65
