"Date","ONGC.NS.Open","ONGC.NS.High","ONGC.NS.Low","ONGC.NS.Close","ONGC.NS.Volume","ONGC.NS.Adjusted"
2015-09-25,227.5005,227.5005,227.5005,227.5005,0,138.7127
2015-09-28,228.2505,228.45,224.1,225.1005,4326600,137.2493
2015-09-29,223.8,227.4,217.6995,226.3995,7599700,138.0414
2015-09-30,228.4995,230.8005,222.1005,229.35,7694600,139.8404
2015-10-01,229.35,234,228,232.35,4161700,141.6695
2015-10-02,232.35,232.35,232.35,232.35,0,141.6695
2015-10-05,234,241.2,229.0005,240.4995,5283100,146.6385
2015-10-06,241.0005,248.6505,239.5995,247.35,7663900,150.8154
2015-10-07,250.9995,260.85,250.9995,257.7495,9901100,157.1562
2015-10-08,260.4,260.4,252.2505,257.6505,5335400,157.0959
2015-10-09,261,265.0005,260.2005,263.6505,8515300,160.7542
2015-10-12,263.7495,267.75,262.3005,263.4,4243000,160.6015
2015-10-13,259.5495,261.2505,252.2505,253.9005,4640800,154.8094
2015-10-14,253.9995,263.2995,253.3995,255,4440300,155.4798
2015-10-15,257.1,261,254.1,260.1495,3456400,158.6196
2015-10-16,261,265.3005,256.9995,264,3212500,160.9673
2015-10-19,264.1005,264.3495,256.0005,257.85,2694000,157.2175
2015-10-20,255.6,257.25,252,253.1505,3579300,154.3521
2015-10-21,252,257.8995,251.5005,253.4505,2408000,154.535
2015-10-22,253.4505,253.4505,253.4505,253.4505,0,154.535
2015-10-23,255,261,254.9505,257.2995,3416200,156.8819
2015-10-26,256.9995,260.8005,254.4,256.4505,3776100,156.3642
2015-10-27,253.4505,254.2005,247.2495,247.9005,7387600,151.1511
2015-10-28,245.5995,252.4995,243.3495,251.8005,8681900,153.529
2015-10-29,255,255.2505,250.05,250.8495,11317200,152.9492
2015-10-30,249.9,250.5,244.0995,246.9495,5076500,150.5712
2015-11-02,246.9495,248.8005,242.1495,247.3995,2028000,150.8456
2015-11-03,247.2,251.5005,245.2995,250.6995,2764300,152.8577
2015-11-04,253.5495,254.2005,249.7995,252.1005,3672500,153.7119
2015-11-05,250.0005,253.8,249.6495,250.65,4845200,152.8275
2015-11-06,248.7,256.6005,247.9995,251.4495,6014300,153.315
2015-11-09,246.1995,250.9995,245.0505,249.3,4072900,152.0044
2015-11-10,245.1,247.8,235.6005,236.7,5841800,148.3382
2015-11-11,236.7,236.7,236.7,236.7,0,148.3382
2015-11-12,236.7,236.7,236.7,236.7,0,148.3382
2015-11-13,233.0505,233.5005,228,228.9,6878200,143.45
2015-11-16,228.4005,230.8995,221.25,230.1495,6538800,144.2331
2015-11-17,231,233.25,226.6995,232.35,9435500,145.6121
2015-11-18,231.0495,232.7505,228.9495,230.7,3862200,144.5781
2015-11-19,232.7505,233.7,229.2495,232.9995,2849800,146.0191
2015-11-20,233.8005,235.7505,231.3495,234.0495,2601500,146.6772
2015-11-23,235.0005,235.9005,231,231.7005,2296100,145.2051
2015-11-24,232.0005,238.35,229.7505,232.8,5179700,145.8941
2015-11-25,232.8,232.8,232.8,232.8,0,145.8941
2015-11-26,233.1,236.8995,231.7995,234.8505,8200900,147.1792
2015-11-27,236.5005,238.7505,234.3495,235.3995,2854000,147.5232
2015-11-30,234,235.9005,230.2005,234.15,5898400,146.7402
2015-12-01,234.5505,238.4505,233.0505,235.6005,3545600,147.6492
2015-12-02,237.1005,238.0005,233.2995,235.8,3121200,147.7742
2015-12-03,233.1,233.8995,228.1005,229.6995,7426100,143.9511
2015-12-04,227.7495,231.1005,226.05,227.2005,5123200,142.385
2015-12-07,228.0495,228.4995,222.7995,223.9005,3621000,140.3169
2015-12-08,222,222.2505,214.05,215.7495,8794700,135.2087
2015-12-09,214.9995,217.9995,212.8995,217.0995,6323600,136.0547
2015-12-10,217.9005,220.9005,214.8,219.7995,6848700,137.7468
2015-12-11,219.4995,220.8,214.3995,215.3505,6528800,134.9586
2015-12-14,212.5005,214.6005,211.2495,213.4005,4778700,133.7366
2015-12-15,214.9995,218.5995,213.3,217.8,4919500,136.4937
2015-12-16,219.7005,227.5995,217.35,226.65,8363600,142.04
2015-12-17,226.0005,226.3005,220.0005,224.8005,9229400,140.8809
2015-12-18,223.0005,224.8005,221.2005,223.2495,7201500,139.9089
2015-12-21,223.0005,231.0495,221.7,230.4495,4999300,144.4211
2015-12-22,230.4495,232.5,228.3,230.55,4596800,144.4841
2015-12-23,232.9005,236.4,231.2505,235.5495,6021300,147.6172
2015-12-24,238.0005,239.8005,233.2995,233.85,4388500,146.5521
2015-12-25,233.85,233.85,233.85,233.85,0,146.5521
2015-12-28,234,241.3005,234,240.1995,5296600,150.5313
2015-12-29,240,241.8495,237.45,239.7495,3552800,150.2493
2015-12-30,240,242.8005,239.4,239.8995,3927800,150.3433
2015-12-31,239.5005,243.7995,235.1505,241.7505,6598600,151.5033
2016-01-01,239.8995,243.4005,238.0995,242.5005,2771900,151.9734
2016-01-04,241.0005,244.8,235.65,238.05,3125100,149.1843
2016-01-05,240,244.2495,239.0505,241.8495,3646300,151.5654
2016-01-06,241.9995,242.2995,234.6495,237.5505,3007200,148.8712
2016-01-07,231,233.8995,224.0505,226.6005,7609300,142.0089
2016-01-08,228,231.7995,225.6495,230.1495,6898300,144.2331
2016-01-11,226.0005,227.25,222.15,225.4995,6413300,141.3189
2016-01-12,223.9995,224.2995,220.0005,221.3505,5543600,138.7188
2016-01-13,223.0005,223.95,217.5495,223.2,5384500,139.8779
2016-01-14,220.95,225.4995,216.6,223.2495,6523500,139.9089
2016-01-15,224.4,224.4,217.8,219.45,4512500,137.5278
2016-01-18,217.0005,217.9995,211.2495,214.3995,5734000,134.3627
2016-01-19,215.5995,219.4005,211.5,217.9995,3797900,136.6187
2016-01-20,214.0995,215.1,209.2005,213.3,6518900,133.6736
2016-01-21,213.6495,214.7505,205.95,207.3,8879500,129.9134
2016-01-22,211.95,217.0005,209.8005,216.2505,7253700,135.5227
2016-01-25,220.3995,221.25,216.5505,219.6495,4864000,137.6528
2016-01-26,219.6495,219.6495,219.6495,219.6495,0,137.6528
2016-01-27,219.7005,221.7495,217.0005,218.4,6744000,136.8698
2016-01-28,217.9995,220.8,215.25,219.9,8761000,137.8098
2016-01-29,221.2995,227.85,220.9995,226.2495,12759700,141.789
2016-02-01,227.8005,227.8005,221.55,225.0495,3822700,141.0369
2016-02-02,222.1995,224.4,215.4,216.5505,6900400,135.7107
2016-02-03,213.7005,217.0005,210.3,213.0495,4843900,133.5166
2016-02-04,217.9005,220.5,216.2505,220.0005,6016500,137.8728
2016-02-05,220.3005,221.85,217.5495,219.9495,5710600,137.8408
2016-02-08,220.0005,220.2,211.65,214.05,2764100,134.1436
2016-02-09,210.9,219.5505,210.4995,218.1495,3651700,136.7128
2016-02-10,213.8505,216,210.7995,213.4995,4066700,133.7986
2016-02-11,213.7995,213.9,200.0505,203.1495,8787000,127.3124
2016-02-12,199.9995,199.9995,187.7505,193.2495,10102600,121.1081
2016-02-15,198.6,201.1995,194.6505,200.3505,7157800,125.5583
2016-02-16,203.6505,206.1,198.1005,199.95,10491000,125.3073
2016-02-17,199.9995,202.0005,197.2005,200.3505,7290000,125.5583
2016-02-18,203.6505,210.6,202.9995,209.1,7799600,131.0415
2016-02-19,206.9505,212.1,205.9995,211.1505,5419000,132.3265
2016-02-22,211.9995,215.1,210.7005,214.3995,3601800,134.3627
2016-02-23,215.7,217.8,211.8495,214.6005,3593300,134.4886
2016-02-24,212.8005,212.8005,208.2,209.4,2618100,131.2295
2016-02-25,212.4,217.8,209.5995,216.2505,5778400,135.5227
2016-02-26,217.3995,218.55,214.0995,216.0495,4205800,135.3967
2016-02-29,217.2495,221.1,192.4995,194.1,23809800,121.6411
2016-03-01,193.9005,193.9005,188.55,191.5005,23118100,120.012
2016-03-02,194.4,197.2995,192.1005,194.9505,15524900,122.1741
2016-03-03,196.5,200.85,193.7505,197.2005,16866700,123.5842
2016-03-04,199.9005,204.4005,199.0005,200.7,22523000,125.7773
2016-03-07,200.7,200.7,200.7,200.7,0,125.7773
2016-03-08,202.7505,206.3505,201,201.8505,12258700,126.4983
2016-03-09,202.0005,205.9995,201.3,205.2495,7688800,128.6284
2016-03-10,208.95,208.95,204.3495,205.6995,13467800,128.9104
2016-03-11,207.6,207.6,202.2,205.0995,14262100,128.5344
2016-03-14,207.4995,208.9995,205.7505,208.2495,7498600,130.5085
2016-03-15,205.9995,207.9,205.05,207.4005,5504400,129.9764
2016-03-16,207.3,208.7505,204.9,206.5005,5188600,130.1182
2016-03-17,208.5495,214.9005,208.5,212.25,8394300,133.741
2016-03-18,213.75,214.9995,212.5005,214.6005,6776200,135.2221
2016-03-21,214.0005,217.5,213,216.6495,5801700,136.5132
2016-03-22,216.6495,219.15,214.9995,216.1005,6610500,136.1673
2016-03-23,216.4005,217.7505,211.9005,214.6005,5978200,135.2221
2016-03-24,214.6005,214.6005,214.6005,214.6005,0,135.2221
2016-03-25,214.6005,214.6005,214.6005,214.6005,0,135.2221
2016-03-28,216.4995,218.7,212.4,213.9495,7205900,134.8119
2016-03-29,215.9505,216,210.7005,212.25,5003100,133.741
2016-03-30,213,219,212.2995,217.9005,5849800,137.3015
2016-03-31,214.6995,217.5495,212.1495,214.0995,18261600,134.9064
2016-04-01,214.5,214.95,208.0995,208.8,10266100,131.5671
2016-04-04,208.4505,208.65,204.5505,207.3,5494000,130.622
2016-04-05,205.9995,208.5,204.0495,205.5,4906700,129.4878
2016-04-06,206.7,208.0005,204,206.1,4317500,129.8658
2016-04-07,209.0505,209.5005,206.7,207.75,5045000,130.9055
2016-04-08,207.7995,209.4495,205.65,206.1495,2418200,129.897
2016-04-11,208.6005,209.25,205.2,207.6,5192600,130.811
2016-04-12,207.8505,212.6505,207.15,211.35,6343200,133.1739
2016-04-13,214.9995,215.4,212.8005,213.3495,6437600,134.4338
2016-04-14,213.3495,213.3495,213.3495,213.3495,0,134.4338
2016-04-15,213.3495,213.3495,213.3495,213.3495,0,134.4338
2016-04-18,211.7505,211.7505,206.1,207.5505,4950200,130.7798
2016-04-19,207.5505,207.5505,207.5505,207.5505,0,130.7798
2016-04-20,208.9005,210.7005,208.05,209.85,4820400,132.2288
2016-04-21,212.1495,214.4505,211.7505,212.9505,7037100,134.1824
2016-04-22,215.8995,217.35,212.6505,216.1005,4497200,136.1673
2016-04-25,216.45,216.45,211.6995,212.2995,2813800,133.7722
2016-04-26,212.2005,215.5995,210.9495,214.3005,4140000,135.0331
2016-04-27,216,223.7505,215.8995,221.8005,10536400,139.7589
2016-04-28,222.3,225.4005,215.25,216.8505,11597800,136.6399
2016-04-29,218.0505,220.7505,215.5995,217.2495,6088400,136.8913
2016-05-02,217.9995,220.9005,216,217.7505,4911800,137.207
2016-05-03,219.0495,219.7005,213,215.2995,5806300,135.6626
2016-05-04,214.8,215.2995,210,210.6495,4247700,132.7325
2016-05-05,211.95,213.2505,210,210.4995,4590100,132.638
2016-05-06,210.5505,210.6495,207.1005,208.4505,3327800,131.3469
2016-05-09,209.8995,212.5005,209.1,211.6005,4008600,133.3318
2016-05-10,211.95,211.95,206.2995,207.9,3924100,131.0001
2016-05-11,206.9505,206.9505,203.1,205.2495,5481000,129.3299
2016-05-12,208.0995,208.4505,204.75,206.2995,7061300,129.9916
2016-05-13,205.95,205.95,202.0005,203.7495,7262000,128.3848
2016-05-16,204.4005,204.9,199.9995,202.6005,10092500,127.6608
