"Date","PTC.NS.Open","PTC.NS.High","PTC.NS.Low","PTC.NS.Close","PTC.NS.Volume","PTC.NS.Adjusted"
2016-03-11,63.5,63.95,62.25,62.55,873900,60.65
2016-03-14,63,63.9,61.8,63.25,1214600,61.33
2016-03-15,63.55,63.55,62.35,63,458800,61.08
2016-03-16,63.05,63.4,61.8,62.55,517300,60.65
2016-03-17,63.05,63.75,62.5,62.85,463500,60.94
2016-03-18,63.05,63.95,62.4,63.65,1061500,61.71
2016-03-21,63.3,64.6,63.3,64.15,1064700,62.2
2016-03-22,64,65.15,63.7,64,2414500,62.05
2016-03-23,63.95,65.25,63.75,64.95,1404400,62.97
2016-03-24,64.95,64.95,64.95,64.95,0,62.97
2016-03-25,64.95,64.95,64.95,64.95,0,62.97
2016-03-28,65.2,65.65,62.8,63.3,522900,61.37
2016-03-29,63.3,64.05,62.85,63.1,910100,61.18
2016-03-30,63,63.5,57.5,62.55,1812900,60.65
2016-03-31,62.9,64.8,62.1,64,2096200,62.05
2016-04-01,63.55,65,62.9,63.1,1102100,61.18
2016-04-04,63.85,64,62.65,63.25,1013500,61.33
2016-04-05,63.1,63.4,61.25,61.85,1229300,59.97
2016-04-06,62.15,62.7,61.85,62.5,826200,60.6
2016-04-07,62.8,62.8,60.6,61.25,1095300,59.39
2016-04-08,61.95,62.5,61.2,62.1,373500,60.21
2016-04-11,62.1,62.9,61.8,62.5,792600,60.6
2016-04-12,62.6,63.35,62.15,63.1,849800,61.18
2016-04-13,64.2,64.7,63.5,64.15,1187200,62.2
2016-04-14,64.15,64.15,64.15,64.15,0,62.2
2016-04-15,64.15,64.15,64.15,64.15,0,62.2
2016-04-18,64.1,66.15,63.7,65.85,1038800,63.85
2016-04-19,65.85,65.85,65.85,65.85,0,63.85
2016-04-20,65.85,67.4,64.55,66.65,1780300,64.62
2016-04-21,66.45,67.65,64.35,64.6,1421900,62.63
2016-04-22,64.75,65.25,63.9,64.1,1067800,62.15
2016-04-25,64.3,64.6,63.35,63.9,1071600,61.96
2016-04-26,64.1,64.95,63.75,64.6,428700,62.63
2016-04-27,64.75,64.8,64.1,64.25,583100,62.29
2016-04-28,64.25,64.6,63.05,63.4,1347500,61.47
2016-04-29,63.7,65.1,63.2,64.85,1057200,62.88
