"Date","OIL.NS.Open","OIL.NS.High","OIL.NS.Low","OIL.NS.Close","OIL.NS.Volume","OIL.NS.Adjusted"
2015-09-03,455.85,466.999,455.05,457.948,703400,305.67
2015-09-04,458.999,459.999,433.199,435.748,991100,290.852
2015-09-07,441.948,448.899,430.299,432.699,480200,288.817
2015-09-08,433.148,441.799,426.999,434.899,247700,290.286
2015-09-09,439.899,445.05,435.099,436.948,342700,291.653
2015-09-10,436.948,446.899,433.499,444.05,920900,296.393
2015-09-11,447.899,449.999,443.05,444.399,589100,296.627
2015-09-14,447.899,448.948,438.599,446.748,178000,298.195
2015-09-15,446.999,450.648,445.599,447.999,512900,299.03
2015-09-16,438.499,443.999,433.099,441.85,235500,303.972
2015-09-17,441.85,441.85,441.85,441.85,0,303.972
2015-09-18,438.999,444.999,433.199,434.999,404600,299.259
2015-09-21,433.099,439.85,430.299,434.55,236700,298.95
2015-09-22,440.499,440.499,430.499,433.899,293600,298.502
2015-09-23,431.999,431.999,425.999,427.699,329300,294.237
2015-09-24,429.999,434.999,424.999,432.299,255100,297.401
2015-09-25,432.299,432.299,432.299,432.299,0,297.401
2015-09-28,431.999,431.999,420.999,421.899,312200,290.247
2015-09-29,421.899,429.399,418.099,427.199,612200,293.893
2015-09-30,429.948,429.948,412.05,423.35,625600,291.245
2015-10-01,425.499,431.999,423.499,431.25,163700,296.679
2015-10-02,431.25,431.25,431.25,431.25,0,296.679
2015-10-05,432.299,443.699,429.799,440.648,352700,303.145
2015-10-06,440.699,448.699,437.999,444.85,290000,306.036
2015-10-07,448.699,459.399,446.299,455.448,452600,313.327
2015-10-08,459.999,463.999,453.25,463.399,226500,318.797
2015-10-09,466.199,466.999,452.499,454.899,254400,312.949
2015-10-12,454.55,459.999,440.148,447.299,282300,307.721
2015-10-13,446.199,452.999,443.999,449.299,243800,309.097
2015-10-14,448.948,450.699,441.999,443.899,186300,305.382
2015-10-15,442.799,447.899,441.05,441.948,235100,304.04
2015-10-16,442.999,445.999,441.25,442.948,252600,304.728
2015-10-19,445.499,448.999,441.25,442.948,152300,304.728
2015-10-20,441.999,445.05,435.05,438.85,291100,301.908
2015-10-21,437.999,438.55,431.499,435.35,217300,299.5
2015-10-22,435.35,435.35,435.35,435.35,0,299.5
2015-10-23,434.999,441.448,432.899,434.748,280500,299.086
2015-10-26,432.299,433.948,416.05,417.148,667500,286.978
2015-10-27,419.05,419.05,406.648,408.148,783100,280.787
2015-10-28,408.999,408.999,398.148,400.899,826100,275.8
2015-10-29,404.999,410.999,399.599,403.148,936300,277.347
2015-10-30,402.999,407.499,402.999,405.899,778300,279.239
2015-11-02,404.499,406.499,397.05,401.948,534900,276.522
2015-11-03,404.948,407.85,401.35,404.05,181400,277.967
2015-11-04,405.999,407.799,403.499,404.448,147300,278.241
2015-11-05,403.25,408.948,401.05,404.799,557900,278.483
2015-11-06,403.499,404.699,398.099,402.05,260700,276.591
2015-11-09,396.55,404.199,394.05,398.899,641500,274.424
2015-11-10,399.799,401.999,388.55,390.948,931400,268.954
2015-11-11,390.948,390.948,390.948,390.948,0,268.954
2015-11-12,390.948,390.948,390.948,390.948,0,268.954
2015-11-13,388.499,388.499,361.05,369.148,2901200,253.957
2015-11-16,369.148,369.148,341.099,358.148,4614100,246.389
2015-11-17,362.899,364.699,358.999,363.199,2929000,249.864
2015-11-18,363.199,365.899,360.148,364.35,612800,250.656
2015-11-19,367.999,368.648,359.499,363.05,1247600,249.761
2015-11-20,361.05,364.648,357.999,362.899,1137400,249.658
2015-11-23,362.999,370.799,362.999,369.85,835200,254.439
2015-11-24,371.699,374.399,363.499,370.948,1374000,255.195
2015-11-25,370.948,370.948,370.948,370.948,0,255.195
2015-11-26,373.399,382.999,366.599,380.399,1614000,261.697
2015-11-27,381.499,381.499,373.648,378.599,1181300,260.458
2015-11-30,379.599,381.35,370.499,377.499,16617500,259.702
2015-12-01,379.899,388.999,378.648,388.299,1016500,267.132
2015-12-02,388.299,389.25,377.399,385.748,454600,265.377
2015-12-03,381.999,392.599,380.699,386.499,2580600,265.893
2015-12-04,380.199,396.648,380.199,394.499,1937400,271.397
2015-12-07,391.648,399.899,382.05,387.099,2720100,266.306
2015-12-08,382.099,385.999,370.448,374.199,719400,257.431
2015-12-09,374.199,376.899,367.05,373.199,827700,256.743
2015-12-10,374.999,375.999,360.999,366.85,936100,252.375
2015-12-11,368.999,376.199,365.199,373.799,1023800,257.156
2015-12-14,368.199,373.599,365.748,367.648,499800,252.925
2015-12-15,369.899,371.499,359.999,362.999,1589700,249.726
2015-12-16,366.999,378.85,364.999,376.199,694200,258.807
2015-12-17,376.199,382.35,374.399,376.648,431600,259.116
2015-12-18,375.499,380.499,372.899,375.148,537000,258.084
2015-12-21,372.648,378.35,371.399,376.05,761900,258.705
2015-12-22,375.148,379.799,372.499,373.999,657400,257.294
2015-12-23,374.099,377.899,372.35,376.448,320300,258.979
2015-12-24,376.999,389.999,376.999,387.55,720600,266.616
2015-12-25,387.55,387.55,387.55,387.55,0,266.616
2015-12-28,388.299,406.648,385.648,399.699,1406300,274.974
2015-12-29,402.999,402.999,383.199,390.999,1197500,268.989
2015-12-30,392.05,397.399,388.05,392.899,838100,270.296
2015-12-31,392.999,393.899,364.399,382.999,6898500,263.485
2016-01-01,390.099,393.948,384.999,389.05,375000,267.648
2016-01-04,387.999,402.899,387.999,398.948,912000,274.458
2016-01-05,399.999,405.599,396.999,402.299,480100,276.763
2016-01-06,401.999,412.399,397.599,399.748,659000,275.008
2016-01-07,397.899,397.899,386.299,388.399,868900,267.2
2016-01-08,388.999,395.999,387.999,393.85,1067500,270.95
2016-01-11,384.999,388.55,374.999,376.25,784400,258.842
2016-01-12,374.899,378.099,368.799,374.399,978400,257.569
2016-01-13,375.099,378.499,359.25,362.799,1946800,249.589
2016-01-14,354.999,363.899,354.999,358.05,1093300,246.321
2016-01-15,359.899,362.999,353.099,355.148,616400,244.325
2016-01-18,353.899,354.35,342.999,346.999,508100,238.719
2016-01-19,344.799,344.799,331.799,343.148,747100,243.557
2016-01-20,335.599,341.999,333.999,339.848,472600,241.215
2016-01-21,339.848,341.999,331.25,333.699,2814500,236.85
2016-01-22,336.999,346.448,332.55,343.999,419300,244.161
2016-01-25,349.948,349.948,341.299,346.05,787000,245.616
2016-01-26,346.05,346.05,346.05,346.05,0,245.616
2016-01-27,341.799,347.748,340.448,347.05,341700,246.326
2016-01-28,348.999,350.25,342.05,348.25,921100,247.178
2016-01-29,350.999,354.899,342.799,351.55,1268800,249.52
2016-02-01,352.55,359.799,347.748,356.05,203200,252.714
2016-02-02,352.999,353.648,343.199,347.399,424600,246.574
2016-02-03,341.099,349.448,334.399,339.899,313400,241.251
2016-02-04,343.999,351.299,338.199,341.55,346400,242.422
2016-02-05,344.748,344.748,337.099,341.499,1385200,242.386
2016-02-08,342.999,343.899,333.499,335.848,335700,238.376
2016-02-09,329.999,341.499,329.449,339.099,319500,240.683
2016-02-10,333.999,336.999,330.299,331.65,206300,235.396
2016-02-11,329.999,333.999,317.999,326.749,307400,231.917
2016-02-12,327.499,327.499,312.099,315.749,703100,224.109
2016-02-15,324.999,325.499,316.999,322.999,437500,229.256
2016-02-16,324.999,329.899,316.399,318.499,233100,226.062
2016-02-17,318.199,320.299,310.05,315.65,510200,224.039
2016-02-18,318.199,327.499,317.499,323.449,797800,229.574
2016-02-19,322.599,324.15,315.65,321.599,540500,228.262
2016-02-22,320.05,323.949,319.25,320.399,351400,227.41
2016-02-23,324.449,325.949,317.999,319.449,381900,226.735
2016-02-24,315.999,321.999,315.25,318.399,311400,225.991
2016-02-25,321.749,322.749,316.449,317.799,387200,225.565
2016-02-26,319.899,321.999,318.05,318.899,214300,226.345
2016-02-29,318.999,322.499,305.55,309.25,425500,219.497
2016-03-01,308.999,309.25,300.349,301.449,799000,213.96
2016-03-02,302.949,308.499,302.899,306.599,454600,217.615
2016-03-03,307.699,314.599,302.349,308.749,623000,219.141
2016-03-04,310.799,313.799,307.699,308.999,452100,219.319
