"Date","RELCAPITAL.NS.Open","RELCAPITAL.NS.High","RELCAPITAL.NS.Low","RELCAPITAL.NS.Close","RELCAPITAL.NS.Volume","RELCAPITAL.NS.Adjusted"
2015-11-27,434.05,438.6,429.05,432.55,1720700,425.09
2015-11-30,433,441.4,430.55,437.8,2031400,430.25
2015-12-01,440.1,442.35,432.55,436.2,1390900,428.68
2015-12-02,437.95,437.95,423.2,428.45,1940800,421.06
2015-12-03,427.9,447.8,424.3,442.15,3532500,434.52
2015-12-04,437,446,435.2,438.2,2067300,430.64
2015-12-07,440.1,442.5,430.05,431.3,1759300,423.86
2015-12-08,428.95,432.95,410.15,412.2,2271800,405.09
2015-12-09,410.4,414.45,397.3,400.6,3080500,393.69
2015-12-10,400.7,405.8,395.6,404.65,2362000,397.67
2015-12-11,405.9,407.5,385.65,389.45,2714300,382.73
2015-12-14,387.4,396.7,384.35,391.4,2216600,384.65
2015-12-15,391.2,395.25,386.35,388.05,2276100,381.36
2015-12-16,392,399,387.2,392.7,2499700,385.93
2015-12-17,396.25,404.9,394.1,402.95,2502000,396
2015-12-18,401.8,408.85,399.25,401.55,2350900,394.62
2015-12-21,401,409.35,400,407.55,1426200,400.52
2015-12-22,409.6,415,404.6,406.05,1883500,399.05
2015-12-23,409.9,412.2,405.6,407.6,1171000,400.57
2015-12-24,410.9,422.5,408.25,421.1,3496200,413.84
2015-12-25,421.1,421.1,421.1,421.1,0,413.84
2015-12-28,423,425.6,417.35,419.45,2254800,412.21
2015-12-29,420.2,434.25,419.3,432.55,3204500,425.09
2015-12-30,434.7,436.7,428.4,430.65,2222200,423.22
2015-12-31,432.3,440.9,424,438.3,2501200,430.74
2016-01-01,437.9,468.65,436.2,463.25,5375100,455.26
2016-01-04,462.3,468.7,439.35,451.7,4645200,443.91
2016-01-05,454.5,471,445.55,461.3,6352700,453.34
2016-01-06,460.4,465.7,447.45,450.1,4746900,442.34
2016-01-07,439.65,443.3,415.2,418.25,5452200,411.04
2016-01-08,425,432.5,421.55,425.85,3216200,418.5
2016-01-11,419.2,438.4,410.25,429.85,4029100,422.43
2016-01-12,431.8,435.9,417.8,423.3,3343100,416
2016-01-13,428.4,432,386.65,415.05,7596800,407.89
2016-01-14,401,418,395.55,410.9,4713000,403.81
2016-01-15,414.9,418.5,366.4,373.25,5072500,366.81
2016-01-18,374.7,378.75,340,346.85,5952500,340.87
2016-01-19,355,379.8,351.25,371.55,6149900,365.14
2016-01-20,364.9,369,350,366.55,5623100,360.23
2016-01-21,372.9,376.5,355.2,362.4,4766100,356.15
2016-01-22,374,381.25,363.05,379.2,4228000,372.66
2016-01-25,382,386.3,368.6,372.3,3577500,365.88
2016-01-26,372.3,372.3,372.3,372.3,0,365.88
2016-01-27,374.4,381.65,367.2,377.3,3397800,370.79
2016-01-28,378,379.1,368.5,375.7,4189400,369.22
2016-01-29,375,388.5,369.3,384.45,3660100,377.82
2016-02-01,386.5,387.15,369.25,371.75,3093600,365.34
2016-02-02,373,378,355,357.85,4138100,351.68
2016-02-03,352,355.2,341.2,343.2,3550900,337.28
2016-02-04,348.2,351.75,322.6,331.3,4420900,325.58
2016-02-05,334.4,354.45,329.1,351.85,3800800,345.78
2016-02-08,353,361.25,347,348.8,3011500,342.78
2016-02-09,340.25,350.6,340.25,343.9,2589100,337.97
2016-02-10,341.35,346.5,332.7,340.85,3604800,334.97
2016-02-11,340,342.35,311.2,315.1,3466400,309.66
2016-02-12,318.7,329.45,303.25,321.15,4707700,315.61
2016-02-15,328.85,345.35,327,340.45,2985800,334.58
2016-02-16,344.05,345.9,323.5,325.95,2931400,320.33
2016-02-17,326.25,336.9,315.2,334.85,3873400,329.07
2016-02-18,340,343.5,325.45,333.4,3239600,327.65
2016-02-19,332.5,340,330.3,336.5,2078300,330.7
2016-02-22,339.9,343.5,336.25,339.15,2104900,333.3
2016-02-23,339.9,339.9,326.1,327.55,2598700,321.9
2016-02-24,324.15,331.2,322,323.6,2386900,318.02
2016-02-25,324.3,331.6,317.55,322.5,3143500,316.94
2016-02-26,326.6,328.7,316,325.35,2676700,319.74
2016-02-29,325.55,329.6,314.5,322,4295800,316.45
2016-03-01,324.25,336.2,320.5,334.55,3915400,328.78
2016-03-02,339.4,355.5,339,348.75,3440900,342.73
2016-03-03,350.5,366.75,345.25,364.7,5314800,358.41
2016-03-04,366.9,369.5,358.9,364.1,3356200,357.82
2016-03-07,364.1,364.1,364.1,364.1,0,357.82
2016-03-08,365,370.4,356.5,360.1,4090500,353.89
2016-03-09,357.75,379.4,355,376.75,4357600,370.25
2016-03-10,379.4,382.9,369.75,371.3,4176800,364.89
2016-03-11,372,378.5,363.1,369.15,3916200,362.78
2016-03-14,372.55,373.9,363.05,366.35,2368600,360.03
2016-03-15,367.8,372,364.1,367.95,2830500,361.6
2016-03-16,368.2,371.5,352.35,363.15,3931400,356.89
2016-03-17,369.9,373.4,361.75,364.1,3504700,357.82
2016-03-18,366,369.75,361.15,367.35,2710100,361.01
2016-03-21,369,374.75,365.3,373.45,2894300,367.01
2016-03-22,374.95,383.8,371.6,378.3,4634700,371.77
2016-03-23,379.7,382.3,372.5,376.05,3102900,369.56
2016-03-24,376.05,376.05,376.05,376.05,0,369.56
2016-03-25,376.05,376.05,376.05,376.05,0,369.56
2016-03-28,376,376,358.25,360.55,2668800,354.33
2016-03-29,359.2,366.65,357.5,360.9,2425800,354.67
2016-03-30,364.95,372.5,362.4,369.85,2842100,363.47
2016-03-31,369,371.5,364.05,368.35,3926400,362
2016-04-01,367.55,378.6,366.8,377.6,2654300,371.09
2016-04-04,379.15,391.45,379.15,384.55,4019900,377.92
2016-04-05,381.8,382.7,364.35,365.8,3378000,359.49
2016-04-06,366.7,370,360.5,368.25,2937300,361.9
2016-04-07,369,374.8,365.85,367.1,3087100,360.77
2016-04-08,367.1,375,363.9,373.15,2306400,366.71
2016-04-11,374,389.8,373.8,385.5,4690500,378.85
2016-04-12,386.8,395.65,384,391,4952000,384.26
2016-04-13,395,398,390.7,392.05,2823200,385.29
2016-04-14,392.05,392.05,392.05,392.05,0,385.29
