"Date","GAIL.NS.Open","GAIL.NS.High","GAIL.NS.Low","GAIL.NS.Close","GAIL.NS.Volume","GAIL.NS.Adjusted"
2015-07-30,347.799,352.099,343.099,347.799,2648700,246.131
2015-07-31,350.999,356.648,349.35,354.948,2107300,251.19
2015-08-03,354.999,355.499,348.299,354.199,1922500,250.66
2015-08-04,353.748,354.099,343.199,344.948,2408200,244.114
2015-08-05,344.799,347.799,341.999,344.948,1484000,244.114
2015-08-06,344.948,345.948,342.099,342.948,2018200,242.698
2015-08-07,342.999,346.648,340.55,341.85,4852800,241.921
2015-08-10,344.399,346.299,341.099,344.05,1317000,243.478
2015-08-11,344.35,345.999,341.699,344.399,1066400,243.725
2015-08-12,341.999,342.299,337.099,338.299,3226500,239.408
2015-08-13,336.499,339.449,329.849,332.05,1975800,234.985
2015-08-14,332.65,337.999,326.999,337.15,1373300,238.595
2015-08-17,337.15,345.599,331.599,345.05,1014000,244.185
2015-08-18,346.948,347.05,328.699,329.749,1370600,233.357
2015-08-19,329.999,332.05,328.299,329.899,936600,233.463
2015-08-20,327.999,328.899,318.399,320.299,2147600,226.67
2015-08-21,315.05,318.999,305.499,311.349,1222600,220.335
2015-08-24,304.999,312.05,265.199,273.349,5522200,193.444
2015-08-25,276.05,283.899,260.05,280.499,3920500,198.504
2015-08-26,278.899,289.399,275.499,282.699,3830400,200.061
2015-08-27,283.999,288.499,278.15,280.949,3017200,201.676
2015-08-28,289.199,292.499,282.349,289.05,3324200,207.491
2015-08-31,287.999,300.65,286.999,296.099,4301600,212.551
2015-09-01,296.999,299.05,287.499,292.399,2932100,209.895
2015-09-02,294.499,296.699,286.65,293.399,1473000,210.613
2015-09-03,294.099,295.899,287.349,294.55,1023100,211.439
2015-09-04,293.999,295.849,276.05,280.849,3354400,201.604
2015-09-07,281.55,281.999,271.999,276.099,2020300,198.195
2015-09-08,274.349,297.999,273.999,295.25,2585300,211.942
2015-09-09,295.599,297.749,290.999,293.849,1382600,210.936
2015-09-10,287.05,293.399,287.05,292.199,1766500,209.752
2015-09-11,292.999,296.699,283.15,285.15,2138600,204.691
2015-09-14,285.849,292.949,284.099,291.399,852400,209.177
2015-09-15,291.399,292.399,287.749,289.999,1359300,208.173
2015-09-16,290.999,293.999,290.699,292.999,1659100,210.326
2015-09-17,292.999,292.999,292.999,292.999,0,210.326
2015-09-18,293.799,295.25,284.55,287.25,2303400,206.199
2015-09-21,286.899,292.899,283.299,291.15,541400,208.998
2015-09-22,291.15,292.55,287.65,290.05,1432800,208.209
2015-09-23,287.799,289.449,285.299,287.299,625800,206.234
2015-09-24,286.999,302.899,283.299,294.749,1582300,211.582
2015-09-25,294.749,294.749,294.749,294.749,0,211.582
2015-09-28,294.65,296.499,290.499,292.099,786200,209.68
2015-09-29,288.299,293.199,284.499,290.899,1e+06,208.819
2015-09-30,290.899,311.599,285.499,302.299,1191300,217.002
2015-10-01,305.25,308.999,291.999,293.25,1128800,210.506
2015-10-02,293.25,293.25,293.25,293.25,0,210.506
2015-10-05,298.999,299.999,292.199,298.899,677400,214.561
2015-10-06,299.199,310.399,298.999,308.65,983200,221.561
2015-10-07,308.849,315.599,307.199,313.05,837200,224.719
2015-10-08,311.15,313.499,304.05,305.499,690300,219.299
