"Date","PEL.NS.Open","PEL.NS.High","PEL.NS.Low","PEL.NS.Close","PEL.NS.Volume","PEL.NS.Adjusted"
2015-09-08,858,863.9,826,848.8,48400,832.9735
2015-09-09,854,869.35,845.1,852.75,72800,836.8498
2015-09-10,860,878,857,866.6,117900,850.4416
2015-09-11,868.7,874.95,842.9,848.15,55500,832.3356
2015-09-14,862.95,865.75,841.6,846.85,41500,831.0598
2015-09-15,854,854,835.25,847,61100,831.207
2015-09-16,846.7,860,833,839.25,56900,823.6015
2015-09-17,839.25,839.25,839.25,839.25,0,823.6015
2015-09-18,835,849,804,814.6,157100,799.4111
2015-09-21,823.95,833,808.05,827.15,109100,811.7272
2015-09-22,839,854,831.15,843.85,71900,828.1157
2015-09-23,843,850,833,840.15,70900,824.4848
2015-09-24,849,872.6,840,859.2,110800,843.1796
2015-09-25,859.2,859.2,859.2,859.2,0,843.1796
2015-09-28,860,874,853,868.6,59200,852.4043
2015-09-29,857.7,869.9,844.4,851.15,54200,835.2797
2015-09-30,864.5,882.95,852,869.95,91100,853.7291
2015-10-01,877.95,897.2,875,889.6,68400,873.0127
2015-10-02,889.6,889.6,889.6,889.6,0,873.0127
2015-10-05,892.5,919.95,892.5,916.2,66000,899.1168
2015-10-06,911,932,876.05,893.2,75900,876.5456
2015-10-07,899.8,924,872.1,917.75,87200,900.6379
2015-10-08,918,920.25,902.75,910.8,24300,893.8174
2015-10-09,910,938.5,909.95,922.55,617700,905.3483
2015-10-12,922.55,930.9,903.25,928.1,39900,910.7948
2015-10-13,924,961,919,950.5,66500,932.7772
2015-10-14,950,959.7,923.7,949.8,65800,932.0902
2015-10-15,948,958,915.25,923.45,43600,906.2316
2015-10-16,923,939,923,935,13900,917.5662
2015-10-19,934.95,956.4,928,953.85,61000,936.0647
2015-10-20,954.85,954.85,930,939.95,59700,922.4239
2015-10-21,930,949.8,930,935.6,28800,918.155
2015-10-22,935.6,935.6,935.6,935.6,0,918.155
2015-10-23,944.9,1009.25,943.1,985.4,513700,967.0265
2015-10-26,992.9,1004,976,997.85,93100,979.2443
2015-10-27,990.1,994.9,965.8,986.4,76300,968.0078
2015-10-28,970.5,1008.4,969.5,991.3,104600,972.8164
2015-10-29,985.5,993.8,955,961.95,274200,944.0137
2015-10-30,968.65,978.85,927,934.95,84200,917.5172
2015-11-02,949.45,1004.9,935,991.1,214800,972.6202
