"Date","HDFC.NS.Open","HDFC.NS.High","HDFC.NS.Low","HDFC.NS.Close","HDFC.NS.Volume","HDFC.NS.Adjusted"
2015-05-26,1252.1,1260,1233.45,1240.45,1157900,1209.4597
2015-05-27,1231,1245,1229,1239.9,2128100,1208.9235
2015-05-28,1242,1249.3,1206.55,1229.25,3185400,1198.5395
2015-05-29,1229,1248,1218.75,1236.05,8462100,1205.1697
2015-06-01,1236.1,1255,1236.1,1247.75,1565200,1216.5773
2015-06-02,1247,1250.1,1197.05,1203.1,2840000,1173.0428
2015-06-03,1202.55,1217.85,1194,1202.85,1669000,1172.799
2015-06-04,1209.2,1225,1190,1216,1559700,1185.6205
2015-06-05,1213,1217,1193.8,1201.35,1562300,1171.3365
2015-06-08,1202,1205,1171,1176.75,1709100,1147.3511
2015-06-09,1179.5,1196,1176.65,1188.8,1405900,1159.1001
2015-06-10,1182.1,1205,1182.1,1190.55,1909400,1160.8064
2015-06-11,1198,1200,1157.95,1164.3,2885200,1135.2122
2015-06-12,1156,1194.9,1156,1190.4,2189900,1160.6601
2015-06-15,1189.9,1218,1183.35,1214.55,2625900,1184.2068
2015-06-16,1210.3,1213.95,1180.25,1199.05,1624300,1169.0941
2015-06-17,1208,1217.9,1196.3,1200.9,2468700,1170.8978
2015-06-18,1201,1219.6,1200,1213.3,2158500,1182.988
2015-06-19,1222.9,1247.55,1219,1236.85,3996800,1205.9496
2015-06-22,1240,1274.5,1238.1,1271.55,1686400,1239.7828
2015-06-23,1272.8,1288.7,1260.25,1285.2,2574700,1253.0917
2015-06-24,1283.5,1294.85,1265.7,1283.9,3659700,1251.8242
2015-06-25,1278.2,1314,1273.75,1308.85,3542900,1276.1508
2015-06-26,1305,1310,1275.2,1287.85,2363200,1255.6755
2015-06-29,1265.5,1293.4,1260,1285.5,1926700,1253.3842
2015-06-30,1289.9,1302.85,1278.25,1296.45,3046500,1264.0606
2015-07-01,1296,1302.95,1287.75,1292.7,2734800,1260.4043
2015-07-02,1293.55,1297.9,1280.3,1285.2,2411300,1253.0917
2015-07-03,1286.9,1323,1278.5,1316.05,2442500,1283.171
2015-07-06,1304.2,1321.25,1298.75,1317.6,1300400,1284.6822
2015-07-07,1324,1347.4,1320,1337.3,2026000,1303.8901
2015-07-08,1324.85,1332.25,1285.1,1290.05,3407900,1257.8206
2015-07-09,1291.1,1299.1,1281.85,1285.3,1370900,1253.1893
2015-07-10,1287.8,1294.3,1278.9,1283.35,2821500,1251.2879
2015-07-13,1298,1327,1282.05,1323.75,2793000,1290.6786
2015-07-14,1322.6,1322.95,1309.1,1318.4,1150800,1285.4623
2015-07-15,1316.75,1343.95,1311.5,1340.15,1928200,1319.6815
2015-07-16,1342,1372.4,1342,1359.7,2199500,1338.9329
2015-07-17,1359.9,1359.9,1323.7,1326.65,1981100,1306.3877
2015-07-20,1332.65,1333.4,1303,1315.35,2306300,1295.2603
2015-07-21,1315.35,1329.35,1306.15,1311.6,2360600,1291.5676
2015-07-22,1306,1349.95,1303.35,1345.75,1081500,1325.196
2015-07-23,1349.9,1357.45,1341.5,1350.55,1642800,1329.9227
2015-07-24,1355,1365,1336.65,1358.75,1915300,1337.9974
2015-07-27,1353.45,1359.15,1329.8,1336,2164700,1315.5949
2015-07-28,1332,1337,1298.65,1304.4,3844400,1284.4776
2015-07-29,1310,1332,1305,1312.05,1996100,1292.0108
2015-07-30,1327,1352,1323.35,1335.8,3233800,1315.398
2015-07-31,1334.7,1350,1329.9,1340.4,2843900,1319.9277
2015-08-03,1331.2,1350.5,1315.65,1324.35,2473100,1304.1228
2015-08-04,1324.4,1331.1,1299.7,1302.45,2421600,1282.5573
2015-08-05,1307.4,1319.95,1300,1302.45,1916100,1282.5573
2015-08-06,1304.25,1313.4,1289,1303.85,2429200,1283.9359
2015-08-07,1306.3,1315,1295.6,1298.45,1641300,1278.6184
2015-08-10,1305.95,1333.4,1298.1,1305.5,1534300,1285.5607
2015-08-11,1306.75,1306.95,1284,1290.65,2196300,1270.9376
2015-08-12,1284.5,1284.5,1257.75,1261.95,1596300,1242.6758
2015-08-13,1261.95,1273,1250.1,1256.95,2627900,1237.7522
2015-08-14,1268.25,1306.9,1258.75,1299.95,2309600,1280.0955
2015-08-17,1300,1306.2,1271.8,1279.6,1117700,1260.0563
2015-08-18,1280.5,1285.75,1263.4,1266.1,1425100,1246.7625
2015-08-19,1259,1264.85,1248.7,1256.3,2263700,1237.1122
2015-08-20,1258,1266.9,1246,1249.9,2591700,1230.81
2015-08-21,1238,1239,1214,1228.35,2820800,1209.5891
2015-08-24,1194.3,1195,1155.85,1167.75,4955800,1149.9146
2015-08-25,1177.3,1187.05,1136.1,1145.55,5830000,1128.0538
2015-08-26,1145,1158.15,1093.2,1102.35,8008800,1085.5135
2015-08-27,1120,1204.2,1120,1193.9,9119000,1175.6653
2015-08-28,1201.45,1215.7,1179.1,1201.9,3103800,1183.5431
2015-08-31,1204,1213.8,1176.55,1186.15,3482900,1168.0336
2015-09-01,1175,1176.35,1146,1157.4,2672400,1139.7227
2015-09-02,1175,1179,1110.1,1123.15,6095000,1105.9958
2015-09-03,1139,1176.35,1125.85,1172.05,3026600,1154.149
2015-09-04,1161,1163.95,1131.55,1141.6,2511200,1124.164
2015-09-07,1145,1176.6,1137.05,1155.05,2977400,1137.4087
2015-09-08,1158,1180,1151.15,1171.05,2558700,1153.1643
2015-09-09,1183.5,1203.4,1178.5,1186.65,2732300,1168.526
2015-09-10,1167.55,1174.9,1149.5,1162.75,2039300,1144.991
2015-09-11,1175,1186,1170.25,1176.35,2011300,1158.3833
2015-09-14,1177.35,1188.5,1163.7,1184.7,1505400,1166.6057
2015-09-15,1176.65,1184.45,1165.45,1178.6,1839700,1160.5989
2015-09-16,1189.9,1200,1184,1196.35,1981500,1178.0778
2015-09-17,1196.35,1196.35,1196.35,1196.35,0,1178.0778
2015-09-18,1217,1235.75,1195.1,1207.05,4775400,1188.6144
2015-09-21,1187.8,1209.7,1185.5,1207.3,1318300,1188.8606
2015-09-22,1217,1217,1163.1,1168.6,2102300,1150.7516
2015-09-23,1155,1173.4,1144.25,1165.95,2474900,1148.1421
2015-09-24,1165,1184.4,1151,1181.85,2492900,1163.7993
2015-09-25,1181.85,1181.85,1181.85,1181.85,0,1163.7993
2015-09-28,1180,1189,1163.45,1172.15,1479200,1154.2475
2015-09-29,1164.4,1230.95,1152.5,1216.8,4094800,1198.2155
2015-09-30,1244,1244,1200.75,1212.75,4753900,1194.2273
2015-10-01,1232.8,1232.8,1192.1,1196.6,3065000,1178.324
2015-10-02,1196.6,1196.6,1196.6,1196.6,0,1178.324
2015-10-05,1210,1262.7,1205.25,1256.95,3654100,1237.7522
2015-10-06,1268,1271,1238.35,1265.2,3144000,1245.8762
2015-10-07,1258,1280,1258,1277.45,1507600,1257.9391
2015-10-08,1278.5,1279.8,1258.45,1278.1,1314100,1258.5792
2015-10-09,1286,1299,1275.4,1291.7,2002900,1271.9715
2015-10-12,1292,1295.35,1261.95,1270.25,1610900,1250.8491
2015-10-13,1270,1282.5,1263.2,1278.7,1768400,1259.17
2015-10-14,1273.65,1297,1273.65,1294.15,1170600,1274.3841
2015-10-15,1295.3,1305,1288.15,1294.7,1243900,1274.9256
2015-10-16,1295,1315.8,1283.6,1314.5,1781300,1294.4233
2015-10-19,1320,1322,1302.45,1315.35,2824500,1295.2603
2015-10-20,1311.1,1316.4,1302.65,1312.5,2544700,1292.4538
2015-10-21,1307.1,1320,1305.65,1315.75,1040900,1295.6542
2015-10-22,1315.75,1315.75,1315.75,1315.75,0,1295.6542
2015-10-23,1325,1344,1320.05,1337.9,2128800,1317.4659
2015-10-26,1347.5,1350,1303.4,1312.7,4866400,1292.6507
2015-10-27,1304.9,1304.9,1271.8,1275.1,4779900,1255.625
2015-10-28,1275,1284.55,1255.45,1266.6,2978700,1247.2548
2015-10-29,1266,1285.65,1258.55,1264.65,3915200,1245.3347
2015-10-30,1266.1,1273.55,1246.45,1256.85,2116200,1237.6538
2015-11-02,1252,1267,1213,1221.05,3337000,1202.4006
2015-11-03,1230,1233.35,1215,1221.4,2624700,1202.7452
2015-11-04,1228.75,1236,1215,1220.15,1258100,1201.5143
2015-11-05,1220,1224.8,1200.55,1205.85,2416800,1187.4327
2015-11-06,1207.2,1224.5,1202.25,1205.4,1645800,1186.9896
2015-11-09,1180,1203.3,1177.65,1190.75,3374200,1172.5634
2015-11-10,1184.2,1185.7,1168.55,1171.35,1260400,1153.4596
2015-11-11,1171.35,1171.35,1171.35,1171.35,0,1153.4596
2015-11-12,1171.35,1171.35,1171.35,1171.35,0,1153.4596
2015-11-13,1178.65,1181.25,1157.55,1178.75,1892600,1160.7466
2015-11-16,1170.1,1189.95,1157.8,1178.4,2208100,1160.402
2015-11-17,1190.2,1203.95,1184,1200.75,1926600,1182.4106
2015-11-18,1199,1202.5,1176,1178.7,1823900,1160.6973
2015-11-19,1187.25,1217,1184.5,1214.2,2607100,1195.6551
2015-11-20,1216,1222.2,1200,1205.75,2659500,1187.3343
2015-11-23,1210,1211,1184.1,1191.15,2241800,1172.9573
2015-11-24,1191.15,1224.5,1189.65,1218.95,3758200,1200.3326
2015-11-25,1218.95,1218.95,1218.95,1218.95,0,1200.3326
2015-11-26,1222,1231.95,1216,1222.65,2264900,1203.9762
2015-11-27,1225.1,1242.15,1215.8,1230.6,1851200,1211.8047
2015-11-30,1223.5,1229.4,1204.35,1218.5,6102100,1199.8895
2015-12-01,1218.95,1228.15,1213.55,1224.7,2065600,1205.9948
2015-12-02,1221.3,1233.3,1206.1,1211.75,1513300,1193.2426
2015-12-03,1207.35,1208.9,1198.05,1200.2,1577700,1181.869
2015-12-04,1190,1192.65,1169.5,1171.6,2898700,1153.7058
2015-12-07,1176.3,1187.9,1175.05,1184.6,2494800,1166.5073
2015-12-08,1178.9,1178.9,1169.5,1171.55,2988100,1153.6566
2015-12-09,1166.25,1170.4,1150,1153.25,1705500,1135.6361
2015-12-10,1155,1185,1154,1182.3,2489800,1164.2425
2015-12-11,1185,1188,1162.2,1174.75,2219500,1156.8077
2015-12-14,1156.05,1195,1156.05,1188.05,2052300,1169.9046
2015-12-15,1184.35,1209.5,1180.8,1206.55,2628100,1188.1221
2015-12-16,1211,1222.8,1209.2,1219.3,1910200,1200.6773
2015-12-17,1220,1243.85,1209.5,1240.95,1921600,1221.9966
2015-12-18,1247.9,1247.9,1220.55,1224.85,2755200,1206.1425
2015-12-21,1218.2,1240,1218.2,1232.35,2178100,1213.528
2015-12-22,1233.7,1237,1221.5,1228.25,1549200,1209.4906
2015-12-23,1233,1242,1231.5,1239.2,1327200,1220.2733
