"Date","LUPIN.NS.Open","LUPIN.NS.High","LUPIN.NS.Low","LUPIN.NS.Close","LUPIN.NS.Volume","LUPIN.NS.Adjusted"
2015-09-11,1825,1839.85,1800.6,1810,514600,1802.021
2015-09-14,1820,1845.9,1785,1840.25,552800,1832.137
2015-09-15,1840,1857.65,1824.3,1836,490300,1827.906
2015-09-16,1846,1863.4,1833.15,1845.75,465100,1837.613
2015-09-17,1845.75,1845.75,1845.75,1845.75,0,1837.613
2015-09-18,1875,1910,1866,1898.85,1522900,1890.479
2015-09-21,1876.5,1903,1870.35,1880.4,637300,1872.11
2015-09-22,1891,1899,1862.85,1871.6,650000,1863.349
2015-09-23,1856.1,1933.3,1827.35,1922.05,1124400,1913.577
2015-09-24,1945,2002.8,1941.15,1990.35,2633600,1981.575
2015-09-25,1990.35,1990.35,1990.35,1990.35,0,1981.575
2015-09-28,2000,2067.75,1986.65,2034.15,1832400,2025.182
2015-09-29,2000.7,2038.3,1963.3,2015.25,1770800,2006.366
2015-09-30,2046.95,2055,2020,2034,1267500,2025.033
2015-10-01,2059.95,2128,2034,2108.85,2749600,2099.553
2015-10-02,2108.85,2108.85,2108.85,2108.85,0,2099.553
2015-10-05,2113.5,2123.8,2077.3,2082.65,897200,2073.468
2015-10-06,2092,2129,2063.55,2073.4,887100,2064.259
2015-10-07,2078,2102,2056.8,2065.65,734300,2056.543
2015-10-08,2080,2080.65,2027.1,2044.4,891700,2035.387
2015-10-09,2050.9,2070,2050.9,2055.6,783700,2046.538
2015-10-12,2064.65,2072,2001.7,2009.8,670600,2000.94
2015-10-13,2006,2042,2005,2028.25,974100,2019.308
2015-10-14,2028.25,2077.9,2025.85,2066.85,968300,2057.738
2015-10-15,2070,2112,2068.65,2099.1,1115200,2089.846
2015-10-16,2095,2097.65,2035.2,2052.95,850600,2043.899
2015-10-19,2060,2099,2056.1,2073,669400,2063.861
2015-10-20,2100,2104,2058,2075.6,1709300,2066.45
2015-10-21,2079.95,2084.45,2060,2063.4,495400,2054.303
2015-10-22,2063.4,2063.4,2063.4,2063.4,0,2054.303
2015-10-23,2086,2097.45,2071.6,2079.3,700100,2070.133
2015-10-26,2082.3,2096.85,2031.8,2051.6,1418900,2042.556
2015-10-27,1990,2025,1932,1945.65,3070500,1937.073
2015-10-28,1933.75,1948,1885,1910.4,2460600,1901.978
2015-10-29,1919.3,1935.75,1906.4,1920.25,1290000,1911.785
2015-10-30,1924,1944.45,1911.1,1928.9,692700,1920.396
2015-11-02,1928.9,1935.2,1868,1899.6,777000,1891.226
2015-11-03,1910,1910.95,1865,1874.55,1430700,1866.286
2015-11-04,1894,1894,1851,1857.15,1364000,1848.963
2015-11-05,1856.4,1856.4,1833.5,1838.25,660800,1830.146
2015-11-06,1834,1870,1812.05,1857.85,815300,1849.66
2015-11-09,1829,1883.7,1811.1,1868.7,732400,1860.462
