"Date","ESCORTS.NS.Open","ESCORTS.NS.High","ESCORTS.NS.Low","ESCORTS.NS.Close","ESCORTS.NS.Volume","ESCORTS.NS.Adjusted"
2015-06-22,115.75,120.95,113.35,119.65,2208500,118.39
2015-06-23,120,123,118.15,119.95,1112100,118.68
2015-06-24,120.4,124.4,118.1,119.7,1668000,118.44
2015-06-25,120.4,124,119.5,122.75,868800,121.45
2015-06-26,122.5,125,120.3,124.3,1105400,122.99
2015-06-29,120,120.5,117.8,118.65,860300,117.4
2015-06-30,119,121.65,118.2,120.2,721400,118.93
2015-07-01,120.4,129.4,119.9,124.45,2572300,123.14
2015-07-02,125.4,137.9,125.25,135.25,4120900,133.82
2015-07-03,135.95,136.6,131.65,132.45,1185500,131.05
2015-07-06,129.8,139.65,128.35,138.3,1680400,136.84
2015-07-07,139,140.45,135.4,137.65,998500,136.2
2015-07-08,134.9,136.6,129.55,131.9,1038300,130.51
2015-07-09,132.5,133.95,130.2,130.9,422500,129.52
2015-07-10,132,134.7,129,130,525300,128.63
2015-07-13,131.2,134.95,131.2,133.65,693900,132.24
2015-07-14,134,137.3,131.4,134.05,763000,132.63
2015-07-15,134.15,138.15,134.15,136.5,931200,135.06
2015-07-16,136.75,137.35,135,135.75,464700,134.32
2015-07-17,135.95,137.4,132.8,133.9,606200,132.49
2015-07-20,137.9,137.9,133.4,136.1,396300,134.66
2015-07-21,136,144.2,135,137,2075000,135.55
2015-07-22,136.4,142.5,135.6,140.4,976000,138.92
2015-07-23,140.4,145.7,140,144.4,1522400,142.87
2015-07-24,150,150.9,143.25,144.5,2565700,142.97
2015-07-27,144.7,147.4,140,144.9,1256300,143.37
2015-07-28,145.15,146.5,140.1,141.5,705200,140.01
2015-07-29,142.3,143.2,138,138.5,569900,137.04
2015-07-30,139.5,142.7,138.5,139.5,798400,138.03
2015-07-31,140.4,144.4,139.85,141.45,903000,139.96
2015-08-03,141,142.5,138.6,139.8,631800,138.32
2015-08-04,139.95,150.9,139.85,149.5,3500700,147.92
2015-08-05,150.2,154,147.5,151.4,2377800,149.8
2015-08-06,151.85,160.7,147.45,158,5235800,156.33
2015-08-07,158,169.2,153,162.5,6853300,160.78
2015-08-10,163,166.2,157.8,159.8,2116600,158.11
2015-08-11,159.8,160.3,153.4,155,879000,153.36
2015-08-12,156,162.3,152.5,154.65,2155700,153.02
2015-08-13,155.3,157.8,151.9,153.2,871300,151.58
2015-08-14,154.15,158.9,151.1,158,931800,156.33
2015-08-17,158.75,158.85,153.25,154.05,604200,152.42
2015-08-18,155,171.5,154.2,169.35,3897800,167.56
2015-08-19,167.45,175.8,166.1,168.2,3456600,166.42
2015-08-20,167,168.4,159.5,160.25,1158100,158.56
2015-08-21,155.05,168.35,154,166.65,2612700,164.89
2015-08-24,158.1,163.4,135.35,142.95,2999300,141.44
2015-08-25,148,150.25,130.7,144.85,1887800,143.32
2015-08-26,143.4,149.4,140.6,144.6,929000,143.07
2015-08-27,147.8,173.5,147,171.45,4448700,169.64
2015-08-28,174.5,179.7,162.3,167.2,4675700,165.43
2015-08-31,166.6,180.5,163.1,174.75,5072200,172.9
2015-09-01,172,174.45,161.55,164.75,2337300,163.01
2015-09-02,166.9,176.5,165.95,170.65,3299700,168.85
2015-09-03,172,175,168.65,169.95,1578000,169.35
2015-09-04,169,172.35,162.05,163.5,1520600,162.92
2015-09-07,164.3,166.9,156,156.75,950800,156.19
2015-09-08,157.9,160.9,151.25,157.5,1425900,156.94
2015-09-09,160.75,163.5,157.15,158.3,1403400,157.74
2015-09-10,155,158.15,152.65,156.75,889200,156.19
2015-09-11,158.3,162.5,155.1,156.25,1088500,155.69
2015-09-14,156.45,158.3,154.55,155.5,566000,154.95
2015-09-15,155.55,165.2,155.2,160.3,2785900,159.73
2015-09-16,162.9,163.9,158.05,158.65,1300100,158.09
2015-09-17,158.65,158.65,158.65,158.65,0,158.09
2015-09-18,160.75,162.8,155.1,156.8,855900,156.24
2015-09-21,156,162.6,155.4,161.15,957300,160.58
2015-09-22,161,163.25,156,156.75,749400,156.19
2015-09-23,154.8,158.5,152.2,155.7,753100,155.15
2015-09-24,154.8,159.4,154.8,156.95,669900,156.39
2015-09-25,156.95,156.95,156.95,156.95,0,156.39
2015-09-28,156.25,157.75,151.4,153,465300,152.46
2015-09-29,150.6,155.5,148.55,152.7,692500,152.16
2015-09-30,153.6,156,151.6,152.75,612200,152.21
2015-10-01,153.55,158.7,153.3,154.35,950000,153.8
2015-10-02,154.35,154.35,154.35,154.35,0,153.8
2015-10-05,154.85,157.3,153.55,154.8,629700,154.25
2015-10-06,155.9,163.8,155.05,162.1,2516100,161.52
2015-10-07,163.25,165.3,159.2,160.1,1231200,159.53
2015-10-08,160.05,166.6,159.1,163.3,1764100,162.72
2015-10-09,166,167.8,163,164,1173300,163.42
2015-10-12,165.5,167.4,162,163.95,908800,163.37
2015-10-13,163.25,164.9,161.3,162.85,448100,162.27
