"Date","MFSL.NS.Open","MFSL.NS.High","MFSL.NS.Low","MFSL.NS.Close","MFSL.NS.Volume","MFSL.NS.Adjusted"
2015-07-10,490.35,498.9,486.15,495.35,101100,491.281
2015-07-13,496,503.55,492.75,495.55,102800,491.479
2015-07-14,498,500,494.85,496.65,97900,492.57
2015-07-15,496.65,517.9,496.65,514.2,225300,509.976
2015-07-16,516,537,515,529.95,389500,525.596
2015-07-17,530.1,543.9,520,536.7,186000,532.291
2015-07-20,536,544.4,518.3,539.55,193100,535.118
2015-07-21,536,548,525.1,529.85,168100,525.497
2015-07-22,521.55,553.9,521.55,547.6,343400,543.101
2015-07-23,548,549.4,532.5,539.3,255000,534.87
2015-07-24,539,545,536.95,542.9,188300,538.44
2015-07-27,543,547.4,535,536.85,82300,532.44
2015-07-28,540,547.7,521.65,529,198300,524.654
2015-07-29,532.9,547.95,532.7,543.65,144900,539.184
2015-07-30,543.7,564.8,542.1,552.75,518400,548.209
2015-07-31,557,561.95,545.45,548.85,84000,544.341
2015-08-03,545.1,563.95,536.95,562.7,134400,558.077
2015-08-04,563.95,569.5,555.1,561.1,111400,556.491
2015-08-05,557.1,575.95,557.1,567.95,297500,563.284
2015-08-06,568,575,561.1,567.2,165800,562.54
2015-08-07,573.5,575.95,556,566.55,151200,561.896
2015-08-10,566.05,569.85,553.1,555.5,96800,550.937
2015-08-11,557.5,571,556.35,562.15,129600,557.532
2015-08-12,568,572.3,543.1,556.2,277600,551.631
2015-08-13,551,570,535,553.7,195000,549.151
2015-08-14,550,569.5,550,563.3,209500,558.673
2015-08-17,567,568.35,552,564.15,140900,559.516
2015-08-18,568,568,552,556.25,238000,551.68
2015-08-19,552.9,559.95,544.2,549.35,293500,544.837
2015-08-20,545,557.95,541,544.1,109300,539.63
2015-08-21,539.8,548.95,533,544,165500,539.531
2015-08-24,534.5,534.5,472,513.65,383400,509.43
2015-08-25,509,534,496.8,514.3,380100,510.075
2015-08-26,510,521,489,498.25,197200,494.157
2015-08-27,509.4,515,497.25,505.8,120900,501.645
2015-08-28,505.5,518.1,499,504.2,111100,500.058
2015-08-31,497.5,509,495.6,500.85,142400,496.736
2015-09-01,500.85,504.85,479,486.3,104800,482.305
2015-09-02,495,502,485,491.45,341000,487.413
2015-09-03,489,513.35,486.8,509.35,293700,505.166
2015-09-04,509,509.5,495.8,502.8,105100,498.67
2015-09-07,500,505,484.05,489.9,120900,485.875
2015-09-08,487.6,492.75,473,485.35,194300,481.363
2015-09-09,490,515.05,486.05,509.05,114800,504.868
2015-09-10,503,508.9,495,506.35,137800,502.19
2015-09-11,507.95,516.25,503.5,506.95,81500,502.785
2015-09-14,512.5,512.5,499.5,506.8,179300,502.637
2015-09-15,500.1,510.1,490.35,495.2,977100,492.103
2015-09-16,501,502.45,492.5,498.85,684400,495.73
2015-09-17,498.85,498.85,498.85,498.85,0,495.73
2015-09-18,500,505,489.5,495,429900,491.904
2015-09-21,491.05,525,491.05,523.45,738000,520.176
2015-09-22,521,537,507.1,529.15,409700,525.841
2015-09-23,528.7,537.9,513.45,519.4,630200,516.152
2015-09-24,518,518,502.5,505.7,422700,502.537
2015-09-25,505.7,505.7,505.7,505.7,0,502.537
2015-09-28,522,525,508,509.5,146300,506.314
2015-09-29,504,513.05,495.5,511.35,185900,508.152
2015-09-30,512,515,505.5,511.8,153500,508.599
2015-10-01,513.15,518.95,507,516.55,101500,513.319
2015-10-02,516.55,516.55,516.55,516.55,0,513.319
2015-10-05,513.6,528,513.2,524.35,283900,521.071
2015-10-06,523,523.95,509.65,515.4,103900,512.177
2015-10-07,519.05,526.95,515.05,525.7,391300,522.412
2015-10-08,526,527.95,515.5,526.75,74000,523.456
2015-10-09,522.25,527.95,511.5,514.45,228500,511.233
2015-10-12,514.45,527,514.45,524.75,159500,521.468
2015-10-13,524,531.95,517.3,526.65,167200,523.356
2015-10-14,528.95,557.8,521.3,540.2,424200,536.822
2015-10-15,542,554.95,523.75,547.65,422400,544.225
2015-10-16,550,552.75,531.8,535.05,230900,531.704
2015-10-19,535,544,534,539.35,321700,535.977
2015-10-20,534.1,550,534.1,547.25,314200,543.827
2015-10-21,548,550,541.7,544,82400,540.598
2015-10-22,544,544,544,544,0,540.598
2015-10-23,549,571,522.7,527.5,499900,524.201
2015-10-26,533,537.65,527,534.45,112200,531.107
2015-10-27,531.75,537.6,528.75,530.4,121400,527.083
2015-10-28,529,545,525.1,528.8,76600,525.493
2015-10-29,534.85,535,525.2,527.8,74300,524.499
2015-10-30,527.95,535,526,529.25,347900,525.94
2015-11-02,529.25,542,520.2,532.45,56900,529.12
2015-11-03,532.1,537.5,522.45,529.8,457000,526.487
2015-11-04,530.05,534.65,526,529.4,90100,526.089
2015-11-05,529,529.95,522.6,526.05,38000,522.76
2015-11-06,527.7,538.7,525,532.25,45500,528.921
2015-11-09,527.25,533,509,528.65,50600,525.344
2015-11-10,528.65,528.65,520,521.25,325100,517.99
2015-11-11,521.25,521.25,521.25,521.25,0,517.99
2015-11-12,521.25,521.25,521.25,521.25,0,517.99
2015-11-13,527.8,534.45,518.05,531.6,57600,528.275
2015-11-16,531.55,544.8,527.9,538.8,75900,535.43
2015-11-17,540.1,554.8,536.05,549.6,839500,546.163
2015-11-18,554,569,545.05,563.45,554700,559.926
2015-11-19,563.45,580.95,553.1,575.8,516400,574.033
2015-11-20,579,586,567,576.55,429300,574.78
2015-11-23,570,570,551,555.75,259200,554.044
2015-11-24,565,566,539,542.05,271900,540.386
2015-11-25,542.05,542.05,542.05,542.05,0,540.386
2015-11-26,540.05,545.6,532,541.1,178500,539.439
2015-11-27,548.7,549,536.15,540.65,77800,538.991
2015-11-30,539.6,544,523.2,527.7,199900,526.08
2015-12-01,533.45,537,528,535,73400,533.358
2015-12-02,535,541.3,528.1,531.75,115200,530.118
2015-12-03,529,543.25,528.3,539.4,140900,537.744
2015-12-04,535,540.9,534.05,537.9,163700,536.249
2015-12-07,535,538,530,534.05,81400,532.411
2015-12-08,531,534.55,522.4,528.25,84900,526.629
2015-12-09,525,528.05,511.65,515.1,161400,513.519
2015-12-10,516.35,518.9,502,506.85,85900,505.294
2015-12-11,506.85,506.85,484.1,491.05,379100,489.543
2015-12-14,480,489,480,486.8,664400,485.306
2015-12-15,488,488.5,481.25,486.85,336600,485.356
2015-12-16,492,492,480,481.8,221300,480.321
2015-12-17,486,505.6,482,500.2,482600,498.665
2015-12-18,496,508,496,500.2,366600,498.665
2015-12-21,498.95,502.85,494.45,499.5,77600,497.967
2015-12-22,502.65,502.65,497,499.4,65700,497.867
2015-12-23,501.8,504.95,498.2,499.8,292300,498.266
2015-12-24,499.8,501.85,487.5,496.3,138100,494.777
2015-12-25,496.3,496.3,496.3,496.3,0,494.777
2015-12-28,515,530,507,513.95,1138200,512.373
2015-12-29,514,517.35,505,508.6,256500,507.039
2015-12-30,506.5,513.9,499.95,501.55,223400,500.011
2015-12-31,502.8,514.7,500.05,507.9,187000,506.341
2016-01-01,508.4,528,504.15,523.85,278300,522.242
2016-01-04,524,524,513.5,517.5,380200,515.912
2016-01-05,517.5,519.9,505.55,514.2,278600,512.622
2016-01-06,514,515,507.3,510,350300,508.435
2016-01-07,507,507.5,489,500.4,408100,498.864
2016-01-08,497.05,503.35,487.5,490.05,233700,488.546
