"Date","JUSTDIAL.NS.Open","JUSTDIAL.NS.High","JUSTDIAL.NS.Low","JUSTDIAL.NS.Close","JUSTDIAL.NS.Volume","JUSTDIAL.NS.Adjusted"
2015-11-17,798.7,815,794,805.15,654500,805.15
2015-11-18,809.2,810.9,793.1,800.85,453100,800.85
2015-11-19,807,808.8,795.35,804.9,285000,804.9
2015-11-20,811.9,879.9,805.15,866.95,1710300,866.95
2015-11-23,872,924.5,868,899.85,2654700,899.85
2015-11-24,904.4,934.8,900,930.6,1734200,930.6
2015-11-25,930.6,930.6,930.6,930.6,0,930.6
2015-11-26,940,970,938.05,962.65,2290500,962.65
2015-11-27,966.4,966.8,931,940.8,902000,940.8
2015-11-30,943.9,956,937,939,598500,939
2015-12-01,936,941.85,910,927.4,782800,927.4
2015-12-02,927.4,933,910.5,914.25,565400,914.25
2015-12-03,888,894.8,862.1,870.2,1209100,870.2
2015-12-04,869.9,870,820.2,824.45,1152900,824.45
2015-12-07,825,867,798,851.45,2133200,851.45
2015-12-08,845,877,843,869.55,1420400,869.55
2015-12-09,872,883.2,850.65,873.2,1336500,873.2
2015-12-10,877.8,891,865,884.95,1010500,884.95
2015-12-11,890,907,886,892.65,1982700,892.65
2015-12-14,874.7,900.9,852.95,895.55,828800,895.55
2015-12-15,897.7,938,884,924.25,865000,924.25
2015-12-16,925,932,886.3,899.7,733600,899.7
2015-12-17,900,908.1,881.5,903.8,775300,903.8
2015-12-18,898,898,863.7,874.25,494800,874.25
2015-12-21,875,877.9,862,867.55,386100,867.55
2015-12-22,866.5,873.7,854.1,860.9,343900,860.9
2015-12-23,868.5,870,846.65,853.55,481100,853.55
2015-12-24,857,875,850,866.45,507800,866.45
2015-12-25,866.45,866.45,866.45,866.45,0,866.45
2015-12-28,866,869.8,853,857.2,348500,857.2
2015-12-29,857,876.95,851,862.6,572100,862.6
2015-12-30,867.9,872,860.55,863.75,330000,863.75
2015-12-31,860,864.65,836.1,842.75,716700,842.75
2016-01-01,844.25,856.65,842.2,847.4,297900,847.4
2016-01-04,842,849.75,831,837.85,307700,837.85
2016-01-05,839,863.5,832.05,851.95,534200,851.95
2016-01-06,850.1,858,842,845.85,234400,845.85
2016-01-07,833.4,860,829.2,842.8,443500,842.8
2016-01-08,842.9,855,831.75,835.15,313000,835.15
2016-01-11,825.1,843,824.1,832.05,241800,832.05
2016-01-12,839.8,841.5,823.2,826.7,266300,826.7
2016-01-13,833,837.2,795.6,819.4,406100,819.4
2016-01-14,802.85,817.8,800.4,806.45,333100,806.45
2016-01-15,810,813.05,782.45,795.45,617500,795.45
2016-01-18,795,804.9,767,800.25,325200,800.25
2016-01-19,811,815,796.2,803.4,215600,803.4
2016-01-20,787,802.8,780.4,790.35,279600,790.35
2016-01-21,791.9,806.9,782.25,791.4,233900,791.4
2016-01-22,800,807,783,796.05,334700,796.05
2016-01-25,802.9,837.3,787.1,792.1,722200,792.1
2016-01-26,792.1,792.1,792.1,792.1,0,792.1
2016-01-27,794,798,767,784.95,826500,784.95
2016-01-28,726,755,713.3,731.1,2667600,731.1
2016-01-29,726.4,726.4,602,608.2,5852100,608.2
2016-02-01,611.3,623.85,536,567.45,8059800,567.45
2016-02-02,569.35,601.95,569.35,591,6191800,591
2016-02-03,590.05,591.55,535.1,568.5,4633700,568.5
2016-02-04,578,590,552,580.1,2918200,580.1
2016-02-05,583.7,591,560,568.65,1850100,568.65
2016-02-08,566.4,566.4,536.5,541.4,2165600,541.4
2016-02-09,530,530,493.5,501.75,4903900,501.75
2016-02-10,492,521.7,483,516.05,4207800,516.05
2016-02-11,517.95,524.7,460,474.9,4017700,474.9
2016-02-12,471,471,375.7,415.35,7629400,415.35
2016-02-15,425.05,482,422.5,465.65,4376100,465.65
2016-02-16,471.9,477.5,435.5,443.3,2627100,443.3
2016-02-17,456.7,531.95,450.25,525.75,10480400,525.75
2016-02-18,536,577.95,530.35,551.8,9660000,551.8
2016-02-19,544,546.75,521.05,531.5,3933100,531.5
2016-02-22,537.9,561.7,530.1,556.55,3443000,556.55
2016-02-23,559.7,568,540.1,550.4,3254700,550.4
2016-02-24,546.8,558.5,531.35,550.35,2386600,550.35
2016-02-25,563,572.9,526.25,535.05,2828700,535.05
2016-02-26,545,555,528.5,550.25,2248200,550.25
2016-02-29,544,547.95,522.5,534.4,1310700,534.4
2016-03-01,539.45,554.45,534.5,548.5,1134600,548.5
2016-03-02,557.4,571,554.35,560.15,1296300,560.15
2016-03-03,562,672,560.5,662.85,9834500,662.85
2016-03-04,676.1,766,676.1,758.2,12837900,758.2
2016-03-07,758.2,758.2,758.2,758.2,0,758.2
2016-03-08,765,765.05,641,650,9949200,650
2016-03-09,620,677.8,585,655.8,15269600,655.8
2016-03-10,676,709,667.5,678.15,8946800,678.15
2016-03-11,647,686.45,630.5,673.85,6480900,673.85
2016-03-14,685,699,668,674.65,3015500,674.65
2016-03-15,665,673.2,653,659.6,2099100,659.6
2016-03-16,665.9,668,645.05,648.2,2000400,648.2
2016-03-17,649.9,666.9,641,647.35,2731200,647.35
2016-03-18,649,655,620.05,641.85,2739500,641.85
2016-03-21,642,653.9,629,645.1,2200300,645.1
2016-03-22,643,707.95,640.05,703.05,8274800,703.05
2016-03-23,711.25,754,710,741.6,7255800,741.6
2016-03-24,741.6,741.6,741.6,741.6,0,741.6
2016-03-25,741.6,741.6,741.6,741.6,0,741.6
