"Date","IBULHSGFIN.NS.Open","IBULHSGFIN.NS.High","IBULHSGFIN.NS.Low","IBULHSGFIN.NS.Close","IBULHSGFIN.NS.Volume","IBULHSGFIN.NS.Adjusted"
2016-07-29,771.85,778,758,764.45,1939600,739.88
2016-08-01,766,775.95,754.05,762.65,782800,738.14
2016-08-02,767.95,787.55,763,783.7,2804500,758.52
2016-08-03,786.95,794,778.05,787.6,2443900,762.29
2016-08-04,792,806.5,779.6,799.85,1837600,774.15
2016-08-05,798,804.9,785.1,797.55,1472100,780.71
2016-08-08,797,813.6,790.45,807.7,1173400,790.64
2016-08-09,808,810.3,793.25,806.85,969600,789.81
2016-08-10,807,809.8,773.1,781.5,1480900,764.99
2016-08-11,787,790,770.5,782.4,1305500,765.88
2016-08-12,783.2,801,781.6,798.45,955700,781.59
2016-08-15,798.45,798.45,798.45,798.45,0,781.59
2016-08-16,800,818,786.1,815.3,2296900,798.08
2016-08-17,817.95,822,802.7,809.2,901000,792.11
2016-08-18,811.95,815.45,799.6,804.9,818100,787.9
2016-08-19,808.5,810,796.75,800.1,1095200,783.2
2016-08-22,794.55,804.95,789.1,793.3,536900,776.55
2016-08-23,793,808.8,791.25,804.5,1020000,787.51
2016-08-24,804.95,811,802.45,807.7,885300,790.64
2016-08-25,808.9,828.5,806,824.2,3989300,806.79
2016-08-26,830,832.55,812.25,818.95,1108500,801.65
2016-08-29,814.1,831.2,809,829,828000,811.49
2016-08-30,833.45,837,825.85,830.8,1383500,813.25
2016-08-31,834.85,837,815.3,819.2,3189000,801.9
2016-09-01,820,845,819.95,835.9,1718000,818.25
2016-09-02,835,836.4,825.25,829.05,585400,811.54
2016-09-05,829.05,829.05,829.05,829.05,0,811.54
2016-09-06,832.8,841.2,827.05,834.05,1299700,816.43
2016-09-07,835,842.4,815.1,820.75,724900,803.42
2016-09-08,825,825.5,811.4,817.75,685100,800.48
2016-09-09,815,817,791.25,795.7,2203500,778.89
2016-09-12,775.6,779.95,759.8,766.15,966500,749.97
2016-09-13,766.15,766.15,766.15,766.15,0,749.97
2016-09-14,774.4,796.7,771.8,793.45,717300,776.69
2016-09-15,792.6,799.5,782.35,786.25,800700,769.64
2016-09-16,792.7,814,789,808.1,2168100,791.03
2016-09-19,803.9,809.5,795.1,797.5,557000,780.66
2016-09-20,797.5,807.7,790.25,804.9,1540900,787.9
2016-09-21,805.85,805.85,792.6,796.15,472500,779.34
2016-09-22,799.35,808,796,801.55,1351000,784.62
2016-09-23,806,822,804.05,814.3,2124200,797.1
2016-09-26,809.2,816.4,803.55,813.6,862000,796.42
2016-09-27,811.1,821.8,809.95,812.7,1146300,795.54
2016-09-28,807.4,821.2,807.4,816.6,805200,799.35
2016-09-29,821,833.35,764.1,787.35,2547300,770.72
2016-09-30,785,832,785,827.4,1563000,809.93
2016-10-03,826.9,860,819.6,855.25,1866600,837.19
2016-10-04,857.3,878,848.6,873.45,1955600,855
2016-10-05,874,879,861.6,865.3,792000,847.02
2016-10-06,863,874.8,842.2,850.25,926600,832.29
2016-10-07,853,866.8,852.05,856.85,633900,838.75
2016-10-10,855,859.2,841.2,844.3,649300,826.47
2016-10-11,844.3,844.3,844.3,844.3,0,826.47
2016-10-12,844.3,844.3,844.3,844.3,0,826.47
2016-10-13,843,843,811.1,822.4,1439100,805.03
2016-10-14,830.95,842.75,824.1,837.8,1009700,820.11
2016-10-17,842.5,852,833.9,838.15,1304200,820.45
2016-10-18,838,865.9,837.35,862.65,1444600,844.43
2016-10-19,867.5,883,861.25,880.65,1039400,862.05
2016-10-20,885.95,891,865.5,872.2,1176900,853.78
2016-10-21,879,880.9,857.05,877.05,2407900,858.53
2016-10-24,880,885.25,864.4,871.6,853900,853.19
