"Date","TATASTEEL.NS.Open","TATASTEEL.NS.High","TATASTEEL.NS.Low","TATASTEEL.NS.Close","TATASTEEL.NS.Volume","TATASTEEL.NS.Adjusted"
2016-02-02,250.25,251,230.1,231.45,8388400,226.3499
2016-02-03,227.9,233.9,221.45,224,7791500,219.064
2016-02-04,224.4,228.6,219,225.95,11709400,220.9711
2016-02-05,216,238.3,216,233.85,25803300,228.697
2016-02-08,238.6,243.95,232.05,234.1,10332400,228.9415
2016-02-09,230.9,237.3,230.1,235.5,7562800,230.3106
2016-02-10,234.85,237.75,227.1,235.7,7616000,230.5062
2016-02-11,235.95,237.3,220.85,224.5,6151600,219.553
2016-02-12,226,229.35,211.15,217.5,9373700,212.7073
2016-02-15,222,248,222,246.7,13602300,241.2638
2016-02-16,249.6,251.6,243.15,244.85,9146800,239.4546
2016-02-17,245,252.9,238,251.25,8295400,245.7136
2016-02-18,255,256.5,243.2,250.85,9459300,245.3224
2016-02-19,248.5,254.45,246.85,253.25,6770600,247.6695
2016-02-22,253.6,257.5,251.7,255.25,4810300,249.6254
2016-02-23,255.8,261.6,252.1,253.55,8452300,247.9629
2016-02-24,250.6,253.75,246.95,247.9,4743800,242.4374
2016-02-25,247.1,249.85,244.6,248.15,5588100,242.6819
2016-02-26,249.5,251.7,243.15,248.45,5336800,242.9753
2016-02-29,246.9,263.65,245.1,249.1,9850400,243.611
2016-03-01,250,258.15,246.55,257.05,7111200,251.3858
2016-03-02,260,269.5,259.5,267.55,7645600,261.6544
2016-03-03,273,289,272.1,287.05,17533000,280.7247
2016-03-04,289,291.2,284.5,288.55,9170100,282.1916
2016-03-07,288.55,288.55,288.55,288.55,0,282.1916
2016-03-08,287.8,296.7,287,291.8,9281500,285.37
2016-03-09,283.5,296.5,281.3,295.4,10158400,288.8907
2016-03-10,296.3,301.25,293.3,296.7,8556900,290.1621
2016-03-11,296,298.2,290.35,294.05,7633600,287.5704
2016-03-14,295.95,300.25,295.25,296.7,4445300,290.1621
2016-03-15,297,302,294.1,300.45,6978000,293.8294
2016-03-16,300,302.75,294.2,299.5,7039300,292.9004
2016-03-17,304.5,305.65,294.9,295.9,8005500,289.3797
2016-03-18,299.7,302.75,296.95,302.2,7314400,295.5409
2016-03-21,302,305.95,300.65,303.55,5651700,296.8611
2016-03-22,303.1,311.8,301.35,309.8,6579000,302.9734
