"Date","INDIANB.NS.Open","INDIANB.NS.High","INDIANB.NS.Low","INDIANB.NS.Close","INDIANB.NS.Volume","INDIANB.NS.Adjusted"
2016-08-18,219.3,236.8,219.25,228.15,6741300,228.15
2016-08-19,229,232,225.5,229.2,1777700,229.2
2016-08-22,231,231,222.3,223.8,773700,223.8
2016-08-23,225,233,219.15,228.65,1388900,228.65
2016-08-24,229.8,234.5,225.75,228.35,1061500,228.35
2016-08-25,230,231.2,220.1,223.8,651400,223.8
2016-08-26,223.25,226.95,221.05,222.6,428200,222.6
2016-08-29,222.6,228.3,219.9,225.05,607000,225.05
2016-08-30,225,231.5,224,229.1,827400,229.1
2016-08-31,229.8,230.9,223,224.95,541500,224.95
2016-09-01,224,229.85,219.3,223.6,482100,223.6
2016-09-02,223.65,224.5,215,219.45,392700,219.45
2016-09-05,219.45,219.45,219.45,219.45,0,219.45
2016-09-06,221.45,240.65,221,235.1,1370900,235.1
2016-09-07,236.7,242,231,233.5,1641600,233.5
2016-09-08,234,240.5,233,234.75,634500,234.75
2016-09-09,235.4,236,227,228.65,454900,228.65
2016-09-12,223,223.4,215,216.55,639700,216.55
2016-09-13,216.55,216.55,216.55,216.55,0,216.55
2016-09-14,217,223.45,216,218.55,488100,218.55
2016-09-15,222,222,212.1,214.4,319700,214.4
2016-09-16,216.8,220.65,213,216.95,605700,216.95
2016-09-19,217.2,220.75,215.45,216.6,290400,216.6
2016-09-20,216.6,218.4,215.8,216.5,193000,216.5
2016-09-21,216,218.8,213.5,214.15,236000,214.15
2016-09-22,218.05,220.05,215.5,216.6,206700,216.6
2016-09-23,217.1,217.2,213,213.8,143000,213.8
2016-09-26,214.55,216.5,208.2,209.2,355900,209.2
2016-09-27,210,210.85,204.65,206.9,321900,206.9
2016-09-28,208.75,235.5,206.6,227.7,1559400,227.7
2016-09-29,230.5,235.75,206,209.9,1181400,209.9
2016-09-30,210,216.25,207.55,211.1,617100,211.1
2016-10-03,214.3,229.75,213.2,223.8,1382900,223.8
2016-10-04,222.35,227.15,219.1,223.85,915900,223.85
2016-10-05,224,227.75,221.1,222.3,466900,222.3
2016-10-06,222,224.9,213.2,216.85,389100,216.85
2016-10-07,217.7,225.2,217,220.85,478600,220.85
2016-10-10,222,222.25,215.1,215.65,224900,215.65
2016-10-11,215.65,215.65,215.65,215.65,0,215.65
2016-10-12,215.65,215.65,215.65,215.65,0,215.65
2016-10-13,214.95,217.65,207.65,208.8,495200,208.8
2016-10-14,210,213.45,208.95,210.2,325700,210.2
2016-10-17,214,214,206.5,209.1,311200,209.1
2016-10-18,207.5,213.55,207.5,211.75,269200,211.75
2016-10-19,213.2,223.65,212.15,220.75,590000,220.75
2016-10-20,222.1,228.45,222.1,225.25,575300,225.25
2016-10-21,223.55,228.1,221.3,225.3,215600,225.3
2016-10-24,224.2,237.6,224.2,229.85,932800,229.85
2016-10-25,231.35,231.85,225.1,227.9,175300,227.9
2016-10-26,226.95,231.4,223.5,224.75,236700,224.75
2016-10-27,224.75,224.75,214.4,218.1,237500,218.1
2016-10-28,218.15,235.6,218.15,232.5,584900,232.5
2016-10-31,232.5,232.5,232.5,232.5,0,232.5
2016-11-01,227,234.25,226.1,226.85,222100,226.85
