"Date","GODREJCP.NS.Open","GODREJCP.NS.High","GODREJCP.NS.Low","GODREJCP.NS.Close","GODREJCP.NS.Volume","GODREJCP.NS.Adjusted"
2016-01-15,1284,1298.05,1230.55,1240.5,190700,1233.78
2016-01-18,1240.6,1258.4,1200,1210.6,144900,1204.05
2016-01-19,1212.5,1228.5,1191.1,1207.85,154400,1201.31
2016-01-20,1200,1206,1180,1187.8,214600,1181.37
2016-01-21,1195.1,1201.9,1124.7,1129,325400,1122.89
2016-01-22,1145,1152.7,1122.5,1130.5,313800,1124.38
2016-01-25,1132,1170.05,1132,1149.8,258100,1143.57
2016-01-26,1149.8,1149.8,1149.8,1149.8,0,1143.57
2016-01-27,1160,1175,1118.8,1146.8,668800,1140.59
2016-01-28,1153.9,1182.1,1142.15,1171.45,633900,1165.11
2016-01-29,1174.8,1227.65,1174.8,1224.95,871100,1218.32
2016-02-01,1235,1276.8,1222.25,1262.8,350800,1255.96
2016-02-02,1264.5,1273.25,1222.05,1237.25,587200,1230.55
2016-02-03,1230.3,1253.8,1212.85,1233.8,310700,1228.11
2016-02-04,1260,1268,1232.1,1240.05,111600,1234.33
2016-02-05,1247.25,1250.05,1236,1245.9,102200,1240.16
2016-02-08,1247.25,1263.55,1237,1245.7,71300,1239.96
2016-02-09,1259.9,1259.9,1224,1236.15,91400,1230.45
2016-02-10,1236,1249.05,1207.45,1214.7,337100,1209.1
2016-02-11,1203,1222.9,1158,1187,131500,1181.53
2016-02-12,1190.9,1222,1139,1209.3,126800,1203.73
2016-02-15,1229.4,1259.5,1205.25,1246.15,220000,1240.41
2016-02-16,1234,1244.8,1190,1196.5,121000,1190.98
2016-02-17,1196,1198.4,1157,1178.3,125400,1172.87
2016-02-18,1194,1214.4,1181.9,1207.6,131600,1202.03
2016-02-19,1218,1223.8,1178,1199.85,95800,1194.32
2016-02-22,1198.1,1219.4,1198.1,1212.9,119400,1207.31
2016-02-23,1208,1230,1185.1,1199.85,98900,1194.32
2016-02-24,1199,1200,1161.05,1175.45,132900,1170.03
2016-02-25,1175.45,1205,1155.65,1177.7,277200,1172.27
2016-02-26,1181,1201.95,1174.5,1199.6,85200,1194.07
2016-02-29,1200,1200,1163.6,1188.35,223400,1182.87
2016-03-01,1195,1264,1192,1248.9,482600,1243.14
2016-03-02,1262.15,1279,1241.95,1260.5,220900,1254.69
2016-03-03,1261.9,1266.4,1233.5,1243.55,180700,1237.82
2016-03-04,1248.7,1254.5,1241.95,1249.65,257400,1243.89
2016-03-07,1249.65,1249.65,1249.65,1249.65,0,1243.89
2016-03-08,1254,1279.45,1244.65,1253.7,461600,1247.92
2016-03-09,1248,1262.4,1233.65,1258.75,175900,1252.95
