"Date","ANDHRABANK.NS.Open","ANDHRABANK.NS.High","ANDHRABANK.NS.Low","ANDHRABANK.NS.Close","ANDHRABANK.NS.Volume","ANDHRABANK.NS.Adjusted"
2015-07-13,71.2,72.2,70.45,72.05,1200400,70.9
2015-07-14,72.05,72.85,71.85,72.15,1372900,71
2015-07-15,72.35,73.15,71.9,72.3,1342200,71.15
2015-07-16,72.3,73.05,72.05,72.7,728000,71.54
2015-07-17,72.75,73.1,72.1,72.55,711900,71.4
2015-07-20,72.6,72.75,70.05,70.35,1234200,69.23
2015-07-21,70.35,71.25,68.85,69,1167100,67.9
2015-07-22,68.95,71,68.2,70.85,839700,69.72
2015-07-23,71,71.45,70.15,70.35,1374700,69.23
2015-07-24,69.7,70.7,68.75,69,1549400,67.9
2015-07-27,71.1,72.9,70.2,70.5,5325200,69.38
2015-07-28,70.75,72,70.4,70.95,2837400,69.82
2015-07-29,71.5,71.5,68.45,69.05,2216900,67.95
2015-07-30,69.9,72.2,69,71.45,3668900,70.31
2015-07-31,71.9,75,71.6,74.1,5212000,72.92
2015-08-03,74.85,76.85,74.2,75.6,3271400,74.4
2015-08-04,75.75,77.5,73.1,76.75,4798900,75.53
2015-08-05,77,77.7,76.2,76.45,2966800,75.23
2015-08-06,76.3,77.9,75.2,77.2,1921900,75.97
2015-08-07,76.35,77.55,75.3,75.7,1723000,74.5
2015-08-10,75.5,76.3,74.3,74.6,1096200,73.41
2015-08-11,74.8,74.95,72.95,73.05,1425100,71.89
2015-08-12,72.9,72.9,70.55,71.45,2773100,70.31
2015-08-13,72.05,72.75,71.15,71.6,2731600,70.46
2015-08-14,71.5,75.9,71.1,75.65,3198100,74.45
2015-08-17,76.8,80.25,76.25,79.65,5711600,78.38
2015-08-18,80,81.65,78.1,78.9,3906600,77.64
2015-08-19,78.2,78.8,76.4,76.85,1851700,75.63
2015-08-20,76.05,77.75,73.65,74.05,2085500,72.87
2015-08-21,72.8,75.5,71.5,74.95,2124200,73.76
2015-08-24,71.5,72.5,64,64.6,4791400,63.57
2015-08-25,66,67.2,61.6,64.75,5632300,63.72
2015-08-26,64.95,65.45,63.1,63.45,3125900,62.44
2015-08-27,65.25,68.4,64.6,67.8,3721900,66.72
2015-08-28,68.9,69.15,65.35,66.15,2656300,65.1
2015-08-31,65.95,68.15,65.5,67.45,2534600,66.38
2015-09-01,66.9,67.25,63.85,64.3,3272100,63.28
2015-09-02,65.1,65.95,63.05,63.3,2800900,62.29
2015-09-03,63.95,65,63.15,64.2,1661000,63.18
2015-09-04,64,64.2,61.15,61.8,2438600,60.82
2015-09-07,62.5,62.7,59.8,60.15,2024500,59.19
2015-09-08,60.2,62.6,59.6,61.25,3764400,60.28
2015-09-09,62.3,62.7,61.1,61.5,3164000,60.52
2015-09-10,60.6,60.95,58.5,60.15,3248000,59.19
2015-09-11,60.75,61.55,60.4,61,1747300,60.03
2015-09-14,61.75,63.3,61.2,62.85,1581400,61.85
2015-09-15,63.1,63.7,61.9,62,1467100,61.01
2015-09-16,62.9,63.05,61.9,62.4,2108700,61.41
2015-09-17,62.4,62.4,62.4,62.4,0,61.41
2015-09-18,63.05,66.5,62.75,65.85,6448700,64.8
2015-09-21,65.65,68.7,64.8,68.3,5922300,67.21
2015-09-22,69,69.2,65.5,65.9,2911600,64.85
2015-09-23,65,68.5,64.9,68,3699000,66.92
2015-09-24,67.9,69.1,67.2,67.4,2984600,66.33
