"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2015-10-12,769.899,777.9,759.999,763.449,3264300,214.1924
2015-10-13,770.949,777.951,766.749,770.85,3276400,216.2688
2015-10-14,774,774,761.55,763.95,2805200,214.3329
2015-10-15,769.5,791.151,767.001,785.4,3892100,220.3509
2015-10-16,794.799,810.801,791.1,804.651,5341200,225.752
2015-10-19,807.999,819.501,804.201,815.799,3670000,228.8796
2015-10-20,822,828.999,816.75,823.299,4258500,230.9838
2015-10-21,825,828.399,796.5,801.75,3257800,224.9381
2015-10-22,801.75,801.75,801.75,801.75,0,224.9381
2015-10-23,807,810.699,791.7,797.55,2765000,223.7597
2015-10-26,800.001,803.001,772.8,773.949,3539900,217.1382
2015-10-27,774,782.901,771.549,778.65,2770400,218.4571
2015-10-28,785.001,785.001,765,766.8,3265500,215.1325
2015-10-29,761.901,763.95,755.1,756.999,6984900,212.3828
2015-10-30,759.999,777.699,758.001,768.45,4040700,215.5954
2015-11-02,770.1,785.901,769.701,783.249,3315100,219.7474
2015-11-03,783,789.999,774.399,785.001,2235600,220.239
2015-11-04,780.201,807.999,780.201,791.199,5004400,221.9779
2015-11-05,794.901,795.501,776.1,787.35,2679600,220.898
2015-11-06,783.999,796.95,783.999,788.751,1332400,221.2911
2015-11-09,774.999,799.8,763.251,795.201,3037400,223.1007
2015-11-10,782.199,793.299,726.999,734.001,8417900,205.9305
2015-11-11,734.001,734.001,734.001,734.001,0,205.9305
2015-11-12,734.001,734.001,734.001,734.001,0,205.9305
2015-11-13,744.999,766.95,738.999,763.95,5638100,214.3329
2015-11-16,765.099,781.701,764.499,777.801,3962400,218.2189
2015-11-17,782.001,783,765.801,771.15,1788800,216.3529
2015-11-18,772.701,776.499,764.4,767.001,1610300,215.1889
2015-11-19,774.999,795.201,767.1,792.351,2468200,222.3011
2015-11-20,789,807.351,784.2,800.7,3445800,224.6435
2015-11-23,800.7,810.849,791.799,798.099,1611100,223.9137
2015-11-24,799.95,817.401,792.099,810.15,2714800,227.2947
2015-11-25,810.15,810.15,810.15,810.15,0,227.2947
