"Date","SANWARIA.NS.Open","SANWARIA.NS.High","SANWARIA.NS.Low","SANWARIA.NS.Close","SANWARIA.NS.Volume","SANWARIA.NS.Adjusted"
2016-05-31,5.5,5.5,4.9,5.05,448700,5.05
2016-06-01,5.2,5.2,4.9,5,105000,5
2016-06-02,4.95,5,4.85,4.9,94800,4.9
2016-06-03,4.9,4.95,4.8,4.9,58000,4.9
2016-06-06,4.85,4.95,4.75,4.8,54800,4.8
2016-06-07,4.85,5,4.8,4.95,48100,4.95
2016-06-08,4.85,5,4.85,4.9,60900,4.9
2016-06-09,5.05,5.1,4.9,4.95,27800,4.95
2016-06-10,5.1,5.15,4.9,5.1,78300,5.1
2016-06-13,5.2,5.2,4.9,5.1,53200,5.1
2016-06-14,5,6,5,5.4,150200,5.4
2016-06-15,5.5,5.65,5.2,5.35,89800,5.35
2016-06-16,5.55,5.55,4.85,5.2,137600,5.2
2016-06-17,5.15,5.45,5.1,5.25,97200,5.25
2016-06-20,5.35,5.65,5.15,5.5,136300,5.5
2016-06-21,5.5,5.5,5.25,5.3,50700,5.3
2016-06-22,5.4,5.5,5.25,5.4,47300,5.4
2016-06-23,5.4,5.45,5.1,5.15,108600,5.15
2016-06-24,5,5.2,4.85,5.1,113100,5.1
2016-06-27,5.15,5.35,5.05,5.15,24900,5.15
2016-06-28,5.3,5.3,5.1,5.2,42300,5.2
2016-06-29,5.2,5.45,5.15,5.3,91600,5.3
2016-06-30,5.25,6,5.15,5.9,436600,5.9
2016-07-01,6.3,6.3,5.65,5.9,217100,5.9
2016-07-04,6,6,5.65,5.95,249300,5.95
2016-07-05,6.1,6.1,5.9,6,147100,6
2016-07-06,6,6,6,6,0,6
2016-07-07,6.05,6.25,5.95,6.05,186500,6.05
2016-07-08,6.2,6.2,5.75,5.9,79400,5.9
2016-07-11,6.15,6.15,5.9,5.95,95700,5.95
2016-07-12,6.15,6.15,5.8,5.95,114100,5.95
2016-07-13,6,6,5.65,5.85,100100,5.85
2016-07-14,6,6.05,5.7,5.85,82900,5.85
2016-07-15,5.9,5.95,5.5,5.7,200100,5.7
2016-07-18,5.75,5.75,5.5,5.7,80000,5.7
2016-07-19,5.7,5.9,5.7,5.75,44300,5.75
2016-07-20,5.8,5.8,5.5,5.55,62000,5.55
2016-07-21,5.6,5.75,5.6,5.65,40600,5.65
2016-07-22,5.55,5.75,5.15,5.55,78700,5.55
2016-07-25,5.7,5.7,5.3,5.55,87300,5.55
2016-07-26,5.7,5.7,5.35,5.5,85000,5.5
2016-07-27,5.5,5.5,5.4,5.45,24100,5.45
2016-07-28,5.4,5.85,5.4,5.5,87300,5.5
2016-07-29,5.7,5.7,5.45,5.5,42700,5.5
2016-08-01,5.6,5.65,5.4,5.45,102300,5.45
2016-08-02,5.45,5.6,5.3,5.3,61300,5.3
2016-08-03,5.25,5.4,5.1,5.25,110300,5.25
2016-08-04,5.2,5.35,5.1,5.15,48100,5.15
2016-08-05,5.15,6.15,5.15,6.15,659000,6.15
2016-08-08,6.25,7.15,6.25,6.55,1789900,6.55
2016-08-09,6.55,7.1,6.3,6.55,450500,6.55
2016-08-10,6.8,6.9,6.15,6.3,443800,6.3
2016-08-11,6.3,6.45,5.8,6.15,173500,6.15
2016-08-12,6.1,6.3,5.45,5.75,459300,5.75
2016-08-15,5.75,5.75,5.75,5.75,0,5.75
2016-08-16,6,6.5,5.95,6.2,305100,6.2
2016-08-17,6.6,6.75,6,6.1,386000,6.1
2016-08-18,6.15,6.45,6,6.3,178500,6.3
2016-08-19,6.25,6.4,6,6.05,125500,6.05
2016-08-22,6.1,6.5,5.85,6,127300,6
2016-08-23,6,6.3,5.8,6.15,146800,6.15
2016-08-24,6.3,6.3,5.95,6.1,188300,6.1
2016-08-25,6.05,6.35,5.95,6.25,170600,6.25
2016-08-26,6.3,6.6,6.05,6.15,163200,6.15
2016-08-29,6.1,6.25,6.1,6.2,45600,6.2
2016-08-30,6.15,6.4,6.15,6.25,141400,6.25
