"Date","HEROMOTOCO.NS.Open","HEROMOTOCO.NS.High","HEROMOTOCO.NS.Low","HEROMOTOCO.NS.Close","HEROMOTOCO.NS.Volume","HEROMOTOCO.NS.Adjusted"
2016-07-20,3248,3283.6,3235.95,3275.25,179600,3193.56
2016-07-21,3294.95,3306.95,3260,3266.3,286000,3184.84
2016-07-22,3266.85,3283.55,3252.15,3260.85,191900,3179.52
2016-07-25,3251.3,3283.95,3245.4,3280.05,286400,3198.24
2016-07-26,3280.3,3283.8,3170.35,3210.1,308600,3130.04
2016-07-27,3215.9,3268.8,3186.95,3204.65,193400,3124.73
2016-07-28,3204,3230,3153.35,3197.3,815000,3117.56
2016-07-29,3175,3244,3174.9,3203.15,311100,3123.26
2016-08-01,3220.7,3248.5,3204.25,3215.05,359400,3134.87
2016-08-02,3224.9,3279.4,3195.6,3261.7,318400,3180.35
2016-08-03,3274.65,3309,3220.25,3231,223500,3150.42
2016-08-04,3258,3305,3249.7,3276.3,275600,3194.59
2016-08-05,3290,3466.2,3281.15,3443.95,492800,3358.06
2016-08-08,3470,3556,3406.6,3457.35,1381600,3371.12
2016-08-09,3449.95,3494.65,3396.25,3411.8,715000,3326.71
2016-08-10,3438,3438.85,3297.1,3317.3,378500,3234.57
