"Date","JINDALSTEL.NS.Open","JINDALSTEL.NS.High","JINDALSTEL.NS.Low","JINDALSTEL.NS.Close","JINDALSTEL.NS.Volume","JINDALSTEL.NS.Adjusted"
2015-04-29,143.45,147.39999,143.45,145.75,3690800,145.75
2015-04-30,135,142.8,135,139.60001,9896100,139.60001
2015-05-01,139.60001,139.60001,139.60001,139.60001,0,139.60001
2015-05-04,140,143.5,140,142.05,2557200,142.05
2015-05-05,142.5,147.7,141.64999,146.7,3508000,146.7
2015-05-06,145.89999,148.5,132.3,134.85001,5646500,134.85001
2015-05-07,131.7,138,128.64999,137,5289000,137
2015-05-08,138.39999,140.2,132,133.64999,3201400,133.64999
2015-05-11,135,137.89999,133.60001,135.60001,2538100,135.60001
2015-05-12,135.89999,136.39999,129.05,130.10001,3346300,130.10001
2015-05-13,131.95,136.5,130.89999,134.7,3070300,134.7
2015-05-14,134.14999,142.14999,133.39999,138.85001,5784300,138.85001
2015-05-15,139.10001,142.10001,135,136.39999,3475400,136.39999
2015-05-18,136.89999,138.25,135.25,137.3,2078900,137.3
2015-05-19,137,140.35001,136.60001,138.14999,2183000,138.14999
2015-05-20,138.2,139.3,135.05,137.05,1643500,137.05
2015-05-21,137.7,137.7,134.2,136.3,1971400,136.3
2015-05-22,136.60001,142.35001,135.45,137.75,3708100,137.75
2015-05-25,137.5,138.60001,134.14999,135.2,3269100,135.2
2015-05-26,136.89999,137,133.64999,134.5,2492000,134.5
2015-05-27,132.14999,133.75,126.75,129.60001,7822600,129.60001
2015-05-28,124,128.7,117.7,118.15,15034700,118.15
2015-05-29,119.25,120.95,109.4,119.65,20206400,119.65
2015-06-01,117.5,122.15,116.05,116.7,5959600,116.7
2015-06-02,117.35,118.3,113.3,114.5,5579100,114.5
2015-06-03,114.35,114.35,97.35,106.7,13432800,106.7
2015-06-04,107.3,107.8,103.25,106.2,5046500,106.2
2015-06-05,105.95,109.4,103.2,107.1,5014900,107.1
2015-06-08,108,108.8,102.05,104.2,5478800,104.2
2015-06-09,104.2,104.65,100.85,101.85,3568400,101.85
2015-06-10,101.25,105.2,101.25,103.6,3519600,103.6
2015-06-11,104.1,104.4,93.25,96,11086600,96
2015-06-12,96,96,92,94.7,6683700,94.7
2015-06-15,95.9,98.8,93.6,96.25,5004900,96.25
2015-06-16,96.25,97.8,93.45,95.3,6159900,95.3
2015-06-17,96.1,98.9,94.55,95.95,6149900,95.95
2015-06-18,96,97.2,93.55,94,4414200,94
2015-06-19,94.4,95.2,90.45,91.3,6898700,91.3
2015-06-22,91.55,93.45,89.1,91.6,6049400,91.6
2015-06-23,92.5,97,91.85,93.8,8992400,93.8
2015-06-24,94.45,96.5,90,90.45,8295100,90.45
2015-06-25,90.5,92,88.75,90.25,11459600,90.25
2015-06-26,90.5,92,89.3,90.5,5709000,90.5
2015-06-29,89,89,85.6,86.3,5054000,86.3
2015-06-30,86,87.65,84.65,85.7,4422000,85.7
2015-07-01,85.9,89.45,85.5,87.9,5707900,87.9
2015-07-02,89.5,93.45,88.5,88.9,9876200,88.9
2015-07-03,90.7,90.7,83.2,84.55,10088800,84.55
2015-07-06,83.4,84.5,81.4,83.75,6570400,83.75
2015-07-07,84.8,84.95,81.75,82.2,5378900,82.2
2015-07-08,81.9,82.9,78,81.25,11531800,81.25
2015-07-09,81.2,85.4,80.8,81.7,10146300,81.7
2015-07-10,82.5,86.4,79.3,84.7,18275300,84.7
2015-07-13,86,86.9,83.3,83.85,9842400,83.85
2015-07-14,83.85,84.7,82.5,82.8,3792300,82.8
2015-07-15,81.95,83.7,80.7,81.05,7850700,81.05
2015-07-16,81.95,82,80.15,80.45,4814800,80.45
2015-07-17,80.55,82.1,80,80.9,5661400,80.9
2015-07-20,81,81.9,78.45,78.8,5915700,78.8
2015-07-21,78.8,80.15,77.1,77.55,7607500,77.55
2015-07-22,77.8,77.9,76.25,77.3,5288300,77.3
2015-07-23,77.5,79.45,76.5,78.85,7623800,78.85
2015-07-24,79,79.8,75.25,75.7,5033000,75.7
2015-07-27,75.5,75.5,73.6,74.65,5557700,74.65
2015-07-28,75.1,76.35,71.9,75.05,6913400,75.05
2015-07-29,75.1,77.75,74.95,75.15,5475900,75.15
2015-07-30,75.6,78.3,75.1,77.05,4265000,77.05
2015-07-31,78.15,82.35,76.8,79,8953400,79
2015-08-03,79.35,79.35,75.7,76,4186000,76
2015-08-04,76.7,78.45,74.5,77.7,8273000,77.7
2015-08-05,78.95,80.75,77.95,78.6,8483300,78.6
2015-08-06,79.8,79.8,77.6,78.6,4634200,78.6
2015-08-07,78,80,77.75,78.55,4464500,78.55
