"Date","BHEL.NS.Open","BHEL.NS.High","BHEL.NS.Low","BHEL.NS.Close","BHEL.NS.Volume","BHEL.NS.Adjusted"
2015-06-10,242.9,252.5,242.5,251.25,4016800,247.898
2015-06-11,252.15,253.4,242.6,243.75,2896400,240.498
2015-06-12,243,249.5,241.9,248.3,2399800,244.987
2015-06-15,248.5,251.3,246.35,247.8,2445200,244.494
2015-06-16,248,248,242.4,245.6,1881200,242.323
2015-06-17,246.7,246.8,240.1,240.8,3025800,237.587
2015-06-18,241.75,245.9,241.55,243.25,1769300,240.005
2015-06-19,244.4,244.4,238.15,241.25,2573200,238.031
2015-06-22,243.05,249,242.5,246.65,2020200,243.359
2015-06-23,247.05,250.95,242.7,243.8,2523600,240.547
2015-06-24,244,257.7,243.2,254.1,7323900,250.71
2015-06-25,252.5,259.95,252.5,256,6208800,252.584
2015-06-26,254.85,255.2,248,250.95,2782500,247.602
2015-06-29,247,248.9,242.8,247.25,2145500,243.951
2015-06-30,246.85,250.75,246.05,247.9,2554400,244.592
2015-07-01,247.3,259.15,247.3,257.7,4082800,254.262
2015-07-02,257.5,259.6,254.05,255.8,2783300,252.387
2015-07-03,257.5,262.4,257.5,259.1,2832900,255.643
2015-07-06,253.9,260.7,252.65,260,1737100,256.531
2015-07-07,260.5,262.6,256.8,259,2524500,255.544
2015-07-08,256,257,248.6,255.7,3510600,252.288
2015-07-09,256.4,265.8,254.75,264.3,5181700,260.774
2015-07-10,268.05,270.3,265.2,268.6,4661600,265.016
2015-07-13,268.65,270.65,265.25,269.35,2417500,265.756
2015-07-14,269.4,274.7,267.8,273.15,3456300,269.506
2015-07-15,273,276.45,271.8,273.55,2643500,269.9
2015-07-16,273.5,282,272.2,280.2,3362500,276.462
2015-07-17,280,287.8,279.75,286.55,3877000,282.727
2015-07-20,285,285,279.3,282.35,2535400,278.583
2015-07-21,282.4,290,279.55,283.65,2841800,279.865
2015-07-22,282.8,286.9,280.85,284.95,2394100,281.148
2015-07-23,287.8,288.95,282.5,284.65,2242500,280.852
2015-07-24,284,287,279.5,280.35,1955100,276.61
2015-07-27,279.5,282.2,271,272,2412500,268.371
2015-07-28,272.6,280,272.6,278.9,2957100,275.179
2015-07-29,279.25,285.5,278,283.6,2474000,279.816
2015-07-30,286,288.1,282.6,286.9,3513000,283.072
2015-07-31,287,289.65,277.25,278.35,3348200,274.636
2015-08-03,275.9,287.45,275.2,282.95,3939800,279.175
2015-08-04,283.65,285.5,278.2,281.8,2647300,278.04
2015-08-05,282.25,287.95,279.15,280.55,2325800,276.807
2015-08-06,282,286,279,282.45,2333700,278.682
2015-08-07,283.9,283.95,250.25,266.15,20258000,262.599
2015-08-10,261.7,274.8,259.65,272.45,9767800,268.815
2015-08-11,273.7,273.9,266,267.05,2303800,263.487
2015-08-12,264.1,266,257.15,259.9,2013200,256.432
2015-08-13,260,264.4,252.4,258.6,3536500,255.15
2015-08-14,260.55,264.3,257.25,261.5,3049000,258.011
2015-08-17,262,264,256,261.95,1907600,258.455
2015-08-18,263.9,264.4,258.75,261.5,1527700,258.011
2015-08-19,260.35,263.75,258,262.25,1760100,258.751
2015-08-20,260,261.5,251.7,252.95,2225100,249.575
2015-08-21,248,250.7,243.45,248.85,3241700,245.53
2015-08-24,240,240,225,229.55,5133700,226.487
2015-08-25,235.05,236.3,214.35,231,5191400,227.918
2015-08-26,231,242.8,224,240.15,4511500,236.946
2015-08-27,241,241.9,229.1,231.6,10128800,228.51
2015-08-28,235.95,239.65,231.55,234.6,3035600,231.47
2015-08-31,232,232.8,225.45,226.45,3323100,223.429
2015-09-01,225,227.9,215.1,217.75,3075200,214.845
2015-09-02,219.8,220,205.25,206.5,6457000,203.745
2015-09-03,209.45,215.5,207.6,211.6,3826300,208.777
2015-09-04,209.9,209.9,204,206.2,2683000,203.449
2015-09-07,206.3,208.4,199.5,200.8,2568900,198.121
2015-09-08,201,213.9,197.95,212.1,4438900,209.27
2015-09-09,215.65,218.25,211.8,212.75,2707500,209.911
2015-09-10,207,218.5,205.3,217.05,4493900,214.154
2015-09-11,216.9,217.9,209.75,210.7,3239200,207.889
2015-09-14,212.8,214.2,210.5,213.25,1836600,211.026
2015-09-15,212.5,214.3,210.1,212.2,1649900,209.987
2015-09-16,213.9,213.9,207.7,210.35,2511200,208.156
2015-09-17,210.35,210.35,210.35,210.35,0,208.156
2015-09-18,213.2,214.15,206.25,208.25,6574500,206.078
2015-09-21,206.9,208.65,205.65,207.15,2899400,204.989
2015-09-22,208.5,210,200.3,201.7,7120900,199.596
2015-09-23,199.9,203.3,197.2,199.1,5396100,197.023
2015-09-24,199,200.8,193.1,198.15,8660600,196.083
2015-09-25,198.15,198.15,198.15,198.15,0,196.083
2015-09-28,199.5,200,194.1,195.15,4953300,193.115
2015-09-29,193,200.5,192,197.2,4145800,195.143
2015-09-30,199.2,206.75,198.1,205.55,3886600,203.406
2015-10-01,207.5,207.5,198.5,199.35,6383900,197.271
2015-10-02,199.35,199.35,199.35,199.35,0,197.271
2015-10-05,201.5,204.9,200.25,204.15,2840100,202.021
2015-10-06,206,206.1,197,197.75,6370800,195.687
2015-10-07,197.95,203.25,197.4,202.75,3893700,200.635
2015-10-08,204,206.2,200.75,203.8,3965100,201.674
2015-10-09,206,206.5,201.2,201.9,3618900,199.794
2015-10-12,203,208.75,201.6,205.5,4177700,203.357
2015-10-13,207.95,209.95,206.15,208.45,4037700,206.276
2015-10-14,209,209.45,204.3,205.3,1880700,203.159
2015-10-15,205.95,212.3,205.5,211.8,4456600,209.591
2015-10-16,212.9,214,209.8,213.65,3025400,211.422
2015-10-19,213,215.95,211.2,214.6,3248700,212.362
2015-10-20,215.6,216.45,211.4,212.55,1796500,210.333
2015-10-21,212.6,213.7,207.65,208.45,8827000,206.276
2015-10-22,208.45,208.45,208.45,208.45,0,206.276
2015-10-23,211,211.65,208.2,209.95,2615800,207.76
2015-10-26,211.4,219.1,209.5,217.55,7005200,215.281
2015-10-27,217.3,219.7,213.35,214.4,2943700,212.164
2015-10-28,212.45,216.8,211.4,212.4,2721700,210.185
2015-10-29,212.2,213.5,202.25,203.25,6968700,201.13
2015-10-30,203.5,204.4,197.8,198.85,4121700,196.776
2015-11-02,198.25,202.75,196.95,200.2,2898400,198.112
2015-11-03,202,202.2,198.5,201.05,2899400,198.953
2015-11-04,202.5,203.2,200,201.05,2796900,198.953
2015-11-05,201.25,201.5,192.6,194.4,2601600,192.372
2015-11-06,194,196.8,184.1,191.45,9932300,189.453
2015-11-09,186,190,182.75,184.55,8047600,182.625
2015-11-10,183.35,183.95,177.4,178.4,7064700,176.539
2015-11-11,180.15,180.65,178.55,179.95,572900,178.073
2015-11-12,179.95,179.95,179.95,179.95,0,178.073
2015-11-13,178.95,181.1,176.65,177.95,3810000,176.094
2015-11-16,177.1,180.8,176,178.45,3811900,176.589
2015-11-17,179.6,181.5,177.8,178.8,3060500,176.935
2015-11-18,178.7,180.4,174.05,174.7,2983300,172.878
2015-11-19,176,176.4,173.8,175.8,2352100,173.966
2015-11-20,175,178.8,174.45,176.25,2820900,174.412
2015-11-23,177.5,179,174.6,175.2,2334300,173.373
2015-11-24,175,176.8,173.25,173.85,2008500,172.037
2015-11-25,173.85,173.85,173.85,173.85,0,172.037
2015-11-26,174.8,175.8,172.8,173.35,3619400,171.542
2015-11-27,173.85,177.65,173.85,176,2664200,174.164
2015-11-30,176.8,178.3,174.65,175,3778300,173.175
2015-12-01,176,176.95,174.6,175.45,1789700,173.62
2015-12-02,176.4,176.4,172.65,173.1,2208800,171.295
2015-12-03,171.95,171.95,168.1,168.65,4862900,166.891
2015-12-04,166.95,170.45,166.2,168.35,3558300,166.594
2015-12-07,169.5,170.5,167.9,168.8,1894100,167.039
2015-12-08,168,168.5,164.15,164.7,2700800,162.982
2015-12-09,166,171.2,166,168.9,6532600,167.138
2015-12-10,169.5,170.55,165.65,167.55,2664700,165.802
2015-12-11,167.9,168.4,164.25,165.5,3181100,163.774
2015-12-14,164.7,169,164.55,167.15,2040200,165.407
2015-12-15,167.2,168,164.25,166.1,1658500,164.368
2015-12-16,168,170.2,167.4,168.2,2099200,166.446
2015-12-17,170,170,165.4,169.05,2272800,167.287
2015-12-18,168.2,168.4,165.4,166.5,3696700,164.763
