"Date","EXIDEIND.NS.Open","EXIDEIND.NS.High","EXIDEIND.NS.Low","EXIDEIND.NS.Close","EXIDEIND.NS.Volume","EXIDEIND.NS.Adjusted"
2015-06-15,142,145.9,142,144.65,1307200,139.98
2015-06-16,144.5,146.25,142.05,145.6,1075800,140.9
2015-06-17,145.7,148.25,143.95,146.7,1639900,141.96
2015-06-18,146.8,148.85,146.1,147.9,718900,143.13
2015-06-19,148.25,148.75,145.7,146.85,863900,142.11
2015-06-22,147,151,146.95,149.2,2420900,144.38
2015-06-23,149.8,151.4,148.4,150.15,899700,145.3
2015-06-24,150.35,153.6,148.9,150.75,1520100,145.88
2015-06-25,150,152.75,149.3,151.5,3136400,146.61
2015-06-26,151.05,153.8,150,152.8,996900,147.87
2015-06-29,149.75,150.8,145.5,146.25,1940300,141.53
2015-06-30,146.5,149.3,144.7,148.3,1259900,143.51
2015-07-01,148.5,152,147,151.4,1036200,146.51
2015-07-02,151.45,153.4,149.25,150.1,1609600,145.25
2015-07-03,152,153.15,149.55,150.3,1223100,145.45
2015-07-06,147.3,150,146.2,149.4,1333300,144.58
2015-07-07,149.8,151.8,149.6,150.35,1051300,145.5
2015-07-08,150,155.8,148.65,152.1,2983800,147.19
2015-07-09,152.6,154.4,152.05,152.75,980900,147.82
2015-07-10,153.2,154.25,151.25,152.05,1067400,147.14
2015-07-13,152.5,154.6,151.75,154.25,959200,149.27
2015-07-14,154.5,155.1,151.95,152.05,1769300,147.14
2015-07-15,152.25,153.9,151.5,152.5,1163700,147.58
2015-07-16,152.05,154.5,152.05,153.15,1280000,148.21
2015-07-17,153.15,156,152.35,154.9,1062800,149.9
2015-07-20,155.5,156.6,154.05,155,1014400,150
2015-07-21,155,156.45,152.6,153.1,1312500,148.16
2015-07-22,152.8,153.75,151.25,152.55,1535900,147.63
2015-07-23,152.6,153.8,151.25,152.95,1263700,148.69
2015-07-24,153,154.5,150,150.65,1105600,146.46
2015-07-27,150.35,150.35,144.1,144.8,1348700,140.77
2015-07-28,144.5,145.8,141.05,141.7,1201900,137.76
2015-07-29,141,143.55,140.95,142.8,2223100,138.83
2015-07-30,144.5,146.4,142.75,143.85,3296500,139.85
2015-07-31,140,147.85,136.15,146.25,6575400,142.18
2015-08-03,146.25,151.3,144.5,149.85,2255600,145.68
2015-08-04,149.55,156.4,147.75,155.5,3056500,151.17
2015-08-05,156,157,154.1,154.75,1882200,150.44
2015-08-06,154.5,157.9,152,156.25,1188700,151.9
2015-08-07,155.95,160.45,153.05,159.15,2807900,154.72
