"Date","UBL.NS.Open","UBL.NS.High","UBL.NS.Low","UBL.NS.Close","UBL.NS.Volume","UBL.NS.Adjusted"
2015-09-03,855,888.9,850.25,874.2,271600,871.96
2015-09-04,876.85,876.85,836.55,846.75,127700,844.58
2015-09-07,847.1,862.4,827.1,833.3,121200,831.16
2015-09-08,839.8,854.4,812.1,832,156700,829.86
2015-09-09,846.25,860.15,840.55,844.05,117300,841.88
2015-09-10,835,884,800,864.4,319300,862.18
2015-09-11,872,875,853.05,861.8,91500,859.59
2015-09-14,866,869,849,856.05,79400,854.84
2015-09-15,867,874.95,845.1,865.7,169100,864.48
2015-09-16,869,872,848,852.05,83800,850.85
2015-09-17,852.05,852.05,852.05,852.05,0,850.85
2015-09-18,860.7,879,855,874.5,160700,873.27
2015-09-21,872,878.9,861.35,869.2,65700,867.98
2015-09-22,870.3,879,841.25,849.25,81800,848.05
2015-09-23,849,854.95,835,840.45,97300,839.27
2015-09-24,839.95,864.4,835.8,856.4,147200,855.19
2015-09-25,856.4,856.4,856.4,856.4,0,855.19
2015-09-28,864,865,836.3,840.3,70300,839.12
2015-09-29,837.95,861,830.1,852.95,102800,851.75
2015-09-30,859.8,891.9,851.4,881.65,186600,880.41
2015-10-01,898,900,868.2,873,90000,871.77
2015-10-02,873,873,873,873,0,871.77
2015-10-05,873,918,872.95,914,153000,912.71
2015-10-06,915.05,951,912.45,935.95,185000,934.63
2015-10-07,933.6,947,905.2,918.6,132800,917.31
2015-10-08,920,945.15,920,933.9,104100,932.58
2015-10-09,943,943.05,917.05,921.35,86200,920.05
2015-10-12,920,934.9,901,928,67600,926.69
2015-10-13,922.2,940,913,935.95,100300,934.63
2015-10-14,945,957.15,910.95,920.15,138300,918.85
2015-10-15,922,931.95,896.95,901,93900,899.73
2015-10-16,901.6,922,885,916.65,161800,915.36
2015-10-19,925.9,926,906.05,919.5,68600,918.2
2015-10-20,913,944.85,913,937.05,164800,935.73
2015-10-21,937.05,959.5,926.55,950.85,195300,949.51
2015-10-22,950.85,950.85,950.85,950.85,0,949.51
2015-10-23,956.1,961,938.05,942.85,187000,941.52
2015-10-26,943.9,965,943.9,955.35,137700,954
2015-10-27,959.8,971,941.3,955.35,150400,954
2015-10-28,962,962,942,956.35,122700,955
2015-10-29,957.45,979,945,954.75,285800,953.41
2015-10-30,959.5,961.95,934.2,938.55,101600,937.23
2015-11-02,940,967.5,931,962.5,100800,961.14
2015-11-03,973.95,977.6,944.2,952.95,156500,951.61
2015-11-04,953.1,1014.95,953.1,996.35,276900,994.95
2015-11-05,996.35,1001.35,950.55,954.1,197000,952.76
2015-11-06,957.7,972.8,948,958.9,84900,957.55
2015-11-09,953,986.7,915,972.85,137500,971.48
2015-11-10,967,994.25,945.05,955.35,114100,954
2015-11-11,955.35,955.35,955.35,955.35,0,954
2015-11-12,955.35,955.35,955.35,955.35,0,954
2015-11-13,958,993,940.1,984.15,151000,982.76
2015-11-16,989.1,989.2,952,964.25,186400,962.89
2015-11-17,972.8,1005.55,955,993.7,176700,992.3
2015-11-18,993.5,993.5,959.05,962.65,146700,961.29
2015-11-19,975,978,962,968.25,73300,966.89
2015-11-20,967.9,983.5,961,978.8,137000,977.42
2015-11-23,974.1,980,957.3,963.65,78200,962.29
2015-11-24,969.95,971.3,952,956.3,96500,954.95
2015-11-25,956.3,956.3,956.3,956.3,0,954.95
2015-11-26,959.65,971,926,959.65,276200,958.3
2015-11-27,973,999,960,975.5,191300,974.13
2015-11-30,967,972.9,940.15,948.55,363300,947.21
2015-12-01,954.7,981,954.2,978.1,112200,976.72
2015-12-02,979.2,985,960.1,964.7,61900,963.34
2015-12-03,963.15,969.35,945.1,948.2,114800,946.86
2015-12-04,945,948.15,930.3,933.3,113900,931.99
2015-12-07,931.2,933,913.2,921.9,106400,920.6
2015-12-08,913.2,937.2,913.2,926.35,129100,925.05
2015-12-09,927.6,935,885.7,893.25,121400,891.99
2015-12-10,910,910,884.2,890.7,108600,889.45
2015-12-11,900,907.1,887.75,893.6,99900,892.34
2015-12-14,888,920.8,876,915.5,286800,914.21
2015-12-15,915,928.9,907.9,915.65,107200,914.36
2015-12-16,915.65,919.8,896.95,901.55,92100,900.28
2015-12-17,905.4,910,898,906.6,82700,905.32
2015-12-18,915,929.4,902,922.65,182700,921.35
2015-12-21,925,942,911.85,932.4,98600,931.09
2015-12-22,938.9,938.9,912,922.85,70300,921.55
2015-12-23,930,930,920.3,923.55,44700,922.25
2015-12-24,925,938,920.5,935.1,65200,933.78
2015-12-25,935.1,935.1,935.1,935.1,0,933.78
2015-12-28,935,952.1,922,948.95,92200,947.61
2015-12-29,948,951.6,917.35,943.8,245400,942.47
2015-12-30,940,944.1,912.5,936.65,76900,935.33
2015-12-31,942,953.45,937.05,947.55,187400,946.22
2016-01-01,941.95,955,940.5,943.7,61800,942.37
2016-01-04,940,954.15,937,939.95,57900,938.63
2016-01-05,941,953.95,939.8,950.1,70200,948.76
