"Date","UBL.NS.Open","UBL.NS.High","UBL.NS.Low","UBL.NS.Close","UBL.NS.Volume","UBL.NS.Adjusted"
2016-10-13,952.5,956.55,934.5,944.5,189500,944.5
2016-10-14,946.6,955,936.25,948.65,123800,948.65
2016-10-17,949.7,955.05,919.55,929.9,291500,929.9
2016-10-18,933,941,922.25,929.75,243900,929.75
2016-10-19,936.4,936.4,920.55,930.05,160000,930.05
2016-10-20,932.1,938.7,914.25,918.25,155400,918.25
2016-10-21,920,932.6,913,917.85,155400,917.85
2016-10-24,920.1,923.95,879.5,890.4,189000,890.4
2016-10-25,892.9,900.8,881.4,885.55,241100,885.55
2016-10-26,888.75,888.75,868.3,873.3,565200,873.3
2016-10-27,875,883,866,871.4,767900,871.4
2016-10-28,870,881.6,863.1,870,96600,870
2016-10-31,870,870,870,870,0,870
2016-11-01,875,887.4,875,881.45,231800,881.45
2016-11-02,881,881,862.95,868.55,545500,868.55
2016-11-03,869,887.6,864.4,872.25,519400,872.25
2016-11-04,880,887.2,866.1,876.65,378100,876.65
2016-11-07,864,913.75,864,892.05,374200,892.05
2016-11-08,892.1,910,888,903.45,356500,903.45
