"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2016-07-12,579.6,582.85,568.85,574.1,1915800,565.97
2016-07-13,576.5,579,557.2,560.6,2101100,552.66
2016-07-14,559.95,567.8,553.55,563.45,1670200,555.47
2016-07-15,567,568.8,549.25,552.15,1826700,544.33
2016-07-18,553.85,570,552,553.75,2098000,545.91
2016-07-19,554.05,557.9,546,555.7,1736600,547.83
2016-07-20,558,565.85,557.1,562.5,1883800,554.53
2016-07-21,564,568.7,548.95,550.55,2043300,542.75
2016-07-22,552,563,548.05,561.15,1611900,553.2
2016-07-25,562,574.25,557.25,570.8,1938800,562.71
2016-07-26,572.7,578.2,559.2,562,2510600,554.04
2016-07-27,560,567.65,551.2,561.6,1860000,553.64
2016-07-28,563.5,577.4,563,573.85,3043700,565.72
2016-07-29,579,611,578.65,607.1,6288400,598.5
2016-08-01,610.7,613,591,598.3,2898200,589.82
2016-08-02,600,603.2,577.55,582.35,2463300,574.1
2016-08-03,584,587.4,570,572,1942500,563.9
2016-08-04,577.7,588.2,568.7,582,1977200,573.76
2016-08-05,587.85,601,585.1,598.15,2456600,589.68
2016-08-08,602.1,605.5,590.8,593.8,1863700,585.39
2016-08-09,595.4,597.3,582.4,589.3,1537200,580.95
2016-08-10,591.8,594.9,569.1,570.75,1661300,562.66
2016-08-11,570.95,578.5,560.65,575.2,2012800,567.05
2016-08-12,578,584.9,571.7,580,2204300,571.78
2016-08-15,580,580,580,580,0,571.78
2016-08-16,577.55,595.6,568,591.75,2888000,583.37
2016-08-17,590,594.4,580,585.1,1581500,576.81
2016-08-18,586.55,595.4,584.75,592.35,1551500,583.96
2016-08-19,592.05,602.8,590.5,594.15,2382700,585.73
2016-08-22,592.25,599.35,587.5,591.1,1564600,582.73
2016-08-23,596,609.9,594.15,600.65,3388800,592.14
2016-08-24,601,607.65,593.75,603.5,2294500,594.95
2016-08-25,605.8,611.9,595.65,598.25,3990000,589.77
2016-08-26,599.85,600.95,582.15,584.7,3437700,576.42
2016-08-29,584.95,603,575.75,599.75,3322700,591.25
2016-08-30,601.8,606.4,594.45,596.75,2621500,588.3
2016-08-31,597.8,607.4,593,596.65,2653500,588.2
2016-09-01,595.6,601.95,581.3,585.5,1992800,577.21
2016-09-02,585.95,618.5,584.1,614.8,4605400,606.09
2016-09-05,614.8,614.8,614.8,614.8,0,606.09
2016-09-06,619.9,624.8,616.35,618.6,2804500,609.84
2016-09-07,618.65,628,613.05,616.2,2476000,607.47
2016-09-08,616.1,625.35,614.2,617.3,1772000,608.55
2016-09-09,619.7,635.7,615.6,617.85,4461600,609.1
2016-09-12,604.9,605,556.1,577.75,2397800,569.57
2016-09-13,577.75,577.75,577.75,577.75,0,569.57
2016-09-14,582,607.85,580.75,600,4353600,591.5
2016-09-15,595.35,595.35,581.1,583.25,2790400,583.25
2016-09-16,588,614.5,585.35,590,7031700,590
2016-09-19,594,606.7,593,594.7,3219500,594.7
2016-09-20,598.4,605.5,592.1,594,2910100,594
2016-09-21,598.65,600.8,586.35,588.6,2125300,588.6
2016-09-22,597,614.4,595.15,611.95,5054500,611.95
2016-09-23,612,621.6,607,608.95,3844300,608.95
