"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2015-05-29,417.5,423.55,401.5,409.35,11854400,394.22
2015-06-01,410.95,416.7,406.8,408.8,1712700,393.69
2015-06-02,411,413.45,400.9,402.55,2195500,387.67
2015-06-03,402.95,403.75,347,373.55,3824700,359.74
2015-06-04,375.2,376,361.05,370.75,3080600,357.04
2015-06-05,367,382.9,367,375.75,2442800,361.86
2015-06-08,377,379.5,361.3,369.3,1994900,355.65
2015-06-09,368.8,377.4,366.5,372.65,2199100,358.87
2015-06-10,374.5,381.5,370.15,374.7,2441900,360.85
2015-06-11,377,378.9,357.35,359.9,1890200,346.59
2015-06-12,361,364.8,353.75,361.95,1913300,348.57
2015-06-15,364.45,368.6,360,365.5,1759800,351.99
2015-06-16,364.8,364.8,350.7,357.95,2778100,344.72
2015-06-17,360,366.4,356,361.45,1631000,348.09
2015-06-18,362,371.05,360.5,364.95,1973700,351.46
2015-06-19,368.35,368.45,358.4,363.5,1550000,350.06
2015-06-22,365.25,380.4,365,376.95,1856200,363.01
2015-06-23,378.7,382.6,372.6,377.35,1738300,363.4
2015-06-24,377,378.85,366.05,368.8,1588700,355.17
2015-06-25,367,382.6,363.05,377.85,1989700,363.88
2015-06-26,376.5,393.25,370.75,386.75,3450600,372.45
2015-06-29,371.2,384.45,368.15,381.55,2289400,367.44
2015-06-30,378.2,392.5,378.2,388.45,2470300,374.09
2015-07-01,388.45,396,387.25,390,1881100,375.58
2015-07-02,392,396.1,386.1,388.15,1258900,373.8
2015-07-03,386.5,392.2,382.2,385.05,1090600,370.81
2015-07-06,379.15,391.45,374.4,390,1344400,375.58
2015-07-07,390.15,413.7,389.8,410.95,3691100,395.76
2015-07-08,403.9,409.15,393.3,403.5,2913100,388.58
2015-07-09,405.9,418.2,400.75,411.25,2817300,396.05
2015-07-10,413.35,417.3,401,403.05,2071100,388.15
2015-07-13,404.8,419.75,404.3,414.45,2758600,399.13
2015-07-14,414,416.5,406.85,408.95,1675500,393.83
2015-07-15,410.4,415.4,407.1,408.6,1330800,393.49
2015-07-16,412.95,417.2,410.05,412.5,1544800,397.25
2015-07-17,413.6,429.55,412.75,424.55,2597300,408.85
2015-07-20,426.3,431.8,423.95,426.65,2090700,410.88
2015-07-21,425,426.6,405.7,408.1,1445100,393.01
2015-07-22,405,420.4,404,418.65,1305100,403.17
2015-07-23,420.2,424.5,413.5,418.4,1533200,402.93
2015-07-24,418,421.4,408.65,411.1,1133700,395.9
2015-07-27,409,411.1,387.65,390.35,1458300,375.92
2015-07-28,389.8,394.7,383.45,390.25,1534800,375.82
2015-07-29,391.5,393.8,382,389.25,1114700,374.86
2015-07-30,392.5,415.8,391,411.5,3071300,396.29
2015-07-31,413.65,422.7,409.75,414.6,1928600,399.27
2015-08-03,415.9,429,412.75,423.55,1552500,407.89
2015-08-04,424.3,433.75,417.2,423.9,2124600,408.23
