"Date","JPASSOCIAT.NS.Open","JPASSOCIAT.NS.High","JPASSOCIAT.NS.Low","JPASSOCIAT.NS.Close","JPASSOCIAT.NS.Volume","JPASSOCIAT.NS.Adjusted"
2015-11-23,13,13.05,12.45,12.6,14057200,12.6
2015-11-24,12.65,12.85,12.5,12.6,12880300,12.6
2015-11-25,12.6,12.6,12.6,12.6,0,12.6
2015-11-26,12.6,12.85,12.55,12.6,21079300,12.6
2015-11-27,12.65,13,12.4,12.7,24424000,12.7
2015-11-30,12.75,13,12.65,12.9,15512300,12.9
2015-12-01,13,13.2,12.8,13,16541400,13
2015-12-02,13.15,13.15,12.75,12.95,14361800,12.95
2015-12-03,13,13.15,12.8,12.9,14778700,12.9
2015-12-04,12.9,13.8,12.75,12.9,39154200,12.9
2015-12-07,13.15,13.2,12.6,12.7,15010100,12.7
2015-12-08,12.95,13.15,11.25,11.6,43786700,11.6
2015-12-09,11.5,11.6,10.75,11,42427100,11
2015-12-10,11.1,11.2,10.65,11.05,33843100,11.05
2015-12-11,11.2,11.25,10.6,10.75,26198600,10.75
2015-12-14,10.6,10.8,10.4,10.55,20261600,10.55
2015-12-15,10.65,10.7,10.4,10.6,18629600,10.6
2015-12-16,10.7,11.45,10.6,11,44214400,11
2015-12-17,11.2,11.55,10.9,11.35,36032800,11.35
2015-12-18,11.3,11.45,11.1,11.25,25535300,11.25
2015-12-21,11.25,11.7,11.15,11.35,19773500,11.35
2015-12-22,11.45,11.65,11.2,11.25,18544900,11.25
2015-12-23,11.4,11.5,11.05,11.25,19090200,11.25
2015-12-24,11.5,11.7,11.3,11.45,18729200,11.45
2015-12-25,11.45,11.45,11.45,11.45,0,11.45
2015-12-28,11.7,11.8,11.4,11.65,21635200,11.65
2015-12-29,11.8,11.9,11.4,11.55,16994700,11.55
2015-12-30,11.7,11.75,11.5,11.6,15582300,11.6
2015-12-31,11.7,12.1,11.55,11.9,17896500,11.9
2016-01-01,12.05,12.5,11.95,12.4,25721500,12.4
2016-01-04,12.5,12.6,11.8,12,32605900,12
2016-01-05,12.1,12.35,11.85,12.2,28504000,12.2
2016-01-06,12.2,12.45,11.95,12.1,20584500,12.1
2016-01-07,11.95,11.95,11,11.1,29685900,11.1
2016-01-08,11.25,11.4,10.9,11.25,25232300,11.25
2016-01-11,11.1,11.25,10.7,11.15,26697200,11.15
2016-01-12,11.2,11.2,10.55,10.65,32044400,10.65
2016-01-13,10.9,11,9.95,10.2,49160900,10.2
2016-01-14,10,10,9.6,9.7,52221600,9.7
2016-01-15,9.7,9.85,9,9.1,46758100,9.1
2016-01-18,9.1,9.1,8.5,8.8,37295600,8.8
2016-01-19,8.9,9.4,8.75,9.05,40145200,9.05
2016-01-20,8.95,9,8.5,8.75,32277700,8.75
2016-01-21,8.85,9.25,8.55,8.95,37720300,8.95
2016-01-22,9.15,9.25,8.85,9.15,33077900,9.15
2016-01-25,9.2,9.6,8.95,9.05,29138900,9.05
2016-01-26,9.05,9.05,9.05,9.05,0,9.05
2016-01-27,9.15,9.25,8.95,9.1,19546600,9.1
2016-01-28,9.15,9.25,8.8,8.85,37971100,8.85
2016-01-29,8.95,9.1,8.65,8.9,39142300,8.9
2016-02-01,8.9,9.1,8.75,8.95,22185700,8.95
2016-02-02,8.95,9,8.55,8.65,21184100,8.65
2016-02-03,8.5,8.55,7.95,8.05,35332200,8.05
2016-02-04,8.15,8.25,7.85,7.95,27647700,7.95
2016-02-05,7.95,8.3,7.95,8.2,14977600,8.2
2016-02-08,8.25,8.4,7.95,8.05,25757800,8.05
2016-02-09,7.95,8.15,7.85,8,14987900,8
2016-02-10,7.9,8,7.6,7.85,20694900,7.85
2016-02-11,7.8,7.95,7.2,7.5,27567700,7.5
2016-02-12,7.55,7.65,6.4,7.2,30513000,7.2
2016-02-15,7.3,7.8,7.3,7.5,21258900,7.5
2016-02-16,7.65,7.65,7.15,7.25,22105500,7.25
2016-02-17,7.3,7.45,6.9,7.3,23307700,7.3
2016-02-18,7.45,7.5,7,7.2,23400900,7.2
2016-02-19,7.1,7.2,6.9,6.95,21827100,6.95
2016-02-22,7,7.15,6.85,6.95,17779000,6.95
2016-02-23,7.05,7.15,6.85,7,22201200,7
2016-02-24,6.95,7.05,6.85,7,13134500,7
2016-02-25,7,7.05,6.7,6.75,25555900,6.75
2016-02-26,6.85,6.85,6.5,6.75,18794600,6.75
2016-02-29,7.05,7.3,6.8,7.05,49922500,7.05
2016-03-01,7.25,7.25,7.1,7.2,21900700,7.2
2016-03-02,7.3,7.5,7.25,7.45,17748500,7.45
2016-03-03,7.5,7.7,7.45,7.65,23946500,7.65
2016-03-04,7.75,7.9,7.6,7.7,19256200,7.7
2016-03-07,7.7,7.7,7.7,7.7,0,7.7
2016-03-08,7.8,8.2,7.6,7.85,37914300,7.85
2016-03-09,7.75,8.1,7.7,7.95,19277700,7.95
2016-03-10,8,8,7.6,7.7,22496400,7.7
2016-03-11,7.7,7.8,7.5,7.55,21005300,7.55
2016-03-14,7.65,7.7,7.2,7.25,24429400,7.25
2016-03-15,7.2,7.45,7.15,7.3,17500600,7.3
2016-03-16,7.35,7.4,7.05,7.2,22666900,7.2
2016-03-17,7.3,7.35,7,7.1,12910100,7.1
2016-03-18,7.1,7.45,6.9,7.3,32736500,7.3
2016-03-21,7.4,7.45,7.25,7.3,11416700,7.3
2016-03-22,7.35,7.6,7.3,7.55,15666000,7.55
2016-03-23,7.55,7.6,7.45,7.55,11069200,7.55
2016-03-24,7.55,7.55,7.55,7.55,0,7.55
2016-03-25,7.55,7.55,7.55,7.55,0,7.55
2016-03-28,7.55,7.55,7.1,7.1,13482100,7.1
2016-03-29,7.05,7.15,6.95,7,14528600,7
2016-03-30,7.25,7.45,7.1,7.4,23604800,7.4
2016-03-31,7.4,7.8,7.35,7.7,25715500,7.7
2016-04-01,7.9,9,7.8,8.5,91366300,8.5
2016-04-04,8.6,8.7,8.2,8.35,27798100,8.35
2016-04-05,8.25,8.3,7.8,7.85,18708400,7.85
2016-04-06,7.9,8.6,7.75,8.45,32707100,8.45
2016-04-07,8.4,8.5,8.15,8.2,34860200,8.2
2016-04-08,8.15,8.25,7.95,8,23594700,8
2016-04-11,8.05,8.1,7.85,8,13540300,8
2016-04-12,7.95,8.1,7.85,7.9,16041600,7.9
2016-04-13,8,8.2,7.95,8,18320100,8
2016-04-14,8,8,8,8,0,8
2016-04-15,8,8,8,8,0,8
2016-04-18,8,8.1,7.9,7.95,9312100,7.95
2016-04-19,7.95,7.95,7.95,7.95,0,7.95
2016-04-20,8,8.3,7.95,8.15,22659800,8.15
2016-04-21,8.25,8.55,8.2,8.3,21016000,8.3
2016-04-22,8.35,8.35,8.1,8.15,12323500,8.15
2016-04-25,8.15,8.2,7.8,7.85,14108900,7.85
2016-04-26,7.8,7.95,7.7,7.9,15672600,7.9
2016-04-27,7.95,8.05,7.8,7.8,14421300,7.8
2016-04-28,7.8,7.85,7.3,7.45,39069700,7.45
2016-04-29,7.4,7.55,7.3,7.5,11860700,7.5
2016-05-02,7.45,7.55,7.35,7.4,9382200,7.4
2016-05-03,7.5,7.55,7.3,7.35,16861600,7.35
2016-05-04,7.3,7.4,7.05,7.1,15024700,7.1
2016-05-05,7.15,7.15,7,7.05,15292700,7.05
2016-05-06,7,7.05,6.9,6.95,9612900,6.95
2016-05-09,7,7.05,6.85,6.9,12334700,6.9
