"Date","POWERGRID.NS.Open","POWERGRID.NS.High","POWERGRID.NS.Low","POWERGRID.NS.Close","POWERGRID.NS.Volume","POWERGRID.NS.Adjusted"
2015-12-02,136,136.55,134.6,135.4,782400,132.9
2015-12-03,135,136,133.3,133.8,659900,131.33
2015-12-04,133.7,133.7,130.45,130.75,774300,128.33
2015-12-07,131,131.85,129.7,131.15,858200,128.72
2015-12-08,131,131.2,129.35,130.2,826600,127.79
2015-12-09,129.7,131.7,129.05,130.15,1236900,127.74
2015-12-10,130,131,129.25,130.75,611300,128.33
2015-12-11,131,131,127.4,128,852100,125.63
2015-12-14,127.3,129.4,126.75,128.15,873200,125.78
2015-12-15,128.15,129.8,127.25,129.5,1036300,127.1
2015-12-16,130,134.1,129.7,133.35,1475700,130.88
2015-12-17,133.3,135.15,131.75,134.55,614600,132.06
2015-12-18,134,136.5,133.05,135.4,15759800,132.9
2015-12-21,135.4,139.9,135.4,139.45,3508800,136.87
2015-12-22,139.55,140.6,137.95,138.5,5429600,135.94
2015-12-23,138.8,140.5,138.8,140.05,2092500,137.46
2015-12-24,140,140.85,139.35,140.1,1251100,137.51
2015-12-25,140.1,140.1,140.1,140.1,0,137.51
2015-12-28,140.45,142.75,139.65,142.15,3240500,139.52
2015-12-29,142.2,142.6,140.4,140.95,4824200,138.34
2015-12-30,140.25,141.65,140.25,141,4606500,138.39
2015-12-31,141,142,139.6,141.15,4027400,138.54
2016-01-01,141.4,141.85,140.75,141,1816700,138.39
2016-01-04,140.5,144.35,139.9,140.95,3830500,138.34
2016-01-05,141.05,141.95,138.2,139.15,2395700,136.58
2016-01-06,138.6,139.95,138,139.5,2992500,136.92
2016-01-07,139.5,141.75,137.5,138.1,3817800,135.55
2016-01-08,140,142,138.9,141.65,5819500,139.03
2016-01-11,140.5,145.5,139,143.25,4659500,140.6
2016-01-12,143.5,146.75,142.05,142.75,3718800,140.11
2016-01-13,143.15,144.4,140.1,142.9,4197300,140.26
2016-01-14,141.4,144.5,141.4,142.85,5781600,140.21
2016-01-15,142.15,143.25,138.3,139.1,4179700,136.53
2016-01-18,140,141.05,137.4,138.15,4168800,135.59
2016-01-19,138.45,139.8,134.8,135.95,4096100,133.44
2016-01-20,134.6,140.3,130.55,134.65,8998800,132.16
2016-01-21,134.8,137.35,132,132.2,5859100,129.75
2016-01-22,133.2,135.8,132.1,133.1,4555700,130.64
2016-01-25,134,134.45,131.25,133,5002500,130.54
2016-01-26,133,133,133,133,0,130.54
2016-01-27,133.8,139.25,133.4,138.25,8171800,135.69
2016-01-28,141,144.5,140.5,143.7,12709400,141.04
2016-01-29,144.8,148.4,144.5,147.85,6309500,145.12
2016-02-01,147.9,148.4,146.15,146.75,6906500,144.04
2016-02-02,146.5,150.35,145,146.25,10275200,143.55
2016-02-03,143.85,146.2,141.45,143.25,6805100,141.37
2016-02-04,144.85,147.5,142.85,146.8,4908400,144.88
2016-02-05,147.05,147.4,144.35,145.25,3471000,143.35
2016-02-08,145.05,146.05,141.65,142.45,2148900,140.58
2016-02-09,141.8,145.5,141,141.95,4104700,140.09
2016-02-10,141,144.55,141,143.35,4567100,141.47
2016-02-11,142.85,143.85,134.1,136.7,4076800,134.91
2016-02-12,138,140.8,136.3,138.35,9036900,136.54
2016-02-15,139.1,140.65,138.1,138.7,4761300,136.88
2016-02-16,139.1,140.55,137.8,139.3,3806000,137.48
