"Date","BRITANNIA.NS.Open","BRITANNIA.NS.High","BRITANNIA.NS.Low","BRITANNIA.NS.Close","BRITANNIA.NS.Volume","BRITANNIA.NS.Adjusted"
2015-10-15,3199.25,3199.25,3151.25,3178.6499,100800,3156.4627
2015-10-16,3195.05,3248,3173.3,3228.75,183900,3206.2131
2015-10-19,3249.95,3310.6001,3240.1001,3304,355900,3280.9379
2015-10-20,3324.95,3326.45,3275.95,3300.05,211500,3277.0155
2015-10-21,3305,3312.3999,3276,3286.6499,177700,3263.7089
2015-10-22,3286.6499,3286.6499,3286.6499,3286.6499,0,3263.7089
2015-10-23,3300,3300,3238.3,3246.45,99900,3223.7895
2015-10-26,3240,3250,3185.75,3203.3999,148900,3181.04
2015-10-27,3209.95,3238.3999,3175.6001,3184.2,154200,3161.974
2015-10-28,3145,3224,3145,3193.05,152200,3170.7624
2015-10-29,3180.2,3220,3172.3999,3190.1499,185400,3167.8825
2015-10-30,3189.2,3255.3999,3173.25,3231.8999,155200,3209.341
2015-11-02,3223.7,3239,3160.3501,3186.55,144100,3164.3077
2015-11-03,3214,3222,3162,3177.3501,98700,3155.172
2015-11-04,3180,3196.3,3153.8,3181.25,109500,3159.0447
2015-11-05,3184.7,3220,3155.7,3178.8,115700,3156.6118
2015-11-06,3190,3223.55,3085.5,3130,124200,3108.1524
2015-11-09,3075,3145,3035,3044.55,300600,3023.2989
2015-11-10,3030,3096,3016.1001,3035.3501,150800,3014.1632
2015-11-11,3035.3501,3035.3501,3035.3501,3035.3501,0,3014.1632
2015-11-12,3035.3501,3035.3501,3035.3501,3035.3501,0,3014.1632
2015-11-13,3039,3039,2901.3999,2911.3999,274300,2891.0782
2015-11-16,2890,2900,2829,2846.1001,342900,2826.2341
2015-11-17,2853,2902.8501,2853,2878.1001,181000,2858.0108
2015-11-18,2880,2906.8,2844.95,2858.3999,157900,2838.4481
2015-11-19,2878,2954,2865,2944.5,158500,2923.9472
2015-11-20,2967.8999,3009,2946.05,2967.1499,141100,2946.439
2015-11-23,2975,2996.75,2972,2980.3501,80900,2959.5471
2015-11-24,2975,2985,2913.75,2941.1001,155900,2920.571
2015-11-25,2941.1001,2941.1001,2941.1001,2941.1001,0,2920.571
2015-11-26,2940,2991.8999,2882.55,2900.8501,247800,2880.602
2015-11-27,2915,2938,2896.5,2927.75,101200,2907.3141
2015-11-30,2924,2945,2895,2923.05,116400,2902.647
2015-12-01,2926.1001,2985,2903.05,2971.45,162300,2950.709
2015-12-02,2984,2984,2942.05,2960.1499,53700,2939.4879
2015-12-03,2955,2979.45,2926.5,2931.8501,71600,2911.3856
2015-12-04,2930,2957.8999,2914,2935.95,74500,2915.4568
2015-12-07,2935.95,2935.95,2872.8501,2881.8,109300,2861.6849
2015-12-08,2870,2909.3,2855.1001,2878.3,120900,2858.2093
2015-12-09,2870.1001,2871.3999,2786,2797.45,122800,2777.9236
2015-12-10,2800,2889.7,2721.05,2866.45,289300,2846.442
2015-12-11,2866.45,2880.8999,2763.5,2780.8,222600,2761.3899
2015-12-14,2763,2847,2744.8,2828,150500,2808.2604
2015-12-15,2830,2886,2823.1499,2880.05,114100,2859.9471
2015-12-16,2884.7,2895,2808.05,2814,145400,2794.3581
2015-12-17,2840,2919,2811,2910.75,166600,2890.4328
2015-12-18,2901,2948.5,2877.95,2890.3,159400,2870.1256
2015-12-21,2887,2950,2882,2943,105800,2922.4577
2015-12-22,2950,2963,2911.7,2916.8999,98300,2896.5398
2015-12-23,2925.1499,2946.5,2888.55,2896.25,96800,2876.034
2015-12-24,2927,2928,2880.8999,2910.7,81900,2890.3831
2015-12-25,2910.7,2910.7,2910.7,2910.7,0,2890.3831
2015-12-28,2912,2925,2899.5,2904.3501,87200,2884.0776
2015-12-29,2910.1001,2985.5,2910,2977.8,156700,2957.0148
2015-12-30,2990,2996,2961.55,2976.1001,84800,2955.3267
2015-12-31,2985,3013,2948.05,2966.3,240100,2945.5951
2016-01-01,2962.3999,3003.3501,2962.3999,2986.3999,64700,2965.5546
2016-01-04,2980,3004.45,2952,2972.6001,126800,2951.8512
2016-01-05,2977.1001,2992.55,2950.3,2966.7,114200,2945.9922
2016-01-06,2953,3006,2953,3001.7,133600,2980.7479
2016-01-07,2990,2994.8501,2911.05,2946.55,149400,2925.9829
2016-01-08,2947,2968,2881.8999,2902.3,166700,2882.0418
2016-01-11,2890.1001,2929,2841.1499,2919.3,132400,2898.9232
2016-01-12,2920,2987.3999,2901,2940.2,178600,2919.6772
2016-01-13,2940.2,2961.45,2866.55,2905.2,254600,2884.9215
2016-01-14,2889.95,2915,2841.1001,2897.6001,139700,2877.3747
2016-01-15,2909.8999,2934,2850.5,2859.1499,133300,2839.1929
2016-01-18,2850,2870,2745.6001,2765.3,211200,2745.9981
2016-01-19,2750,2760.1499,2723.05,2733,148200,2713.9235
2016-01-20,2719.8501,2720,2605,2679.7,273700,2660.9955
2016-01-21,2717,2729.05,2605.3501,2619.7,254700,2601.4143
2016-01-22,2650,2660,2602.3999,2615.8999,272000,2597.6408
2016-01-25,2632.7,2649,2588.75,2602.6001,248600,2584.4338
2016-01-26,2602.6001,2602.6001,2602.6001,2602.6001,0,2584.4338
2016-01-27,2612,2655,2600.8999,2649.6499,456200,2631.1552
2016-01-28,2670,2697.95,2643.55,2670.25,350300,2651.6115
2016-01-29,2685,2697,2677,2689.45,194500,2670.6774
2016-02-01,2710,2815,2699.25,2800.5,348300,2780.9523
2016-02-02,2803.3,2875.5,2771.1001,2792.8501,321100,2773.3558
2016-02-03,2780,2854.8,2726.55,2828.05,250200,2808.3101
2016-02-04,2848,2879.7,2815,2856.3,381200,2836.3629
2016-02-05,2856.1499,2871.95,2815,2862.5,259400,2842.5196
2016-02-08,2865.5,2953.3501,2843.8501,2854.75,194400,2834.8237
2016-02-09,2842,2890,2760,2783.1001,249300,2763.6739
2016-02-10,2840,2870,2687.7,2722,343700,2703.0003
2016-02-11,2700,2729.75,2611.1001,2634,291600,2615.6145
2016-02-12,2650,2657.8999,2505.05,2564.2,356900,2546.3017
2016-02-15,2605,2710,2572,2665.8999,355200,2647.2918
2016-02-16,2655.1001,2690,2610.5,2625.8999,157600,2607.571
2016-02-17,2645,2663,2545.2,2652.2,127300,2633.6874
2016-02-18,2668.3999,2767.6499,2668.3999,2753.5,195000,2734.2804
2016-02-19,2763,2763,2705.55,2724.5,127100,2705.4828
2016-02-22,2709,2801,2709,2799.3501,352000,2779.8105
2016-02-23,2795.1001,2818,2775,2802.25,165500,2782.6901
2016-02-24,2803,2807.8999,2736.6001,2753.3999,209700,2734.181
2016-02-25,2755,2773.7,2672.25,2685.95,221100,2667.2019
2016-02-26,2693,2730.5,2674.1001,2712.45,215500,2693.5169
2016-02-29,2722,2828,2640,2756.25,182400,2737.0112
2016-03-01,2756,2845,2756,2841.7,164700,2821.8647
2016-03-02,2851,2914.5,2844.3,2862.8501,160100,2842.8672
2016-03-03,2878,2892.8,2832,2841.8501,129400,2822.0138
2016-03-04,2864,2876.95,2842,2855.2,86300,2835.2705
2016-03-07,2855.2,2855.2,2855.2,2855.2,0,2835.2705
2016-03-08,2850,2884.8501,2750,2819.05,191000,2799.3729
2016-03-09,2809.95,2856,2785,2837.8,153600,2817.992
2016-03-10,2830,2858,2800,2834.6499,147000,2814.8639
2016-03-11,2840.7,2846.45,2809,2816.1001,71500,2796.4435
2016-03-14,2832,2860,2815,2823.05,112300,2803.345
2016-03-15,2800.25,2821.8501,2750.95,2758.75,76900,2739.4938
2016-03-16,2740.1001,2756,2674.1499,2720.3,239700,2701.3122
2016-03-17,2740,2740.1001,2688,2697.6001,134100,2678.7707
2016-03-18,2699,2715,2670.25,2685.8,120800,2667.053
2016-03-21,2691,2749,2691,2734.95,99400,2715.8598
2016-03-22,2736,2779.8999,2725,2751.5,120800,2732.2944
2016-03-23,2755.1499,2762.1001,2705.3,2725.3,108400,2706.2773
2016-03-24,2725.3,2725.3,2725.3,2725.3,0,2706.2773
2016-03-25,2725.3,2725.3,2725.3,2725.3,0,2706.2773
2016-03-28,2745.55,2760,2601.25,2625.6001,282100,2607.2732
2016-03-29,2615,2625,2519.05,2583.1499,195900,2565.1194
2016-03-30,2619.5,2649,2590.1499,2638.5,261600,2620.0831
2016-03-31,2625.3999,2704.8999,2615.5,2686.5,346400,2667.7481
2016-04-01,2661.5,2717.8999,2661.5,2679.05,176500,2660.3501
2016-04-04,2700,2703.55,2650,2659.2,184400,2640.6386
2016-04-05,2650,2656.25,2607.1499,2641.3501,214100,2622.9133
2016-04-06,2641.3501,2723.95,2641.3501,2707.2,483600,2688.3035
2016-04-07,2710.1001,2721.05,2679.1001,2701.1499,102100,2682.2957
2016-04-08,2691,2715.5,2681.1001,2686.8,138300,2668.046
2016-04-11,2696.8,2707.6499,2645,2656.95,215000,2638.4043
2016-04-12,2685,2738.3999,2650.2,2705.75,352900,2686.8637
2016-04-13,2708.6001,2785,2708.6001,2761.1001,260400,2741.8274
2016-04-14,2761.1001,2761.1001,2761.1001,2761.1001,0,2741.8274
2016-04-15,2761.1001,2761.1001,2761.1001,2761.1001,0,2741.8274
2016-04-18,2770.5,2856,2770.5,2850.6499,308600,2830.7522
2016-04-19,2850.6499,2850.6499,2850.6499,2850.6499,0,2830.7522
2016-04-20,2845,2887.8501,2827.5,2845.3,313400,2825.4397
2016-04-21,2847.7,2870,2780,2787.8501,177600,2768.3907
2016-04-22,2793,2830,2788.75,2822.6001,144800,2802.8982
2016-04-25,2813,2837,2800,2817.1001,171200,2797.4366
2016-04-26,2820.05,2848,2796.2,2837.3,135700,2817.4955
2016-04-27,2830.6001,2875.95,2830.6001,2861.3999,167400,2841.4272
2016-04-28,2875,2918,2812,2825.55,404300,2805.8275
2016-04-29,2827,2896,2826,2862.6001,141200,2842.619
2016-05-02,2856,2871.95,2835,2858.3999,74300,2838.4481
2016-05-03,2861.3999,2899.8999,2835,2847.1001,219900,2827.2272
2016-05-04,2847,2857.8999,2803.95,2817.75,114400,2798.0819
2016-05-05,2817,2852,2810.1001,2821.45,56500,2801.7561
2016-05-06,2828,2847,2812,2817.3,63700,2797.6351
2016-05-09,2839,2839,2800,2813.75,280200,2794.1099
2016-05-10,2815.1001,2863,2815.1001,2820.8999,115600,2801.2098
2016-05-11,2810,2858.8999,2790.95,2847.45,98000,2827.5746
2016-05-12,2867,2950,2840,2936.45,259600,2915.9533
2016-05-13,2935,2977,2925.6001,2954,269700,2933.3809
2016-05-16,2964,2978.95,2903.2,2935.55,146200,2915.0597
2016-05-17,2942.2,3017.8999,2942.2,3005.6499,235600,2984.6703
2016-05-18,3003.95,3004,2968,2971.6001,181300,2950.8581
2016-05-19,2979.95,3015,2976.1001,2995.95,156700,2975.038
2016-05-20,3009.8999,3035.05,2910,2930.7,202200,2910.2435
2016-05-23,2850,2850,2661,2682.5,760900,2663.776
2016-05-24,2682.5,2750,2610,2654.05,562800,2635.5246
2016-05-25,2660.7,2765,2657.5,2751.45,354100,2732.2447
2016-05-26,2756.8,2795,2728.05,2744.3999,359600,2725.2438
2016-05-27,2759,2761.8501,2701.1001,2719.3,513000,2700.3192
2016-05-30,2720,2758,2720,2746.05,110900,2726.8825
2016-05-31,2748,2759,2690.95,2706.2,274300,2687.3105
2016-06-01,2740,2792.3999,2725.2,2765.1001,480900,2745.7995
2016-06-02,2769.95,2822.3,2760.55,2799.5,186200,2779.9593
2016-06-03,2800,2804.6001,2756.05,2763.3501,166800,2744.0617
2016-06-06,2765,2788.5,2735.1499,2773.8501,102000,2754.4885
2016-06-07,2777,2810,2777,2795.1499,401500,2775.6396
2016-06-08,2780.1499,2807,2760.05,2770.3999,130400,2751.0623
2016-06-09,2770,2795.5,2752.05,2761.25,197400,2741.9763
2016-06-10,2774,2774,2724.05,2729.25,92000,2710.1997
2016-06-13,2716,2716,2660,2678.2,111000,2659.506
2016-06-14,2676,2696.5,2667.5,2681.1499,108200,2662.4353
2016-06-15,2699,2699,2671.25,2682.6001,109900,2663.8754
2016-06-16,2680,2696.2,2672.05,2686.8999,100500,2668.1452
2016-06-17,2690,2698.5,2636.8,2639.6001,285200,2621.1755
2016-06-20,2625,2632,2587.5,2622.2,180600,2603.8968
2016-06-21,2595,2607,2560.3,2564.8501,458700,2546.9473
2016-06-22,2568.3999,2620,2561.1001,2613.7,293700,2595.4562
2016-06-23,2618,2642,2609.3,2625.45,163300,2607.1241
2016-06-24,2580,2644.3999,2519.1001,2632.95,147500,2614.5718
2016-06-27,2635,2695.95,2625.3,2683.3,170200,2664.5704
2016-06-28,2687,2753.6001,2680.05,2748.1499,223000,2728.9676
2016-06-29,2749.8,2778.1001,2706.75,2771.3999,140300,2752.0554
2016-06-30,2779.8999,2789.45,2731,2758.95,372300,2739.6923
2016-07-01,2753.75,2817.1001,2751.55,2808.3,216900,2788.6979
2016-07-04,2838,2850,2816.3501,2840.8999,146900,2821.0702
2016-07-05,2835,2860,2810,2836.25,75500,2816.4528
2016-07-06,2836.25,2836.25,2836.25,2836.25,0,2816.4528
2016-07-07,2830,2840,2802,2809.1499,126500,2789.5419
2016-07-08,2809.1499,2836,2792.3999,2805.05,95700,2785.4706
2016-07-11,2818,2868.45,2817.6001,2859.25,178700,2839.2923
2016-07-12,2874,2908.55,2843.75,2857.2,174400,2837.2565
2016-07-13,2868,2885.8,2829.8999,2867.6001,129300,2847.5841
2016-07-14,2890,2893,2854.95,2859.75,131500,2839.7888
2016-07-15,2860,2876.6499,2811.2,2820.6001,100700,2800.9121
2016-07-18,2837.05,2848.7,2808.95,2816.3,96500,2796.6421
2016-07-19,2820.2,2827.95,2753.3501,2760.05,231200,2740.7847
2016-07-20,2774.8999,2818,2760,2809.45,88700,2789.8398
