"Date","ASHOKLEY.NS.Open","ASHOKLEY.NS.High","ASHOKLEY.NS.Low","ASHOKLEY.NS.Close","ASHOKLEY.NS.Volume","ASHOKLEY.NS.Adjusted"
2015-05-15,71.8,71.8,69,69.95,15841900,68.76
2015-05-18,70.6,70.95,70,70.8,8700700,69.596
2015-05-19,70.8,71.6,70.15,70.5,8784300,69.301
2015-05-20,71,71.5,69.9,70.85,7226600,69.645
2015-05-21,71.05,71.05,69.4,70.2,8900400,69.006
2015-05-22,70,70.4,69.05,69.2,7027900,68.023
2015-05-25,69.2,69.6,68.3,68.95,6382900,67.777
2015-05-26,69.25,69.7,68.7,69.3,5293000,68.121
2015-05-27,69,71.15,68.55,71,8732700,69.792
2015-05-28,71.7,72.25,70.25,70.5,12435100,69.301
2015-05-29,70.7,71.7,70.15,71.45,8747800,70.235
2015-06-01,71.55,73,71.3,71.95,9188800,70.726
2015-06-02,72.25,72.45,68.4,69.2,10569800,68.023
2015-06-03,68.95,69.15,65.35,67.5,12407600,66.352
2015-06-04,67.6,68.2,65.75,66.8,10473900,65.664
2015-06-05,66.8,68.5,66,67.65,8894600,66.499
2015-06-08,67.95,68.4,66.2,66.5,6412000,65.369
2015-06-09,66.2,67.15,65.8,66.3,5209700,65.172
2015-06-10,66.45,67.7,66.45,67.4,4728800,66.254
2015-06-11,68,68.3,64.85,65.65,14063000,64.533
2015-06-12,64.95,66.2,64.65,65.8,7346800,64.681
2015-06-15,66.3,67.1,64.9,65.35,6855500,64.239
2015-06-16,65.3,65.3,64,64.95,6398900,63.845
2015-06-17,65.2,66.15,64.35,65.65,8677000,64.984
2015-06-18,66.15,68.7,65.95,68.45,12450100,67.755
2015-06-19,69.15,70.35,68.8,69.75,12064700,69.042
2015-06-22,70.1,70.7,69.2,70.35,6256100,69.636
2015-06-23,70.6,72.25,69.8,71.55,11423900,70.824
2015-06-24,71.75,71.75,69.3,69.75,10233100,69.042
2015-06-25,69.6,70.9,68.9,69.9,17336300,69.191
2015-06-26,69.7,71.6,69.15,71.35,12943400,70.626
2015-06-29,69.5,71.25,68.5,70.95,9334200,70.23
2015-06-30,71.1,72.7,71.05,72.55,13775500,71.814
2015-07-01,72.95,74.9,72.9,74.1,16071800,73.348
2015-07-02,76.4,76.4,73.65,73.95,15076100,73.199
2015-07-03,73.9,73.95,72.4,72.7,7948700,71.962
2015-07-06,70.35,73.9,70.35,73.7,7542500,72.952
2015-07-07,74,74.5,72.55,72.95,6788700,72.21
2015-07-08,72,73.15,71,71.25,7313300,70.527
2015-07-09,71.75,71.95,70.75,71.2,4924900,70.477
2015-07-10,71.95,72.25,71.25,71.65,4372500,70.923
2015-07-13,72,73.15,71.3,72.75,7086100,72.012
2015-07-14,72.8,74.85,72.4,74.25,17503000,73.496
2015-07-15,74.55,75.45,73.85,74.45,16647200,73.694
2015-07-16,74.8,74.95,73.9,74.4,7901800,73.645
2015-07-17,74.65,75.9,74.1,75.15,9589900,74.387
2015-07-20,75.25,78.05,75.1,77.65,16031000,76.862
2015-07-21,78.5,80.75,78.15,79.3,23024000,78.495
2015-07-22,79.05,81.65,79.05,81.35,12538600,80.524
2015-07-23,81.95,83.1,81.6,82.1,14105700,81.267
2015-07-24,82.2,82.2,79.9,80.5,8498100,79.683
2015-07-27,80.25,82.2,79.25,80.9,12022300,80.079
2015-07-28,81.5,83.7,80.9,83.3,14777200,82.455
2015-07-29,84,85.5,83.25,84.9,14147900,84.038
2015-07-30,85.7,86.4,83.85,84.15,17521700,83.296
2015-07-31,84.75,85.35,83.65,84.45,13613300,83.593
2015-08-03,85.6,86.25,84.6,84.95,7996400,84.088
2015-08-04,85.25,88.4,84.2,88,18532300,87.107
2015-08-05,88.85,88.85,87.1,87.45,9781400,86.562
2015-08-06,87.6,88.45,86.5,87.2,5865300,86.315
2015-08-07,87,88.1,86.65,87.35,6801000,86.463
2015-08-10,87.7,89.15,87.1,87.75,8384200,86.859
2015-08-11,88.1,88.5,85.1,86.75,8060200,85.87
2015-08-12,86.8,89.95,84.2,88.1,35475400,87.206
2015-08-13,89.5,90.4,87.55,88.4,25159300,87.503
2015-08-14,89.2,89.8,88.3,89.05,13834200,88.146
2015-08-17,89.05,92,86.9,91.65,22197800,90.72
2015-08-18,92.35,99.65,92.15,97.3,43015400,96.312
2015-08-19,96.85,99.15,95.25,95.45,24217800,94.481
2015-08-20,95.65,97.8,94.95,95.6,18647300,94.63
2015-08-21,93.95,95.5,92.45,95.1,12997800,94.135
2015-08-24,90.9,91.65,81.05,84.45,22241700,83.593
2015-08-25,85.55,88,77.85,86.5,31007000,85.622
2015-08-26,86.5,89.1,83.9,87.5,22066500,86.612
2015-08-27,90,91.9,89.2,91.5,23150400,90.571
2015-08-28,93.25,94.25,91.4,92.15,17021800,91.215
2015-08-31,92.4,93.45,89.85,90.3,13482000,89.383
2015-09-01,90.3,92.2,84.5,87.45,26892800,86.562
2015-09-02,89.15,89.7,85.5,85.95,15855800,85.078
2015-09-03,87,88.4,86.75,87.65,12620800,86.76
2015-09-04,89,89.75,84.2,85,22421900,84.137
2015-09-07,85.5,85.9,80.65,81.95,21329800,81.118
2015-09-08,82,83.55,80.6,82,28590000,81.168
2015-09-09,83.8,87.95,83,87.5,24786500,86.612
2015-09-10,85,87.65,84.1,87.25,18529000,86.364
2015-09-11,88.7,90.5,87.2,87.7,20625300,86.81
