"Date","WOCKPHARMA.NS.Open","WOCKPHARMA.NS.High","WOCKPHARMA.NS.Low","WOCKPHARMA.NS.Close","WOCKPHARMA.NS.Volume","WOCKPHARMA.NS.Adjusted"
2016-04-19,1035.15,1035.15,1035.15,1035.15,0,1021.18
2016-04-20,1039.7,1068.7,1038.05,1049.55,1135700,1035.39
2016-04-21,1056,1069,1008.1,1021.5,947400,1007.72
2016-04-22,1018,1035.9,1006.3,1023.45,852800,1009.64
2016-04-25,1023.45,1030.7,1001.9,1007.95,699800,994.35
2016-04-26,1007.9,1041,1004,1036.8,973400,1022.81
2016-04-27,1037.95,1045,1025,1028.85,605600,1014.97
2016-04-28,1032,1034.8,993.15,997.9,716300,984.44
2016-04-29,998.9,1012.4,980.3,992.05,1021300,978.66
2016-05-02,992.4,1026.95,991.05,1007.85,816400,994.25
2016-05-03,1010.85,1021,987.05,994.35,675400,980.93
2016-05-04,994.8,1004.3,966.35,970.1,724200,957.01
2016-05-05,974,985,962,970.8,774200,957.7
2016-05-06,970.8,974,931,937.5,1704000,924.85
2016-05-09,920,961.95,905.5,950.2,2851400,937.38
2016-05-10,953.8,974,951,958.75,930500,945.81
2016-05-11,947.8,961.35,938,944.85,704200,932.1
2016-05-12,949.85,958.9,942,947.2,448100,934.42
2016-05-13,946.5,952.4,926.9,933.4,580100,920.81
2016-05-16,937,949,925.05,935.45,530200,922.83
2016-05-17,942,963.85,938.55,948.8,863500,936
2016-05-18,950.35,960,941.65,954.75,610500,941.87
2016-05-19,956,956,922.1,927.45,626300,914.94
2016-05-20,931.8,945,918.75,925.05,660000,912.57
2016-05-23,930.3,935,902,907.95,475900,895.7
2016-05-24,908.9,912.45,858.65,872.85,988100,861.07
2016-05-25,885.85,886.35,865.65,880.5,667300,868.62
2016-05-26,884.9,904.95,878.3,900.35,608800,888.2
2016-05-27,904.9,942.5,904,926.65,708300,914.15
2016-05-30,934.3,945,923,931.7,520500,919.13
2016-05-31,936.4,938.8,911,916.95,469200,904.58
2016-06-01,920,942.35,918.15,928,530600,915.48
2016-06-02,930.9,937,922.7,934.4,467100,921.79
2016-06-03,940,956.4,916.35,922.75,895200,910.3
2016-06-06,929.9,931.1,910.05,923.85,381300,911.38
2016-06-07,928.2,934.95,916,930.75,510100,918.19
2016-06-08,933.75,963.45,923.1,957.45,820200,944.53
2016-06-09,961,961.8,938,942.2,534500,929.49
2016-06-10,942,953.55,934.2,938.55,408900,925.89
2016-06-13,927.25,929.25,910,916.85,533900,904.48
2016-06-14,920.05,929.8,912.05,919.9,386000,907.49
2016-06-15,924.5,935.85,920.55,924.1,412900,911.63
2016-06-16,924.7,924.7,902.1,907.1,606300,894.86
2016-06-17,914,915.3,881.4,884.35,729200,872.42
2016-06-20,878.45,905.7,871.65,895.7,833900,883.61
2016-06-21,901.4,914.4,895.9,900.1,510700,887.96
2016-06-22,902,907.8,881.55,887.5,458600,875.53
2016-06-23,887.9,891.95,875.6,881.15,579400,869.26
2016-06-24,840,896,822,888.9,1029800,876.91
2016-06-27,882,906,882,898.35,849200,886.23
2016-06-28,902.85,914,900,909.55,593800,897.28
2016-06-29,914,924.9,910.05,914.85,535900,902.51
2016-06-30,923,936.95,915.55,933.9,933600,921.3
2016-07-01,937.8,950,930.35,937.1,450200,924.46
2016-07-04,943.8,957.9,937.15,952.05,545400,939.2
2016-07-05,953,972.5,950.45,956.4,671100,943.5
2016-07-06,956.4,956.4,956.4,956.4,0,943.5
2016-07-07,957.7,967,932.5,938.7,533400,926.03
2016-07-08,943.4,958.85,941.05,950.9,566200,938.07
2016-07-11,965,980.85,958.45,973.5,674700,960.37
2016-07-12,979.9,981.5,956,960.3,527000,947.34
2016-07-13,964.8,973,945.5,951.6,606600,938.76
2016-07-14,953.9,958,942.5,949.05,375900,936.24
2016-07-15,952,957.05,935,939.05,280200,926.38
2016-07-18,943.8,943.8,911.5,924.25,360900,911.78
2016-07-19,922,928.8,911,921.95,503800,909.51
2016-07-20,922.15,1049.5,922.15,1037.1,4148600,1023.11
2016-07-21,1081,1129.05,979,991.2,8401000,977.83
2016-07-22,988,1012.9,969,974.85,2287900,961.7
2016-07-25,977,998.9,971,980.95,1244200,967.71
2016-07-26,982.8,989.55,960,963.6,706000,950.6
2016-07-27,961,1015.5,942,987.8,2108500,974.47
2016-07-28,994.5,1012.35,980.4,990.55,1753500,977.18
2016-07-29,995,1034,991.05,1008.6,1937100,994.99
2016-08-01,1011,1027,982,998.35,1078100,984.88
2016-08-02,1000,1016.5,980,985.85,861700,972.55
2016-08-03,983,1037,962,1001.05,2460100,987.54
2016-08-04,1011,1026.8,999.4,1010.4,1233800,996.77
2016-08-05,1018.4,1026,1001.1,1015.15,800800,1001.45
2016-08-08,952,952,877.95,915.05,4689900,902.7
2016-08-09,914,925.55,905.2,908.45,1276900,896.19
2016-08-10,914,918.95,871.6,876.75,1276600,864.92
2016-08-11,880,891.5,859,867.4,1084200,855.7
2016-08-12,871.7,879.55,803.5,810.65,2920800,799.71
2016-08-15,810.65,810.65,810.65,810.65,0,799.71
2016-08-16,802,802,766,780.95,2912900,770.41
2016-08-17,778.95,810,773.15,788.7,2099400,778.06
2016-08-18,796,800.95,787.1,790.8,849400,780.13
2016-08-19,794.8,811.75,791,797.3,1337200,786.54
2016-08-22,801.95,808,784.3,786.75,814400,776.13
2016-08-23,785.7,805,780.1,792.05,1005200,781.36
2016-08-24,796.65,809,793.05,803.2,1077700,792.36
2016-08-25,812,847.8,811.9,830.1,3733700,818.9
