"Date","INDIGO.NS.Open","INDIGO.NS.High","INDIGO.NS.Low","INDIGO.NS.Close","INDIGO.NS.Volume","INDIGO.NS.Adjusted"
2016-08-03,869.95,883.9,855.05,862.85,625600,847.86
2016-08-04,864.95,870,824,827.45,600600,813.08
2016-08-05,829.95,839.5,818,821.55,690500,807.28
2016-08-08,824.95,839.5,816.1,827.5,634600,813.12
2016-08-09,827.5,827.5,811,812.9,627800,798.78
2016-08-10,815,819,795,800.6,594800,786.69
2016-08-11,803,808,790.1,793.5,997800,779.72
2016-08-12,795,805,791,800.8,396800,786.89
2016-08-15,800.8,800.8,800.8,800.8,0,786.89
2016-08-16,805.75,844.65,805.75,826.4,822500,812.04
2016-08-17,843.8,863,840.25,858.2,873300,843.29
2016-08-18,862.3,883.95,855,880.35,524300,865.06
2016-08-19,881.6,884.9,863,880.7,307200,865.4
2016-08-22,881.9,904,881.9,901.9,500400,886.23
2016-08-23,906.8,906.8,891,895.05,232700,879.5
2016-08-24,898.3,898.3,860.05,878.9,693600,863.63
2016-08-25,880,885.9,869,881.3,193400,865.99
2016-08-26,875,889,855,856.8,288500,841.92
2016-08-29,860,874.85,857,869.1,147500,854
2016-08-30,870,886.7,870,880.95,215700,865.65
2016-08-31,884,894.95,874,882.6,269800,867.27
2016-09-01,893.4,893.8,874,877.15,231200,861.91
2016-09-02,881.8,885,861.1,870.5,187400,855.38
2016-09-05,870.5,870.5,870.5,870.5,0,855.38
2016-09-06,875,882.85,845,868.9,227400,853.81
2016-09-07,872.4,881.35,863,871.15,843700,856.02
2016-09-08,873,875.85,865,867.5,169100,852.43
2016-09-09,869.5,875,859.75,863.45,161500,848.45
2016-09-12,845,877,844,864.95,307400,864.95
2016-09-13,864.95,864.95,864.95,864.95,0,864.95
2016-09-14,869.8,876,860,861.6,111700,861.6
2016-09-15,862,881.9,862,869.5,383100,869.5
2016-09-16,877.9,879,861,866.9,427400,866.9
2016-09-19,874.5,874.8,863,864.9,211300,864.9
2016-09-20,868,870,855,858.25,337600,858.25
2016-09-21,861.4,890,860.15,883.55,752900,883.55
2016-09-22,891.1,908.05,884,893.05,609000,893.05
2016-09-23,896.6,936.75,896.6,921.35,1278400,921.35
2016-09-26,923.7,950,922.1,938.95,739600,938.95
2016-09-27,943.8,944.7,917.2,924.6,414900,924.6
2016-09-28,925,929,915,920.9,231500,920.9
2016-09-29,919.3,927.75,890,903.65,643900,903.65
2016-09-30,900,920.7,893,915.7,345500,915.7
2016-10-03,927,977.8,916.45,944.85,331600,944.85
2016-10-04,951.8,977,947,950.8,297500,950.8
2016-10-05,954,961.95,940.05,949.9,263600,949.9
2016-10-06,954.95,954.95,934.05,937.05,155900,937.05
2016-10-07,938,955,930,949.9,322000,949.9
2016-10-10,955.8,955.8,933.1,936.75,68100,936.75
2016-10-11,936.75,936.75,936.75,936.75,0,936.75
2016-10-12,936.75,936.75,936.75,936.75,0,936.75
2016-10-13,931.9,945,927,935.75,133400,935.75
2016-10-14,934,952.8,924.85,934.4,275300,934.4
2016-10-17,934.1,940,928.15,935.15,64100,935.15
2016-10-18,931.05,944.4,930,938.2,94900,938.2
2016-10-19,940,957,940,948.15,234800,948.15
2016-10-20,954.7,954.7,933.35,937.95,297200,937.95
2016-10-21,939.8,945,930,936.2,90000,936.2
2016-10-24,938.4,940.7,925,931.95,49300,931.95
2016-10-25,932,940,923,925.5,72400,925.5
2016-10-26,925,946.9,924.55,931.6,255100,931.6
2016-10-27,928,940,920,937.75,149000,937.75
2016-10-28,941.8,941.8,925,930.7,86500,930.7
2016-10-31,930.7,930.7,930.7,930.7,0,930.7
2016-11-01,945,956.9,936.2,940.2,187200,940.2
2016-11-02,934,940.9,926.9,935.15,57200,935.15
2016-11-03,937,940.9,926.9,933,80000,933
2016-11-04,933.55,934.95,908.15,919.75,574400,919.75
2016-11-07,925.4,934.85,923.2,925.25,68100,925.25
2016-11-08,931.9,945,921,927.05,143700,927.05
2016-11-09,865,965.95,806.55,948.6,1030400,948.6
2016-11-10,950,950,935,936.65,188700,936.65
2016-11-11,939.8,939.8,905.05,915.25,487900,915.25
2016-11-14,915.25,915.25,915.25,915.25,0,915.25
2016-11-15,908,920,870,883.6,277700,883.6
2016-11-16,888,892.85,825.05,833.4,212000,833.4
2016-11-17,838,869,833.95,860.2,673800,860.2
2016-11-18,866.8,866.8,839,848.9,324400,848.9
2016-11-21,848.5,858.95,841,850.7,174600,850.7
2016-11-22,850.9,865,845,858.7,244700,858.7
2016-11-23,870,872,850.5,869.5,119300,869.5
2016-11-24,852.15,870.2,852.15,867.3,173500,867.3
2016-11-25,870,876,851.35,870.15,271100,870.15
2016-11-28,861.15,927.9,861.15,888.1,348500,888.1
2016-11-29,888.5,890,865.55,874.55,157400,874.55
2016-11-30,877.7,885.75,855,859.8,174400,859.8
2016-12-01,855,859.95,835,838.55,230500,838.55
2016-12-02,837,850,830,843.25,165800,843.25
2016-12-05,844,854,842,849.65,198600,849.65
2016-12-06,852.1,854.85,845.1,849.25,144400,849.25
2016-12-07,855.4,855.4,845.65,849.3,176500,849.3
2016-12-08,851.6,854.2,846.1,851.15,84000,851.15
2016-12-09,860,860,845,847.6,86000,847.6
2016-12-12,842.1,846.85,825,828,65500,828
2016-12-13,828.7,832,811,816.25,105500,816.25
2016-12-14,815,825,815,817.8,160700,817.8
2016-12-15,818,834,816.1,829.55,54400,829.55
2016-12-16,835.15,837.05,827,830.3,87100,830.3
2016-12-19,830.35,835.95,820,832.8,43400,832.8
2016-12-20,826.25,838,826.25,833.15,76800,833.15
2016-12-21,836.95,837.9,826.7,832.35,106500,832.35
2016-12-22,830,834,826.05,828.25,43900,828.25
2016-12-23,828.7,830.7,822.55,825.05,75600,825.05
2016-12-26,825.45,840,820,828.6,322800,828.6
2016-12-27,834.7,835,825,830.25,36200,830.25
2016-12-28,834.8,837.3,825,829.8,157900,829.8
2016-12-29,832.15,832.95,811.65,815.55,78800,815.55
2016-12-30,819.8,825.9,815.7,821.45,70700,821.45
2017-01-02,816.7,828.6,812,822.35,81200,822.35
2017-01-03,822,829.85,814.4,819.85,72700,819.85
2017-01-04,823,855,820.1,843.4,202900,843.4
2017-01-05,844,848.7,836.05,841.85,92700,841.85
2017-01-06,842.3,849.9,836,840.8,79000,840.8
2017-01-09,837,855,836.7,852.7,94400,852.7
2017-01-10,858,865,851.6,860,111400,860
2017-01-11,856.1,875,856.1,869.05,595000,869.05
2017-01-12,869.9,883.3,869,877.8,188500,877.8
2017-01-13,878.9,884,870.2,880.8,122700,880.8
2017-01-16,880,888.7,874.95,875.8,81200,875.8
2017-01-17,884,884,873,878.25,56000,878.25
2017-01-18,880,889,873.5,879.65,65300,879.65
2017-01-19,880,918.3,879.95,904.15,394100,904.15
2017-01-20,908.5,929,905.35,925.7,312000,925.7
2017-01-23,923.9,944,920.5,934.5,186300,934.5
2017-01-24,943.2,943.2,920,930,93600,930
2017-01-25,926.7,932,915,929,106400,929
2017-01-26,929,929,929,929,0,929
2017-01-27,930,935,924.8,928,85500,928
2017-01-30,928.7,940,919.25,935.15,87500,935.15
2017-01-31,930,934.3,897,903,130400,903
2017-02-01,850,869.75,820,836.55,1099700,836.55
2017-02-02,837,862,830.6,855.65,400700,855.65
2017-02-03,862.9,862.9,855,858.6,103100,858.6
2017-02-06,839.7,872.4,832,860.95,395000,860.95
2017-02-07,863.4,863.4,845.35,848.2,306800,848.2
2017-02-08,848.2,855,845.55,849.95,186400,849.95
2017-02-09,853,854.95,841.1,846.45,220200,846.45
2017-02-10,847.5,850,835,836.9,70200,836.9
2017-02-13,840,840,827,830.5,367600,830.5
2017-02-14,832.05,835,815,818.65,156300,818.65
2017-02-15,818.65,824.6,818.05,819.75,295000,819.75
2017-02-16,820,825,819.5,823.6,183800,823.6
2017-02-17,823.5,845,823.5,829.3,111300,829.3
2017-02-20,836,839.7,826,829.45,137100,829.45
2017-02-21,831.8,854.6,831.8,841.55,360100,841.55
2017-02-22,847.65,857.7,840,844.85,572300,844.85
2017-02-23,847.1,849.9,836.5,839.6,85000,839.6
2017-02-24,839.6,839.6,839.6,839.6,0,839.6
2017-02-27,844.7,870.5,840,865.6,465200,865.6
2017-02-28,870,877,851.1,856.9,315800,856.9
2017-03-01,860.15,889,855,870.85,670100,870.85
2017-03-02,875,877.7,859.9,864.25,203600,864.25
2017-03-03,864,868.35,852.1,859.1,113400,859.1
2017-03-06,868,868,855,860.05,69600,860.05
2017-03-07,863.05,883.7,855,860.1,588800,860.1
2017-03-08,865,897.7,855.25,879.8,2255500,879.8
2017-03-09,879.8,887,871.3,875.15,417100,875.15
2017-03-10,879.7,881.45,869,871.1,567300,871.1
2017-03-13,871.1,871.1,871.1,871.1,0,871.1
2017-03-14,885,896.7,873.35,876.15,981600,876.15
2017-03-15,872,887.5,872,881.45,480100,881.45
2017-03-16,881.5,897,881.5,891.4,335200,891.4
2017-03-17,892,925,892,920.75,1064600,920.75
2017-03-20,930.7,930.7,917.45,919.95,438800,919.95
2017-03-21,929.7,940,909,935.05,271400,935.05
2017-03-22,923,935.9,915.05,934.75,322500,934.75
2017-03-23,945,990,935,979.5,1653100,979.5
2017-03-24,975.15,1045,962.5,1020.85,1654600,1020.85
2017-03-27,1020,1063,1015.1,1052.65,1174900,1052.65
2017-03-28,1054.9,1062.35,1010.65,1036.5,929700,1036.5
2017-03-29,1039.95,1042.95,1002,1024.2,449600,1024.2
2017-03-30,1025.4,1051,1014,1044.15,1024800,1044.15
2017-03-31,1052,1094,1040.55,1051.4,1946800,1051.4
2017-04-03,1060,1074.85,1038.55,1043,539600,1043
2017-04-04,1043,1043,1043,1043,0,1043
2017-04-05,1047,1052,1027,1044.25,372400,1044.25
2017-04-06,1038,1056.9,1035.7,1050.2,451700,1050.2
2017-04-07,1040,1044.4,1022.6,1038.8,607200,1038.8
2017-04-10,1037.9,1098.5,1030,1085.7,671700,1085.7
2017-04-11,1100.5,1108.6,1086.15,1092.75,476500,1092.75
2017-04-12,1095,1128,1060.5,1098.85,953900,1098.85
2017-04-13,1095,1117,1088.35,1091.6,391300,1091.6
2017-04-14,1091.6,1091.6,1091.6,1091.6,0,1091.6
2017-04-17,1092.9,1100.5,1088.4,1091.9,311100,1091.9
2017-04-18,1091.15,1111,1071.65,1076.8,594700,1076.8
2017-04-19,1068.8,1094.95,1068.8,1086.1,243400,1086.1
2017-04-20,1085,1164,1084.95,1157.55,1285400,1157.55
2017-04-21,1167,1168.7,1104.25,1111.9,792100,1111.9
